timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1577100,5.17,5.18,5.12,5.14,-0.03,-0.58,0.18,8105462.0,,,17.3588,2.0406,1.2914,18.2715,4616897820.72,,9189665,1.02,-11800,,,
1565539200000,2038200,5.15,5.23,5.11,5.21,0.07,1.36,0.23,10513440.0,,,17.5952,2.0684,1.309,18.5203,4679773861.08,,8992765,1.0,-196900,,,
1565625600000,1252203,5.17,5.22,5.14,5.16,-0.05,-0.96,0.14,6489711.0,,,17.4263,2.0486,1.2964,18.3426,4634862403.68,,8955765,0.99,-37000,,,
1565712000000,1377645,5.2,5.21,5.14,5.16,0.0,0.0,0.15,7112289.0,,,17.4263,2.0486,1.2964,18.3426,4634862403.68,,8997665,1.0,41900,,,
1565798400000,1725495,5.08,5.16,5.06,5.15,-0.01,-0.19,0.19,8830252.0,,,17.3926,2.0446,1.2939,18.307,4625880112.2,,8946465,0.99,-51200,,,
1565884800000,2321900,5.11,5.15,5.1,5.11,-0.04,-0.78,0.26,11880228.0,,,17.2575,2.0287,1.2839,18.1648,4589950946.28,,9071565,1.01,125100,,,
1566144000000,1910739,5.11,5.18,5.1,5.18,0.07,1.37,0.21,9828249.0,,,17.4939,2.0565,1.3015,18.4137,4652826986.64,,9059165,1.0,-12400,,,
1566230400000,2778302,5.15,5.17,5.12,5.12,-0.06,-1.16,0.31,14282640.0,,,17.2913,2.0327,1.2864,18.2004,4598933237.76,,9091965,1.01,32800,,,
1566316800000,1612660,5.12,5.14,5.1,5.1,-0.02,-0.39,0.18,8255709.0,,,17.2237,2.0248,1.2814,18.1293,4580968654.8,,9163265,1.02,71300,,,
1566403200000,1910800,5.12,5.12,5.09,5.1,0.0,0.0,0.21,9756585.0,,,17.2237,2.0248,1.2814,18.1293,4580968654.8,,9164565,1.02,1300,,,
1566489600000,2027785,5.12,5.16,5.08,5.12,0.02,0.39,0.23,10371923.0,,,17.2913,2.0327,1.2864,18.2004,4598933237.76,,9201820,1.02,37255,,,
1566748800000,1663673,5.08,5.09,5.06,5.07,-0.05,-0.98,0.19,8434300.0,,,17.1224,2.0128,1.2738,18.0226,4554021780.36,,9194720,1.02,-7100,,,
1566835200000,2281888,5.07,5.12,5.07,5.1,0.03,0.59,0.25,11632167.0,,,17.2237,2.0248,1.2814,18.1293,4580968654.8,,9193320,1.02,-1400,,,
1566921600000,2926988,5.1,5.17,5.1,5.13,0.03,0.59,0.33,15042959.0,,,17.325,2.0367,1.2889,18.2359,4607915529.24,,9337108,1.04,143788,,,
1567008000000,2927300,5.16,5.16,5.08,5.12,-0.01,-0.19,0.33,14916672.0,,,17.2913,2.0327,1.2864,18.2004,4598933237.76,,9071108,1.01,-266000,,,
1567094400000,1763602,5.12,5.13,5.07,5.1,-0.02,-0.39,0.2,8992257.0,,,17.2237,2.0248,1.2814,18.1293,4580968654.8,,8965208,0.99,-105900,,,
1567353600000,2264371,5.1,5.12,5.07,5.11,0.01,0.2,0.25,11539395.0,,,17.2575,2.0287,1.2839,18.1648,4589950946.28,,8589008,0.95,-376200,,,
1567440000000,1256343,5.09,5.1,5.08,5.1,-0.01,-0.2,0.14,6397636.0,,,17.2237,2.0248,1.2814,18.1293,4580968654.8,,8620508,0.96,31500,,,
1567526400000,2529942,5.08,5.12,5.07,5.11,0.01,0.2,0.28,12889046.0,,,17.2575,2.0287,1.2839,18.1648,4589950946.28,,8567152,0.95,-53356,,,
1567612800000,3976200,5.12,5.16,5.11,5.13,0.02,0.39,0.44,20436712.0,,,17.325,2.0367,1.2889,18.2359,4607915529.24,,8535652,0.95,-31500,,,
1567699200000,2175221,5.13,5.14,5.09,5.11,-0.02,-0.39,0.24,11117439.0,,,17.2575,2.0287,1.2839,18.1648,4589950946.28,,8516950,0.94,-18702,,,
1567958400000,2784876,5.14,5.15,5.11,5.14,0.03,0.59,0.31,14276309.0,,,17.3588,2.0406,1.2914,18.2715,4616897820.72,,8561250,0.95,44300,,,
1568044800000,2825444,5.15,5.15,5.12,5.15,0.01,0.19,0.31,14503416.0,,,17.3926,2.0446,1.2939,18.307,4625880112.2,,8558006,0.95,-3244,,,
1568131200000,7884700,5.16,5.27,5.14,5.23,0.08,1.55,0.88,41226686.0,,,17.6627,2.0764,1.314,18.5914,4697738444.04,,8631006,0.96,73000,,,
1568217600000,2242543,5.22,5.23,5.2,5.22,-0.01,-0.19,0.25,11694220.0,,,17.629,2.0724,1.3115,18.5559,4688756152.56,,8638306,0.96,7300,,,
1568563200000,1985016,5.23,5.25,5.19,5.21,-0.01,-0.19,0.22,10340744.0,,,17.5952,2.0684,1.309,18.5203,4679773861.08,,8677006,0.96,38700,,,
1568649600000,2802701,5.21,5.21,5.12,5.14,-0.07,-1.34,0.31,14429467.0,,,17.3588,2.0406,1.2914,18.2715,4616897820.72,,8542902,0.95,-134104,,,
1568736000000,1889500,5.14,5.16,5.12,5.14,0.0,0.0,0.21,9700154.0,,,17.3588,2.0406,1.2914,18.2715,4616897820.72,,8613302,0.95,70400,,,
1568822400000,2557469,5.13,5.19,5.12,5.18,0.04,0.78,0.29,13186327.0,,,17.4939,2.0565,1.3015,18.4137,4652826986.64,,8743802,0.97,130500,,,
1568908800000,2284326,5.17,5.19,5.13,5.18,0.0,0.0,0.25,11789656.0,,,17.4939,2.0565,1.3015,18.4137,4652826986.64,,9325702,1.03,581900,,,
1569168000000,2057528,5.17,5.17,5.1,5.14,-0.04,-0.77,0.23,10538790.0,,,17.3588,2.0406,1.2914,18.2715,4616897820.72,,9239102,1.02,-86600,,,
1569254400000,1978263,5.14,5.16,5.11,5.13,-0.01,-0.19,0.22,10154580.0,,,17.325,2.0367,1.2889,18.2359,4607915529.24,,9161602,1.02,-77500,,,
1569340800000,5633445,5.13,5.17,5.06,5.16,0.03,0.58,0.63,28750290.0,,,17.4263,2.0486,1.2964,18.3426,4634862403.68,,8962402,0.99,-199200,,,
1569427200000,2990326,5.16,5.16,5.08,5.11,-0.05,-0.97,0.33,15292120.0,,,17.2575,2.0287,1.2839,18.1648,4589950946.28,,9054002,1.0,91600,,,
1569513600000,2578169,5.12,5.12,5.08,5.09,-0.02,-0.39,0.29,13151522.0,,,17.1899,2.0208,1.2789,18.0937,4571986363.32,,9090502,1.01,36500,,,
1569772800000,1423334,5.08,5.1,5.06,5.09,0.0,0.0,0.16,7229780.0,,,9.877,1.8994,1.1699,-692.2379,4571986363.32,,9102802,1.01,12300,,,
1570464000000,903500,5.09,5.1,5.06,5.09,0.0,0.0,0.1,4590766.0,,,9.877,1.8994,1.1699,-692.2379,4571986363.32,,9011502,1.0,-91300,,,
1570550400000,937502,5.08,5.09,5.05,5.09,0.0,0.0,0.1,4758448.0,,,9.877,1.8994,1.1699,-692.2379,4571986363.32,,9130202,1.01,118700,,,
1570636800000,2140900,5.08,5.12,5.07,5.11,0.02,0.39,0.24,10929594.0,,,9.9158,1.9068,1.1745,-694.9579,4589950946.28,,9158102,1.02,27900,,,
1570723200000,4448534,5.1,5.17,5.09,5.15,0.04,0.78,0.5,22814991.0,,,9.9934,1.9218,1.1837,-700.3979,4625880112.2,,9191902,1.02,33800,,,
1570982400000,4607720,5.16,5.18,5.12,5.17,0.02,0.39,0.51,23725029.0,,,10.0322,1.9292,1.1883,-703.1179,4643844695.16,,9162102,1.02,-29800,,,
1571068800000,3362000,5.16,5.18,5.12,5.15,-0.02,-0.39,0.37,17295965.0,,,9.9934,1.9218,1.1837,-700.3979,4625880112.2,,9240602,1.02,78500,,,
1571155200000,2660700,5.15,5.17,5.11,5.14,-0.01,-0.19,0.3,13653341.0,,,9.974,1.918,1.1814,-699.0379,4616897820.72,,8704402,0.97,-536200,,,
1571241600000,1490486,5.13,5.14,5.09,5.09,-0.05,-0.97,0.17,7607301.0,,,9.877,1.8994,1.1699,-692.2379,4571986363.32,,8642802,0.96,-61600,,,
1571328000000,3972300,5.09,5.11,5.04,5.09,0.0,0.0,0.44,20144316.0,,,9.877,1.8994,1.1699,-692.2379,4571986363.32,,7679001,0.85,-963801,,,
1571587200000,2730866,5.08,5.1,5.06,5.09,0.0,0.0,0.3,13895532.0,,,9.877,1.8994,1.1699,-692.2379,4571986363.32,,7218601,0.8,-460400,,,
1571673600000,2873100,5.09,5.12,5.08,5.12,0.03,0.59,0.32,14643405.0,,,9.9352,1.9106,1.1768,-696.3179,4598933237.76,,7091401,0.79,-127200,,,
1571760000000,4735877,5.11,5.17,5.09,5.15,0.03,0.59,0.53,24310483.0,,,9.9934,1.9218,1.1837,-700.3979,4625880112.2,,7359401,0.82,268000,,,
1571846400000,1975497,5.12,5.18,5.11,5.16,0.01,0.19,0.22,10186302.0,,,10.0128,1.9255,1.186,-701.7579,4634862403.68,,7490701,0.83,131300,,,
1571932800000,2196812,5.17,5.18,5.15,5.18,0.02,0.39,0.24,11356128.0,,,10.0516,1.933,1.1906,-704.4779,4652826986.64,,7699003,0.85,208302,,,
1572192000000,2718262,5.19,5.19,5.12,5.16,-0.02,-0.39,0.3,14009852.0,,,10.0128,1.9255,1.186,-701.7579,4634862403.68,,7874713,0.87,175710,,,
1572278400000,20237278,5.27,5.48,5.27,5.32,0.16,3.1,2.26,108487399.0,,,10.3233,1.9852,1.2228,-723.5178,4778579067.36,,7295769,0.81,-578944,,,
1572364800000,7114362,5.32,5.32,5.21,5.28,-0.04,-0.75,0.79,37461541.0,,,10.2457,1.9703,1.2136,-718.0778,4742649901.44,,7346769,0.81,51000,,,
1572451200000,4381112,5.22,5.27,5.19,5.25,-0.03,-0.57,0.49,22876467.0,,,10.1875,1.9591,1.2067,-713.9979,4715703027.0,,7578269,0.84,231500,,,
