timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,949600,10.1615,10.4273,9.9842,10.063,0.0986,0.99,1.27,9846330.0,,,19.6181,2.5865,1.4261,19.7127,4905722640.0,,529720,0.7,-53700,,,
1565539200000,690800,10.0532,10.2501,10.0039,10.2403,0.1771,1.76,0.92,7135259.0,,,19.9636,2.6321,1.4512,20.0599,4992124800.0,,531560,0.7,1840,,,
1565625600000,697360,10.2403,10.3879,10.1024,10.3092,0.0686,0.67,0.93,7271863.0,,,20.098,2.6498,1.461,20.1949,5025725640.0,,565800,0.75,34240,,,
1565712000000,608700,10.3584,10.5258,10.1812,10.2304,-0.0783,-0.76,0.81,6371437.0,,,19.9444,2.6296,1.4498,20.0406,4987324680.0,,584740,0.77,18940,,,
1565798400000,433519,10.0827,10.191,9.9547,10.1713,-0.0593,-0.58,0.58,4441427.0,,,19.8292,2.6144,1.4414,19.9248,4958523960.0,,596660,0.79,11920,,,
1565884800000,609059,10.1615,10.3092,10.1024,10.2993,0.1282,1.26,0.81,6344173.0,,,20.0788,2.6473,1.4596,20.1756,5020925520.0,,637940,0.85,41280,,,
1566144000000,793520,10.2993,10.4864,10.2796,10.4569,0.1576,1.53,1.06,8392645.0,,,20.3859,2.6878,1.4819,20.4842,5097727440.0,,649060,0.86,11120,,,
1566230400000,920480,10.4963,10.6833,10.3879,10.644,0.1872,1.79,1.23,9889627.0,,,20.7506,2.7358,1.5084,20.8507,5188929720.0,,668660,0.89,19600,,,
1566316800000,545880,10.5553,10.6833,10.5455,10.5849,-0.0596,-0.56,0.73,5886955.0,,,20.6354,2.7207,1.5,20.7349,5160129000.0,,691260,0.92,22600,,,
1566403200000,571260,10.6341,10.6932,10.5356,10.5849,0.0,0.0,0.76,6155847.0,,,20.6354,2.7207,1.5,20.7349,5160129000.0,,732760,0.97,41500,,,
1566489600000,530320,10.6046,10.703,10.5455,10.575,-0.0095,-0.09,0.71,5723332.0,,,20.6162,2.7181,1.4986,20.7157,5155328880.0,,724080,0.96,-8680,,,
