timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,3504245,4.5571,4.5967,4.4286,4.4583,-0.0989,-2.17,0.52,15970569.0,,,2.3624,1.0085,1.6707,110.6118,5066462692.39,,,,,,,
1565539200000,4223175,4.4583,4.5571,4.3891,4.5571,0.099,2.22,0.62,19108040.0,,,2.4148,1.0309,1.7078,113.0644,5178801111.29,,,,,,,
1565625600000,2410650,4.5077,4.5275,4.4484,4.4682,-0.0889,-1.95,0.36,10937678.0,,,2.3676,1.0107,1.6744,110.8571,5077696534.28,,,,,,,
1565712000000,3261816,4.5077,4.567,4.4879,4.4978,0.0295,0.66,0.48,14890130.0,,,2.3834,1.0174,1.6855,111.5929,5111398059.95,,,,,,,
1565798400000,4105300,4.4286,4.4781,4.3693,4.4484,-0.0495,-1.1,0.61,18339803.0,,,2.3572,1.0063,1.667,110.3666,5055228850.5,,,,,,,
1565884800000,2876650,4.4484,4.4978,4.4385,4.4781,0.0298,0.67,0.42,13027511.0,,,2.3729,1.013,1.6781,111.1024,5088930376.17,,,,,,,
1566144000000,17587204,4.6955,4.9229,4.6461,4.9229,0.4447,9.93,2.59,86094891.0,,,2.6086,1.1136,1.8448,122.139,5594453261.22,,,,,,,
1566230400000,27042199,4.9427,5.17,4.8636,4.9822,0.0591,1.2,3.99,136777022.0,,,2.64,1.127,1.867,123.6106,5661856312.56,,,,,,,
1566316800000,16356429,4.9427,5.1404,4.8735,5.0316,0.0493,0.99,2.41,82690978.0,,,2.6662,1.1382,1.8856,124.8369,5718025522.01,,,,,,,
1566403200000,16316663,5.1206,5.1404,4.9921,5.0909,0.0594,1.18,2.41,83661990.0,,,2.6977,1.1516,1.9078,126.3084,5785428573.35,,,,,,,
1566489600000,10153451,5.0514,5.1008,4.9822,5.0316,-0.0596,-1.17,1.5,51686370.0,,,2.6662,1.1382,1.8856,124.8369,5718025522.01,,,,,,,
1566748800000,25655816,4.9031,5.3183,4.8735,5.2887,0.2571,5.11,3.78,133031818.0,,,2.8024,1.1963,1.9819,131.2136,6010105411.15,,,,,,,
1566835200000,18272516,5.2195,5.2689,5.1601,5.1997,-0.0888,-1.68,2.69,96226043.0,,,2.7553,1.1762,1.9485,129.0063,5909000834.14,,,,,,,
1566921600000,12244671,5.1799,5.1799,5.0316,5.0316,-0.1679,-3.23,1.81,62867871.0,,,2.6662,1.1382,1.8856,124.8369,5718025522.01,,,,,,,
1567008000000,11004886,5.0415,5.17,5.0316,5.0811,0.0493,0.98,1.62,56723476.0,,,2.6924,1.1494,1.9041,126.0632,5774194731.46,,,,,,,
1567094400000,12724802,5.1008,5.1107,4.8636,4.913,-0.1682,-3.31,1.88,64107532.0,,,2.6034,1.1114,1.8411,121.8938,5583219419.33,,,,,,,
1567353600000,7282665,4.913,5.0316,4.913,5.0119,0.0988,2.01,1.07,36652114.0,,,2.6557,1.1337,1.8782,124.3463,5695557838.23,,,,,,,
1567440000000,10887106,4.9822,5.1404,4.9723,5.1206,0.1088,2.17,1.61,56030150.0,,,2.7134,1.1583,1.9189,127.0442,5819130099.02,,,,,,,
1567526400000,10912151,5.1107,5.1503,5.0415,5.1404,0.02,0.39,1.61,56187851.0,,,2.7238,1.1628,1.9263,127.5347,5841597782.8,,,,,,,
1567612800000,16287718,5.1503,5.1799,5.0811,5.1008,-0.0396,-0.77,2.4,84751157.0,,,2.7029,1.1538,1.9115,126.5537,5796662415.24,,,,,,,
1567699200000,8221594,5.1206,5.1503,5.0613,5.1107,0.0097,0.19,1.21,42440458.0,,,2.7081,1.1561,1.9152,126.7989,5807896257.13,,,,,,,
1567958400000,9775640,5.1503,5.1601,5.0909,5.1404,0.0296,0.58,1.44,50616154.0,,,2.7238,1.1628,1.9263,127.5347,5841597782.8,,,,,,,
1568044800000,7734081,5.1305,5.1404,5.0712,5.1305,-0.0098,-0.19,1.14,39893477.0,,,2.7186,1.1606,1.9226,127.2894,5830363940.91,,,,,,,
1568131200000,7028000,5.1305,5.1305,5.0514,5.0514,-0.079,-1.54,1.04,36183384.0,,,2.6767,1.1427,1.893,125.3274,5740493205.79,,,,,,,
1568217600000,8810425,5.0514,5.1503,5.0514,5.1503,0.099,1.96,1.3,45571867.0,,,2.7291,1.165,1.93,127.78,5852831624.69,,,,,,,
1568563200000,8413328,5.1601,5.2096,5.1008,5.1206,-0.0299,-0.58,1.24,43916465.0,,,2.7134,1.1583,1.9189,127.0442,5819130099.02,,,,,,,
1568649600000,8030200,5.1404,5.1404,4.9427,4.9723,-0.1485,-2.9,1.18,40650931.0,,,2.6348,1.1248,1.8633,123.3653,5650622470.67,,,,,,,
1568736000000,5154174,4.9624,5.002,4.9229,4.9328,-0.0398,-0.8,0.76,25829069.0,,,2.6138,1.1158,1.8485,122.3843,5605687103.11,,,,,,,
