timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,17992979,10.0746,10.0845,9.9055,9.9552,-0.05,-0.5,0.23,180546381.0,,,9.8472,1.1468,0.3454,-4.9518,93193496946.55,3159433037.0,115064058,1.23,-1219446,,,
1565539200000,20956021,9.9552,10.184,9.9552,10.1542,0.1991,2.0,0.27,212877045.0,,,10.044,1.1697,0.3523,-5.0507,95055504877.55,3149499318.0,115263087,1.23,199029,,,
1565625600000,11671881,10.0945,10.1144,10.0249,10.0448,-0.1097,-1.08,0.15,118067648.0,,,9.9358,1.1571,0.3485,-4.9963,94031400515.5,3150026961.0,115532231,1.24,269144,,,
1565712000000,17199320,10.2039,10.2536,10.1144,10.1343,0.0894,0.89,0.22,176013298.0,,,10.0243,1.1674,0.3516,-5.0408,94869304084.45,3138885841.0,116388578,1.25,856347,,,
1565798400000,15266035,9.9552,10.1939,9.9055,10.174,0.0395,0.39,0.2,154671983.0,,,10.0637,1.172,0.3529,-5.0606,95241705670.65,3135320952.0,117771269,1.26,1382691,,,
1565884800000,65337550,10.4923,10.7608,10.4227,10.5619,0.3876,3.81,0.84,695571983.0,,,10.4473,1.2167,0.3664,-5.2535,98872621136.1,3155237031.0,122853014,1.31,5081745,,,
1566144000000,39010177,10.6315,10.731,10.5818,10.7011,0.1394,1.32,0.5,418279451.0,,,10.585,1.2327,0.3712,-5.3228,100176026687.8,3167339116.0,123554838,1.32,701824,,,
1566230400000,27333654,10.7409,10.7409,10.6017,10.6415,-0.0599,-0.56,0.35,292923843.0,,,10.526,1.2258,0.3692,-5.2931,99617424308.5,3171153824.0,123680365,1.32,125527,,,
1566316800000,23676708,10.6514,10.7111,10.5719,10.6017,-0.0394,-0.37,0.3,253658266.0,,,10.4867,1.2212,0.3678,-5.2733,99245022722.3,3170176844.0,122656973,1.31,-1023392,,,
1566403200000,26711457,10.6216,10.7608,10.5719,10.6415,0.0403,0.38,0.34,286053269.0,,,10.526,1.2258,0.3692,-5.2931,99617424308.5,3165053829.0,121270503,1.3,-1386470,,,
1566489600000,20482535,10.6315,10.6713,10.5619,10.6614,0.0202,0.19,0.26,218880595.0,,,10.5457,1.2281,0.3698,-5.303,99803625101.6,3147887609.0,122739380,1.31,1468877,,,
1566748800000,28558671,10.4326,10.5719,10.3829,10.542,-0.1194,-1.12,0.37,300805759.0,,,10.4277,1.2144,0.3657,-5.2436,98686420343.0,3151781243.0,119952430,1.28,-2786950,,,
1566835200000,48692327,10.6514,10.8006,10.5818,10.7409,0.1992,1.89,0.63,525641927.0,,,10.6244,1.2373,0.3726,-5.3426,100548428274.0,3141607732.0,125849924,1.35,5897494,,,
1566921600000,32110563,10.8205,10.91,10.6415,10.7409,0.0,0.0,0.41,347245644.0,,,10.6244,1.2373,0.3726,-5.3426,100548428274.0,3148449290.0,124961019,1.34,-888905,,,
1567008000000,29663019,10.7608,10.8603,10.5917,10.721,-0.0204,-0.19,0.38,319272658.0,,,10.6047,1.235,0.3719,-5.3327,100362227480.9,3158465555.0,120896714,1.29,-4064305,,,
1567094400000,24910640,10.7807,10.8006,10.6116,10.6813,-0.0397,-0.37,0.32,267983881.0,,,10.5654,1.2304,0.3705,-5.3129,99989825894.7,3164463653.0,120528201,1.29,-368513,,,
1567353600000,57410397,10.552,10.6713,10.4724,10.6017,-0.079,-0.74,0.74,610486176.0,,,10.4867,1.2212,0.3678,-5.2733,99245022722.3,3196654022.0,123303740,1.32,2775539,,,
1567440000000,41584424,10.5917,10.6216,10.4426,10.5122,-0.0891,-0.84,0.53,438716931.0,,,10.3981,1.2109,0.3647,-5.2288,98407119153.35,3221559003.0,120471680,1.29,-2832060,,,
1567526400000,32762597,10.5022,10.5818,10.4625,10.542,0.0294,0.28,0.42,346276131.0,,,10.4277,1.2144,0.3657,-5.2436,98686420343.0,3251110290.0,120323316,1.29,-148364,,,
1567612800000,57794388,10.5818,10.7807,10.5719,10.6713,0.1297,1.23,0.74,620860603.0,,,10.5555,1.2293,0.3702,-5.3079,99896725498.15,3263120471.0,123346850,1.32,3023534,,,
1567699200000,30623570,10.6713,10.6713,10.6017,10.6514,-0.0203,-0.19,0.39,327407572.0,,,10.5359,1.227,0.3695,-5.298,99710524705.05,3257531976.0,121167424,1.3,-2179426,,,
1567958400000,55795714,10.7011,10.8901,10.6415,10.8603,0.2088,1.96,0.72,603404602.0,,,10.7424,1.251,0.3767,-5.4019,101665633032.6,3304685671.0,121179951,1.3,12527,,,
