timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,352589,15.8518,16.041,15.6925,15.6925,-0.1697,-1.07,0.66,5618910.0,,,30.3678,1.6493,3.9451,43.8337,1574108800.0,,,,,,,
1565539200000,334228,15.6925,15.9315,15.583,15.9116,0.2197,1.4,0.62,5290175.0,,,30.7917,1.6723,4.0002,44.4456,1596082400.0,,,,,,,
1565625600000,371177,15.8618,15.9016,15.7124,15.7821,-0.1289,-0.81,0.69,5881778.0,,,30.5412,1.6587,3.9676,44.084,1583098000.0,,,,,,,
1565712000000,406139,15.9016,15.9912,15.8021,15.9415,0.1594,1.01,0.76,6493657.0,,,30.8495,1.6755,4.0077,44.529,1599078800.0,,,,,,,
1565798400000,993916,15.7821,16.6783,15.5631,16.1904,0.2487,1.56,1.85,16021046.0,,,31.3312,1.7016,4.0703,45.2244,1624048800.0,,,,,,,
1565884800000,713082,16.1306,16.4791,16.1306,16.3597,0.17,1.05,1.33,11646711.0,,,31.6588,1.7194,4.1128,45.6972,1641028400.0,,,,,,,
1566144000000,592300,16.29,16.6783,16.29,16.6385,0.2781,1.7,1.1,9852414.0,,,32.1983,1.7487,4.1829,46.476,1668994800.0,,,,,,,
1566230400000,614055,16.6385,16.8376,16.4393,16.5588,-0.0799,-0.48,1.14,10251160.0,,,32.0442,1.7404,4.1629,46.2535,1661004400.0,,,,,,,
1566316800000,428760,16.5488,16.7281,16.5389,16.5588,0.0,0.0,0.8,7154061.0,,,32.0442,1.7404,4.1629,46.2535,1661004400.0,,,,,,,
1566403200000,904012,16.5887,17.2259,16.5887,16.8376,0.2782,1.68,1.69,15387985.0,,,32.5837,1.7697,4.233,47.0322,1688970800.0,,,,,,,
1566489600000,963037,16.8476,17.1662,16.7579,16.9272,0.0892,0.53,1.8,16384556.0,,,32.7571,1.7791,4.2555,47.2825,1697960000.0,,,,,,,
1566748800000,746200,16.6185,16.967,16.5289,16.8276,-0.0999,-0.59,1.39,12544077.0,,,32.5645,1.7686,4.2305,47.0044,1687972000.0,,,,,,,
1566835200000,775901,16.8973,17.2259,16.8973,17.1264,0.2995,1.78,1.45,13350048.0,,,33.1425,1.8,4.3056,47.8388,1717936000.0,,,,,,,
1566921600000,619250,17.206,17.206,16.8476,16.9969,-0.1302,-0.76,1.15,10588618.0,,,32.892,1.7864,4.273,47.4772,1704951600.0,,,,,,,
1567008000000,452024,16.977,17.1064,16.9372,16.9571,-0.0391,-0.23,0.84,7716557.0,,,32.815,1.7822,4.263,47.366,1700956400.0,,,,,,,
1567094400000,634300,17.0467,17.0766,16.5289,16.6882,-0.2696,-1.59,1.18,10711242.0,,,32.2947,1.754,4.1954,46.615,1673988800.0,,,,,,,
1567353600000,608877,16.8376,16.9571,16.5289,16.9173,0.2286,1.37,1.14,10318140.0,,,32.7379,1.778,4.253,47.2547,1696961200.0,,,,,,,
1567440000000,917855,17.0268,17.1662,16.7579,17.1264,0.2098,1.24,1.71,15694243.0,,,33.1425,1.8,4.3056,47.8388,1717936000.0,,,,,,,
1567526400000,743919,17.1264,17.2359,16.9471,17.2359,0.1096,0.64,1.39,12780844.0,,,33.3545,1.8115,4.3331,48.1448,1728922800.0,,,,,,,
1567612800000,1189700,17.2259,17.3952,17.0069,17.0467,-0.1896,-1.1,2.22,20566934.0,,,32.9884,1.7916,4.2856,47.6163,1709945600.0,,,,,,,
1567699200000,650750,17.0268,17.1463,16.8874,16.9471,-0.0989,-0.58,1.21,11104904.0,,,32.7957,1.7812,4.2605,47.3382,1699957600.0,,,,,,,
1567958400000,784835,17.0766,17.1463,16.9471,17.1164,0.1695,1.0,1.46,13443582.0,,,33.1233,1.799,4.3031,47.811,1716937200.0,,,,,,,
1568044800000,1099600,17.0865,17.3852,17.0467,17.3155,0.1986,1.16,2.05,19020811.0,,,33.5086,1.8199,4.3531,48.3673,1736913200.0,,,,,,,
1568131200000,749651,17.4052,17.4948,17.1164,17.206,-0.1091,-0.63,1.4,12987446.0,,,33.2967,1.8084,4.3256,48.0613,1725926400.0,,,,,,,
1568217600000,639000,17.2658,17.2757,17.0865,17.216,0.0103,0.06,1.19,11032279.0,,,33.3159,1.8094,4.3281,48.0891,1726925200.0,,,,,,,
1568563200000,637851,17.2658,17.435,17.1264,17.1761,-0.0396,-0.23,1.19,11067554.0,,,33.2389,1.8052,4.3181,47.9779,1722930000.0,,,,,,,
1568649600000,853100,17.1264,17.1861,16.7082,16.7181,-0.4586,-2.67,1.59,14460504.0,,,32.3525,1.7571,4.2029,46.6985,1676985200.0,,,,,,,
1568736000000,512300,16.7679,16.8376,16.6683,16.7281,0.01,0.06,0.96,8615241.0,,,32.3718,1.7581,4.2055,46.7263,1677984000.0,,,,,,,
1568822400000,568800,16.8177,16.977,16.6683,16.967,0.2392,1.43,1.06,9638247.0,,,32.8342,1.7833,4.2655,47.3938,1701955200.0,,,,,,,
1568908800000,781912,16.977,17.1961,16.9571,17.1861,0.2189,1.29,1.46,13435841.0,,,33.2581,1.8063,4.3206,48.0057,1723928800.0,,,,,,,
1569168000000,502600,17.1463,17.2259,16.8973,17.0268,-0.1598,-0.93,0.94,8579360.0,,,32.9498,1.7895,4.2806,47.5607,1707948000.0,,,,,,,
1569254400000,658100,17.0666,17.3255,17.0168,17.1861,0.16,0.94,1.23,11376939.0,,,33.2581,1.8063,4.3206,48.0057,1723928800.0,,,,,,,
1569340800000,593700,17.1861,17.206,16.8077,16.8476,-0.3386,-1.97,1.11,10119243.0,,,32.603,1.7707,4.2355,47.06,1689969600.0,,,,,,,
1569427200000,785009,16.8276,16.9372,16.27,16.3298,-0.5172,-3.07,1.46,13019268.0,,,31.601,1.7163,4.1053,45.6138,1638032000.0,,,,,,,
1569513600000,291900,16.3397,16.6285,16.29,16.5289,0.1992,1.22,0.54,4843871.0,,,31.9864,1.7372,4.1554,46.17,1658008000.0,,,,,,,
1569772800000,443200,16.5787,16.8276,16.4692,16.5887,0.0595,0.36,0.83,7422415.0,,,30.1897,1.7199,3.8478,16.0215,1664000800.0,,,,,,,
1570464000000,438500,16.5887,16.8874,16.5787,16.7082,0.1194,0.72,0.82,7388058.0,,,30.4071,1.7323,3.8755,16.1369,1675986400.0,,,,,,,
1570550400000,412999,16.7082,16.8077,16.4791,16.6783,-0.0301,-0.18,0.77,6896112.0,,,30.3527,1.7292,3.8685,16.108,1672990000.0,,,,,,,
1570636800000,420606,16.6683,16.8575,16.6285,16.8276,0.1501,0.9,0.78,7080647.0,,,30.6246,1.7446,3.9032,16.2523,1687972000.0,,,,,,,
1570723200000,475200,16.8874,16.977,16.6982,16.8874,0.0606,0.36,0.89,8043768.0,,,30.7333,1.7508,3.917,16.31,1693964800.0,,,,,,,
1570982400000,726499,16.9173,17.206,16.8973,17.206,0.3192,1.89,1.35,12488920.0,,,31.3132,1.7839,3.9909,16.6177,1725926400.0,,,,,,,
1571068800000,440600,17.2658,17.2658,17.0865,17.206,0.0,0.0,0.82,7591926.0,,,31.3132,1.7839,3.9909,16.6177,1725926400.0,,,,,,,
1571155200000,381809,17.1562,17.3056,17.0965,17.1761,-0.0292,-0.17,0.71,6579146.0,,,31.2588,1.7808,3.984,16.5889,1722930000.0,,,,,,,
1571241600000,509028,17.2259,17.3753,17.0965,17.1761,0.0,0.0,0.95,8808671.0,,,31.2588,1.7808,3.984,16.5889,1722930000.0,,,,,,,
1571328000000,1068340,16.9073,16.9073,16.3895,16.3895,-0.7867,-4.58,1.99,17885216.0,,,29.8272,1.6992,3.8016,15.8292,1644024800.0,,,,,,,
1571587200000,442200,16.3198,16.519,16.2601,16.4393,0.0492,0.3,0.82,7277772.0,,,29.9178,1.7044,3.8131,15.8772,1649018800.0,,,,,,,
1571673600000,490709,16.3397,16.5887,16.3397,16.5488,0.1101,0.67,0.91,8137025.0,,,30.1172,1.7157,3.8385,15.983,1660005600.0,,,,,,,
