timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1528100,5.25,5.28,5.12,5.17,-0.05,-0.96,0.19,7953789.0,,,18.6978,1.8217,3.143,30.9547,4320695013.58,,,,,,,
1565539200000,1136902,5.13,5.24,5.13,5.23,0.06,1.16,0.14,5914030.0,,,18.9148,1.8429,3.1795,31.314,4370838476.02,,,,,,,
1565625600000,1258300,5.2,5.27,5.19,5.27,0.04,0.76,0.15,6581739.0,,,19.0595,1.857,3.2038,31.5535,4404267450.98,,,,,,,
1565712000000,1937900,5.27,5.37,5.24,5.24,-0.03,-0.57,0.24,10250164.0,,,18.951,1.8464,3.1856,31.3738,4379195719.76,,,,,,,
1565798400000,2556504,5.18,5.34,5.1,5.32,0.08,1.53,0.31,13404925.0,,,19.2403,1.8746,3.2342,31.8528,4446053669.68,,,,,,,
1565884800000,2026704,5.3,5.36,5.29,5.31,-0.01,-0.19,0.25,10786018.0,,,19.2042,1.8711,3.2281,31.793,4437696425.94,,,,,,,
1566144000000,2517220,5.35,5.42,5.31,5.42,0.11,2.07,0.31,13546015.0,,,19.602,1.9098,3.295,32.4516,4529626107.08,,,,,,,
1566230400000,1532716,5.4,5.46,5.39,5.41,-0.01,-0.18,0.19,8312066.0,,,19.5658,1.9063,3.2889,32.3917,4521268863.34,,,,,,,
1566316800000,1495904,5.45,5.45,5.38,5.4,-0.01,-0.18,0.18,8082035.0,,,19.5296,1.9028,3.2829,32.3318,4512911619.6,,,,,,,
1566403200000,1994800,5.4,5.42,5.33,5.38,-0.02,-0.37,0.24,10715956.0,,,19.4573,1.8957,3.2707,32.2121,4496197132.12,,,,,,,
1566489600000,13531531,5.35,5.92,5.34,5.77,0.39,7.25,1.65,77108725.0,,,20.8678,2.0332,3.5078,34.5471,4822129637.98,,,,,,,
1566748800000,13423660,5.54,5.94,5.45,5.68,-0.09,-1.56,1.63,76041982.0,,,20.5423,2.0015,3.4531,34.0083,4746914444.32,,,,,,,
1566835200000,9360339,5.66,5.86,5.64,5.76,0.08,1.41,1.14,53958278.0,,,20.8316,2.0296,3.5017,34.4873,4813772394.24,,,,,,,
1566921600000,5967170,5.71,5.73,5.55,5.65,-0.11,-1.91,0.73,33588379.0,,,20.4338,1.9909,3.4348,33.8287,4721842713.1,,,,,,,
1567008000000,3369020,5.64,5.67,5.59,5.67,0.02,0.35,0.41,18986020.0,,,20.5061,1.9979,3.447,33.9484,4738557200.58,,,,,,,
1567094400000,4716870,5.67,5.69,5.54,5.6,-0.07,-1.23,0.57,26406095.0,,,20.253,1.9733,3.4044,33.5293,4680056494.4,,,,,,,
1567353600000,3597654,5.56,5.7,5.56,5.66,0.06,1.07,0.44,20275659.0,,,20.47,1.9944,3.4409,33.8885,4730199956.84,,,,,,,
1567440000000,5057532,5.66,5.72,5.59,5.71,0.05,0.88,0.62,28547362.0,,,20.6508,2.012,3.4713,34.1879,4771986175.54,,,,,,,
1567526400000,4317904,5.65,5.74,5.65,5.71,0.0,0.0,0.53,24557770.0,,,20.6508,2.012,3.4713,34.1879,4771986175.54,,,,,,,
1567612800000,4350000,5.74,5.79,5.68,5.7,-0.01,-0.18,0.53,24975540.0,,,20.6146,2.0085,3.4652,34.128,4763628931.8,,,,,,,
1567699200000,2307454,5.7,5.73,5.67,5.7,0.0,0.0,0.28,13147766.0,,,20.6146,2.0085,3.4652,34.128,4763628931.8,,,,,,,
1567958400000,3313700,5.76,5.76,5.69,5.74,0.04,0.7,0.4,18967262.0,,,20.7593,2.0226,3.4896,34.3675,4797057906.76,,,,,,,
1568044800000,4522700,5.74,5.85,5.7,5.82,0.08,1.39,0.55,26164337.0,,,21.0486,2.0508,3.5382,34.8465,4863915856.68,,,,,,,
1568131200000,6637183,5.82,5.85,5.64,5.69,-0.13,-2.23,0.81,37949756.0,,,20.5785,2.005,3.4592,34.0682,4755271688.06,,,,,,,
1568217600000,2496408,5.72,5.72,5.63,5.69,0.0,0.0,0.3,14150794.0,,,20.5785,2.005,3.4592,34.0682,4755271688.06,,,,,,,
1568563200000,2589574,5.7,5.75,5.67,5.72,0.03,0.53,0.32,14779127.0,,,20.687,2.0155,3.4774,34.2478,4780343419.28,,,,,,,
1568649600000,4203449,5.71,5.71,5.53,5.55,-0.17,-2.97,0.51,23504905.0,,,20.0721,1.9556,3.374,33.2299,4638270275.7,,,,,,,
1568736000000,1655500,5.55,5.59,5.54,5.57,0.02,0.36,0.2,9207952.0,,,20.1445,1.9627,3.3862,33.3497,4654984763.18,,,,,,,
1568822400000,2059254,5.56,5.62,5.52,5.62,0.05,0.9,0.25,11468844.0,,,20.3253,1.9803,3.4166,33.649,4696770981.88,,,,,,,
1568908800000,1760700,5.63,5.65,5.6,5.64,0.02,0.36,0.21,9915845.0,,,20.3976,1.9874,3.4288,33.7688,4713485469.36,,,,,,,
1569168000000,2075595,5.62,5.65,5.52,5.65,0.01,0.18,0.25,11556000.0,,,20.4338,1.9909,3.4348,33.8287,4721842713.1,,,,,,,
1569254400000,2526418,5.61,5.7,5.59,5.64,-0.01,-0.18,0.31,14286640.0,,,20.3976,1.9874,3.4288,33.7688,4713485469.36,,,,,,,
