timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1560182400000,41059652,2.9485,3.0676,2.9385,3.0577,0.119,4.05,2.03,124744138.0,,,58.376,2.1968,9.8579,-26.7024,9667011658.92,,,,,,,
1560268800000,51040113,3.0875,3.157,3.018,3.0279,-0.0297,-0.97,2.55,158591285.0,,,57.8074,2.1754,9.7619,-26.4423,9572852454.45,,,,,,,
1560355200000,37498250,3.0478,3.1073,2.9981,3.0875,0.0596,1.97,1.86,115612730.0,,,58.9446,2.2182,9.9539,-26.9625,9761170863.39,,,,,,,
1560441600000,45086255,3.0775,3.157,2.9981,3.0279,-0.0596,-1.93,2.24,139706942.0,,,57.8074,2.1754,9.7619,-26.4423,9572852454.45,,,,,,,
1560700800000,35709394,2.9882,3.0577,2.9286,3.018,-0.01,-0.33,1.76,108006710.0,,,57.6179,2.1683,9.7299,-26.3557,9541466052.96,,,,,,,
1560787200000,34568014,3.0279,3.0775,2.9683,3.0577,0.0398,1.32,1.71,105620595.0,,,58.376,2.1968,9.8579,-26.7024,9667011658.92,,,,,,,
1560873600000,42612028,3.1371,3.157,3.0378,3.0478,-0.0098,-0.32,2.1,132507352.0,,,58.1865,2.1897,9.8259,-26.6157,9635625257.43,,,,,,,
1560960000000,69375760,3.0378,3.2562,3.008,3.147,0.0994,3.26,3.45,218516512.0,,,60.0818,2.261,10.146,-27.4827,9949489272.33,,,,,,,
1561046400000,92912642,3.1867,3.3356,3.147,3.3158,0.1687,5.36,4.66,303959767.0,,,63.3039,2.3823,10.6901,-28.9565,10483058097.66,,,,,,,
1561305600000,46091694,3.3059,3.3257,3.2165,3.2562,-0.0597,-1.8,2.31,151297523.0,,,62.1667,2.3395,10.498,-28.4364,10294739688.72,,,,,,,
1561392000000,34407985,3.2463,3.2562,3.0974,3.1768,-0.0795,-2.44,1.72,110001156.0,,,60.6504,2.2824,10.242,-27.7428,10043648476.8,,,,,,,
1561478400000,62052802,3.1669,3.3555,3.157,3.3257,0.149,4.69,3.11,203982186.0,,,63.4934,2.3894,10.7221,-29.0432,10514444499.15,,,,,,,
1561564800000,54290358,3.3356,3.3654,3.2264,3.2463,-0.0795,-2.39,2.72,180114464.0,,,61.9772,2.3323,10.466,-28.3497,10263353287.23,,,,,,,
1561651200000,31912886,3.1967,3.2264,3.1172,3.157,-0.0893,-2.75,1.6,101858615.0,,,60.2714,2.2681,10.178,-27.5694,9980875673.82,,,,,,,
1561910400000,38945520,3.2264,3.3059,3.2066,3.2562,0.0991,3.14,1.91,127568815.0,,,69.3915,2.3566,10.8516,-83.6414,10294739688.72,,,,,,,
1561996800000,25890641,3.2562,3.286,3.1867,3.2264,-0.0296,-0.91,1.3,84349727.0,,,68.7568,2.3351,10.7524,-82.8764,10200580484.25,,,,,,,
1562083200000,22595494,3.1967,3.2264,3.147,3.1768,-0.0497,-1.54,1.11,72220665.0,,,67.699,2.2992,10.587,-81.6014,10043648476.8,,,,,,,
1562169600000,71427873,3.1967,3.3456,3.1867,3.286,0.1093,3.44,3.58,236344155.0,,,70.0262,2.3782,10.9509,-84.4065,10388898893.19,,,,,,,
1562256000000,56719917,3.2959,3.2959,3.1669,3.2264,-0.0595,-1.81,2.81,184082272.0,,,68.7568,2.3351,10.7524,-82.8764,10200580484.25,,,,,,,
1562515200000,42994792,3.2264,3.2264,3.0478,3.0577,-0.1687,-5.23,2.16,134491732.0,,,65.1603,2.2129,10.1899,-78.5414,9667011658.92,,,,,,,
1562601600000,19424672,3.0577,3.0775,3.018,3.0676,0.0098,0.32,0.96,59757140.0,,,65.3719,2.2201,10.223,-78.7964,9698398060.41,,,,,,,
1562688000000,22290646,3.0676,3.0676,2.9683,2.9981,-0.0696,-2.27,1.1,67775247.0,,,63.891,2.1698,9.9914,-77.0113,9478693249.98,,,,,,,
1562774400000,23051468,3.01,3.04,2.93,2.95,-0.05,-1.67,1.16,68801783.0,,,62.41,2.1533,9.7599,-75.2263,9258988439.55,,,,,,,
1562860800000,19722536,2.94,2.98,2.93,2.95,0.0,0.0,0.97,58245840.0,,,62.41,2.1533,9.7599,-75.2263,9258988439.55,,,,,,,
1563120000000,25793656,2.95,3.03,2.88,2.99,0.04,1.36,1.29,76252321.0,,,63.2563,2.1825,9.8922,-76.2463,9384534045.51,,,,,,,
1563206400000,19888506,3.02,3.02,2.97,3.0,0.01,0.33,1.0,59495635.0,,,63.4678,2.1898,9.9253,-76.5013,9415920447.0,,,,,,,
1563292800000,47791292,2.99,3.18,2.97,3.1,0.1,3.33,2.4,147285018.0,,,65.5834,2.2628,10.2561,-79.0514,9729784461.9,,,,,,,
1563379200000,26971383,3.05,3.06,2.98,2.99,-0.11,-3.55,1.33,81374866.0,,,63.2563,2.1825,9.8922,-76.2463,9384534045.51,,,,,,,
1563465600000,13499322,2.99,3.04,2.98,3.01,0.02,0.67,0.68,40613631.0,,,63.6794,2.1971,9.9584,-76.7563,9447306848.49,,,,,,,
1563724800000,20087132,3.01,3.02,2.86,2.9,-0.11,-3.65,1.01,58711859.0,,,61.3523,2.1168,9.5944,-73.9513,9102056432.1,,,,,,,
1563811200000,14313224,2.88,2.94,2.88,2.92,0.02,0.69,0.72,41596629.0,,,61.7754,2.1314,9.6606,-74.4613,9164829235.08,,,,,,,
1563897600000,14966736,2.92,2.96,2.92,2.93,0.01,0.34,0.75,44010336.0,,,61.9869,2.1387,9.6937,-74.7163,9196215636.57,,,,,,,
1563984000000,13943649,2.94,2.95,2.89,2.92,-0.01,-0.34,0.7,40654938.0,,,61.7754,2.1314,9.6606,-74.4613,9164829235.08,,,,,,,
