timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,4515580,4.15,4.2,4.1,4.13,0.0,0.0,1.17,18734429.0,,,-3.1833,2.1955,1.1452,12.7757,2253424770.03,,,,,,,
1565539200000,4122540,4.11,4.2,4.11,4.18,0.05,1.21,1.07,17124994.0,,,-3.2219,2.2221,1.1591,12.9303,2280705941.58,,,,,,,
1565625600000,5562760,4.0,4.13,4.0,4.07,-0.11,-2.63,1.44,22663576.0,,,-3.1371,2.1636,1.1286,12.5901,2220687364.17,,,,,,,
1565712000000,5268400,4.12,4.15,4.04,4.05,-0.02,-0.49,1.37,21594782.0,,,-3.1217,2.153,1.123,12.5282,2209774895.55,,,,,,,
1565798400000,7287100,3.95,4.07,3.91,4.05,0.0,0.0,1.89,28899592.0,,,-3.1217,2.153,1.123,12.5282,2209774895.55,,,,,,,
1565884800000,4765100,4.02,4.07,4.01,4.02,-0.03,-0.74,1.24,19277242.0,,,-3.0986,2.137,1.1147,12.4354,2193406192.62,,,,,,,
1566144000000,8213100,4.05,4.18,4.05,4.17,0.15,3.73,2.13,33924609.0,,,-3.2142,2.2168,1.1563,12.8994,2275249707.27,,,,,,,
1566230400000,6594120,4.17,4.23,4.13,4.16,-0.01,-0.24,1.71,27522488.0,,,-3.2065,2.2114,1.1535,12.8685,2269793472.96,,,,,,,
1566316800000,4558480,4.16,4.2,4.12,4.15,-0.01,-0.24,1.18,18920366.0,,,-3.1988,2.2061,1.1508,12.8375,2264337238.65,,,,,,,
1566403200000,8390900,4.16,4.25,4.13,4.21,0.06,1.45,2.17,35184338.0,,,-3.245,2.238,1.1674,13.0231,2297074644.51,,,,,,,
1566489600000,8551400,4.22,4.34,4.16,4.17,-0.04,-0.95,2.22,36147626.0,,,-3.2142,2.2168,1.1563,12.8994,2275249707.27,,,,,,,
1566748800000,7303440,4.05,4.12,4.02,4.07,-0.1,-2.4,1.89,29779566.0,,,-3.1371,2.1636,1.1286,12.5901,2220687364.17,,,,,,,
1566835200000,6857140,4.1,4.19,4.09,4.18,0.11,2.7,1.78,28472415.0,,,-3.2219,2.2221,1.1591,12.9303,2280705941.58,,,,,,,
1566921600000,7688320,4.17,4.25,4.16,4.2,0.02,0.48,1.99,32373230.0,,,-3.2373,2.2327,1.1646,12.9922,2291618410.2,,,,,,,
1567008000000,8553320,4.21,4.29,4.19,4.24,0.04,0.95,2.22,36377049.0,,,-3.2681,2.254,1.1757,13.1159,2313443347.44,,,,,,,
1567094400000,10398800,4.26,4.27,4.03,4.08,-0.16,-3.77,2.7,43188711.0,,,-3.1448,2.1689,1.1313,12.621,2226143598.48,,,,,,,
1567353600000,8254960,4.07,4.21,4.07,4.21,0.13,3.19,2.14,34389249.0,,,-3.245,2.238,1.1674,13.0231,2297074644.51,,,,,,,
1567440000000,8898061,4.23,4.27,4.17,4.22,0.01,0.24,2.31,37447841.0,,,-3.2527,2.2433,1.1702,13.0541,2302530878.82,,,,,,,
1567526400000,8113562,4.23,4.26,4.19,4.25,0.03,0.71,2.1,34299619.0,,,-3.2758,2.2593,1.1785,13.1469,2318899581.75,,,,,,,
1567612800000,12605300,4.29,4.34,4.25,4.27,0.02,0.47,3.27,54086491.0,,,-3.2912,2.2699,1.184,13.2087,2329812050.37,,,,,,,
1567699200000,9630876,4.29,4.34,4.26,4.31,0.04,0.94,2.5,41396425.0,,,-3.3221,2.2912,1.1951,13.3325,2351636987.61,,,,,,,
1567958400000,18697803,4.35,4.47,4.31,4.43,0.12,2.78,4.85,81917870.0,,,-3.4146,2.355,1.2284,13.7037,2417111799.33,,,,,,,
1568044800000,15570700,4.4,4.46,4.35,4.43,0.0,0.0,4.04,68501205.0,,,-3.4146,2.355,1.2284,13.7037,2417111799.33,,,,,,,
1568131200000,18605280,4.46,4.51,4.39,4.47,0.04,0.9,4.82,82786427.0,,,-3.4454,2.3762,1.2395,13.8274,2438936736.57,,,,,,,
1568217600000,26859862,4.45,4.65,4.43,4.52,0.05,1.12,6.96,121417861.0,,,-3.4839,2.4028,1.2533,13.9821,2466217908.12,,,,,,,
1568563200000,27906302,4.52,4.72,4.47,4.56,0.04,0.88,7.23,128339865.0,,,-3.5148,2.4241,1.2644,14.1058,2488042845.36,,,,,,,
1568649600000,62269358,4.52,5.02,4.42,4.7,0.14,3.07,16.14,297517775.0,,,-3.6227,2.4985,1.3033,14.5389,2564430125.7,,,,,,,
1568736000000,55401085,4.65,5.17,4.56,5.17,0.47,10.0,14.36,279013010.0,,,-3.985,2.7484,1.4336,15.9928,2820873138.27,,,,,,,
1568822400000,61122267,5.07,5.07,4.85,4.92,-0.25,-4.84,15.84,302494579.0,,,-3.7923,2.6155,1.3643,15.2194,2684467280.52,,,,,,,
1568908800000,33028058,4.82,4.98,4.75,4.77,-0.15,-3.05,8.56,159358569.0,,,-3.6766,2.5357,1.3227,14.7554,2602623765.87,,,,,,,
1569168000000,33440883,4.74,5.05,4.7,4.86,0.09,1.89,8.67,163061392.0,,,-3.746,2.5836,1.3476,15.0338,2651729874.66,,,,,,,
1569254400000,75210045,4.77,5.35,4.73,5.13,0.27,5.56,19.49,386035997.0,,,-3.9541,2.7271,1.4225,15.8691,2799048201.03,,,,,,,
1569340800000,46777734,4.97,5.06,4.85,5.0,-0.13,-2.53,12.13,231663981.0,,,-3.8539,2.658,1.3864,15.4669,2728117155.0,,,,,,,
1569427200000,50305858,5.01,5.05,4.5,4.5,-0.5,-10.0,13.04,234764802.0,,,-3.4685,2.3922,1.2478,13.9202,2455305439.5,,,,,,,
1569513600000,23135185,4.4,4.54,4.35,4.39,-0.11,-2.44,6.0,102636172.0,,,-3.3837,2.3337,1.2173,13.58,2395286862.09,,,,,,,
1569772800000,17901730,4.36,4.41,4.19,4.23,-0.16,-3.64,4.64,76772547.0,,,-3.2187,2.2241,1.21,9.4005,2307987113.13,,,,,,,
1570464000000,10069107,4.23,4.32,4.2,4.22,-0.01,-0.24,2.61,42861464.0,,,-3.2111,2.2188,1.2071,9.3782,2302530878.82,,,,,,,
1570550400000,10995720,4.22,4.25,4.14,4.25,0.03,0.71,2.85,46103329.0,,,-3.2339,2.2346,1.2157,9.4449,2318899581.75,,,,,,,
1570636800000,18465040,4.25,4.44,4.23,4.39,0.14,3.29,4.79,80365733.0,,,-3.3405,2.3082,1.2557,9.756,2395286862.09,,,,,,,
1570723200000,57574961,4.55,4.83,4.46,4.63,0.24,5.47,14.92,271856316.0,,,-3.5231,2.4344,1.3244,10.2894,2526236485.53,,,,,,,
1570982400000,38639266,4.62,4.7,4.51,4.63,0.0,0.0,10.02,178711693.0,,,-3.5231,2.4344,1.3244,10.2894,2526236485.53,,,,,,,
1571068800000,22179376,4.56,4.58,4.45,4.53,-0.1,-2.16,5.75,100033677.0,,,-3.447,2.3818,1.2958,10.0672,2471674142.43,,,,,,,
1571155200000,13282690,4.55,4.56,4.36,4.38,-0.15,-3.31,3.44,59116178.0,,,-3.3329,2.3029,1.2529,9.7338,2389830627.78,,,,,,,
1571241600000,13068700,4.39,4.51,4.38,4.45,0.07,1.6,3.39,58012601.0,,,-3.3861,2.3398,1.2729,9.8894,2428024267.95,,,,,,,
1571328000000,13972960,4.42,4.45,4.28,4.29,-0.16,-3.6,3.62,60624992.0,,,-3.2644,2.2556,1.2271,9.5338,2340724518.99,,,,,,,
1571587200000,10962780,4.32,4.35,4.22,4.35,0.06,1.4,2.84,47149852.0,,,-3.31,2.2872,1.2443,9.6671,2373461924.85,,,,,,,
1571673600000,14972800,4.34,4.48,4.31,4.47,0.12,2.76,3.88,65998339.0,,,-3.4013,2.3503,1.2786,9.9338,2438936736.57,,,,,,,
1571760000000,33360020,4.47,4.79,4.36,4.61,0.14,3.13,8.65,152709334.0,,,-3.5079,2.4239,1.3186,10.2449,2515324016.91,,,,,,,
1571846400000,25204192,4.56,4.7,4.5,4.59,-0.02,-0.43,6.53,116047141.0,,,-3.4927,2.4134,1.3129,10.2005,2504411548.29,,,,,,,
1571932800000,26382340,4.57,4.79,4.53,4.65,0.06,1.31,6.84,122999556.0,,,-3.5383,2.4449,1.3301,10.3338,2537148954.15,,,,,,,
1572192000000,8268142,5.12,5.12,5.12,5.12,0.47,10.11,2.14,42332887.0,,,-3.8959,2.692,1.4645,11.3783,2793591966.72,,,,,,,
1572278400000,76510526,5.63,5.63,5.11,5.11,-0.01,-0.2,19.83,422190191.0,,,-3.8883,2.6868,1.4617,11.3561,2788135732.41,,,,,,,
1572364800000,73871158,4.83,4.94,4.6,4.63,-0.48,-9.39,19.15,351218672.0,,,-3.5231,2.4344,1.3244,10.2894,2526236485.53,,,,,,,
1572451200000,34087375,4.59,4.68,4.4,4.46,-0.17,-3.67,8.84,154301312.0,,,-3.3937,2.345,1.2757,9.9116,2433480502.26,,,,,,,
1572537600000,22866960,4.44,4.61,4.42,4.58,0.12,2.69,5.93,103522030.0,,,-3.485,2.4081,1.3101,10.1783,2498955313.98,,,,,,,
1572796800000,24542440,4.57,4.7,4.53,4.56,-0.02,-0.44,6.36,113478777.0,,,-3.4698,2.3976,1.3043,10.1338,2488042845.36,,,,,,,
1572883200000,22619702,4.56,4.66,4.5,4.6,0.04,0.88,5.86,103683679.0,,,-3.5003,2.4186,1.3158,10.2227,2509867782.6,,,,,,,
1572969600000,19246540,4.59,4.59,4.43,4.49,-0.11,-2.39,4.99,86375379.0,,,-3.4166,2.3608,1.2843,9.9783,2449849205.19,,,,,,,
1573056000000,26255990,4.53,4.65,4.48,4.65,0.16,3.56,6.81,120629511.0,,,-3.5383,2.4449,1.3301,10.3338,2537148954.15,,,,,,,
1573142400000,19646680,4.64,4.67,4.52,4.55,-0.1,-2.15,5.09,90321478.0,,,-3.4622,2.3923,1.3015,10.1116,2482586611.05,,,,,,,
1573401600000,16867049,4.5,4.51,4.37,4.39,-0.16,-3.52,4.37,75009719.0,,,-3.3405,2.3082,1.2557,9.756,2395286862.09,,,,,,,
1573488000000,12732660,4.43,4.52,4.33,4.5,0.11,2.51,3.3,56407989.0,,,-3.4242,2.366,1.2872,10.0005,2455305439.5,,,,,,,
1573574400000,12565200,4.5,4.54,4.35,4.43,-0.07,-1.56,3.26,55597829.0,,,-3.3709,2.3292,1.2672,9.8449,2417111799.33,,,,,,,
1573660800000,13316230,4.41,4.53,4.36,4.44,0.01,0.23,3.45,59226244.0,,,-3.3785,2.3345,1.27,9.8671,2422568033.64,,,,,,,
1573747200000,14481781,4.39,4.43,4.26,4.27,-0.17,-3.83,3.75,62652317.0,,,-3.2492,2.2451,1.2214,9.4893,2329812050.37,,,,,,,
1574006400000,7629820,4.26,4.33,4.23,4.32,0.05,1.17,1.98,32750915.0,,,-3.2872,2.2714,1.2357,9.6005,2357093221.92,,,,,,,
1574092800000,14842400,4.32,4.46,4.28,4.45,0.13,3.01,3.85,65399301.0,,,-3.3861,2.3398,1.2729,9.8894,2428024267.95,,,,,,,
1574179200000,12753865,4.45,4.52,4.38,4.39,-0.06,-1.35,3.31,56582766.0,,,-3.3405,2.3082,1.2557,9.756,2395286862.09,,,,,,,
1574265600000,6895899,4.39,4.44,4.35,4.4,0.01,0.23,1.79,30315905.0,,,-3.3481,2.3135,1.2586,9.7782,2400743096.4,,,,,,,
1574352000000,11637088,4.4,4.45,4.26,4.3,-0.1,-2.27,3.02,50378459.0,,,-3.272,2.2609,1.23,9.556,2346180753.3,,,,,,,
1574611200000,8922121,4.3,4.31,4.18,4.22,-0.08,-1.86,2.31,37692891.0,,,-3.2111,2.2188,1.2071,9.3782,2302530878.82,,,,,,,
1574697600000,6990601,4.24,4.27,4.16,4.19,-0.03,-0.71,1.81,29433576.0,,,-3.1883,2.203,1.1985,9.3116,2286162175.89,,,,,,,
1574784000000,7785793,4.18,4.23,4.13,4.22,0.03,0.72,2.02,32608144.0,,,-3.2111,2.2188,1.2071,9.3782,2302530878.82,,,,,,,
