timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,26731666,8.2674,8.2967,8.0323,8.0519,-0.1862,-2.26,2.64,222562147.0,,,18.9334,2.1146,0.6966,18.8921,363521202592.26,,10525752,1.04,367100,,,
1565539200000,19009781,8.0617,8.1792,8.0127,8.1792,0.1272,1.58,1.88,157184078.0,,,19.2328,2.148,0.7076,19.1908,369270321368.05,,10616852,1.04,91100,,,
1565625600000,18234092,8.1106,8.1302,8.0029,8.0617,-0.1178,-1.44,1.8,150199974.0,,,18.9564,2.1172,0.6974,18.9151,363963442498.09,,10929254,1.08,312402,,,
1565712000000,20333005,8.1596,8.1988,8.1106,8.14,0.0782,0.97,2.01,169158539.0,,,19.1407,2.1377,0.7042,19.0989,367501361744.73,,11093104,1.09,163850,,,
1565798400000,18054764,8.0029,8.1302,7.9343,8.1204,-0.0195,-0.24,1.79,148080500.0,,,19.0946,2.1326,0.7025,19.053,366616881933.07,,10874194,1.07,-218910,,,
1565884800000,23788352,8.1596,8.2674,8.1106,8.1596,0.039,0.48,2.35,198886207.0,,,19.1868,2.1429,0.7059,19.1449,368385841556.39,,11183532,1.1,309338,,,
1566144000000,49462002,8.2086,8.4437,8.1694,8.4437,0.284,3.48,4.89,421063886.0,,,19.8547,2.2175,0.7305,19.8114,381210798825.46,34225789.0,12119815,1.19,936283,,,
1566230400000,28680885,8.3998,8.4884,8.321,8.3506,-0.0886,-1.05,2.84,244382691.0,,,19.5323,2.2023,0.7186,19.4896,375019440143.84,40322367.0,10335325,1.02,-1784490,,,
1566316800000,17146698,8.3112,8.3998,8.2816,8.3112,-0.0392,-0.47,1.7,145212903.0,,,19.4401,2.1919,0.7152,19.3977,373250480520.52,42277273.0,9787627,0.96,-547698,,,
1566403200000,15969282,8.3407,8.3506,8.2718,8.3309,0.0199,0.24,1.58,134720597.0,,,19.4862,2.1971,0.7169,19.4437,374134960332.18,44104398.0,10582587,1.04,794960,,,
1566489600000,36520228,8.3407,8.518,8.321,8.4392,0.1083,1.3,3.61,312850731.0,,,19.7396,2.2256,0.7263,19.6965,378999599296.31,61731118.0,11299037,1.11,716450,,,
