timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1564070400000,30756732,6.109,6.6564,6.0992,6.5586,0.4205,6.85,0.62,200736027.0,,,27.0275,1.6301,0.7544,1.2706,33151621697.15,,22954494,0.46,-1629575,,,
1564329600000,38622433,6.4707,6.9007,6.4413,6.8128,0.2538,3.87,0.78,263749980.0,,,28.0748,1.6932,0.7836,1.3198,34436185280.05,,22113850,0.44,-840644,,,
1564416000000,29611161,6.8128,7.0767,6.803,6.9203,0.1076,1.58,0.6,210340442.0,,,28.5178,1.7199,0.796,1.3406,34979654488.2,,22614713,0.45,500863,,,
1564502400000,17224510,6.9105,7.0082,6.8225,6.9691,0.0491,0.71,0.35,122281850.0,,,28.7192,1.7321,0.8016,1.3501,35226685946.45,,22860585,0.46,245872,,,
1564588800000,14068601,6.8812,6.9985,6.8714,6.9691,0.0,0.0,0.28,99956800.0,,,28.7192,1.7321,0.8016,1.3501,35226685946.45,,24089879,0.48,1229294,,,
1564675200000,21276275,6.8812,7.0864,6.8323,6.9691,0.0,0.0,0.43,151496734.0,,,28.7192,1.7321,0.8016,1.3501,35226685946.45,,25357538,0.51,1267659,,,
1564934400000,16828996,6.9887,7.0473,6.8714,6.9007,-0.0683,-0.98,0.34,119795099.0,,,28.4373,1.7151,0.7937,1.3368,34880841904.9,,26647315,0.53,1289777,,,
1565020800000,28212724,6.7737,7.106,6.7443,7.0278,0.127,1.84,0.57,199980233.0,,,28.9609,1.7467,0.8083,1.3615,35523123696.35,,27578105,0.55,930790,,,
1565107200000,15435992,7.0473,7.0962,6.9007,6.9301,-0.0977,-1.39,0.31,109923489.0,,,28.5581,1.7224,0.7971,1.3425,35029060779.85,615045805.0,26296539,0.53,-1281566,,,
1565193600000,16954615,6.9691,7.018,6.7834,6.9691,0.0388,0.56,0.34,120131045.0,,,28.7192,1.7321,0.8016,1.3501,35226685946.45,624830230.0,26802297,0.54,505758,,,
1565280000000,15912476,6.9691,7.0278,6.8714,6.8812,-0.0878,-1.26,0.32,113148807.0,,,28.3567,1.7102,0.7915,1.3331,34782029321.6,621588027.0,28923295,0.58,2120998,,,
1565539200000,9553486,6.9398,7.0082,6.8812,6.9789,0.0977,1.42,0.19,67867613.0,,,28.7595,1.7345,0.8027,1.352,35276092238.1,623901134.0,29070185,0.58,146890,,,
1566835200000,33555813,7.6729,7.6729,7.4383,7.6729,0.6937,9.94,0.68,263031690.0,,,31.6193,1.907,0.8825,1.4864,38783938945.25,577771246.0,26481232,0.53,-2588953,,,
1566921600000,64562552,7.7707,7.7707,7.1158,7.1549,-0.5179,-6.75,1.31,490446366.0,,,29.4845,1.7782,0.823,1.3861,36165405487.8,566108382.0,31379895,0.63,4898663,,,
1567008000000,28029299,7.0473,7.1549,6.9007,6.9007,-0.254,-3.55,0.57,201586606.0,,,28.4373,1.7151,0.7937,1.3368,34880841904.9,562497133.0,27938597,0.56,-3441298,,,
