timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,6839652,10.414,10.6089,10.2776,10.3166,-0.1465,-1.4,1.13,73219808.0,,,15.6826,1.891,1.8883,9.439,6549673219.71,,9294401,1.5,-120162,,,
1565539200000,8983014,10.3458,10.794,10.2874,10.794,0.4776,4.63,1.48,97982200.0,,,16.4082,1.9785,1.9756,9.8757,6852727032.52,,9488035,1.53,193634,,,
1565625600000,8610339,10.7258,11.0278,10.6381,10.8719,0.0777,0.72,1.42,95978906.0,,,16.5267,1.9928,1.9899,9.947,6902205206.04,,9524105,1.53,36070,,,
1565712000000,11136074,11.0375,11.2129,10.9888,11.1544,0.2827,2.6,1.83,126723894.0,,,16.9561,2.0446,2.0416,10.2055,7081563585.05,,8616879,1.39,-907226,,,
1565798400000,21159287,10.4238,10.8134,10.1802,10.7842,-0.3703,-3.32,3.48,228276251.0,,,16.3934,1.9767,1.9739,9.8668,6846542260.83,,7938775,1.28,-678104,,,
1565884800000,11857290,10.6673,10.9303,10.6576,10.716,-0.0679,-0.63,1.95,131306436.0,,,16.2897,1.9642,1.9614,9.8044,6803248859.0,,8053201,1.3,114426,,,
1566144000000,16194620,10.8134,11.1544,10.7842,11.0667,0.3504,3.27,2.66,183036378.0,,,16.8229,2.0285,2.0256,10.1253,7025900639.84,6519606.0,7843072,1.26,-210129,,,
1566230400000,12072725,11.1447,11.2713,11.0083,11.0375,-0.0288,-0.26,1.99,137807676.0,,,16.7784,2.0231,2.0202,10.0986,7007346324.77,17787026.0,6625152,1.07,-1217920,,,
1566316800000,12311573,11.0765,11.1836,10.8622,11.1544,0.117,1.06,2.03,139243730.0,,,16.9561,2.0446,2.0416,10.2055,7081563585.05,24736175.0,5704752,0.92,-920400,,,
1566403200000,12350165,11.0862,11.1057,10.8816,10.9791,-0.1751,-1.57,2.03,139212088.0,,,16.6896,2.0124,2.0095,10.0451,6970237694.63,42976669.0,4386988,0.7,-1317764,,,
1566489600000,10444357,10.9693,10.9985,10.716,10.716,-0.2635,-2.4,1.72,115963719.0,,,16.2897,1.9642,1.9614,9.8044,6803248859.0,45749777.0,4645166,0.75,258178,,,
1566748800000,8300874,10.4725,10.5991,10.4043,10.5699,-0.1457,-1.36,1.37,89554533.0,,,16.0676,1.9374,1.9346,9.6707,6710477283.65,51077215.0,4635456,0.74,-9710,,,
1566835200000,8037250,10.6186,10.9206,10.5991,10.7745,0.205,1.94,1.32,88898893.0,,,16.3786,1.9749,1.9721,9.8579,6840357489.14,54638187.0,4613996,0.74,-21460,,,
1566921600000,5579600,10.7745,10.8622,10.7063,10.7258,-0.0485,-0.45,0.92,61647884.0,,,16.3045,1.966,1.9632,9.8133,6809433630.69,53323524.0,3973256,0.64,-640740,,,
1567008000000,10242250,10.7355,10.7745,10.4725,10.5309,-0.1952,-1.82,1.69,111406542.0,,,16.0084,1.9303,1.9275,9.6351,6685738196.89,57256320.0,3773495,0.61,-199761,,,
1567094400000,9697071,10.6186,10.7745,10.2874,10.3653,-0.1653,-1.57,1.6,104639174.0,,,15.7566,1.8999,1.8972,9.4836,6580597078.16,57924322.0,3633708,0.58,-139787,,,
1567353600000,9868816,10.3069,10.7063,10.3069,10.6868,0.3213,3.1,1.62,106972465.0,,,16.2453,1.9589,1.956,9.7777,6784694543.93,56475770.0,3605882,0.58,-27826,,,
1567440000000,13973431,10.6576,10.9596,10.6381,10.9206,0.234,2.19,2.3,155583568.0,,,16.6007,2.0017,1.9988,9.9916,6933129064.49,60388532.0,4428491,0.71,822609,,,
1567526400000,11034772,10.8816,11.057,10.8427,10.9596,0.0393,0.36,1.82,124019088.0,,,16.66,2.0089,2.006,10.0273,6957868151.25,63289459.0,5011305,0.81,582814,,,
1567612800000,16031809,11.0278,11.2421,11.018,11.0375,0.0778,0.71,2.64,183210815.0,,,16.7784,2.0231,2.0202,10.0986,7007346324.77,65310369.0,6301256,1.01,1289951,,,
1567699200000,11002583,11.1252,11.2908,10.9791,11.1447,0.1071,0.97,1.81,125786945.0,,,16.9413,2.0428,2.0398,10.1966,7075378813.36,64811230.0,6104706,0.98,-196550,,,
1567958400000,25998046,11.2518,11.8656,11.1836,11.8071,0.662,5.94,4.28,308309878.0,,,17.9483,2.1642,2.1611,10.8027,7495943288.28,82021622.0,5610248,0.9,-494458,,,
1568044800000,17919343,11.6902,11.8266,11.4661,11.5928,-0.2149,-1.82,2.95,213691097.0,,,17.6225,2.1249,2.1218,10.6066,7359878311.1,85984333.0,5738069,0.92,127821,,,
1568131200000,17869360,11.6512,11.924,11.5441,11.6805,0.0881,0.76,2.94,214841037.0,,,17.7558,2.141,2.1379,10.6868,7415541256.31,92837487.0,4881134,0.78,-856935,,,
1568217600000,12743077,11.7389,11.8071,11.5051,11.7097,0.0292,0.25,2.1,152486365.0,,,17.8002,2.1463,2.1432,10.7136,7434095571.38,106411223.0,3792095,0.61,-1089039,,,
1568563200000,14382423,11.7487,11.9045,11.6512,11.8461,0.1358,1.16,2.37,174333165.0,,,18.0076,2.1713,2.1682,10.8383,7520682375.04,113874939.0,3947954,0.63,155859,,,
1568649600000,16037240,11.8071,11.9825,11.4467,11.6123,-0.2334,-1.97,2.64,192316930.0,,,17.6522,2.1285,2.1254,10.6244,7372247854.48,117408359.0,5401944,0.87,1453990,,,
1568736000000,11404042,11.6123,11.8169,11.4759,11.6902,0.0778,0.67,1.88,136149283.0,,,17.7706,2.1428,2.1397,10.6957,7421726028.0,123925931.0,4953876,0.8,-448068,,,
1568822400000,25128054,11.7779,12.1189,11.7389,12.0117,0.3215,2.75,4.13,308525004.0,,,18.2593,2.2017,2.1985,10.9899,7625823493.77,130218406.0,4771203,0.77,-182673,,,
1568908800000,15849611,11.8753,12.0117,11.8071,11.9435,-0.0685,-0.57,2.61,193690381.0,,,18.1557,2.1892,2.186,10.9275,7582530091.94,125982465.0,5011120,0.81,239917,,,
1569168000000,12073568,11.885,11.885,11.4954,11.6512,-0.2926,-2.45,1.99,144010481.0,,,17.7114,2.1356,2.1325,10.6601,7396986941.24,129577775.0,4720137,0.76,-290983,,,
1569254400000,12684719,11.6415,11.7876,11.5051,11.6707,0.0198,0.17,2.09,151614908.0,,,17.741,2.1392,2.1361,10.6779,7409356484.62,137360281.0,5390227,0.87,670090,,,
1569340800000,16286187,11.583,11.6415,11.0667,11.1447,-0.5264,-4.51,2.68,188794079.0,,,16.9413,2.0428,2.0398,10.1966,7075378813.36,141980281.0,5204317,0.84,-185910,,,
1569427200000,13652816,11.1447,11.2226,10.5699,10.6576,-0.487,-4.37,2.25,151849033.0,,,16.2009,1.9535,1.9507,9.7509,6766140228.86,147977416.0,5273747,0.85,69430,,,
1569513600000,9917026,10.6868,10.9109,10.6673,10.8329,0.1758,1.65,1.63,110219391.0,,,16.4674,1.9856,1.9828,9.9114,6877466119.28,146325296.0,5453035,0.88,179288,,,
1569772800000,6558243,10.8914,10.9693,10.7355,10.8427,0.0097,0.09,1.08,73104604.0,,,18.3556,1.9232,2.018,12.0609,6883650890.97,135318851.0,5155025,0.83,-298010,,,
1570464000000,5736142,10.794,10.8914,10.5796,10.716,-0.1269,-1.17,0.94,63459785.0,,,18.1412,1.9007,1.9944,11.92,6803248859.0,138188268.0,5100857,0.82,-54168,,,
1570550400000,5576199,10.6381,10.794,10.3945,10.7842,0.0686,0.64,0.92,60609125.0,,,18.2567,1.9128,2.0071,11.9958,6846542260.83,134122799.0,5235151,0.84,134294,,,
1570636800000,6258303,10.7842,10.9109,10.7355,10.8622,0.0776,0.72,1.03,69604832.0,,,18.3886,1.9266,2.0216,12.0825,6896020434.35,133701884.0,5005843,0.8,-229308,,,
1570723200000,11061325,10.8719,10.8816,10.5699,10.6771,-0.1846,-1.7,1.82,121161506.0,,,18.0753,1.8938,1.9872,11.8766,6778509772.24,144705534.0,5021721,0.81,15878,,,
1570982400000,26540401,10.7258,10.8329,10.5017,10.5602,-0.1164,-1.09,4.37,291085980.0,,,17.8774,1.8731,1.9654,11.7466,6704292511.96,172310096.0,5110550,0.82,88829,,,
