timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,7164072,3.4267,3.4755,3.3779,3.3877,-0.0391,-1.14,0.35,25145938.0,,,8.0727,1.0515,0.6518,5.7483,7125790219.5,305990168.3,38890732,1.89,-530716,,,
1565539200000,8256560,3.3877,3.4267,3.3682,3.417,0.0291,0.86,0.4,28761958.0,,,8.1425,1.0605,0.6575,5.798,7187396475.0,305422827.0,38134830,1.85,-755902,,,
1565625600000,9555510,3.3877,3.3974,3.3193,3.3291,-0.0878,-2.57,0.47,32930560.0,,,7.9331,1.0333,0.6406,5.6489,7002577708.5,307570388.9,37483764,1.82,-651066,,,
1565712000000,18628954,3.3779,3.4951,3.3486,3.456,0.1268,3.81,0.91,65804225.0,,,8.2355,1.0727,0.665,5.8643,7269538149.0,305541243.6,39701520,1.93,2217756,,,
1565798400000,11442851,3.3682,3.4365,3.3486,3.417,-0.0391,-1.13,0.56,39681300.0,,,8.1425,1.0605,0.6575,5.798,7187396475.0,306443041.0,39999320,1.94,297800,,,
1565884800000,9569557,3.3974,3.456,3.3974,3.4072,-0.0099,-0.29,0.47,33590972.0,,,8.1192,1.0575,0.6556,5.7815,7166861056.5,306044397.1,39833238,1.93,-166082,,,
1566144000000,10924877,3.4365,3.5536,3.4267,3.5439,0.1366,4.01,0.53,39128462.0,,,8.4449,1.0999,0.6819,6.0134,7454356915.5,306141608.7,40607691,1.97,774453,,,
1566230400000,8017770,3.5341,3.6025,3.5146,3.5439,0.0,0.0,0.39,29211458.0,,,8.4449,1.0999,0.6819,6.0134,7454356915.5,305186052.7,40236451,1.95,-371240,,,
1566316800000,7084336,3.5341,3.5439,3.4951,3.5244,-0.0195,-0.55,0.34,25519507.0,,,8.3984,1.0939,0.6781,5.9803,7413286078.5,305595153.9,40096494,1.95,-139957,,,
1566403200000,6613147,3.5439,3.5732,3.5048,3.5634,0.0391,1.11,0.32,23966834.0,,,8.4915,1.106,0.6857,6.0465,7495427752.5,305235681.5,39695124,1.93,-401370,,,
1566489600000,6343100,3.5634,3.5732,3.5146,3.5341,-0.0292,-0.82,0.31,22992862.0,,,8.4217,1.0969,0.68,5.9968,7433821497.0,303838225.8,39290074,1.91,-405050,,,
1566748800000,8984253,3.456,3.5341,3.4365,3.4951,-0.0389,-1.1,0.44,32038220.0,,,8.3286,1.0848,0.6725,5.9306,7351679823.0,303950296.2,39942874,1.94,652800,,,
1566835200000,12096935,3.5048,3.6513,3.5048,3.6122,0.1171,3.35,0.59,44530562.0,,,8.6078,1.1211,0.695,6.1294,7598104845.0,303624413.0,40460374,1.97,517500,,,
1566921600000,13748230,3.5732,3.6513,3.5634,3.5732,-0.039,-1.08,0.67,50510077.0,,,8.5147,1.109,0.6875,6.0631,7515963171.0,303638257.4,40937674,1.99,477300,,,
1567008000000,11271831,3.5927,3.6122,3.5634,3.5634,-0.0096,-0.27,0.55,41397245.0,,,8.4915,1.106,0.6857,6.0465,7495427752.5,302421630.5,41637212,2.02,699538,,,
1567094400000,9903050,3.5829,3.6025,3.4755,3.5146,-0.0488,-1.37,0.48,35840013.0,,,8.3751,1.0908,0.6763,5.9637,7392750660.0,302703239.0,41421212,2.01,-216000,,,
1567353600000,13285238,3.4853,3.6025,3.4853,3.5829,0.0682,1.94,0.65,48504471.0,,,8.538,1.1121,0.6894,6.0797,7536498589.5,301555510.3,42778982,2.08,1357770,,,
1567440000000,12078499,3.5829,3.622,3.5536,3.6025,0.0193,0.54,0.59,44370358.0,,,8.5845,1.1181,0.6932,6.1128,7577569426.5,299856150.1,42089356,2.04,-689626,,,
1567526400000,11159147,3.5927,3.6513,3.5829,3.6513,0.049,1.36,0.54,41362596.0,,,8.7008,1.1333,0.7026,6.1956,7680246519.0,296359653.6,42864529,2.08,775173,,,
1567612800000,16443700,3.6708,3.7391,3.6415,3.661,0.0099,0.27,0.8,62098201.0,,,8.7241,1.1363,0.7044,6.2122,7700781937.5,295269781.5,41829890,2.03,-1034639,,,
1567699200000,9826873,3.6806,3.7099,3.6513,3.6903,0.0293,0.8,0.48,37028188.0,,,8.7939,1.1454,0.7101,6.2619,7762388193.0,291089913.2,42508818,2.07,678928,,,
1567958400000,10489893,3.7099,3.7587,3.6903,3.7587,0.0683,1.85,0.51,40063278.0,,,8.9567,1.1666,0.7232,6.3778,7906136122.5,291453472.5,42840118,2.08,331300,,,
1568044800000,7592888,3.7587,3.7684,3.7196,3.7391,-0.0195,-0.52,0.37,29136477.0,,,8.9102,1.1605,0.7195,6.3447,7865065285.5,287797308.7,42725359,2.08,-114759,,,
1568131200000,11649439,3.7684,3.8172,3.7489,3.7782,0.0389,1.04,0.57,45055223.0,,,9.0033,1.1727,0.727,6.411,7947206959.5,285443805.3,42637430,2.07,-87929,,,
1568217600000,9387282,3.7782,3.7977,3.7489,3.7977,0.0196,0.52,0.46,36269953.0,,,9.0498,1.1787,0.7307,6.4441,7988277796.5,283788005.1,41180009,2.0,-1457421,,,
1568563200000,9811138,3.827,3.8661,3.8075,3.827,0.0292,0.77,0.48,38519768.0,,,9.1196,1.1878,0.7364,6.4938,8049884052.0,282777253.8,40712685,1.98,-467324,,,
1568649600000,10015155,3.8172,3.8172,3.7001,3.7099,-0.1171,-3.06,0.49,38367571.0,,,8.8404,1.1514,0.7138,6.295,7803459030.0,285000355.0,39807106,1.93,-905579,,,
1568736000000,9048119,3.7391,3.7684,3.7099,3.7489,0.039,1.05,0.44,34657256.0,,,8.9335,1.1636,0.7213,6.3613,7885600704.0,286979926.6,40192759,1.95,385653,,,
1568822400000,8774424,3.7782,3.7782,3.6806,3.7196,-0.0292,-0.78,0.43,33432832.0,,,8.8637,1.1545,0.7157,6.3116,7823994448.5,288156913.9,39617841,1.92,-574918,,,
1568908800000,9596368,3.7099,3.7684,3.7099,3.7099,-0.0097,-0.26,0.47,36705973.0,,,8.8404,1.1514,0.7138,6.295,7803459030.0,283500424.0,38828383,1.89,-789458,,,
1569168000000,13385500,3.7294,3.7391,3.622,3.6903,-0.0197,-0.53,0.65,50250737.0,,,8.7939,1.1454,0.7101,6.2619,7762388193.0,283462498.2,36983799,1.8,-1844584,,,
1569254400000,10503252,3.6708,3.7294,3.6415,3.6513,-0.0391,-1.06,0.51,39609203.0,,,8.7008,1.1333,0.7026,6.1956,7680246519.0,281538753.6,36840449,1.79,-143350,,,
1569340800000,9672434,3.6415,3.6415,3.5439,3.5439,-0.1073,-2.94,0.47,35498103.0,,,8.4449,1.0999,0.6819,6.0134,7454356915.5,286037589.7,35701525,1.73,-1138924,,,
1569427200000,9284728,3.5732,3.5829,3.5048,3.5341,-0.0099,-0.28,0.45,33599704.0,,,8.4217,1.0969,0.68,5.9968,7433821497.0,283867552.8,36003600,1.75,302075,,,
1569513600000,8908712,3.5439,3.5439,3.4853,3.5048,-0.0293,-0.83,0.43,32045893.0,,,8.3519,1.0878,0.6744,5.9471,7372215241.5,284923877.1,35537080,1.73,-466520,,,
1569772800000,6993007,3.5048,3.5146,3.4365,3.4365,-0.0683,-1.95,0.34,24904274.0,,,7.8214,1.0311,0.6718,6.5132,7228467312.0,284116781.8,35439971,1.72,-97109,,,
1570464000000,8119996,3.4365,3.5146,3.4365,3.4658,0.0292,0.85,0.4,29007150.0,,,7.888,1.0399,0.6775,6.5687,7290073567.5,284655477.5,34874426,1.69,-565545,,,
1570550400000,9485209,3.4755,3.4853,3.417,3.456,-0.0097,-0.28,0.46,33453225.0,,,7.8658,1.037,0.6756,6.5502,7269538149.0,286402081.6,33379721,1.62,-1494705,,,
1570636800000,8897951,3.4365,3.5048,3.4365,3.4755,0.0194,0.56,0.43,31652835.0,,,7.9103,1.0428,0.6794,6.5872,7310608986.0,287609669.4,31663448,1.54,-1716273,,,
1570723200000,8874975,3.4853,3.5048,3.4365,3.4951,0.0195,0.56,0.43,31631204.0,,,7.9547,1.0487,0.6833,6.6242,7351679823.0,286884894.2,31606049,1.53,-57399,,,
1570982400000,13938032,3.5244,3.6122,3.5146,3.5732,0.0779,2.23,0.68,50971785.0,,,8.1325,1.0721,0.6985,6.7722,7515963171.0,286111638.4,31557509,1.53,-48540,,,
1571068800000,19291714,3.6122,3.7099,3.5927,3.7001,0.1269,3.55,0.94,72415574.0,,,8.4213,1.1102,0.7233,7.0127,7782923611.5,285086167.1,30707286,1.49,-850223,,,
1571155200000,13364697,3.6806,3.7001,3.622,3.6415,-0.0585,-1.58,0.65,50072911.0,,,8.288,1.0926,0.7119,6.9017,7659711100.5,287545141.7,30188887,1.47,-518399,,,
