timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,337680,9.5476,9.5829,9.2024,9.4772,0.0,0.0,0.64,4535115.0,,,21.0273,1.7317,2.2483,21.3004,1769817483.35,,,,,,,
1565539200000,331126,9.4701,9.6181,9.294,9.5829,0.1061,1.12,0.63,4436670.0,,,21.2618,1.751,2.2734,21.538,1789555224.8,,,,,,,
1565625600000,350920,9.5476,9.5476,9.3574,9.4631,-0.1198,-1.25,0.67,4685247.0,,,20.9961,1.7291,2.245,21.2688,1767185784.49,,,,,,,
1565712000000,423300,9.5194,9.6604,9.456,9.4631,0.0,0.0,0.8,5747441.0,,,20.9961,1.7291,2.245,21.2688,1767185784.49,,,,,,,
1565798400000,309624,9.3081,9.4278,9.2517,9.4067,-0.0568,-0.6,0.59,4098854.0,,,20.871,1.7188,2.2316,21.1421,1756658989.05,,,,,,,
1565884800000,312943,9.3362,9.5829,9.3362,9.5829,0.1759,1.87,0.59,4225364.0,,,21.2618,1.751,2.2734,21.538,1789555224.8,,,,,,,
1566144000000,495879,9.6181,9.9281,9.5758,9.907,0.3239,3.38,0.94,6875622.0,,,21.981,1.8102,2.3503,22.2665,1850084298.58,,,,,,,
1566230400000,360000,9.9352,9.9352,9.7308,9.8577,-0.0495,-0.5,0.68,5040227.0,,,21.8716,1.8012,2.3386,22.1556,1840873352.57,,,,,,,
1566316800000,247923,9.7379,9.8647,9.7238,9.8506,-0.0069,-0.07,0.47,3453198.0,,,21.8559,1.7999,2.3369,22.1398,1839557503.14,,,,,,,
1566403200000,288276,9.8295,9.9211,9.8224,9.9211,0.0709,0.72,0.55,4039134.0,,,22.0123,1.8128,2.3536,22.2982,1852715997.44,,,,,,,
1566489600000,347664,9.9352,9.9352,9.6956,9.8154,-0.1062,-1.07,0.66,4849998.0,,,21.7778,1.7935,2.3285,22.0606,1832978255.99,,,,,,,
1566748800000,493272,9.8154,9.8154,9.5406,9.6181,-0.1973,-2.01,0.94,6724641.0,,,21.34,1.7574,2.2817,21.6172,1796134471.95,,,,,,,
1566835200000,577652,9.8295,9.8295,9.611,9.7238,0.1058,1.1,1.1,7998667.0,,,21.5745,1.7767,2.3068,21.8547,1815872213.4,,,,,,,
1566921600000,382280,9.7379,9.7802,9.5617,9.6674,-0.0564,-0.58,0.73,5235749.0,,,21.4494,1.7664,2.2934,21.728,1805345417.96,,,,,,,
1567008000000,393432,9.6604,9.7379,9.5476,9.597,-0.0706,-0.73,0.75,5363697.0,,,21.2931,1.7535,2.2767,21.5697,1792186923.66,,,,,,,
1567094400000,420584,9.597,9.6392,9.2517,9.4701,-0.1267,-1.32,0.8,5692396.0,,,21.0117,1.7304,2.2466,21.2846,1768501633.92,,,,,,,
1567353600000,552192,9.4772,9.8577,9.449,9.7661,0.2964,3.13,1.05,7584530.0,,,21.6683,1.7844,2.3168,21.9497,1823767309.98,,,,,,,
1567440000000,483808,9.7872,9.8506,9.7097,9.8224,0.0566,0.58,0.92,6717779.0,,,21.7934,1.7947,2.3302,22.0764,1834294105.42,,,,,,,
1567526400000,610312,9.8224,10.0056,9.752,9.9422,0.1198,1.22,1.16,8598735.0,,,22.0592,1.8166,2.3586,22.3457,1856663545.73,,,,,,,
1567612800000,755077,9.9352,10.0338,9.8647,9.9634,0.0209,0.21,1.43,10684513.0,,,22.1061,1.8205,2.3636,22.3932,1860611094.02,,,,,,,
1567699200000,628336,10.0056,10.0197,9.8859,9.9775,0.0139,0.14,1.19,8860644.0,,,22.1373,1.8231,2.367,22.4248,1863242792.88,,,,,,,
1567958400000,3148902,10.2804,10.9357,10.1536,10.4214,0.444,4.45,5.98,46543602.0,,,23.1223,1.9042,2.4723,23.4226,1946141306.97,,,,,,,
1568044800000,1602660,10.3086,10.4214,10.1818,10.3298,-0.0917,-0.88,3.04,23460653.0,,,22.919,1.8874,2.4506,23.2167,1929035264.38,,,,,,,
1568131200000,1475400,10.3227,10.5693,10.2311,10.4989,0.1694,1.64,2.8,21873026.0,,,23.2919,1.9181,2.4904,23.5944,1960416333.4,,,,,,,
1568217600000,1589414,10.4636,10.816,10.4636,10.7525,0.2541,2.42,3.02,24033809.0,,,23.8546,1.9645,2.5506,24.1644,2007782097.16,,,,,,,
