timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,5583915,7.1986,7.3149,6.9933,7.0891,-0.0478,-0.67,0.5,58246917.0,,,13.3906,1.0019,1.2914,25.8871,11631845254.96,749810961.68,,,,,,
1565539200000,4925499,7.0891,7.0959,6.8975,7.0686,-0.0206,-0.29,0.44,50291192.0,,,13.3518,0.999,1.2877,25.8122,11598162305.38,750188424.29,,,,,,
1565625600000,4671465,6.9933,7.0344,6.8975,6.9249,-0.1435,-2.03,0.42,47399308.0,,,13.0804,0.9787,1.2615,25.2874,11362381658.32,751687666.56,,,,,,
1565712000000,4818341,7.0275,7.1096,6.9796,7.0207,0.0956,1.38,0.43,49510992.0,,,13.2613,0.9922,1.279,25.6373,11519568756.36,746278707.38,,,,,,
1565798400000,3775277,6.8496,7.0207,6.8291,7.0207,0.0,0.0,0.34,38339910.0,,,13.2613,0.9922,1.279,25.6373,11519568756.36,747235809.38,,,,,,
1565884800000,4420831,7.048,7.0754,6.9386,7.0207,0.0,0.0,0.39,45316161.0,,,13.2613,0.9922,1.279,25.6373,11519568756.36,745905960.38,,,,,,
1566144000000,7351314,7.0617,7.1644,6.9659,7.1507,0.1299,1.85,0.65,76185791.0,,,13.5069,1.0106,1.3027,26.112,11732894103.7,749662049.85,,,,,,
1566230400000,6042001,7.1165,7.2396,7.1165,7.1849,0.0343,0.48,0.54,63514386.0,,,13.5715,1.0154,1.3089,26.237,11789032353.0,745492270.5,,,,,,
1566316800000,3510284,7.1438,7.1986,7.1096,7.1507,-0.0345,-0.48,0.31,36670673.0,,,13.5069,1.0106,1.3027,26.112,11732894103.7,742243863.85,,,,,,
1566403200000,4871420,7.1712,7.1849,7.0617,7.1712,0.0207,0.29,0.43,50768019.0,,,13.5457,1.0135,1.3064,26.187,11766577053.28,742917437.24,,,,,,
1566489600000,6663393,7.2191,7.3012,7.1438,7.1438,-0.0272,-0.38,0.59,70305025.0,,,13.494,1.0096,1.3014,26.087,11721666453.84,736874638.72,,,,,,
1566748800000,5729693,6.9933,7.048,6.9386,6.9659,-0.1779,-2.49,0.51,58490951.0,,,13.1579,0.9845,1.269,25.4374,11429747557.48,735198407.34,,,,,,
