timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,6874192,4.8528,4.9017,4.6864,4.7451,-0.0978,-2.02,1.06,33582931.0,,,34.5518,2.7023,2.104,5.3993,3867199331.95,,,,,,,
1565539200000,5690190,4.7549,4.843,4.706,4.843,0.0978,2.06,0.88,27757444.0,,,35.2642,2.758,2.1473,5.5106,3946935400.65,,,,,,,
1565625600000,7437603,4.7843,4.7941,4.6766,4.6962,-0.1467,-3.03,1.15,35938792.0,,,34.1956,2.6745,2.0823,5.3436,3827331297.6,,,,,,,
1565712000000,11063807,4.7843,4.8234,4.706,4.7158,0.0197,0.42,1.71,54023753.0,,,34.3381,2.6856,2.0909,5.3659,3843278511.34,,,,,,,
1565798400000,10950637,4.5984,4.7353,4.5299,4.7353,0.0193,0.41,1.69,52034706.0,,,34.4805,2.6967,2.0996,5.3881,3859225725.08,,,,,,,
1565884800000,19096020,4.7158,5.068,4.7158,4.7549,0.0194,0.41,2.94,94540634.0,,,34.623,2.7079,2.1083,5.4104,3875172938.82,,,,,,,
1566144000000,24614427,4.7941,5.2148,4.7745,5.0093,0.2544,5.35,3.8,124854883.0,,,36.4753,2.8528,2.2211,5.6998,4082486717.44,,,,,,,
1566230400000,46412367,5.0484,5.4985,4.9506,5.3811,0.3717,7.42,7.16,247703933.0,,,39.1824,3.0645,2.3859,6.1229,4385483778.5,,,,,,,
1566316800000,25751221,5.2148,5.3811,5.205,5.2343,-0.1469,-2.73,3.97,138496763.0,,,38.1138,2.9809,2.3209,5.9559,4265879675.45,,,,,,,
1566403200000,15722900,5.2245,5.4006,5.1756,5.2441,0.0099,0.19,2.42,84608048.0,,,38.1851,2.9865,2.3252,5.967,4273853282.32,,,,,,,
1566489600000,14888917,5.2343,5.2735,5.0876,5.1463,-0.0981,-1.87,2.3,78716463.0,,,37.4727,2.9308,2.2818,5.8557,4194117213.62,,,,,,,
1566748800000,12186952,5.0191,5.1169,4.9897,5.0778,-0.0684,-1.33,1.88,62998097.0,,,36.974,2.8918,2.2515,5.7778,4138301965.53,,,,,,,
