timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,16759217,10.5001,10.9646,10.3674,10.4669,0.0167,0.16,1.99,216238207.0,,,27.5764,2.6486,2.4309,110.1085,10631188960.0,,,,,,,
1565539200000,36786822,10.6909,11.512,10.5167,11.512,1.0446,9.98,4.37,499358676.0,,,30.3296,2.913,2.6736,121.102,11692623040.0,,,,,,,
1565625600000,32175075,11.4373,12.4077,11.3876,12.2916,0.7794,6.77,3.82,458165547.0,,,32.3837,3.1103,2.8547,129.3034,12484486560.0,,,,,,,
1565712000000,25389462,12.0096,12.5404,11.8769,12.1589,-0.1327,-1.08,3.01,373525288.0,,,32.034,3.0767,2.8238,127.9074,12349701280.0,,,,,,,
1565798400000,16342380,11.8686,12.3165,11.7774,12.2087,0.0499,0.41,1.94,237005879.0,,,32.1651,3.0893,2.8354,128.4309,12400245760.0,,,,,,,
1565884800000,34042830,12.1838,13.4279,11.993,13.4279,1.2196,9.99,4.04,532169643.0,,,35.3773,3.3978,3.1186,141.2565,13638585520.0,,,,,,,
1566144000000,48038483,13.4113,14.5642,13.1459,13.7099,0.282,2.1,5.7,800874658.0,,,36.1202,3.4692,3.1841,144.223,13925004240.0,,,,,,,
1566230400000,25300296,13.3532,13.6601,12.98,13.2537,-0.4566,-3.33,3.0,405104632.0,,,34.9184,3.3538,3.0781,139.4243,13461679840.0,,,,,,,
1566316800000,23535313,13.1044,13.1044,12.3828,12.8141,-0.44,-3.32,2.79,360359496.0,,,33.7603,3.2425,2.976,134.8001,13015203600.0,,,,,,,
1566403200000,35112232,12.781,13.5606,12.6151,13.1459,0.3319,2.59,4.17,555651277.0,,,34.6343,3.3265,3.0531,138.2901,13352166800.0,,,,,,,
1566489600000,19272973,12.6565,13.0049,12.4658,12.7063,-0.4391,-3.34,2.29,296585086.0,,,33.4762,3.2152,2.951,133.6658,12905690560.0,,,,,,,
1566748800000,12813030,12.6151,12.9385,12.3828,12.6317,-0.075,-0.59,1.52,195231879.0,,,33.2796,3.1964,2.9336,132.8806,12829873840.0,,,,,,,
1566835200000,19075762,12.698,13.2288,12.6317,12.9634,0.3322,2.63,2.26,299375044.0,,,34.1536,3.2803,3.0107,136.3706,13166837040.0,,,,,,,
1566921600000,24831385,12.9634,14.2573,12.922,14.2573,1.2938,9.98,2.95,408796487.0,,,37.5624,3.6077,3.3112,149.9815,14480993520.0,,,,,,,
1567008000000,27453503,14.4812,14.5144,13.2537,13.8592,-0.3978,-2.79,3.26,459400304.0,,,36.5136,3.507,3.2187,145.7935,14076637680.0,,,,,,,
1567094400000,18784610,13.9504,14.4563,13.403,13.5191,-0.3395,-2.45,2.23,314661977.0,,,35.6176,3.4209,3.1397,142.2163,13731250400.0,,,,,,,
1567353600000,13654363,13.3449,13.9919,13.0878,13.7762,0.2569,1.9,1.62,224805777.0,,,36.295,3.486,3.1995,144.921,13992396880.0,,,,,,,
1567440000000,14392631,13.7596,13.7596,13.2703,13.4362,-0.3403,-2.47,1.71,233779349.0,,,35.3991,3.3999,3.1205,141.3438,13647009600.0,,,,,,,
1567526400000,21213830,13.6021,14.1743,13.2039,13.8923,0.4568,3.4,2.52,350106797.0,,,36.601,3.5154,3.2264,146.1425,14110334000.0,,,,,,,
1567612800000,14131560,13.8094,14.0582,13.5606,13.7348,-0.157,-1.13,1.68,234818571.0,,,36.1858,3.4755,3.1898,144.4848,13950276480.0,,,,,,,
1567699200000,33155379,13.4776,15.1116,13.4776,14.5559,0.8213,5.98,3.94,582576832.0,,,38.3491,3.6833,3.3805,153.1224,14784260400.0,,,,,,,
1567958400000,20541624,14.5642,15.1613,14.3236,14.7383,0.182,1.25,2.44,365106778.0,,,38.8298,3.7294,3.4229,155.0419,14969590160.0,,,,,,,
1568044800000,20248652,14.672,15.3604,14.448,15.1033,0.3655,2.48,2.4,366107625.0,,,39.7913,3.8218,3.5077,158.8809,15340249680.0,,,,,,,
1568131200000,44812097,15.5926,15.7419,14.1163,14.1992,-0.9047,-5.99,5.32,801392406.0,,,37.4095,3.593,3.2977,149.3707,14422024960.0,,,,,,,
1568217600000,37343829,14.0914,14.0914,12.9385,13.3532,-0.8463,-5.96,4.43,603314294.0,,,35.1806,3.3789,3.1012,140.4713,13562768800.0,,,,,,,
1568563200000,37865799,13.2703,13.2703,12.6068,12.7312,-0.6223,-4.66,4.49,581990145.0,,,33.5418,3.2215,2.9568,133.9276,12930962800.0,,,,,,,
1568649600000,19361175,12.781,12.8639,12.2336,12.4077,-0.3234,-2.54,2.3,292909080.0,,,32.6896,3.1397,2.8816,130.5249,12602423680.0,,,,,,,
1568736000000,27118275,12.4409,13.2205,11.993,12.9634,0.5559,4.48,3.22,415177013.0,,,34.1536,3.2803,3.0107,136.3706,13166837040.0,,,,,,,
1568822400000,29496405,12.8556,13.6767,12.8307,13.4445,0.4809,3.71,3.5,475564173.0,,,35.421,3.402,3.1224,141.431,13655433680.0,,,,,,,
1568908800000,18058272,13.4776,13.5855,12.8639,13.0712,-0.3738,-2.78,2.14,287229494.0,,,34.4377,3.3076,3.0357,137.5048,13276350080.0,,,,,,,
1569168000000,16062430,12.9137,13.0049,12.4409,12.7644,-0.3072,-2.35,1.91,246582571.0,,,33.6292,3.2299,2.9645,134.2766,12964659120.0,,,,,,,
1569254400000,15766851,12.9302,12.9385,12.4824,12.5819,-0.1825,-1.43,1.87,241095891.0,,,33.1485,3.1838,2.9221,132.3571,12779329360.0,,,,,,,
1569340800000,21240325,12.6068,12.6151,12.1091,12.2833,-0.2982,-2.37,2.52,315657882.0,,,32.3618,3.1082,2.8527,129.2161,12476062480.0,,,,,,,
1569427200000,25479276,12.4658,12.6068,11.7525,11.8272,-0.4557,-3.71,3.02,368807819.0,,,31.16,2.9928,2.7468,124.4174,12012738080.0,,,,,,,
1569513600000,13117633,12.0262,12.0594,11.7608,11.8106,-0.0166,-0.14,1.56,188074565.0,,,31.1163,2.9886,2.7429,124.2429,11995889920.0,,,,,,,
1569772800000,12426032,11.935,12.2253,11.6447,11.8106,0.0,0.0,1.48,178371352.0,,,34.3299,2.8986,2.859,207.8776,11995889920.0,,,,,,,
1570464000000,13672377,11.8023,12.3082,11.8023,11.993,0.1819,1.54,1.62,199097374.0,,,34.8602,2.9434,2.9032,211.0892,12181219680.0,,,,,,,
1570550400000,8257820,11.9433,12.0594,11.6779,11.8935,-0.0995,-0.83,0.98,117788116.0,,,34.5709,2.9189,2.8791,209.3375,12080130720.0,,,,,,,
1570636800000,22216955,11.9184,12.3082,11.653,12.275,0.3818,3.21,2.64,320441016.0,,,35.6799,3.0126,2.9714,216.0526,12467638400.0,,,,,,,
1570723200000,14999985,12.2419,12.275,11.8935,11.9599,-0.3155,-2.57,1.78,217522306.0,,,34.7638,2.9352,2.8951,210.5053,12147523360.0,,,,,,,
1570982400000,11201671,12.0926,12.134,11.8686,12.076,0.116,0.97,1.33,162226732.0,,,35.1013,2.9637,2.9232,212.549,12265460480.0,,,,,,,
1571068800000,23513530,12.076,13.0298,11.9516,12.6317,0.5555,4.6,2.79,358001671.0,,,36.7166,3.1001,3.0578,222.3298,12829873840.0,,,,,,,
1571155200000,13015626,12.64,12.8141,12.358,12.7644,0.1326,1.05,1.55,198037669.0,,,37.1023,3.1327,3.0899,224.6655,12964659120.0,,,,,,,
1571241600000,10882164,12.6565,12.922,12.5653,12.6648,-0.0996,-0.78,1.29,167471311.0,,,36.813,3.1082,3.0658,222.9137,12863570160.0,,,,,,,
1571328000000,18881363,12.6648,13.1459,12.5736,13.0878,0.423,3.34,2.24,294527528.0,,,38.0425,3.212,3.1682,230.3588,13293198240.0,,,,,,,
1571587200000,28810472,13.1708,14.0582,13.0215,13.685,0.5968,4.56,3.42,474234954.0,,,39.7783,3.3586,3.3127,240.8695,13899732000.0,,,,,,,
1571673600000,17504774,13.9836,13.9836,13.2869,13.6186,-0.0657,-0.48,2.08,287328963.0,,,39.5854,3.3423,3.2967,239.7016,13832339360.0,,,,,,,
1571760000000,19140439,13.6767,14.2158,13.5606,13.7513,0.1321,0.97,2.27,319531490.0,,,39.9711,3.3749,3.3288,242.0373,13967124640.0,,,,,,,
1571846400000,19516128,13.8426,13.8675,13.0878,13.6933,-0.0578,-0.42,2.32,314835465.0,,,39.8024,3.3606,3.3147,241.0154,13908156080.0,,,,,,,
1571932800000,16213930,13.5025,13.8841,13.2703,13.544,-0.1493,-1.09,1.92,265153510.0,,,39.3684,3.324,3.2786,238.3878,13756522640.0,,,,,,,
1572192000000,15000267,13.4279,13.7762,13.1044,13.5606,0.0163,0.12,1.78,244615092.0,,,39.4167,3.3281,3.2826,238.6797,13773370800.0,,,,,,,
1572278400000,16147475,13.6352,13.7265,13.3449,13.4279,-0.1329,-0.98,1.92,262868501.0,,,39.0309,3.2955,3.2505,236.344,13638585520.0,,,,,,,
1572364800000,26323460,13.2703,13.9753,13.2288,13.8094,0.3814,2.84,3.12,429870219.0,,,40.1399,3.3891,3.3429,243.0592,14026093200.0,,,,,,,
1572451200000,27182625,13.7265,13.7845,12.8722,13.1044,-0.7057,-5.11,3.23,438677091.0,,,38.0907,3.2161,3.1722,230.6507,13310046400.0,,,,,,,
1572537600000,30756634,12.8556,13.063,12.217,12.3248,-0.7797,-5.95,3.65,466230805.0,,,35.8246,3.0248,2.9835,216.9285,12518182880.0,,,,,,,
1572796800000,21337960,12.2833,12.6731,12.134,12.416,0.0912,0.74,2.53,319664573.0,,,36.0897,3.0472,3.0056,218.5343,12610847760.0,,,,,,,
1572883200000,32131375,12.2336,13.6021,12.2087,13.5191,1.1026,8.88,3.81,509437174.0,,,39.2961,3.3179,3.2726,237.9498,13731250400.0,,,,,,,
1572969600000,19379164,13.4942,13.5938,12.9551,13.0298,-0.4894,-3.62,2.3,308226528.0,,,37.8737,3.1978,3.1541,229.3369,13234229680.0,,,,,,,
1573056000000,13076253,13.0381,13.4279,12.922,13.1044,0.0743,0.57,1.55,208586883.0,,,38.0907,3.2161,3.1722,230.6507,13310046400.0,,,,,,,
1573142400000,14966154,13.1542,13.2288,12.6068,12.6151,-0.4888,-3.73,1.78,231889322.0,,,36.6683,3.096,3.0537,222.0378,12813025680.0,,,,,,,
1573401600000,12581561,12.5404,12.7975,12.2667,12.3165,-0.299,-2.37,1.49,188430097.0,,,35.8005,3.0227,2.9815,216.7825,12509758800.0,,,,,,,
1573488000000,9236740,12.3165,12.5238,12.1589,12.358,0.0419,0.34,1.1,137039610.0,,,35.921,3.0329,2.9915,217.5124,12551879200.0,,,,,,,
1573574400000,12312579,12.416,12.416,11.8603,11.9018,-0.456,-3.69,1.46,178126829.0,,,34.595,2.921,2.8811,209.4834,12088554800.0,,,,,,,
1573660800000,10842595,11.9267,12.1423,11.7525,11.9599,0.0583,0.49,1.29,156119562.0,,,34.7638,2.9352,2.8951,210.5053,12147523360.0,,,,,,,
1573747200000,23059810,11.9599,12.0096,11.1802,11.3876,-0.5729,-4.79,2.74,319962487.0,,,33.1004,2.7948,2.7566,200.4326,11566261840.0,,,,,,,
1574006400000,13244340,11.4208,11.7276,11.3876,11.5452,0.1572,1.38,1.57,184523526.0,,,33.5584,2.8334,2.7947,203.2062,11726319360.0,,,,,,,
1574092800000,9646412,11.6779,11.9018,11.5369,11.7608,0.2159,1.87,1.15,136579677.0,,,34.1852,2.8864,2.8469,207.0017,11945345440.0,,,,,,,
1574179200000,12092953,11.7027,11.7027,11.3212,11.371,-0.3893,-3.31,1.44,167606904.0,,,33.0521,2.7907,2.7526,200.1406,11549413680.0,,,,,,,
