timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,331423,8.25,8.41,8.17,8.25,-0.04,-0.48,0.17,2739693.0,,,64.1233,2.6427,2.4886,26.0251,1650000000.0,,,,,,,
1565539200000,332699,8.23,8.33,8.2,8.29,0.04,0.48,0.17,2753167.0,,,64.4342,2.6555,2.5006,26.1513,1658000000.0,,,,,,,
1565625600000,1352700,8.24,8.3,7.95,8.02,-0.27,-3.26,0.68,10909337.0,,,62.3356,2.569,2.4192,25.2996,1604000000.0,,,,,,,
1565712000000,772500,8.09,8.18,8.0,8.14,0.12,1.5,0.39,6259441.0,,,63.2683,2.6075,2.4554,25.6781,1628000000.0,,,,,,,
1565798400000,1143552,8.05,8.05,7.85,7.98,-0.16,-1.97,0.57,9065678.0,,,62.0247,2.5562,2.4071,25.1734,1596000000.0,,,,,,,
1565884800000,527852,7.98,8.08,7.91,7.94,-0.04,-0.5,0.26,4226386.0,,,61.7138,2.5434,2.3951,25.0472,1588000000.0,,,,,,,
1566144000000,1648200,8.08,8.29,7.96,8.24,0.3,3.78,0.82,13368738.0,,,64.0456,2.6395,2.4856,25.9936,1648000000.0,,,,,,,
1566230400000,677748,8.3,8.34,8.19,8.24,0.0,0.0,0.34,5585694.0,,,64.0456,2.6395,2.4856,25.9936,1648000000.0,,,,,,,
1566316800000,730600,8.21,8.23,8.1,8.15,-0.09,-1.09,0.37,5970617.0,,,63.346,2.6107,2.4584,25.7097,1630000000.0,,,,,,,
1566403200000,645700,8.16,8.18,8.08,8.17,0.02,0.25,0.32,5248745.0,,,63.5015,2.6171,2.4644,25.7728,1634000000.0,,,,,,,
1566489600000,631800,8.11,8.29,8.09,8.18,0.01,0.12,0.32,5175140.0,,,63.5792,2.6203,2.4675,25.8043,1636000000.0,,,,,,,
1566748800000,1208000,7.93,8.21,7.93,7.98,-0.2,-2.44,0.6,9676521.0,,,62.0247,2.5562,2.4071,25.1734,1596000000.0,,,,,,,
1566835200000,1085500,8.03,8.23,8.0,8.23,0.25,3.13,0.54,8858503.0,,,63.9678,2.6363,2.4825,25.9621,1646000000.0,,,,,,,
1566921600000,1137956,8.23,8.27,8.1,8.2,-0.03,-0.36,0.57,9349694.0,,,63.7347,2.6267,2.4735,25.8674,1640000000.0,,,,,,,
1567008000000,945756,8.2,8.24,8.07,8.1,-0.1,-1.22,0.47,7695370.0,,,62.9574,2.5946,2.4433,25.552,1620000000.0,,,,,,,
1567094400000,1158606,8.12,8.24,7.93,7.99,-0.11,-1.36,0.58,9386260.0,,,62.1024,2.5594,2.4102,25.205,1598000000.0,,,,,,,
1567353600000,1078606,7.99,8.22,7.99,8.22,0.23,2.88,0.54,8785049.0,,,63.8901,2.6331,2.4795,25.9305,1644000000.0,,,,,,,
1567440000000,799150,8.25,8.29,8.1,8.24,0.02,0.24,0.4,6551611.0,,,64.0456,2.6395,2.4856,25.9936,1648000000.0,,,,,,,
1567526400000,669450,8.24,8.28,8.15,8.24,0.0,0.0,0.33,5502628.0,,,64.0456,2.6395,2.4856,25.9936,1648000000.0,,,,,,,
1567612800000,1310698,8.24,8.35,8.2,8.25,0.01,0.12,0.66,10870653.0,,,64.1233,2.6427,2.4886,26.0251,1650000000.0,,,,,,,
1567699200000,997665,8.34,8.34,8.09,8.3,0.05,0.61,0.5,8246840.0,,,64.5119,2.6587,2.5037,26.1829,1660000000.0,,,,,,,
1567958400000,1638353,8.36,8.52,8.29,8.5,0.2,2.41,0.82,13766110.0,,,66.0664,2.7228,2.564,26.8138,1700000000.0,,,,,,,
1568044800000,1245200,8.57,8.57,8.38,8.45,-0.05,-0.59,0.62,10484979.0,,,65.6778,2.7068,2.5489,26.6561,1690000000.0,,,,,,,
1568131200000,822000,8.45,8.5,8.36,8.37,-0.08,-0.95,0.41,6942318.0,,,65.056,2.6811,2.5248,26.4037,1674000000.0,,,,,,,
1568217600000,1570443,8.38,8.61,8.38,8.56,0.19,2.27,0.79,13357097.0,,,66.5328,2.742,2.5821,27.0031,1712000000.0,,,,,,,
1568563200000,1141048,8.61,8.62,8.46,8.46,-0.1,-1.17,0.57,9738694.0,,,65.7555,2.71,2.5519,26.6876,1692000000.0,,,,,,,
1568649600000,1339900,8.5,8.59,8.23,8.31,-0.15,-1.77,0.67,11214512.0,,,64.5896,2.6619,2.5067,26.2144,1662000000.0,,,,,,,
1568736000000,415900,8.33,8.39,8.26,8.32,0.01,0.12,0.21,3462810.0,,,64.6674,2.6651,2.5097,26.246,1664000000.0,,,,,,,
1568822400000,756300,8.29,8.39,8.29,8.39,0.07,0.84,0.38,6307732.0,,,65.2114,2.6875,2.5308,26.4668,1678000000.0,,,,,,,
1568908800000,1366400,8.4,8.55,8.3,8.45,0.06,0.72,0.68,11530959.0,,,65.6778,2.7068,2.5489,26.6561,1690000000.0,,,,,,,
1569168000000,863343,8.39,8.42,8.23,8.28,-0.17,-2.01,0.43,7156470.0,,,64.3565,2.6523,2.4976,26.1198,1656000000.0,,,,,,,
1569254400000,2029106,8.26,8.66,8.26,8.42,0.14,1.69,1.01,17220724.0,,,65.4446,2.6972,2.5399,26.5614,1684000000.0,,,,,,,
1569340800000,1183500,8.43,8.51,8.22,8.25,-0.17,-2.02,0.59,9849098.0,,,64.1233,2.6427,2.4886,26.0251,1650000000.0,,,,,,,
1569427200000,1269193,8.23,8.38,8.04,8.04,-0.21,-2.55,0.63,10311465.0,,,62.4911,2.5754,2.4252,25.3627,1608000000.0,,,,,,,
1569513600000,1803215,8.05,8.52,8.05,8.47,0.43,5.35,0.9,15059632.0,,,65.8332,2.7132,2.5549,26.7191,1694000000.0,,,,,,,
1569772800000,1992100,8.46,8.59,8.31,8.55,0.08,0.94,1.0,16976701.0,,,68.2015,2.6967,2.5395,19.6079,1710000000.0,,,,,,,
