timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,16268238,5.1112,5.1705,4.9432,5.131,0.0593,1.17,1.9,83455466.0,,,84.4067,2.6058,4.1468,41.4908,4700995018.53,,,,,,,
1565539200000,12183315,5.131,5.2002,5.042,5.131,0.0,0.0,1.42,63156848.0,,,84.4067,2.6058,4.1468,41.4908,4700995018.53,,,,,,,
1565625600000,10338019,5.0816,5.1804,5.0222,5.1112,-0.02,-0.39,1.21,53542726.0,,,84.0815,2.5957,4.1308,41.3309,4682879430.79,,,,,,,
1565712000000,9793800,5.1804,5.2397,5.0914,5.1211,0.0097,0.19,1.15,51146939.0,,,84.2441,2.6007,4.1388,41.4109,4691937224.66,,,,,,,
1565798400000,21309788,4.953,5.477,4.8937,5.3683,0.2473,4.83,2.49,111698472.0,,,88.3099,2.7263,4.3385,43.4094,4918382071.41,,,,,,,
1565884800000,14873290,5.2892,5.3089,5.2002,5.2299,-0.1385,-2.58,1.74,79011057.0,,,86.0331,2.656,4.2267,42.2902,4791572957.23,,,,,,,
1566144000000,19487225,5.2694,5.477,5.2002,5.3485,0.1187,2.27,2.28,105181586.0,,,87.9847,2.7162,4.3226,43.2496,4900266483.67,5604751.0,,,,,,
1566230400000,12487000,5.3485,5.388,5.2694,5.2991,-0.0492,-0.92,1.46,67244071.0,,,87.1715,2.6911,4.2826,42.8498,4854977514.32,11930998.0,,,,,,
1566316800000,8248403,5.2991,5.3089,5.2101,5.2101,-0.089,-1.68,0.96,43794194.0,,,85.7078,2.6459,4.2107,42.1303,4773457369.49,14618076.0,,,,,,
1566403200000,8078893,5.2101,5.2892,5.1409,5.2496,0.0396,0.76,0.94,42784013.0,,,86.3583,2.666,4.2427,42.4501,4809688544.97,18993867.0,,,,,,
1566489600000,7301900,5.2595,5.3089,5.2101,5.2299,-0.0199,-0.38,0.85,38791200.0,,,86.0331,2.656,4.2267,42.2902,4791572957.23,19605943.0,,,,,,
1566748800000,10616842,5.1211,5.3386,5.042,5.2595,0.0298,0.57,1.24,55776605.0,,,86.521,2.671,4.2507,42.5301,4818746338.84,19527609.0,,,,,,
1566835200000,10633500,5.2595,5.3386,5.2496,5.2991,0.0394,0.75,1.24,56983692.0,,,87.1715,2.6911,4.2826,42.8498,4854977514.32,20760118.0,,,,,,
1566921600000,8196300,5.2991,5.3287,5.2496,5.2694,-0.0297,-0.56,0.96,43804018.0,,,86.6836,2.6761,4.2586,42.61,4827804132.71,20875022.0,,,,,,
1567008000000,8475148,5.2694,5.3287,5.2496,5.2892,0.02,0.38,0.99,45357084.0,,,87.0089,2.6861,4.2746,42.7699,4845919720.45,24106009.0,,,,,,
1567094400000,10986258,5.2892,5.3089,5.0816,5.131,-0.1581,-2.99,1.28,57627655.0,,,84.4067,2.6058,4.1468,41.4908,4700995018.53,25223945.0,,,,,,
1567353600000,12205007,5.1508,5.3188,5.1508,5.2892,0.158,3.08,1.43,64893769.0,,,87.0089,2.6861,4.2746,42.7699,4845919720.45,22619359.0,,,,,,
1567440000000,7663804,5.3089,5.3188,5.22,5.2299,-0.0592,-1.12,0.9,40726576.0,,,86.0331,2.656,4.2267,42.2902,4791572957.23,21055769.0,,,,,,
1567526400000,8673725,5.2299,5.2694,5.1903,5.2595,0.0298,0.57,1.01,45854535.0,,,86.521,2.671,4.2507,42.5301,4818746338.84,23149791.0,,,,,,
1567612800000,13534386,5.3089,5.3683,5.2595,5.3188,0.0594,1.13,1.58,72923801.0,,,87.4968,2.7012,4.2986,43.0097,4873093102.06,22304678.0,,,,,,
1567699200000,10142705,5.3584,5.3979,5.2892,5.3386,0.0197,0.37,1.19,54862491.0,,,87.822,2.7112,4.3146,43.1696,4891208689.8,28669128.0,,,,,,
1567958400000,16346163,5.388,5.5957,5.3683,5.5561,0.2173,4.07,1.91,90601644.0,,,91.4,2.8217,4.4904,44.9284,5090480154.94,32292695.0,,,,,,
1568044800000,10633015,5.5462,5.5957,5.4375,5.4869,-0.0695,-1.25,1.24,59166947.0,,,90.2615,2.7865,4.4344,44.3688,5027075597.85,34206315.0,,,,,,
1568131200000,28304665,5.4968,5.912,5.4968,5.823,0.3363,6.13,3.31,164608850.0,,,95.7911,2.9572,4.7061,47.0869,5335040589.43,42385087.0,,,,,,
1568217600000,20522477,5.7835,5.9812,5.7341,5.8725,0.0495,0.85,2.4,121560327.0,,,96.6042,2.9823,4.746,47.4866,5380329558.78,50377813.0,,,,,,
1568563200000,19065674,5.8725,6.1493,5.7934,6.0405,0.168,2.86,2.23,115833906.0,,,99.369,3.0677,4.8819,48.8456,5534312054.57,49886846.0,,,,,,
1568649600000,16061180,6.0405,6.1295,5.8033,5.8824,-0.1583,-2.62,1.88,96578501.0,,,96.7669,2.9873,4.754,47.5665,5389387352.65,57472497.0,,,,,,
1568736000000,13695587,5.8527,6.0109,5.7538,5.9219,0.0394,0.67,1.6,81563112.0,,,97.4174,3.0074,4.786,47.8863,5425618528.13,54597877.0,,,,,,
1568822400000,10242869,5.9417,5.9614,5.7835,5.8725,-0.0491,-0.83,1.2,60666975.0,,,96.6042,2.9823,4.746,47.4866,5380329558.78,56272075.0,,,,,,
1568908800000,6689582,5.8824,5.9417,5.7538,5.7934,-0.0793,-1.35,0.78,39476195.0,,,95.3032,2.9422,4.6821,46.847,5307867207.82,54698185.0,,,,,,
1569168000000,7425266,5.8131,5.8131,5.6451,5.7736,-0.0197,-0.34,0.87,43057838.0,,,94.9779,2.9321,4.6661,46.6871,5289751620.08,53502875.0,,,,,,
1569254400000,7941520,5.7538,5.7835,5.6451,5.6451,-0.1288,-2.23,0.93,45721026.0,,,92.8637,2.8668,4.5623,45.6479,5172000299.77,52594077.0,,,,,,
1569340800000,8238751,5.6451,5.7242,5.5067,5.566,-0.079,-1.4,0.96,46652696.0,,,91.5626,2.8267,4.4983,45.0083,5099537948.81,51776202.0,,,,,,
1569427200000,8913858,5.5561,5.5957,5.3485,5.388,-0.1781,-3.2,1.04,49025530.0,,,88.6352,2.7363,4.3545,43.5693,4936497659.15,52689589.0,,,,,,
1569513600000,6308911,5.388,5.477,5.3386,5.388,0.0,0.0,0.74,34550115.0,,,88.6352,2.7363,4.3545,43.5693,4936497659.15,51003228.0,,,,,,
1569772800000,5137287,5.3782,5.5363,5.3782,5.4078,0.0199,0.37,0.6,28384649.0,,,75.9506,2.7099,4.2233,37.2155,4954613246.89,53432183.0,,,,,,
