timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,7043282,5.079,5.079,4.9239,4.9433,-0.0968,-1.92,0.26,36255310.0,,,17.1155,1.236,0.2458,6.7014,13810374007.2,709289441.7,9337152,0.34,60400,,,
1565539200000,5127703,4.9724,5.0015,4.9239,4.9918,0.0484,0.98,0.19,26318603.0,,,17.2833,1.2481,0.2482,6.7671,13945769830.8,707190825.05,9399412,0.34,62260,,,
1565625600000,6301453,4.9821,4.9821,4.8948,4.953,-0.0389,-0.78,0.23,32115806.0,,,17.1491,1.2384,0.2463,6.7145,13837453171.92,712932846.97,9658201,0.35,258789,,,
1565712000000,11830568,5.0015,5.0305,4.8754,4.9045,-0.0485,-0.98,0.44,60420532.0,,,16.9813,1.2263,0.2439,6.6488,13702057348.32,710214668.62,10256981,0.37,598780,,,
1565798400000,8468664,4.8173,4.8851,4.7688,4.8658,-0.0387,-0.79,0.31,42055638.0,,,16.847,1.2166,0.2419,6.5963,13593740689.44,708330647.54,9973921,0.36,-283060,,,
1565884800000,24972031,4.8658,4.9142,4.7301,4.8948,0.0292,0.6,0.92,124433540.0,,,16.9477,1.2239,0.2434,6.6357,13674978183.6,707561331.35,12135405,0.44,2161484,,,
1566144000000,14153110,4.8464,5.0208,4.8464,5.0208,0.1258,2.57,0.52,72182557.0,,,17.384,1.2554,0.2496,6.8065,14027007324.96,705450898.86,13144995,0.48,1009590,,,
1566230400000,8287011,5.0208,5.0596,4.9821,5.0111,-0.0095,-0.19,0.31,42918984.0,,,17.3504,1.253,0.2492,6.7934,13999928160.24,697916411.59,13297155,0.49,152160,,,
1566316800000,7435490,4.9821,5.0499,4.9821,5.0305,0.0195,0.39,0.27,38516339.0,,,17.4176,1.2578,0.2501,6.8196,14054086489.68,684617398.13,13593915,0.5,296760,,,
1566403200000,5723990,5.0305,5.0596,4.9627,5.0015,-0.0292,-0.58,0.21,29514163.0,,,17.3169,1.2505,0.2487,6.7802,13972848995.52,683046688.32,13454345,0.49,-139570,,,
1566489600000,5542290,5.0208,5.0402,4.9821,4.9918,-0.0095,-0.19,0.2,28639592.0,,,17.2833,1.2481,0.2482,6.7671,13945769830.8,680702132.05,13548815,0.5,94470,,,
1566748800000,6189570,4.8851,4.9336,4.8464,4.9142,-0.0774,-1.55,0.23,31276686.0,,,17.0148,1.2287,0.2443,6.662,13729136513.04,680273866.89,13727415,0.5,178600,,,
1566835200000,9107437,4.9336,5.0596,4.9239,5.0208,0.1066,2.17,0.34,47107881.0,,,17.384,1.2554,0.2496,6.8065,14027007324.96,678457883.86,14148785,0.52,421370,,,
1566921600000,5412423,5.0015,5.0499,4.9918,5.0305,0.0095,0.19,0.2,28070937.0,,,17.4176,1.2578,0.2501,6.8196,14054086489.68,677334465.13,13869197,0.51,-279588,,,
1567008000000,5223084,5.0402,5.0499,4.9821,4.9918,-0.0387,-0.77,0.19,26996680.0,,,17.2833,1.2481,0.2482,6.7671,13945769830.8,677630737.05,13904743,0.51,35546,,,
1567094400000,7812906,5.0402,5.0499,4.9142,4.9336,-0.0584,-1.17,0.29,40238559.0,,,17.082,1.2336,0.2453,6.6882,13783294842.48,675183477.43,14338413,0.52,433670,,,
1567353600000,11079795,4.9045,5.0887,4.8948,5.079,0.1455,2.95,0.41,57652739.0,,,17.5853,1.2699,0.2525,6.8853,14189482313.28,669812924.48,15388313,0.56,1049900,,,
1567440000000,8016842,5.0984,5.1178,5.0499,5.079,0.0,0.0,0.3,41977647.0,,,17.5853,1.2699,0.2525,6.8853,14189482313.28,668194315.48,15855513,0.58,467200,,,
1567526400000,12809699,5.0499,5.1565,5.0305,5.1565,0.0777,1.53,0.47,67484364.0,,,17.8538,1.2893,0.2564,6.9905,14406115631.04,669405793.64,15282458,0.56,-573055,,,
1567612800000,15485872,5.1565,5.2535,5.1372,5.1468,-0.0098,-0.19,0.57,83029434.0,,,17.8203,1.2869,0.2559,6.9773,14379036466.32,673291313.37,14781629,0.54,-500829,,,
1567699200000,7212378,5.1856,5.1856,5.1178,5.1372,-0.0098,-0.19,0.27,38305282.0,,,17.7867,1.2845,0.2554,6.9642,14351957301.6,671511595.1,14580449,0.53,-201180,,,
1567958400000,12386060,5.205,5.2147,5.1372,5.205,0.0678,1.32,0.46,66221743.0,,,18.0216,1.3014,0.2588,7.0562,14541511454.64,675728663.99,14780380,0.54,199931,,,
1568044800000,10446853,5.205,5.2438,5.1759,5.2341,0.0291,0.56,0.39,56209608.0,,,18.1223,1.3087,0.2602,7.0956,14622748948.8,673354461.8,15795028,0.58,1014648,,,
1568131200000,9276376,5.2341,5.2535,5.1856,5.205,-0.0293,-0.56,0.34,49856191.0,,,18.0216,1.3014,0.2588,7.0562,14541511454.64,668232612.99,16184870,0.59,389842,,,
1568217600000,7047278,5.2147,5.2341,5.1759,5.2147,0.0099,0.19,0.26,37903569.0,,,18.0552,1.3039,0.2593,7.0693,14568590619.36,662973600.26,16666670,0.61,481800,,,
1568563200000,10537677,5.2825,5.2922,5.2147,5.2244,0.0099,0.19,0.39,57049687.0,,,18.0887,1.3063,0.2598,7.0824,14595669784.08,660583776.53,16348295,0.6,-318375,,,
1568649600000,10059763,5.2341,5.2341,5.0596,5.1081,-0.1165,-2.23,0.37,53265264.0,,,17.686,1.2772,0.254,6.9248,14270719807.44,660815406.29,15434845,0.56,-913450,,,
1568736000000,7362608,5.1178,5.1565,5.0596,5.1275,0.0194,0.38,0.27,38986246.0,,,17.7531,1.282,0.2549,6.951,14324878136.88,659489020.83,15751768,0.58,316923,,,
1568822400000,5204873,5.1372,5.1662,5.0984,5.1372,0.0097,0.19,0.19,27531958.0,,,17.7867,1.2845,0.2554,6.9642,14351957301.6,652998637.1,15980251,0.59,228483,,,
1568908800000,12105869,5.1565,5.1565,5.0402,5.0499,-0.0873,-1.7,0.45,63388672.0,,,17.4847,1.2627,0.2511,6.8459,14108244819.12,646222578.67,15763321,0.58,-216930,,,
1569168000000,10795930,5.0596,5.0693,4.9239,4.953,-0.097,-1.92,0.4,55361597.0,,,17.1491,1.2384,0.2463,6.7145,13837453171.92,636554396.97,15177411,0.56,-585910,,,
1569254400000,21270891,4.953,5.0887,4.9142,4.953,0.0,0.0,0.79,109196311.0,,,17.1491,1.2384,0.2463,6.7145,13837453171.92,645720260.97,16800731,0.62,1623320,,,
1569340800000,16665919,4.9239,4.9433,4.8367,4.8464,-0.1065,-2.15,0.62,84001371.0,,,16.7799,1.2118,0.241,6.57,13539582360.0,646000893.0,17276934,0.63,476203,,,
1569427200000,17225369,4.8754,4.9918,4.8076,4.9433,0.0969,2.0,0.64,87070956.0,,,17.1155,1.236,0.2458,6.7014,13810374007.2,653596867.7,16463856,0.6,-813078,,,
1569513600000,11563700,4.8948,4.9821,4.8754,4.9142,-0.0292,-0.59,0.43,58672840.0,,,17.0148,1.2287,0.2443,6.662,13729136513.04,649988188.89,15987774,0.59,-476082,,,
1569772800000,10433186,4.8948,4.9336,4.7785,4.7979,-0.1165,-2.37,0.39,52135457.0,,,19.3627,1.16,0.2451,4.9644,13404186536.4,638107684.65,16007824,0.59,20050,,,
1570464000000,6053540,4.8076,4.8464,4.7979,4.7979,0.0,0.0,0.22,30059938.0,,,19.3627,1.16,0.2451,4.9644,13404186536.4,638576472.65,15480181,0.57,-527643,,,
1570550400000,6551779,4.7882,4.827,4.7785,4.8173,0.0192,0.4,0.24,32482660.0,,,19.4409,1.1646,0.2461,4.9845,13458344865.84,639412112.19,15713581,0.58,233400,,,
1570636800000,22600522,4.8173,4.8754,4.7882,4.7979,-0.0193,-0.4,0.83,112215171.0,,,19.3627,1.16,0.2451,4.9644,13404186536.4,655648064.65,17251173,0.63,1537592,,,
1570723200000,12379905,4.8173,4.8367,4.7785,4.827,0.0293,0.61,0.46,61416655.0,,,19.4801,1.167,0.2465,4.9945,13485424030.56,650548734.46,17982433,0.66,731260,,,
1570982400000,13758821,4.8658,4.9336,4.8464,4.8948,0.0681,1.41,0.51,69562169.0,,,19.7539,1.1834,0.25,5.0647,13674978183.6,653196151.35,18809373,0.69,826940,,,
