timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,19478155,6.55,6.8184,6.5103,6.55,0.0494,0.76,0.91,130556919.0,,,-22.6547,1.673,1.7268,8.1121,15484656790.18,1324636106.0,7315668,0.31,547463,,,
1565539200000,12903578,6.56,6.6395,6.4208,6.5898,0.04,0.61,0.61,84628327.0,,,-22.7922,1.6832,1.7373,8.1614,15578645602.26,1329482953.0,8153896,0.34,838228,,,
1565625600000,12578643,6.55,6.55,6.4109,6.4805,-0.1094,-1.66,0.59,81732607.0,,,-22.4141,1.6553,1.7085,8.0259,15320176369.04,1328272679.0,8032024,0.34,-121872,,,
1565712000000,16069243,6.5401,6.6097,6.4208,6.4805,0.0,0.0,0.75,105163339.0,,,-22.4141,1.6553,1.7085,8.0259,15320176369.04,1329901807.0,8259834,0.35,227810,,,
1565798400000,18461658,6.3513,6.391,6.1624,6.3413,-0.1393,-2.15,0.87,116469685.0,,,-21.9328,1.6197,1.6718,7.8536,14991215526.76,1326898098.0,8518287,0.36,258453,,,
1565884800000,22565840,6.3612,6.5302,6.3612,6.4805,0.1389,2.19,1.06,146657395.0,,,-22.4141,1.6553,1.7085,8.0259,15320176369.04,1326354244.0,9716785,0.41,1198498,,,
1566144000000,28286014,6.5003,6.7091,6.5003,6.6892,0.2087,3.22,1.33,188382405.0,,,-23.136,1.7086,1.7635,8.2845,15813617632.46,1316513243.0,12635047,0.53,2918262,,,
1566230400000,22426346,6.7389,6.8582,6.6594,6.729,0.0395,0.59,1.05,152161766.0,,,-23.2735,1.7187,1.774,8.3337,15907606444.54,1317546362.0,12599578,0.53,-35469,,,
1566316800000,16540210,6.7488,6.7488,6.5997,6.6296,-0.0996,-1.48,0.77,110748151.0,,,-22.9298,1.6933,1.7478,8.2106,15672634414.34,1311579608.0,13748840,0.58,1149262,,,
1566403200000,18772086,6.6494,6.7787,6.5302,6.719,0.0895,1.35,0.88,125626572.0,,,-23.2391,1.7162,1.7714,8.3214,15884109241.52,1309216793.0,13551519,0.57,-197321,,,
1566489600000,17052375,6.6693,6.7389,6.4805,6.5202,-0.1989,-2.96,0.8,113030330.0,,,-22.5516,1.6654,1.719,8.0752,15414165181.12,1307591580.0,12540012,0.53,-1011507,,,
1566748800000,13870680,6.3612,6.55,6.2916,6.4208,-0.0991,-1.52,0.65,89655455.0,,,-22.2078,1.64,1.6928,7.9521,15179193150.92,1298141098.0,13204620,0.56,664608,,,
1566835200000,17801562,6.4705,6.5898,6.4507,6.5003,0.0796,1.24,0.83,116951722.0,,,-22.4828,1.6603,1.7137,8.0506,15367170775.08,1291750925.0,13558682,0.57,354062,,,
1566921600000,15329593,6.5302,6.5401,6.4109,6.4208,-0.0793,-1.22,0.72,99599025.0,,,-22.2078,1.64,1.6928,7.9521,15179193150.92,1296170928.0,13274540,0.56,-284142,,,
1567008000000,14000825,6.4308,6.4904,6.391,6.4606,0.0398,0.62,0.65,90722333.0,,,-22.3453,1.6502,1.7032,8.0013,15273181963.0,1291442842.0,12905832,0.54,-368708,,,
1567094400000,22245945,6.5003,6.5202,6.232,6.2419,-0.2184,-3.38,1.04,142528694.0,,,-21.589,1.5943,1.6456,7.7305,14756243496.56,1277836603.0,11912808,0.5,-993024,,,
1567353600000,17945557,6.2419,6.401,6.2121,6.3811,0.1392,2.23,0.84,114361295.0,,,-22.0703,1.6299,1.6823,7.9028,15085204338.84,1276026063.0,14662021,0.62,2749213,,,
