timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2805000,3.5926,3.6023,3.5343,3.5732,-0.0097,-0.27,0.29,10293964.0,,,13.7383,1.7047,1.1852,6.9942,4500745413.6,,,,,,,
1565539200000,1890351,3.5732,3.6023,3.5343,3.5926,0.0193,0.54,0.19,6950863.0,,,13.813,1.714,1.1916,7.0322,4525205986.5,,,,,,,
1565625600000,1949975,3.5732,3.5829,3.5343,3.5635,-0.0291,-0.81,0.2,7137702.0,,,13.701,1.7001,1.182,6.9752,4488515127.15,,,,,,,
1565712000000,3735200,3.5732,3.6217,3.5635,3.5829,0.0192,0.54,0.38,13815587.0,,,13.7756,1.7094,1.1884,7.0132,4512975700.05,,,,,,,
1565798400000,2492238,3.5246,3.5732,3.5052,3.5635,-0.0193,-0.54,0.26,9088667.0,,,13.701,1.7001,1.182,6.9752,4488515127.15,,,,,,,
1565884800000,2911600,3.5537,3.6023,3.5537,3.5926,0.0292,0.82,0.3,10732012.0,,,13.813,1.714,1.1916,7.0322,4525205986.5,,,,,,,
1566144000000,4051950,3.6023,3.6508,3.5926,3.6508,0.0582,1.62,0.42,15133629.0,,,14.037,1.7418,1.2109,7.1462,4598587705.2,,,,,,,
1566230400000,3181750,3.6508,3.6703,3.6314,3.6411,-0.0099,-0.27,0.33,11967153.0,,,13.9996,1.7372,1.2077,7.1272,4586357418.75,,,,,,,
1566316800000,2545600,3.6411,3.6508,3.612,3.6217,-0.0193,-0.53,0.26,9521049.0,,,13.925,1.7279,1.2013,7.0892,4561896845.85,,,,,,,
1566403200000,6121299,3.5926,3.612,3.5537,3.6023,-0.0196,-0.54,0.63,22569114.0,,,13.8503,1.7186,1.1948,7.0512,4537436272.95,,,,,,,
1566489600000,4455058,3.6023,3.612,3.5537,3.5732,-0.0292,-0.81,0.46,16423457.0,,,13.7383,1.7047,1.1852,6.9942,4500745413.6,,,,,,,
1566748800000,8199425,3.5052,3.5246,3.4275,3.4858,-0.0875,-2.45,0.84,29331850.0,,,13.4023,1.663,1.1562,6.8231,4390672835.55,,,,,,,
1566835200000,8797453,3.4761,3.5732,3.4761,3.5635,0.0777,2.23,0.91,32025048.0,,,13.701,1.7001,1.182,6.9752,4488515127.15,,,,,,,
1566921600000,7781994,3.5635,3.6508,3.5537,3.6217,0.0581,1.63,0.8,28897362.0,,,13.925,1.7279,1.2013,7.0892,4561896845.85,,,,,,,
1567008000000,7427273,3.6411,3.6703,3.5732,3.6605,0.0388,1.07,0.76,27793817.0,,,14.0743,1.7464,1.2142,7.1652,4610817991.65,,,,,,,
1567094400000,5230800,3.6703,3.68,3.612,3.612,-0.0487,-1.33,0.54,19649046.0,,,13.8876,1.7233,1.1981,7.0702,4549666559.4,,,,,,,
1567353600000,10058535,3.612,3.7771,3.5926,3.7285,0.1167,3.23,1.04,38109750.0,,,14.3356,1.7788,1.2367,7.2983,4696429996.8,,,,,,,
1567440000000,6966795,3.7285,3.7382,3.6605,3.6897,-0.0388,-1.04,0.72,26538932.0,,,14.1863,1.7603,1.2238,7.2223,4647508851.0,,,,,,,
1567526400000,5920501,3.6703,3.7091,3.6605,3.6897,0.0,0.0,0.61,22476331.0,,,14.1863,1.7603,1.2238,7.2223,4647508851.0,,,,,,,
1567612800000,6162115,3.7091,3.7479,3.6994,3.6994,0.0096,0.26,0.63,23644140.0,,,14.2236,1.765,1.227,7.2413,4659739137.45,,,,,,,
1567699200000,5419550,3.6994,3.7479,3.6897,3.7188,0.0192,0.52,0.56,20725010.0,,,14.2983,1.7742,1.2335,7.2793,4684199710.35,,,,,,,
1567958400000,7559158,3.7382,3.7868,3.7382,3.7771,0.0584,1.57,0.78,29297273.0,,,14.5223,1.802,1.2528,7.3933,4757581429.05,,,,,,,
1568044800000,4988987,3.7868,3.7965,3.7576,3.7771,0.0,0.0,0.51,19410977.0,,,14.5223,1.802,1.2528,7.3933,4757581429.05,,,,,,,
1568131200000,5337596,3.7868,3.8062,3.7285,3.7382,-0.0389,-1.03,0.55,20717597.0,,,14.3729,1.7835,1.2399,7.3173,4708660283.25,,,,,,,
1568217600000,5765680,3.7576,3.7771,3.7285,3.7771,0.0389,1.04,0.59,22276115.0,,,14.5223,1.802,1.2528,7.3933,4757581429.05,,,,,,,
1568563200000,4192471,3.7868,3.7965,3.7576,3.7576,-0.0193,-0.51,0.43,16261354.0,,,14.4476,1.7927,1.2464,7.3553,4733120856.15,,,,,,,
1568649600000,4971293,3.7674,3.7674,3.6508,3.6703,-0.0876,-2.33,0.51,18918167.0,,,14.1116,1.7511,1.2174,7.1842,4623048278.1,,,,,,,
1568736000000,3512900,3.68,3.68,3.6411,3.6605,-0.0095,-0.26,0.36,13242959.0,,,14.0743,1.7464,1.2142,7.1652,4610817991.65,,,,,,,
1568822400000,3508499,3.68,3.68,3.6023,3.6605,0.0,0.0,0.36,13144374.0,,,14.0743,1.7464,1.2142,7.1652,4610817991.65,,,,,,,
1568908800000,3259600,3.6605,3.6703,3.6217,3.6314,-0.0293,-0.8,0.34,12239090.0,,,13.9623,1.7325,1.2045,7.1082,4574127132.3,,,,,,,
1569168000000,6231000,3.6314,3.6314,3.5246,3.5829,-0.0487,-1.34,0.64,22885196.0,,,13.7756,1.7094,1.1884,7.0132,4512975700.05,,,,,,,
1569254400000,2644483,3.5829,3.6314,3.5732,3.5926,0.0097,0.27,0.27,9810640.0,,,13.813,1.714,1.1916,7.0322,4525205986.5,,,,,,,
1569340800000,4226152,3.5926,3.6023,3.5149,3.544,-0.0485,-1.35,0.44,15445321.0,,,13.6263,1.6908,1.1755,6.9372,4464054554.25,,,,,,,
1569427200000,8253850,3.544,3.5635,3.4275,3.4664,-0.0776,-2.19,0.85,29559887.0,,,13.3276,1.6538,1.1497,6.7851,4366212262.65,,,,,,,
1569513600000,2792550,3.4275,3.5149,3.4275,3.4955,0.0291,0.84,0.29,10035983.0,,,13.4396,1.6677,1.1594,6.8421,4402903122.0,,,,,,,
1569772800000,8438597,3.4761,3.5149,3.3887,3.4372,-0.0584,-1.67,0.87,29994970.0,,,14.2269,1.5853,1.1139,6.7966,4329521403.3,,,,,,,
1570464000000,3584473,3.4372,3.4955,3.3984,3.4566,0.0192,0.56,0.37,12798891.0,,,14.3475,1.5987,1.1233,6.8542,4366212262.65,,,,,,,
1570550400000,2137053,3.4664,3.5052,3.4275,3.5052,0.0388,1.12,0.22,7653186.0,,,14.5082,1.6166,1.1359,6.9309,4415133408.45,,,,,,,
1570636800000,3448500,3.4955,3.5246,3.4761,3.5149,0.0098,0.28,0.35,12432908.0,,,14.5484,1.6211,1.1391,6.9501,4427363694.9,,,,,,,
1570723200000,3100000,3.5149,3.5246,3.4761,3.5149,0.0,0.0,0.32,11176282.0,,,14.5484,1.6211,1.1391,6.9501,4427363694.9,,,,,,,
1570982400000,5124982,3.544,3.5732,3.5149,3.544,0.0292,0.83,0.53,18720261.0,,,14.669,1.6345,1.1485,7.0077,4464054554.25,,,,,,,
1571068800000,3892152,3.5635,3.5732,3.4858,3.5246,-0.0195,-0.55,0.4,14093218.0,,,14.5886,1.6256,1.1422,6.9693,4439593981.35,,,,,,,
1571155200000,6582400,3.5246,3.544,3.4469,3.4761,-0.0486,-1.38,0.68,23660660.0,,,14.3877,1.6032,1.1265,6.8734,4378442549.1,,,,,,,
1571241600000,3660368,3.4858,3.4858,3.4275,3.4469,-0.0292,-0.84,0.38,13030038.0,,,14.2671,1.5897,1.117,6.8158,4341751689.75,,,,,,,
1571328000000,3949268,3.4469,3.4858,3.4081,3.4178,-0.0293,-0.85,0.41,13984759.0,,,14.1465,1.5763,1.1076,6.7582,4305060830.4,,,,,,,
1571587200000,4703000,3.3984,3.4275,3.3498,3.379,-0.039,-1.14,0.48,16389308.0,,,13.9858,1.5584,1.095,6.6814,4256139684.6,,,,,,,
1571673600000,4712368,3.379,3.4081,3.3304,3.3887,0.0098,0.29,0.49,16321926.0,,,14.026,1.5629,1.0982,6.7006,4268369971.05,,,,,,,
1571760000000,4028230,3.3887,3.4372,3.3595,3.4081,0.0193,0.57,0.41,14074184.0,,,14.1064,1.5718,1.1045,6.739,4292830543.95,,,,,,,
1571846400000,3808878,3.4081,3.4081,3.3595,3.379,-0.029,-0.85,0.39,13254785.0,,,13.9858,1.5584,1.095,6.6814,4256139684.6,,,,,,,
1571932800000,3335390,3.379,3.4178,3.3401,3.4178,0.0389,1.15,0.34,11620069.0,,,14.1465,1.5763,1.1076,6.7582,4305060830.4,,,,,,,
1572192000000,4372250,3.4275,3.4469,3.3984,3.4372,0.0195,0.57,0.45,15433203.0,,,14.2269,1.5853,1.1139,6.7966,4329521403.3,,,,,,,
1572278400000,4481208,3.4469,3.4566,3.3984,3.4081,-0.0292,-0.85,0.46,15824530.0,,,14.1064,1.5718,1.1045,6.739,4292830543.95,,,,,,,
1572364800000,2489550,3.3984,3.4081,3.3595,3.379,-0.029,-0.85,0.26,8686453.0,,,13.9858,1.5584,1.095,6.6814,4256139684.6,,,,,,,
1572451200000,3188050,3.3984,3.4178,3.3887,3.4081,0.0291,0.86,0.33,11185096.0,,,14.1064,1.5718,1.1045,6.739,4292830543.95,,,,,,,
1572537600000,4515852,3.4081,3.4275,3.379,3.4081,0.0,0.0,0.46,15829048.0,,,14.1064,1.5718,1.1045,6.739,4292830543.95,,,,,,,
1572796800000,4067550,3.4081,3.4372,3.379,3.4081,0.0,0.0,0.42,14286509.0,,,14.1064,1.5718,1.1045,6.739,4292830543.95,,,,,,,
1572883200000,3832950,3.4081,3.4275,3.379,3.4081,0.0,0.0,0.39,13427281.0,,,14.1064,1.5718,1.1045,6.739,4292830543.95,,,,,,,
1572969600000,4070692,3.4081,3.4178,3.3693,3.379,-0.029,-0.85,0.42,14209024.0,,,13.9858,1.5584,1.095,6.6814,4256139684.6,,,,,,,
1573056000000,2107847,3.3693,3.4081,3.3693,3.3984,0.0193,0.57,0.22,7367915.0,,,14.0662,1.5674,1.1013,6.7198,4280600257.5,,,,,,,
1573142400000,11481164,3.4081,3.544,3.4081,3.4955,0.0972,2.86,1.18,41346238.0,,,14.4681,1.6121,1.1328,6.9117,4402903122.0,,,,,,,
1573401600000,11446023,3.4761,3.4858,3.3304,3.3693,-0.1262,-3.61,1.18,39999636.0,,,13.9456,1.5539,1.0919,6.6622,4243909398.15,,,,,,,
1573488000000,6406222,3.379,3.3887,3.3304,3.3498,-0.0195,-0.58,0.66,22124732.0,,,13.8652,1.545,1.0856,6.6238,4219448825.25,,,,,,,
