timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,13792711,5.6137,5.6436,5.4342,5.4342,-0.1594,-2.85,1.44,76549802.0,,,57.2922,1.7357,3.2555,12.6713,5255278606.8,,,,,,,
1565539200000,15560019,5.4642,5.6735,5.4542,5.6536,0.2195,4.04,1.63,86864650.0,,,59.6049,1.8058,3.3869,13.1828,5467418293.68,,,,,,,
1565625600000,11471028,5.5838,5.6835,5.5539,5.6237,-0.03,-0.53,1.2,64554709.0,,,59.2896,1.7962,3.369,13.1131,5438490154.56,,,,,,,
1565712000000,15169713,5.7035,5.7832,5.6137,5.6436,0.0197,0.35,1.59,86776306.0,,,59.4998,1.8026,3.3809,13.1596,5457775580.64,,,,,,,
1565798400000,15526036,5.4642,5.6835,5.4143,5.6536,0.0102,0.18,1.63,86499318.0,,,59.6049,1.8058,3.3869,13.1828,5467418293.68,,,,,,,
1565884800000,13410126,5.6337,5.7334,5.6237,5.6735,0.0198,0.35,1.4,76342406.0,,,59.8152,1.8122,3.3989,13.2293,5486703719.76,,,,,,,
1566144000000,23073543,5.6835,5.9328,5.6835,5.863,0.1895,3.34,2.42,134707421.0,,,61.8125,1.8727,3.5123,13.6711,5669915267.52,12451534.0,,,,,,
1566230400000,15825142,5.863,5.9228,5.8131,5.8331,-0.0299,-0.51,1.66,93001602.0,,,61.4971,1.8631,3.4944,13.6013,5640987128.4,15722327.0,,,,,,
1566316800000,13999539,5.8231,5.863,5.7633,5.7832,-0.0496,-0.85,1.47,81620460.0,,,60.9715,1.8472,3.4646,13.4851,5592773563.2,22473066.0,,,,,,
1566403200000,14887723,5.8131,5.8829,5.7832,5.8431,0.0596,1.03,1.56,87023428.0,,,61.6023,1.8663,3.5004,13.6246,5650629841.44,21693247.0,,,,,,
1566489600000,18314882,5.8431,5.853,5.6735,5.7334,-0.1099,-1.88,1.92,105502672.0,,,60.4459,1.8313,3.4347,13.3688,5544559998.0,21306353.0,,,,,,
1566748800000,12053850,5.5738,5.7234,5.5539,5.6735,-0.0596,-1.04,1.26,68539655.0,,,59.8152,1.8122,3.3989,13.2293,5486703719.76,25384847.0,,,,,,
1566835200000,15694801,5.7234,5.8331,5.7035,5.7733,0.0999,1.76,1.64,90844098.0,,,60.8664,1.844,3.4586,13.4618,5583130850.16,33211496.0,,,,,,
1566921600000,11840728,5.7932,5.8032,5.6935,5.7433,-0.03,-0.52,1.24,68251289.0,,,60.551,1.8344,3.4407,13.3921,5554202711.04,33974795.0,,,,,,
1567008000000,16494600,5.7433,5.873,5.7234,5.7533,0.0098,0.17,1.73,95740165.0,,,60.6562,1.8376,3.4466,13.4153,5563845424.08,35725741.0,,,,,,
1567094400000,36513777,5.7633,6.0126,5.7433,5.8131,0.0598,1.04,3.82,215374402.0,,,61.2869,1.8567,3.4825,13.5548,5621701702.32,42861222.0,,,,,,
1567353600000,31504040,5.7334,5.9727,5.7134,5.9428,0.1296,2.23,3.3,185190441.0,,,62.6535,1.8981,3.5601,13.8571,5747056971.84,55941592.0,,,,,,
1567440000000,40229986,5.9527,6.1023,5.863,6.0724,0.1296,2.18,4.21,242162935.0,,,64.0201,1.9395,3.6378,14.1593,5872412241.36,66261563.0,,,,,,
1567526400000,35074609,6.0126,6.202,6.0026,6.0824,0.0097,0.16,3.67,213974147.0,,,64.1252,1.9427,3.6438,14.1826,5882054954.4,65738068.0,,,,,,
1567612800000,39976411,6.1023,6.222,6.0624,6.1123,0.0298,0.49,4.19,246738954.0,,,64.4406,1.9523,3.6617,14.2523,5910983093.52,88326026.0,,,,,,
1567699200000,28108884,6.1522,6.202,6.0724,6.1422,0.03,0.49,2.94,173092124.0,,,64.756,1.9618,3.6796,14.3221,5939911232.64,85812325.0,,,,,,
1567958400000,47863544,6.212,6.3616,6.1422,6.3616,0.2193,3.57,5.01,301168208.0,,,67.0687,2.0319,3.811,14.8336,6152050919.52,109909037.0,,,,,,
1568044800000,38280344,6.3217,6.3616,6.1322,6.202,-0.1597,-2.51,4.01,239069587.0,,,65.3867,1.9809,3.7154,14.4616,5997767510.88,97255319.0,,,,,,
