timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1587398400000,1273697,9.49,11.39,9.49,11.39,3.48,43.99,1.35,14477199.0,,,28.7639,3.3411,6.6244,20.8765,5381775000.0,,,,,,,
1587484800000,5977366,12.53,12.53,12.53,12.53,1.14,10.01,6.33,74896396.0,,,31.6428,3.6755,7.2875,22.966,5920425000.0,,,,,,,
1587571200000,53016644,13.0,13.13,11.91,12.19,-0.34,-2.71,56.1,664544191.0,,,30.7842,3.5758,7.0897,22.3428,5759775000.0,,,,,,,
1587657600000,23633280,11.8,11.81,10.97,10.97,-1.22,-10.01,25.01,265314336.0,,,27.7032,3.2179,6.3802,20.1067,5183325000.0,,,,,,,
1587916800000,27990372,10.4,10.58,9.87,10.05,-0.92,-8.39,29.62,284024784.0,,,25.3799,2.948,5.8451,18.4204,4748625000.0,,,,,,,
1588003200000,21846081,10.0,10.0,9.22,9.38,-0.67,-6.67,23.12,208227792.0,,,23.6879,2.7515,5.4554,17.1924,4432050000.0,,,,,,,
1588089600000,26507346,9.33,10.32,9.33,10.32,0.94,10.02,28.05,263925492.0,,,26.0617,3.0272,6.0021,18.9153,4876200000.0,,,,,,,
1588176000000,28382601,10.21,10.57,9.89,10.12,-0.2,-1.94,30.03,289830231.0,,,25.5567,2.9686,5.8858,18.5487,4781700000.0,,,,,,,
1588694400000,23103774,9.87,10.73,9.79,10.39,0.27,2.67,24.45,239018801.0,,,26.2385,3.0478,6.0428,19.0436,4909275000.0,,,,,,,
1588780800000,28286257,10.28,10.86,10.11,10.68,0.29,2.79,29.93,296498354.0,,,26.9709,3.1328,6.2115,19.5751,5046300000.0,,,,,,,
1588867200000,30541643,10.45,11.19,10.42,10.87,0.19,1.78,32.32,329607831.0,,,27.4507,3.1886,6.322,19.9234,5136075000.0,,,,,,,
1589126400000,27869406,10.79,11.59,10.68,10.9,0.03,0.28,29.49,309798847.0,,,27.5264,3.1974,6.3395,19.9784,5150250000.0,,,,,,,
1589212800000,25616068,10.82,11.14,10.44,11.1,0.2,1.83,27.11,276806031.0,,,28.0315,3.256,6.4558,20.345,5244750000.0,,,,,,,
1589299200000,25620383,10.95,11.74,10.88,11.12,0.02,0.18,27.11,287697365.0,,,28.082,3.2619,6.4674,20.3816,5254200000.0,,,,,,,
1589385600000,33655594,11.01,11.96,10.92,11.67,0.55,4.95,35.61,383749099.0,,,29.471,3.4232,6.7873,21.3897,5514075000.0,,,,,,,
1589472000000,26177778,11.48,11.59,10.9,10.98,-0.69,-5.91,27.7,294315692.0,,,27.7285,3.2208,6.386,20.125,5188050000.0,,,,,,,
1589731200000,21792558,10.83,11.3,10.58,10.66,-0.32,-2.91,23.06,238939976.0,,,26.9204,3.127,6.1999,19.5385,5036850000.0,,,,,,,
1589817600000,29845545,10.68,11.73,10.68,11.73,1.07,10.04,31.58,342969050.0,,,29.6225,3.4408,6.8222,21.4997,5542425000.0,,,,,,,
1589904000000,51151238,12.11,12.88,11.78,12.03,0.3,2.56,54.13,625540540.0,,,30.3801,3.5288,6.9967,22.0495,5684175000.0,,,,,,,
1589990400000,41816888,12.04,13.18,11.8,12.76,0.73,6.07,44.25,518601047.0,,,32.2236,3.743,7.4212,23.3875,6029100000.0,,,,,,,
1590076800000,26719500,12.1,12.35,11.58,11.85,-0.91,-7.13,28.27,320089953.0,,,29.9255,3.476,6.892,21.7196,5599125000.0,,,,,,,
1590336000000,22262100,11.89,12.07,11.01,11.35,-0.5,-4.22,23.56,256796160.0,,,28.6629,3.3294,6.6012,20.8032,5362875000.0,,,,,,,
1590422400000,15891785,11.21,11.58,11.06,11.47,0.12,1.06,16.82,180010739.0,,,28.9659,3.3646,6.671,21.0231,5419575000.0,,,,,,,
1590508800000,20049394,11.38,11.75,11.17,11.58,0.11,0.96,21.22,229618304.0,,,29.2437,3.3968,6.735,21.2247,5471550000.0,,,,,,,
1590595200000,16796179,11.6,11.62,10.88,11.1,-0.48,-4.15,17.77,188592001.0,,,28.0315,3.256,6.4558,20.345,5244750000.0,,,,,,,
1590681600000,14489735,11.1,11.17,10.61,10.67,-0.43,-3.87,15.33,157205006.0,,,26.9456,3.1299,6.2057,19.5568,5041575000.0,,,,,,,
1590940800000,10682805,10.64,11.11,10.64,10.94,0.27,2.53,11.3,116406400.0,,,27.6275,3.2091,6.3627,20.0517,5169150000.0,,,,,,,
1591027200000,13294888,10.95,11.38,10.86,11.15,0.21,1.92,14.07,148694900.0,,,28.1578,3.2707,6.4849,20.4366,5268375000.0,,,,,,,
1591113600000,25666202,11.35,12.27,11.15,12.27,1.12,10.04,27.16,304094118.0,,,30.9862,3.5992,7.1363,22.4894,5797575000.0,,,,,,,
1591200000000,27534245,13.0,13.5,12.8,13.5,1.23,10.02,29.14,367931567.0,,,34.0924,3.96,7.8516,24.7439,6378750000.0,,,,,,,
1591286400000,57085319,13.99,14.63,12.8,12.95,-0.55,-4.07,60.41,789038457.0,,,32.7034,3.7987,7.5317,23.7358,6118875000.0,,,,,,,
1591545600000,33583121,12.12,12.38,11.72,11.86,-1.09,-8.42,35.54,403763476.0,,,29.9508,3.479,6.8978,21.7379,5603850000.0,,,,,,,
1591632000000,21075078,11.76,12.08,11.61,11.8,-0.06,-0.51,22.3,248786083.0,,,29.7993,3.4614,6.8629,21.628,5575500000.0,,,,,,,
1591718400000,16962882,11.73,11.87,11.38,11.76,-0.04,-0.34,17.95,197126848.0,,,29.6983,3.4496,6.8396,21.5547,5556600000.0,,,,,,,
1591804800000,14599893,11.7,11.91,11.53,11.69,-0.07,-0.6,15.45,171217588.0,,,29.5215,3.4291,6.7989,21.4264,5523525000.0,,,,,,,
1591891200000,15515103,11.33,11.88,11.21,11.65,-0.04,-0.34,16.42,180276073.0,,,29.4205,3.4174,6.7757,21.353,5504625000.0,,,,,,,
1592150400000,14891944,11.63,11.88,11.3,11.3,-0.35,-3.0,15.76,172458846.0,,,28.5366,3.3147,6.5721,20.7115,5339250000.0,,,,,,,
1592236800000,11992991,11.38,11.49,11.18,11.35,0.05,0.44,12.69,135824899.0,,,28.6629,3.3294,6.6012,20.8032,5362875000.0,,,,,,,
1592323200000,13277637,11.35,11.36,10.98,11.09,-0.26,-2.29,14.05,147534724.0,,,28.0063,3.2531,6.45,20.3266,5240025000.0,,,,,,,
1592409600000,8927160,11.12,11.19,10.92,11.06,-0.03,-0.27,9.45,98591621.0,,,27.9305,3.2443,6.4325,20.2716,5225850000.0,,,,,,,
1592496000000,26626796,11.08,12.17,11.08,12.17,1.11,10.04,28.18,313898700.0,,,30.7337,3.5699,7.0781,22.3061,5750325000.0,,,,,,,
1592755200000,23662346,11.9,12.16,11.65,11.73,-0.44,-3.62,25.04,279662759.0,,,29.6225,3.4408,6.8222,21.4997,5542425000.0,,,,,,,
