timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,9027864,2.1147,2.1147,2.0648,2.0748,-0.0299,-1.42,0.36,18888460.0,,,-25.6078,0.7234,4.4806,116.5498,5693692049.76,,2737283,0.09,19800,,,
1565539200000,7350316,2.0648,2.0948,2.0648,2.0948,0.0199,0.96,0.3,15332939.0,,,-25.854,0.7304,4.5237,117.6704,5748439088.7,,3130583,0.11,393300,,,
1565625600000,4740800,2.0848,2.0848,2.0648,2.0748,-0.0199,-0.95,0.19,9860883.0,,,-25.6078,0.7234,4.4806,116.5498,5693692049.76,,3263083,0.11,132500,,,
1565712000000,8273401,2.0948,2.1147,2.0848,2.1047,0.0299,1.44,0.33,17413196.0,,,-25.9771,0.7338,4.5453,118.2308,5775812608.17,,3401083,0.12,138000,,,
1565798400000,6717850,2.0648,2.1047,2.0549,2.0948,-0.0099,-0.47,0.27,13997727.0,,,-25.854,0.7304,4.5237,117.6704,5748439088.7,,3839883,0.14,438800,,,
1565884800000,9582855,2.0948,2.1247,2.0848,2.1147,0.0199,0.95,0.39,20263551.0,,,-26.1002,0.7373,4.5668,118.7911,5803186127.64,,4933183,0.18,1093300,,,
1566144000000,12489367,2.1247,2.1746,2.1147,2.1646,0.0499,2.36,0.5,26890526.0,,,-26.7158,0.7547,4.6745,121.5928,5940053724.99,,6317703,0.23,1384520,,,
1566230400000,10602091,2.1646,2.2045,2.1546,2.1746,0.01,0.46,0.43,23206809.0,,,-26.8389,0.7582,4.6961,122.1531,5967427244.46,,7532603,0.27,1214900,,,
1566316800000,8055047,2.1646,2.1945,2.1646,2.1845,0.01,0.46,0.32,17597318.0,,,-26.962,0.7617,4.7176,122.7135,5994800763.93,,8512159,0.31,979556,,,
1566403200000,6204200,2.1845,2.1945,2.1546,2.1845,0.0,0.0,0.25,13510627.0,,,-26.962,0.7617,4.7176,122.7135,5994800763.93,,8680059,0.31,167900,,,
1566489600000,5690201,2.1746,2.1945,2.1646,2.1746,-0.01,-0.46,0.23,12433158.0,,,-26.8389,0.7582,4.6961,122.1531,5967427244.46,,8794359,0.32,114300,,,
1566748800000,9661512,2.1446,2.1746,2.1147,2.1646,-0.01,-0.46,0.39,20883940.0,,,-26.7158,0.7547,4.6745,121.5928,5940053724.99,,9126059,0.33,331700,,,
1566835200000,25637513,2.1746,2.2743,2.1746,2.2743,0.1097,5.07,1.03,57486784.0,,,-28.0701,0.793,4.9115,127.7565,6241162439.16,,7903659,0.28,-1222400,,,
1566921600000,20922445,2.2943,2.3441,2.2344,2.2444,-0.03,-1.32,0.84,47566209.0,,,-27.7007,0.7825,4.8469,126.0755,6159041880.75,,7263659,0.26,-640000,,,
1567008000000,12275800,2.2444,2.2544,2.2045,2.2045,-0.04,-1.78,0.49,27419571.0,,,-27.2083,0.7686,4.7607,123.8341,6049547802.87,,7958959,0.29,695300,,,
1567094400000,11218005,2.2244,2.2544,2.1746,2.1945,-0.0099,-0.45,0.45,24919069.0,,,-27.0852,0.7651,4.7391,123.2738,6022174283.4,,7973559,0.29,14600,,,
1567353600000,10179141,2.1945,2.2344,2.1845,2.2344,0.0399,1.82,0.41,22611805.0,,,-27.5776,0.7791,4.8253,125.5151,6131668361.28,,8562959,0.31,589400,,,
1567440000000,10012701,2.2244,2.2544,2.2244,2.2344,0.0,0.0,0.4,22441863.0,,,-27.5776,0.7791,4.8253,125.5151,6131668361.28,,8344159,0.3,-218800,,,
1567526400000,10503204,2.2244,2.2444,2.2145,2.2444,0.0101,0.45,0.42,23502832.0,,,-27.7007,0.7825,4.8469,126.0755,6159041880.75,,8685859,0.31,341700,,,
1567612800000,16729288,2.2444,2.2943,2.2444,2.2643,0.02,0.89,0.67,38073943.0,,,-27.947,0.7895,4.8899,127.1961,6213788919.69,,9808691,0.35,1122832,,,
1567699200000,9849701,2.2643,2.2743,2.2444,2.2643,0.0,0.0,0.4,22326551.0,,,-27.947,0.7895,4.8899,127.1961,6213788919.69,,9727191,0.35,-81500,,,
1567958400000,14094924,2.2843,2.2943,2.2643,2.2843,0.0199,0.88,0.57,32206870.0,,,-28.1932,0.7964,4.933,128.3168,6268535958.63,,10543367,0.38,816176,,,
1568044800000,25993070,2.2943,2.3541,2.2643,2.3242,0.04,1.75,1.05,60145954.0,,,-28.6856,0.8104,5.0192,130.5582,6378030036.51,,8549817,0.31,-1993550,,,
1568131200000,15128510,2.3142,2.3242,2.2743,2.2843,-0.04,-1.72,0.61,34891996.0,,,-28.1932,0.7964,4.933,128.3168,6268535958.63,,8514717,0.31,-35100,,,
