timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,32177195,26.5032,28.6788,25.7911,26.7998,-1.2452,-4.44,4.08,872560173.0,,,105.9553,2.1114,27.2283,-18.4889,51579222197.2,,7786961,0.98,-467609,,,
1565539200000,14423157,26.4339,27.0669,25.9296,26.3449,-0.4556,-1.7,1.83,385085455.0,,,104.1568,2.0756,26.7661,-18.1751,50703707724.48,,7637661,0.96,-149300,,,
1565625600000,11910890,26.2065,26.7306,25.7714,26.0483,-0.2977,-1.13,1.51,315351056.0,,,102.9839,2.0522,26.4647,-17.9704,50132720024.88,,7645761,0.97,8100,,,
1565712000000,10300383,26.5131,26.5328,25.8801,25.9098,-0.1381,-0.53,1.31,272147681.0,,,102.4365,2.0413,26.324,-17.8749,49866259098.4,,7324961,0.92,-320800,,,
1565798400000,19825202,24.9209,25.5736,23.9814,25.2769,-0.6322,-2.44,2.52,496446369.0,,,99.9342,1.9914,25.681,-17.4382,48648152005.92,,6125332,0.77,-1199629,,,
1565884800000,13499424,25.2176,25.5538,24.8022,24.8813,-0.3943,-1.56,1.71,343774056.0,,,98.3703,1.9603,25.2791,-17.1653,47886835073.12,,5113732,0.64,-1011600,,,
1566144000000,17839519,25.1681,25.8604,24.7627,25.6725,0.7912,3.18,2.26,456721604.0,,,101.4982,2.0226,26.0829,-17.7111,49409468938.72,21889393.0,3227682,0.4,-1886050,,,
1566230400000,29420033,26.0087,28.0756,25.89,27.0075,1.335,5.2,3.73,801367595.0,,,106.7764,2.1278,27.4393,-18.6322,51978913586.92,58272052.0,1179295,0.14,-2048387,,,
1566316800000,31852612,27.3932,29.1238,27.0372,28.9359,1.9283,7.14,4.04,911254155.0,,,114.4005,2.2797,29.3985,-19.9625,55690333634.32,90652451.0,729095,0.09,-450200,,,
1566403200000,20098352,28.8074,28.8074,27.7591,27.9173,-1.0185,-3.52,2.55,571691249.0,,,110.3734,2.1995,28.3636,-19.2598,53729942532.36,91145478.0,508890,0.06,-220205,,,
1566489600000,16424592,27.9173,28.2338,27.0965,27.4723,-0.4439,-1.59,2.08,456098408.0,,,108.614,2.1644,27.9115,-18.9528,52873460982.96,111516562.0,663132,0.08,154242,,,
1566748800000,11442965,26.0878,26.9185,26.0878,26.5724,-0.9011,-3.28,1.45,306977958.0,,,105.0561,2.0935,26.9972,-18.332,51141464960.84,110538830.0,791532,0.1,128400,,,
1566835200000,11546005,26.8691,27.324,26.7603,26.8987,0.3268,1.23,1.47,316000236.0,,,106.3463,2.1192,27.3288,-18.5571,51769551430.4,126377452.0,663156,0.08,-128376,,,
1566921600000,7864462,26.7306,27.2745,26.4438,26.6812,-0.2179,-0.81,1.0,213362106.0,,,105.4861,2.1021,27.1077,-18.407,51350827117.36,126188924.0,712767,0.09,49611,,,
