timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1349369,6.84,6.85,6.62,6.68,-0.12,-1.76,1.13,9070644.0,,,13.1222,2.0325,1.4927,-53.3019,1929574780.0,,,,,,,
1565539200000,757951,6.63,6.78,6.63,6.78,0.1,1.5,0.63,5096897.0,,,13.3186,2.063,1.5151,-54.0998,1958460630.0,,,,,,,
1565625600000,833009,6.73,6.76,6.62,6.68,-0.1,-1.47,0.7,5559939.0,,,13.1222,2.0325,1.4927,-53.3019,1929574780.0,,,,,,,
1565712000000,975641,6.74,6.82,6.7,6.77,0.09,1.35,0.82,6600575.0,,,13.299,2.0599,1.5129,-54.02,1955572045.0,,,,,,,
1565798400000,1204120,6.55,6.72,6.51,6.71,-0.06,-0.89,1.01,7954627.0,,,13.1811,2.0417,1.4994,-53.5413,1938240535.0,,,,,,,
1565884800000,1142120,6.74,6.8,6.67,6.78,0.07,1.04,0.96,7716376.0,,,13.3186,2.063,1.5151,-54.0998,1958460630.0,,,,,,,
1566144000000,1331700,6.81,7.05,6.79,7.03,0.25,3.69,1.11,9224874.0,,,13.8098,2.139,1.571,-56.0946,2030675255.0,,,,,,,
1566230400000,1765114,7.09,7.15,6.88,6.93,-0.1,-1.42,1.48,12322359.0,,,13.6133,2.1086,1.5486,-55.2967,2001789405.0,,,,,,,
1566316800000,2645740,6.95,7.24,6.95,7.07,0.14,2.02,2.21,18744433.0,,,13.8883,2.1512,1.5799,-56.4138,2042229595.0,,,,,,,
1566403200000,1549870,7.03,7.03,6.91,6.97,-0.1,-1.41,1.3,10788875.0,,,13.6919,2.1208,1.5575,-55.6159,2013343745.0,,,,,,,
1566489600000,1018077,6.95,7.02,6.93,6.97,0.0,0.0,0.85,7093421.0,,,13.6919,2.1208,1.5575,-55.6159,2013343745.0,,,,,,,
1566748800000,2479161,6.78,7.09,6.77,6.99,0.02,0.29,2.07,17212268.0,,,13.7312,2.1269,1.562,-55.7755,2019120915.0,,,,,,,
1566835200000,3021887,7.0,7.11,6.96,7.09,0.1,1.43,2.53,21332890.0,,,13.9276,2.1573,1.5844,-56.5734,2048006765.0,,,,,,,
1566921600000,3876097,7.12,7.19,7.07,7.14,0.05,0.71,3.24,27659434.0,,,14.0258,2.1725,1.5955,-56.9724,2062449690.0,,,,,,,
1567008000000,2298320,7.16,7.25,7.15,7.18,0.04,0.56,1.92,16537642.0,,,14.1044,2.1847,1.6045,-57.2915,2074004030.0,,,,,,,
1567094400000,1636440,7.17,7.23,7.04,7.11,-0.07,-0.97,1.37,11671347.0,,,13.9669,2.1634,1.5888,-56.733,2053783935.0,,,,,,,
1567353600000,2110330,7.17,7.26,7.07,7.26,0.15,2.11,1.77,15190929.0,,,14.2616,2.209,1.6223,-57.9299,2097112710.0,,,,,,,
1567440000000,2061251,7.23,7.32,7.23,7.28,0.02,0.28,1.72,14995141.0,,,14.3009,2.2151,1.6268,-58.0895,2102889880.0,,,,,,,
1567526400000,2922579,7.29,7.43,7.25,7.39,0.11,1.51,2.44,21530270.0,,,14.5169,2.2486,1.6514,-58.9672,2134664315.0,,,,,,,
1567612800000,2811080,7.48,7.48,7.37,7.4,0.01,0.14,2.35,20886984.0,,,14.5366,2.2516,1.6536,-59.047,2137552900.0,,,,,,,
1567699200000,1690020,7.41,7.46,7.34,7.41,0.01,0.14,1.41,12473506.0,,,14.5562,2.2547,1.6559,-59.1268,2140441485.0,,,,,,,
1567958400000,2329907,7.45,7.58,7.44,7.56,0.15,2.02,1.95,17472019.0,,,14.8509,2.3003,1.6894,-60.3237,2183770260.0,,,,,,,
1568044800000,1551775,7.61,7.61,7.49,7.59,0.03,0.4,1.3,11701515.0,,,14.9098,2.3094,1.6961,-60.5631,2192436015.0,,,,,,,
1568131200000,1769900,7.57,7.58,7.47,7.48,-0.11,-1.45,1.48,13311245.0,,,14.6937,2.276,1.6715,-59.6853,2160661580.0,,,,,,,
1568217600000,1237640,7.52,7.59,7.47,7.55,0.07,0.94,1.04,9312732.0,,,14.8312,2.2973,1.6872,-60.2439,2180881675.0,,,,,,,
1568563200000,1374414,7.57,7.58,7.47,7.5,-0.05,-0.66,1.15,10337657.0,,,14.733,2.2821,1.676,-59.8449,2166438750.0,,,,,,,
1568649600000,1503789,7.52,7.52,7.25,7.31,-0.19,-2.53,1.26,11115572.0,,,14.3598,2.2242,1.6335,-58.3289,2111555635.0,,,,,,,
1568736000000,1021240,7.35,7.39,7.3,7.38,0.07,0.96,0.85,7511902.0,,,14.4973,2.2455,1.6492,-58.8874,2131775730.0,,,,,,,
1568822400000,1309046,7.39,7.55,7.32,7.51,0.13,1.76,1.1,9748868.0,,,14.7527,2.2851,1.6782,-59.9247,2169327335.0,,,,,,,
1568908800000,1376089,7.57,7.58,7.48,7.51,0.0,0.0,1.15,10361360.0,,,14.7527,2.2851,1.6782,-59.9247,2169327335.0,,,,,,,
1569168000000,967680,7.47,7.54,7.37,7.52,0.01,0.13,0.81,7198328.0,,,14.7723,2.2881,1.6804,-60.0045,2172215920.0,,,,,,,
1569254400000,1211520,7.53,7.58,7.47,7.53,0.01,0.13,1.01,9118949.0,,,14.792,2.2912,1.6827,-60.0843,2175104505.0,,,,,,,
1569340800000,1352660,7.55,7.55,7.39,7.41,-0.12,-1.59,1.13,10060759.0,,,14.5562,2.2547,1.6559,-59.1268,2140441485.0,,,,,,,
