timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,14091360,3.4455,3.4755,3.3556,3.3756,-0.0598,-1.74,1.14,48157483.0,,,55.7433,1.4682,1.6769,-3.4461,5422338233.78,828525129.0,2607800,0.16,197500,,,
1565539200000,10054536,3.3656,3.4255,3.3656,3.4255,0.05,1.48,0.81,34207339.0,,,56.5679,1.49,1.7017,-3.4971,5502550337.83,829666278.0,3061053,0.19,453253,,,
1565625600000,8074774,3.4056,3.4056,3.3656,3.3956,-0.0298,-0.87,0.65,27363487.0,,,56.0731,1.4769,1.6868,-3.4665,5454423075.4,831182545.0,2964932,0.18,-96121,,,
1565712000000,10106036,3.4255,3.4555,3.4056,3.4156,0.02,0.59,0.81,34684858.0,,,56.403,1.4856,1.6967,-3.4869,5486507917.02,830892802.0,3423945,0.21,459013,,,
1565798400000,14890157,3.3257,3.4156,3.3057,3.3956,-0.0198,-0.58,1.2,50034406.0,,,56.0731,1.4769,1.6868,-3.4665,5454423075.4,830553901.0,2996905,0.18,-427040,,,
1565884800000,13387194,3.4056,3.4455,3.3756,3.3956,0.0,0.0,1.08,45720379.0,,,56.0731,1.4769,1.6868,-3.4665,5454423075.4,826432329.0,3010115,0.18,13210,,,
1566144000000,24583261,3.4355,3.5853,3.4056,3.5354,0.1399,4.12,1.98,86003826.0,,,58.382,1.5377,1.7562,-3.6093,5679016966.74,825375951.0,3967065,0.24,956950,,,
1566230400000,18464720,3.5154,3.5554,3.4655,3.4955,-0.04,-1.13,1.49,64895933.0,,,57.7223,1.5204,1.7364,-3.5685,5614847283.5,824795223.0,4158785,0.25,191720,,,
1566316800000,27311531,3.4855,3.6453,3.4655,3.5454,0.05,1.43,2.2,97491612.0,,,58.5469,1.5421,1.7612,-3.6195,5695059387.55,821206425.0,3004985,0.18,-1153800,,,
1566403200000,19129072,3.5354,3.5754,3.4955,3.5754,0.0301,0.85,1.54,67656732.0,,,59.0417,1.5551,1.7761,-3.65,5743186649.98,824939497.0,3392691,0.21,387706,,,
1566489600000,11983520,3.5554,3.5754,3.5254,3.5354,-0.04,-1.12,0.97,42531679.0,,,58.382,1.5377,1.7562,-3.6093,5679016966.74,827221760.0,2749791,0.17,-642900,,,
1566748800000,15591138,3.4655,3.4655,3.4156,3.4355,-0.0997,-2.82,1.26,53661313.0,,,56.7328,1.4943,1.7066,-3.5073,5518592758.64,829707672.0,2988191,0.18,238400,,,
1566835200000,15429047,3.4455,3.5254,3.4455,3.4955,0.0598,1.74,1.24,53967679.0,,,57.7223,1.5204,1.7364,-3.5685,5614847283.5,828912220.0,3169591,0.19,181400,,,
1566921600000,13918152,3.5254,3.5354,3.4655,3.5054,0.0101,0.29,1.12,48743425.0,,,57.8872,1.5247,1.7414,-3.5787,5630889704.31,831506306.0,3512691,0.21,343100,,,
1567008000000,12710740,3.5054,3.5454,3.4855,3.4855,-0.02,-0.57,1.03,44620677.0,,,57.5574,1.516,1.7314,-3.5583,5598804862.69,825576435.0,3577591,0.22,64900,,,
1567094400000,15480496,3.5054,3.5354,3.4056,3.4355,-0.0498,-1.43,1.25,53697431.0,,,56.7328,1.4943,1.7066,-3.5073,5518592758.64,822598116.0,3274211,0.2,-303380,,,
1567353600000,16127344,3.4455,3.5154,3.4056,3.5054,0.0697,2.03,1.3,56294466.0,,,57.8872,1.5247,1.7414,-3.5787,5630889704.31,822772102.0,3703311,0.23,429100,,,
1567440000000,25968989,3.5254,3.5853,3.4855,3.5254,0.02,0.57,2.09,91763202.0,,,58.2171,1.5334,1.7513,-3.5991,5662974545.93,817862300.0,5198965,0.32,1495654,,,
1567526400000,30896288,3.5554,3.6453,3.5354,3.5953,0.0698,1.98,2.49,111021217.0,,,59.3715,1.5638,1.786,-3.6704,5775271491.6,826652154.0,4435195,0.27,-763770,,,
1567612800000,36394290,3.6253,3.6752,3.5853,3.6353,0.0399,1.11,2.93,132275836.0,,,60.0312,1.5812,1.8059,-3.7112,5839441174.84,830378169.0,5928275,0.36,1493080,,,
1567699200000,19176629,3.6353,3.6453,3.5853,3.6153,-0.02,-0.55,1.55,69311206.0,,,59.7014,1.5725,1.7959,-3.6908,5807356333.22,831935674.0,5225375,0.32,-702900,,,
1567958400000,36334881,3.6552,3.7252,3.6153,3.7052,0.09,2.49,2.93,133301317.0,,,61.1857,1.6116,1.8406,-3.7826,5951738120.51,821959344.0,8236375,0.51,3011000,,,
1568044800000,38062778,3.6952,3.7951,3.6453,3.7651,0.06,1.62,3.07,142073736.0,,,62.1752,1.6377,1.8704,-3.8438,6047992645.37,813597596.0,10248480,0.63,2012105,,,
1568131200000,24622977,3.7551,3.7751,3.6752,3.6852,-0.0798,-2.12,1.99,91853928.0,,,60.8558,1.6029,1.8307,-3.7622,5919653278.89,808906463.0,11047171,0.68,798691,,,
1568217600000,35984417,3.7152,3.815,3.6952,3.7551,0.07,1.9,2.9,135735024.0,,,62.0103,1.6333,1.8654,-3.8336,6031950224.56,789292608.0,11805971,0.73,758800,,,
1568563200000,22703749,3.7751,3.835,3.7152,3.7551,0.0,0.0,1.83,85648803.0,,,62.0103,1.6333,1.8654,-3.8336,6031950224.56,755629996.0,12278191,0.76,472220,,,
1568649600000,32670980,3.7551,3.7851,3.6552,3.7451,-0.0101,-0.27,2.63,121557234.0,,,61.8453,1.629,1.8604,-3.8234,6015907803.75,755035241.0,9053289,0.56,-3224902,,,
1568736000000,28016723,3.7252,3.7551,3.6153,3.6353,-0.1097,-2.93,2.26,102797232.0,,,60.0312,1.5812,1.8059,-3.7112,5839441174.84,771543820.0,6229550,0.38,-2823739,,,
1568822400000,20164426,3.6552,3.6852,3.5654,3.6453,0.0098,0.27,1.63,73076979.0,,,60.1961,1.5855,1.8108,-3.7214,5855483595.65,762047224.0,5484111,0.34,-745439,,,
1568908800000,21741809,3.6453,3.7252,3.6053,3.6652,0.02,0.55,1.75,79960246.0,,,60.526,1.5942,1.8207,-3.7418,5887568437.27,754544174.0,7021770,0.43,1537659,,,
1569168000000,13988802,3.6453,3.6453,3.5654,3.5953,-0.07,-1.91,1.13,50371133.0,,,59.3715,1.5638,1.786,-3.6704,5775271491.6,755428810.0,6324770,0.39,-697000,,,
1569254400000,11963923,3.6053,3.6453,3.5853,3.5853,-0.0101,-0.28,0.96,43305710.0,,,59.2066,1.5595,1.7811,-3.6602,5759229070.79,744659203.0,6088137,0.37,-236633,,,
1569340800000,19350600,3.5953,3.5953,3.4755,3.4955,-0.09,-2.51,1.56,68023066.0,,,57.7223,1.5204,1.7364,-3.5685,5614847283.5,741476128.0,4248437,0.26,-1839700,,,
1569427200000,15681800,3.5254,3.5354,3.4355,3.4555,-0.0398,-1.14,1.26,54539006.0,,,57.0626,1.503,1.7166,-3.5277,5550677600.26,736703130.0,3470337,0.21,-778100,,,
