timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1597939200000,170338,12.65,15.18,12.65,15.18,4.64,44.02,0.37,2580418.0,,,33.3737,4.5528,5.7158,153.29,6965239062.54,,,,,,,
1598198400000,61080,16.7,16.7,16.7,16.7,1.52,10.01,0.13,1020036.0,,,36.7155,5.0087,6.2882,168.6392,7662680655.1,,,,,,,
1598284800000,67202,18.37,18.37,18.37,18.37,1.67,10.0,0.15,1234501.0,,,40.3871,5.5095,6.917,185.5031,8428948720.61,,,,,,,
1598371200000,326491,20.21,20.21,20.21,20.21,1.84,10.02,0.71,6598383.0,,,44.4324,6.0614,7.6098,204.0837,9273220122.13,,,,,,,
1598457600000,23915743,21.4,21.4,18.5,18.53,-1.68,-8.31,51.99,464510464.0,,,40.7388,5.5575,6.9772,187.1188,8502363625.09,,,,,,,
1598544000000,16455318,17.7,17.78,16.75,16.8,-1.73,-9.34,35.77,281711653.0,,,36.9354,5.0387,6.3258,169.649,7708564970.4,,,,,,,
1598803200000,11215725,16.53,17.49,16.24,16.79,-0.01,-0.06,24.38,190149389.0,,,36.9134,5.0357,6.322,169.548,7703976538.87,,,,,,,
1598889600000,5743866,16.59,17.08,16.35,16.7,-0.09,-0.54,12.49,96035608.0,,,36.7155,5.0087,6.2882,168.6392,7662680655.1,,,,,,,
1598976000000,7855187,16.7,16.78,16.02,16.11,-0.59,-3.53,17.08,127634810.0,,,35.4184,4.8317,6.066,162.6812,7391963194.83,,,,,,,
1599062400000,7048738,16.14,16.14,15.41,15.44,-0.67,-4.16,15.32,110511917.0,,,33.9454,4.6308,5.8137,155.9155,7084538282.32,,,,,,,
1599148800000,4031062,15.05,15.65,14.92,15.45,0.01,0.06,8.76,61604737.0,,,33.9673,4.6338,5.8175,156.0165,7089126713.85,,,,,,,
1599408000000,3196704,15.37,15.57,15.21,15.29,-0.16,-1.04,6.95,49063339.0,,,33.6156,4.5858,5.7572,154.4008,7015711809.37,,,,,,,
1599494400000,3034117,15.29,15.38,14.94,15.08,-0.21,-1.37,6.6,45783096.0,,,33.1539,4.5228,5.6782,152.2801,6919354747.24,,,,,,,
1599580800000,3623082,14.9,14.97,14.46,14.57,-0.51,-3.38,7.88,53506786.0,,,32.0326,4.3698,5.4861,147.1301,6685344739.21,,,,,,,
1599667200000,3020187,14.66,14.85,14.28,14.36,-0.21,-1.44,6.57,44021047.0,,,31.5709,4.3068,5.4071,145.0095,6588987677.08,,,,,,,
1599753600000,3442391,14.36,14.89,14.07,14.82,0.46,3.2,7.48,49745806.0,,,32.5823,4.4448,5.5803,149.6546,6800055527.46,,,,,,,
1600012800000,2600292,14.73,15.05,14.68,14.89,0.07,0.47,5.65,38712490.0,,,32.7362,4.4658,5.6066,150.3615,6832174548.17,,,,,,,
1600099200000,5065086,14.8,15.57,14.73,15.44,0.55,3.69,11.01,77793920.0,,,33.9454,4.6308,5.8137,155.9155,7084538282.32,,,,,,,
1600185600000,3012821,15.45,15.47,15.11,15.33,-0.11,-0.71,6.55,46014960.0,,,33.7035,4.5978,5.7723,154.8047,7034065535.49,,,,,,,
1600272000000,4491727,15.24,15.85,15.23,15.56,0.23,1.5,9.76,69725047.0,,,34.2092,4.6668,5.8589,157.1273,7139599460.68,,,,,,,
1600358400000,2901359,15.36,15.6,15.32,15.43,-0.13,-0.84,6.31,44761253.0,,,33.9234,4.6278,5.81,155.8145,7079949850.79,,,,,,,
1600617600000,2047522,15.35,15.44,15.15,15.24,-0.19,-1.23,4.45,31254933.0,,,33.5056,4.5708,5.7384,153.8958,6992769651.72,,,,,,,
1600704000000,2333101,15.24,15.24,14.8,14.85,-0.39,-2.56,5.07,35032812.0,,,32.6482,4.4538,5.5916,149.9576,6813820822.05,,,,,,,
1600790400000,3478831,15.15,16.34,15.15,16.34,1.49,10.03,7.56,56217600.0,,,35.924,4.9007,6.1526,165.0038,7497497120.02,,,,,,,
1600876800000,11690034,16.34,17.0,15.95,15.99,-0.35,-2.14,25.41,193948850.0,,,35.1545,4.7957,6.0208,161.4695,7336902016.47,,,,,,,
1600963200000,8458662,15.85,16.58,15.38,16.57,0.58,3.63,18.39,134524401.0,,,36.4297,4.9697,6.2392,167.3264,7603031045.21,,,,,,,
1601222400000,6958741,16.46,16.88,16.22,16.71,0.14,0.84,15.13,115400240.0,,,36.7375,5.0117,6.2919,168.7401,7667269086.63,,,,,,,
1601308800000,4421469,16.51,16.68,15.85,15.88,-0.83,-4.97,9.61,72052265.0,,,34.9127,4.7627,5.9794,160.3587,7286429269.64,,,,,,,
1601395200000,5016828,15.7,16.68,15.7,16.33,0.45,2.83,10.91,81141012.0,,,35.902,4.904,6.148840909560522,,7492908688.0,,,,,,,
1602172800000,13581942,16.6,17.96,16.52,17.93,1.6,9.8,29.53,237859492.0,,,39.4197,5.3776,6.7513,181.0599,8227057733.29,,,,,,,
1602432000000,7336396,17.61,19.72,17.5,19.72,1.79,9.98,15.95,139217621.0,,,43.3551,5.9144,7.4253,199.1356,9048386977.16,,,,,,,
1602518400000,9017647,19.99,20.5,18.57,19.59,-0.13,-0.66,19.6,174300520.0,,,43.0693,5.8754,7.3763,197.8228,8988737367.27,,,,,,,
1602604800000,4774895,19.73,20.1,19.21,19.6,0.01,0.05,10.38,93414010.0,,,43.0913,5.8784,7.3801,197.9238,8993325798.8,,,,,,,
