timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2045980,16.5073,16.5566,16.2018,16.3694,-0.2173,-1.31,5.0,34028125.0,,,37.1091,3.6526,2.8307,29.8137,2327560877.95,,,,,,,
1565539200000,6959752,16.261,17.483,16.261,17.2958,0.9265,5.66,17.01,119884669.0,,,39.2092,3.8593,2.9908,31.5009,2459283167.25,,,,,,,
1565625600000,6949098,17.1479,17.5126,16.8227,17.1381,-0.1574,-0.91,16.98,120556681.0,,,38.8517,3.8241,2.9636,31.2137,2436862352.05,,,,,,,
1565712000000,10315471,17.1676,18.301,17.0198,18.0546,0.9169,5.35,25.21,183304320.0,,,40.9295,4.0287,3.1221,32.883,2567183340.4,,,,,,,
1565798400000,7787429,17.5027,18.3207,17.2563,17.8871,-0.1679,-0.93,19.03,140622726.0,,,40.5497,3.9913,3.0931,32.5779,2543361224.25,,,,,,,
1565884800000,6163919,17.9363,17.9955,17.2958,17.414,-0.4722,-2.64,15.06,110250110.0,,,39.4773,3.8857,3.0113,31.7163,2476098778.65,,,,,,,
1566144000000,5833446,17.5126,17.8871,17.1775,17.7984,0.3848,2.21,14.25,103921196.0,,,40.3486,3.9715,3.0778,32.4163,2530749515.7,,,,,,,
1566230400000,4234655,17.7589,17.7589,17.3549,17.6308,-0.1673,-0.94,10.35,75348607.0,,,39.9688,3.9341,3.0488,32.1112,2506927399.55,,,,,,,
1566316800000,2721328,17.6111,17.6407,17.2071,17.3352,-0.2962,-1.68,6.65,48047706.0,,,39.2985,3.8681,2.9977,31.5727,2464888371.05,,,,,,,
1566403200000,2026008,17.2958,17.4929,17.2268,17.4337,0.0988,0.57,4.95,35740679.0,,,39.522,3.8901,3.0147,31.7522,2478901380.55,,,,,,,
1566489600000,3686236,17.4731,17.5816,16.5665,16.5665,-0.8664,-4.97,9.01,63351434.0,,,37.5559,3.6966,2.8647,30.1727,2355586896.95,,,,,,,
1566748800000,2500020,16.0442,16.261,15.8766,16.0639,-0.5019,-3.03,6.11,40763965.0,,,36.4165,3.5844,2.7778,29.2573,2284120548.5,,,,,,,
1566835200000,2334582,16.1624,16.3102,16.0244,16.192,0.1285,0.8,5.7,38263598.0,,,37.7539,3.4307,2.8798,30.3318,2368007924.4,,,,,,,
1566921600000,1625040,16.192,16.261,15.8766,15.985,-0.2073,-1.28,3.97,26417967.0,,,37.2714,3.3869,2.843,29.9441,2337741237.6,,,,,,,
1567008000000,1327100,16.1526,16.1526,15.7978,15.8766,-0.1087,-0.68,3.24,21464422.0,,,37.0186,3.3639,2.8238,29.741,2321887258.8,,,,,,,
1567094400000,1921720,15.9259,16.0244,15.4036,15.4627,-0.4144,-2.61,4.7,30675563.0,,,36.0535,3.2762,2.7501,28.9657,2261353885.2,,,,,,,
1567353600000,1678150,15.5317,16.1526,15.5021,15.9752,0.5118,3.31,4.1,27032995.0,,,37.2484,3.3848,2.8413,29.9256,2336299966.8,,,,,,,
1567440000000,1208040,16.1131,16.1526,15.8668,16.0146,0.0399,0.25,2.95,19603643.0,,,37.3403,3.3932,2.8483,29.9995,2342065050.0,,,,,,,
1567526400000,1082740,15.916,16.0244,15.7682,15.9357,-0.0785,-0.49,2.65,17465109.0,,,37.1565,3.3765,2.8343,29.8518,2330534883.6,,,,,,,
1567612800000,2118965,16.0047,16.2905,15.8766,16.0343,0.0988,0.62,5.18,34683201.0,,,37.3863,3.3973,2.8518,30.0364,2344947591.6,,,,,,,
1567699200000,1452427,16.1526,16.4088,16.0442,16.3102,0.2758,1.72,3.55,23930403.0,,,38.0297,3.4558,2.9009,30.5533,2385303174.0,,,,,,,
1567958400000,1811742,16.3989,16.5369,16.192,16.4581,0.1484,0.91,4.43,30043716.0,,,38.3744,3.4871,2.9272,30.8302,2406922236.0,,,,,,,
1568044800000,1646932,16.4581,16.4581,16.0934,16.2215,-0.237,-1.44,4.02,27105223.0,,,37.8229,3.437,2.8851,30.3872,2372331736.8,,,,,,,
1568131200000,1798372,16.3102,16.4975,16.2413,16.3102,0.0892,0.55,4.39,29935755.0,,,38.0297,3.4558,2.9009,30.5533,2385303174.0,,,,,,,
1568217600000,1180973,16.4482,16.4778,16.1723,16.3201,0.0098,0.06,2.89,19540378.0,,,38.0527,3.4579,2.9026,30.5718,2386744444.8,,,,,,,
1568563200000,1094260,16.2511,16.4482,16.2511,16.2708,-0.049,-0.3,2.67,18138662.0,,,37.9378,3.4475,2.8939,30.4795,2379538090.8,,,,,,,
1568649600000,1611383,16.2018,16.261,15.6894,15.7682,-0.5028,-3.09,3.94,25940276.0,,,36.7659,3.341,2.8045,29.538,2306033280.0,,,,,,,
1568736000000,725263,15.8668,15.9555,15.7682,15.916,0.1482,0.94,1.77,11676671.0,,,37.1105,3.3723,2.8308,29.8149,2327652342.0,,,,,,,
1568822400000,938743,15.8668,16.1427,15.8668,16.1328,0.2165,1.36,2.29,15281664.0,,,37.6161,3.4182,2.8693,30.221,2359360299.6,,,,,,,
1568908800000,1828480,16.2117,16.4186,16.1427,16.3792,0.2468,1.53,4.47,30297640.0,,,38.1905,3.4704,2.9131,30.6826,2395392069.6,,,,,,,
