timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,205829,0.347,0.347,0.335,0.339,-0.005,-1.45,0.06,69841.0,,,13.4916,2.3264,32.5843,75.6099,241073781.9,,,,,,,
1565539200000,281900,0.335,0.342,0.335,0.341,0.002,0.59,0.08,95478.0,,,13.5857,2.3427,32.8116,76.1373,242496046.1,,,,,,,
1565625600000,255200,0.337,0.34,0.33,0.337,-0.004,-1.17,0.07,85261.0,,,13.4484,2.319,32.4798,75.3674,239651517.7,,,,,,,
1565712000000,139700,0.346,0.346,0.335,0.339,0.002,0.59,0.04,47513.0,,,13.5255,2.3323,32.6661,75.7996,241073781.9,,,,,,,
1565798400000,211800,0.332,0.337,0.325,0.333,-0.006,-1.77,0.06,69638.0,,,13.2778,2.2896,32.0679,74.4115,236806989.3,,,,,,,
1565884800000,274100,0.333,0.341,0.331,0.334,0.001,0.3,0.08,92035.0,,,13.2861,2.291,32.0879,74.4581,236806989.3,,,,,,,
1566144000000,801700,0.338,0.342,0.332,0.342,0.009,2.7,0.23,271644.0,,,13.6555,2.3547,32.98,76.5281,243207178.2,,,,,,,
1566230400000,523400,0.342,0.342,0.335,0.338,-0.004,-1.17,0.15,176970.0,,,13.5128,2.3301,32.6355,75.7287,240362649.8,,,,,,,
1566316800000,702200,0.338,0.344,0.335,0.338,0.0,0.0,0.2,237366.0,,,13.5088,2.3294,32.6258,75.7061,240362649.8,,,,,,,
1566403200000,846100,0.336,0.338,0.328,0.328,-0.01,-2.96,0.25,281067.0,,,13.1197,2.2623,31.6862,73.5257,233251328.8,,,,,,,
1566489600000,1476943,0.328,0.343,0.327,0.334,0.006,1.83,0.43,495535.0,,,13.3753,2.3064,32.3033,74.9578,237518121.4,,,,,,,
1566748800000,594300,0.326,0.329,0.323,0.326,-0.008,-2.4,0.17,193706.0,,,13.0545,2.2511,31.5287,73.1603,231829064.6,,,,,,,
1566835200000,420300,0.326,0.331,0.325,0.325,-0.001,-0.31,0.12,137802.0,,,13.0588,2.2518,31.5389,73.184,231117932.5,,,,,,,
1566921600000,278000,0.325,0.331,0.325,0.33,0.005,1.54,0.08,91016.0,,,13.2643,2.2872,32.0354,74.3361,234673593.0,,,,,,,
1567008000000,109601,0.33,0.33,0.325,0.325,-0.005,-1.52,0.03,35919.0,,,13.0676,2.2533,31.5602,73.2336,231117932.5,,,,,,,
1567094400000,442300,0.326,0.331,0.325,0.33,0.005,1.54,0.13,145012.0,,,13.2726,2.2887,32.0553,74.3823,234673593.0,,,,,,,
1567353600000,469651,0.326,0.334,0.326,0.334,0.004,1.21,0.14,155450.0,,,13.4342,2.3165,32.4457,75.2881,237518121.4,,,,,,,
1567440000000,167800,0.331,0.332,0.323,0.332,-0.002,-0.6,0.05,55196.0,,,13.354,2.3027,32.2518,74.8384,236095857.2,,,,,,,
1567526400000,900200,0.332,0.333,0.323,0.329,-0.003,-0.9,0.26,294122.0,,,13.2322,2.2817,31.9577,74.1558,233962460.9,,,,,,,
1567612800000,1876602,0.328,0.344,0.328,0.335,0.006,1.82,0.54,635251.0,,,13.4686,2.3225,32.5286,75.4805,238229253.5,,,,,,,
1567699200000,765470,0.335,0.34,0.334,0.34,0.005,1.49,0.22,258248.0,,,13.6702,2.3572,33.0155,76.6103,241784914.0,,,,,,,
1567958400000,1113473,0.344,0.35,0.343,0.35,0.01,2.94,0.32,387166.0,,,14.0714,2.4264,33.9846,78.8591,248896235.0,,,,,,,
1568044800000,1213902,0.351,0.366,0.346,0.359,0.009,2.57,0.35,429168.0,,,14.4322,2.4886,34.856,80.8812,255296423.9,,,,,,,
1568131200000,930400,0.361,0.369,0.359,0.359,0.0,0.0,0.27,339024.0,,,14.4316,2.4885,34.8546,80.8778,255296423.9,,,,,,,
1568217600000,801200,0.36,0.362,0.35,0.359,0.0,0.0,0.23,284039.0,,,14.4322,2.4886,34.856,80.8812,255296423.9,,,,,,,
1568563200000,269775,0.355,0.359,0.353,0.355,-0.004,-1.11,0.08,95932.0,,,14.2334,2.4543,34.3757,79.7667,252451895.5,,,,,,,
1568649600000,441300,0.352,0.353,0.344,0.346,-0.009,-2.54,0.13,153473.0,,,13.8869,2.3946,33.5388,77.8248,246051706.6,,,,,,,
1568736000000,327000,0.342,0.35,0.342,0.347,0.001,0.29,0.09,113593.0,,,13.9266,2.4014,33.6348,78.0475,246762838.7,,,,,,,
1568822400000,333200,0.349,0.353,0.346,0.352,0.005,1.44,0.1,116879.0,,,14.1281,2.4362,34.1214,79.1766,250318499.2,,,,,,,
1568908800000,385700,0.356,0.358,0.348,0.356,0.004,1.14,0.11,136546.0,,,14.2882,2.4638,34.5082,80.074,253163027.6,,,,,,,
1569168000000,370500,0.352,0.358,0.35,0.357,0.001,0.28,0.11,131132.0,,,14.3292,2.4708,34.607,80.3035,253874159.7,,,,,,,
1569254400000,276600,0.357,0.362,0.353,0.358,0.001,0.28,0.08,99355.0,,,14.3683,2.4776,34.7015,80.5227,254585291.8,,,,,,,
1569340800000,704502,0.356,0.358,0.348,0.354,-0.004,-1.12,0.2,247504.0,,,14.2067,2.4497,34.3114,79.6174,251740763.4,,,,,,,
1569427200000,283336,0.359,0.36,0.346,0.349,-0.005,-1.41,0.08,98758.0,,,14.0071,2.4153,33.8292,78.4984,248185102.9,,,,,,,
1569513600000,70700,0.348,0.354,0.348,0.351,0.002,0.57,0.02,24802.0,,,14.0877,2.4292,34.024,78.9505,249607367.1,,,,,,,
1569772800000,113500,0.348,0.351,0.347,0.349,-0.002,-0.57,0.03,39574.0,,,16.7659,2.4069,33.6905,286.1588,248185102.9,,,,,,,
1570464000000,85400,0.346,0.351,0.345,0.347,-0.002,-0.57,0.02,29574.0,,,16.6691,2.393,33.496,284.5069,246762838.7,,,,,,,
1570550400000,91700,0.343,0.347,0.343,0.346,-0.001,-0.29,0.03,31569.0,,,16.6215,2.3862,33.4004,283.695,246051706.6,,,,,,,
1570636800000,96100,0.347,0.348,0.345,0.347,0.001,0.29,0.03,33307.0,,,16.67,2.3931,33.4979,284.523,246762838.7,,,,,,,
1570723200000,214700,0.345,0.35,0.343,0.348,0.001,0.29,0.06,74416.0,,,16.7174,2.3999,33.593,285.3308,247473970.8,,,,,,,
1570982400000,647436,0.353,0.356,0.351,0.354,0.006,1.72,0.19,229132.0,,,17.0051,2.4412,34.1712,290.2421,251740763.4,,,,,,,
1571068800000,195500,0.353,0.353,0.348,0.353,-0.001,-0.28,0.06,68447.0,,,16.953,2.4338,34.0665,289.3526,251029631.3,,,,,,,
1571155200000,484000,0.356,0.36,0.349,0.354,0.001,0.28,0.14,171846.0,,,17.0102,2.442,34.1813,290.3283,251740763.4,,,,,,,
1571241600000,156600,0.354,0.354,0.348,0.349,-0.005,-1.41,0.05,54867.0,,,16.7801,2.4089,33.719,286.4016,248185102.9,,,,,,,
1571328000000,139300,0.349,0.354,0.346,0.347,-0.002,-0.57,0.04,48459.0,,,16.6606,2.3918,33.4789,284.3621,246762838.7,,,,,,,
1571587200000,256000,0.343,0.351,0.341,0.343,-0.004,-1.15,0.07,87934.0,,,16.4662,2.3639,33.0883,281.0443,243918310.3,,,,,,,
1571673600000,75700,0.347,0.347,0.341,0.344,0.001,0.29,0.02,25957.0,,,16.5114,2.3704,33.1791,281.8159,244629442.4,,,,,,,
1571760000000,93800,0.345,0.345,0.34,0.34,-0.004,-1.16,0.03,31995.0,,,16.3388,2.3456,32.8323,278.87,241784914.0,,,,,,,
1571846400000,121900,0.347,0.347,0.335,0.342,0.002,0.59,0.04,41330.0,,,16.4291,2.3585,33.0138,280.4113,243207178.2,,,,,,,
1571932800000,127710,0.341,0.348,0.338,0.345,0.003,0.88,0.04,44162.0,,,16.5784,2.38,33.3137,282.9591,245340574.5,,,,,,,
1572192000000,179600,0.343,0.348,0.343,0.348,0.003,0.87,0.05,62140.0,,,16.7256,2.4011,33.6096,285.472,247473970.8,,,,,,,
1572278400000,133600,0.345,0.349,0.341,0.344,-0.004,-1.15,0.04,45877.0,,,16.4995,2.3687,33.1552,281.6125,244629442.4,,,,,,,
1572364800000,281000,0.341,0.342,0.336,0.339,-0.005,-1.45,0.08,95311.0,,,16.2516,2.3331,32.6571,277.3817,241073781.9,,,,,,,
1572451200000,99500,0.336,0.341,0.336,0.338,-0.001,-0.29,0.03,33711.0,,,16.1924,2.3246,32.5382,276.3715,240362649.8,,,,,,,
1572537600000,201675,0.334,0.34,0.334,0.34,0.002,0.59,0.06,67991.0,,,16.2661,2.3351,32.6861,277.6284,241784914.0,,,,,,,
1572796800000,66600,0.339,0.344,0.338,0.341,0.001,0.29,0.02,22653.0,,,16.3012,2.3402,32.7567,278.2276,242496046.1,,,,,,,
1572883200000,354800,0.341,0.341,0.335,0.341,0.0,0.0,0.1,119773.0,,,16.3019,2.3403,32.7581,278.2394,242496046.1,,,,,,,
1572969600000,106400,0.339,0.339,0.333,0.334,-0.007,-2.05,0.03,35586.0,,,15.8981,2.2823,31.9466,271.3468,237518121.4,,,,,,,
1573056000000,84094,0.335,0.335,0.331,0.335,0.001,0.3,0.02,28015.0,,,15.9293,2.2868,32.0093,271.8796,238229253.5,,,,,,,
1573142400000,145084,0.329,0.339,0.329,0.334,-0.001,-0.3,0.04,48789.0,,,15.8674,2.2779,31.885,270.8241,237518121.4,,,,,,,
1573401600000,186800,0.338,0.338,0.325,0.333,-0.001,-0.3,0.05,61801.0,,,15.8172,2.2707,31.7841,269.9669,236806989.3,,,,,,,
1573488000000,245600,0.333,0.338,0.332,0.337,0.004,1.2,0.07,82503.0,,,16.0198,2.2998,32.1912,273.4247,239651517.7,,,,,,,
