timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,39001654,4.1444,4.1642,4.0155,4.0353,-0.0891,-2.16,0.98,160629289.0,,,34.8263,1.5274,11.9492,-6.6164,16133532283.22,882368306.0,3919946,0.09,-919008,,,
1565539200000,42427794,4.065,4.1642,4.0551,4.1444,0.109,2.7,1.07,176124042.0,,,35.7675,1.5686,12.2721,-6.7953,16569573696.28,886814365.0,3943746,0.09,23800,,,
1565625600000,29579711,4.0849,4.1146,4.0551,4.075,-0.0692,-1.67,0.75,121600333.0,,,35.1686,1.5424,12.0666,-6.6815,16292092797.06,881299238.0,4153646,0.1,209900,,,
1565712000000,33566086,4.1444,4.1642,4.065,4.075,0.0,0.0,0.85,139417137.0,,,35.1686,1.5424,12.0666,-6.6815,16292092797.06,878836919.0,3853346,0.09,-300300,,,
1565798400000,38663237,3.9659,4.0849,3.9361,4.0849,0.0098,0.24,0.98,156599133.0,,,35.2541,1.5461,12.096,-6.6977,16331732925.52,863328067.0,5394733,0.13,1541387,,,
1565884800000,55950676,4.0551,4.1939,4.0353,4.1047,0.02,0.49,1.41,232925966.0,,,35.4253,1.5536,12.1547,-6.7302,16411013182.44,865370334.0,3378107,0.08,-2016626,,,
1566144000000,116551123,4.1444,4.3526,4.1047,4.3228,0.218,5.31,2.94,498562122.0,,,37.3078,1.6362,12.8006,-7.0879,17283096008.56,874545181.0,7697982,0.19,4319875,,,
1566230400000,85724504,4.303,4.3228,4.2038,4.2237,-0.099,-2.29,2.16,368655236.0,,,36.4521,1.5987,12.507,-6.9253,16886694723.96,859497440.0,10083109,0.25,2385127,,,
1566316800000,50544785,4.1939,4.2336,4.1543,4.184,-0.0397,-0.94,1.28,213662588.0,,,36.1098,1.5836,12.3895,-6.8603,16728134210.12,842884457.0,7881957,0.19,-2201152,,,
1566403200000,36610235,4.2038,4.2138,4.1344,4.184,0.0,0.0,0.92,153875851.0,,,36.1098,1.5836,12.3895,-6.8603,16728134210.12,844284162.0,5746157,0.14,-2135800,,,
1566489600000,75829237,4.1939,4.303,4.1642,4.1939,0.01,0.24,1.91,323643096.0,,,36.1954,1.5874,12.4189,-6.8765,16767774338.58,832709331.0,4927357,0.12,-818800,,,
1566748800000,55688432,4.065,4.1146,4.0452,4.0849,-0.109,-2.6,1.4,229312033.0,,,35.2541,1.5461,12.096,-6.6977,16331732925.52,831268105.0,5120657,0.12,193300,,,
