timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,116900,6.24,6.31,6.19,6.2,-0.03,-0.48,0.05,730356.0,,,130.9049,3.2831,17.0491,162.5071,1426000000.0,,,,,,,
1565539200000,348801,6.24,6.24,6.15,6.2,0.0,0.0,0.15,2154879.0,,,130.9049,3.2831,17.0491,162.5071,1426000000.0,,,,,,,
1565625600000,217600,6.18,6.19,6.11,6.14,-0.06,-0.97,0.09,1337240.0,,,129.6381,3.2513,16.8841,160.9344,1412200000.0,,,,,,,
1565712000000,423411,6.17,6.2,6.13,6.16,0.02,0.33,0.18,2612978.0,,,130.0603,3.2619,16.9391,161.4587,1416800000.0,,,,,,,
1565798400000,327301,6.02,6.11,6.02,6.1,-0.06,-0.97,0.14,1988740.0,,,128.7935,3.2302,16.7741,159.886,1403000000.0,,,,,,,
1565884800000,168601,6.07,6.15,6.06,6.11,0.01,0.16,0.07,1031010.0,,,129.0047,3.2354,16.8016,160.1481,1405300000.0,,,,,,,
1566144000000,221600,6.12,6.21,6.12,6.21,0.1,1.64,0.1,1369884.0,,,131.116,3.2884,17.0766,162.7692,1428300000.0,,,,,,,
1566230400000,503300,6.2,6.21,6.16,6.17,-0.04,-0.64,0.22,3117920.0,,,130.2715,3.2672,16.9666,161.7208,1419100000.0,,,,,,,
1566316800000,269100,6.16,6.21,6.14,6.21,0.04,0.65,0.12,1660204.0,,,131.116,3.2884,17.0766,162.7692,1428300000.0,,,,,,,
1566403200000,310300,6.17,6.22,6.14,6.19,-0.02,-0.32,0.13,1915201.0,,,130.6938,3.2778,17.0216,162.245,1423700000.0,,,,,,,
1566489600000,262800,6.16,6.19,6.15,6.18,-0.01,-0.16,0.11,1620726.0,,,130.4826,3.2725,16.9941,161.9829,1421400000.0,,,,,,,
