timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,8924689,3.18,3.18,3.04,3.06,-0.1,-3.16,0.63,27701850.0,,,63.6035,1.728,0.5297,20.1035,4314199993.74,,,,,,,
1565539200000,8060215,3.06,3.1,3.01,3.09,0.03,0.98,0.57,24585822.0,,,64.2271,1.745,0.5349,20.3006,4356496072.11,,,,,,,
1565625600000,6796421,3.05,3.11,3.01,3.08,-0.01,-0.32,0.48,20970707.0,,,64.0192,1.7393,0.5331,20.2349,4342397379.32,,,,,,,
1565712000000,4547518,3.11,3.13,3.06,3.08,0.0,0.0,0.32,14049613.0,,,64.0192,1.7393,0.5331,20.2349,4342397379.32,,,,,,,
1565798400000,6504747,3.01,3.06,2.96,3.05,-0.03,-0.97,0.46,19620187.0,,,63.3957,1.7224,0.5279,20.0378,4300101300.95,,,,,,,
1565884800000,5415207,3.08,3.08,3.03,3.06,0.01,0.33,0.38,16587347.0,,,63.6035,1.728,0.5297,20.1035,4314199993.74,,,,,,,
1566144000000,8019185,3.05,3.12,3.05,3.12,0.06,1.96,0.57,24774529.0,,,64.8506,1.7619,0.5401,20.4977,4398792150.48,,,,,,,
1566230400000,10770710,3.11,3.19,3.1,3.13,0.01,0.32,0.76,33959267.0,,,65.0585,1.7676,0.5418,20.5634,4412890843.27,,,,,,,
1566316800000,5430640,3.13,3.17,3.12,3.12,-0.01,-0.32,0.39,17061416.0,,,64.8506,1.7619,0.5401,20.4977,4398792150.48,,,,,,,
1566403200000,4286774,3.14,3.16,3.11,3.13,0.01,0.32,0.3,13404412.0,,,65.0585,1.7676,0.5418,20.5634,4412890843.27,,,,,,,
1566489600000,4635200,3.14,3.15,3.11,3.12,-0.01,-0.32,0.33,14496436.0,,,64.8506,1.7619,0.5401,20.4977,4398792150.48,,,,,,,
1566748800000,5200287,3.06,3.09,3.05,3.08,-0.04,-1.28,0.37,15968088.0,,,64.0192,1.7393,0.5331,20.2349,4342397379.32,,,,,,,
1566835200000,6859253,3.08,3.14,3.08,3.12,0.04,1.3,0.49,21351109.0,,,64.8506,1.7619,0.5401,20.4977,4398792150.48,,,,,,,
1566921600000,11073472,3.14,3.2,3.13,3.17,0.05,1.6,0.79,35049161.0,,,65.8899,1.7902,0.5487,20.8261,4469285614.43,,,,,,,
1567008000000,7613972,3.15,3.19,3.14,3.15,-0.02,-0.63,0.54,24056117.0,,,65.4742,1.7789,0.5452,20.6947,4441088228.85,,,,,,,
1567094400000,6903935,3.18,3.18,3.1,3.11,-0.04,-1.27,0.49,21652438.0,,,64.6428,1.7563,0.5383,20.432,4384693457.69,,,,,,,
1567353600000,11699822,3.14,3.21,3.14,3.21,0.1,3.22,0.83,37136809.0,,,66.7213,1.8128,0.5556,21.0889,4525680385.59,,,,,,,
1567440000000,8935701,3.19,3.2,3.16,3.2,-0.01,-0.31,0.63,28458227.0,,,66.5135,1.8071,0.5539,21.0232,4511581692.8,,,,,,,
1567526400000,16242538,3.16,3.26,3.16,3.24,0.04,1.25,1.15,52126664.0,,,67.3449,1.8297,0.5608,21.286,4567976463.96,,,,,,,
1567612800000,22392227,3.32,3.32,3.26,3.26,0.02,0.62,1.59,73605196.0,,,67.7606,1.841,0.5643,21.4174,4596173849.54,,,,,,,
1567699200000,10384916,3.28,3.28,3.23,3.26,0.0,0.0,0.74,33774235.0,,,67.7606,1.841,0.5643,21.4174,4596173849.54,,,,,,,
1567958400000,13598220,3.28,3.31,3.25,3.3,0.04,1.23,0.96,44530505.0,,,68.592,1.8636,0.5712,21.6802,4652568620.7,,,,,,,
1568044800000,11410592,3.29,3.34,3.27,3.29,-0.01,-0.3,0.81,37612429.0,,,68.3842,1.8579,0.5695,21.6145,4638469927.91,,,,,,,
1568131200000,10347189,3.32,3.32,3.28,3.29,0.0,0.0,0.73,34116933.0,,,68.3842,1.8579,0.5695,21.6145,4638469927.91,,,,,,,
1568217600000,7246898,3.3,3.31,3.26,3.3,0.01,0.3,0.51,23817389.0,,,68.592,1.8636,0.5712,21.6802,4652568620.7,,,,,,,
1568563200000,8632171,3.3,3.32,3.27,3.3,0.0,0.0,0.61,28479861.0,,,68.592,1.8636,0.5712,21.6802,4652568620.7,,,,,,,
1568649600000,11512334,3.28,3.29,3.17,3.18,-0.12,-3.64,0.82,37000494.0,,,66.0978,1.7958,0.5504,20.8918,4483384307.22,,,,,,,
1568736000000,6560539,3.18,3.2,3.16,3.17,-0.01,-0.31,0.47,20832192.0,,,65.8899,1.7902,0.5487,20.8261,4469285614.43,,,,,,,
1568822400000,6050695,3.18,3.18,3.14,3.17,0.0,0.0,0.43,19088412.0,,,65.8899,1.7902,0.5487,20.8261,4469285614.43,,,,,,,
1568908800000,4172382,3.18,3.19,3.16,3.17,0.0,0.0,0.3,13256361.0,,,65.8899,1.7902,0.5487,20.8261,4469285614.43,,,,,,,
1569168000000,6374021,3.18,3.18,3.1,3.12,-0.05,-1.58,0.45,19893226.0,,,64.8506,1.7619,0.5401,20.4977,4398792150.48,,,,,,,
1569254400000,5520062,3.15,3.16,3.12,3.14,0.02,0.64,0.39,17345730.0,,,65.2663,1.7732,0.5435,20.6291,4426989536.06,,,,,,,
1569340800000,5445110,3.12,3.14,3.09,3.1,-0.04,-1.27,0.39,16922279.0,,,64.4349,1.7506,0.5366,20.3663,4370594764.9,,,,,,,
1569427200000,5797248,3.11,3.11,3.04,3.04,-0.06,-1.94,0.41,17778095.0,,,63.1878,1.7168,0.5262,19.9721,4286002608.16,,,,,,,
1569513600000,4671152,3.03,3.11,3.02,3.08,0.04,1.32,0.33,14373678.0,,,64.0192,1.7393,0.5331,20.2349,4342397379.32,,,,,,,
1569772800000,4986567,3.08,3.09,3.03,3.04,-0.04,-1.3,0.35,15188909.0,,,32.0669,1.6717,0.5244,7.4925,4286002608.16,,,,,,,
