timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,15313174,3.44,3.45,3.35,3.37,-0.06,-1.75,0.24,51992517.0,,,16.2789,1.351,1.0388,1.7425,23607708268.23,1242709083.0,28085349,0.4,-82600,,,
1565539200000,16793702,3.37,3.41,3.34,3.4,0.03,0.89,0.26,56639593.0,,,16.4238,1.363,1.048,1.758,23817865908.6,1243940368.0,28316649,0.4,231300,,,
1565625600000,14730498,3.36,3.37,3.31,3.35,-0.05,-1.47,0.23,49161443.0,,,16.1823,1.343,1.0326,1.7322,23467603174.65,1242991150.0,28343064,0.4,26415,,,
1565712000000,14954597,3.39,3.4,3.34,3.36,0.01,0.3,0.23,50341090.0,,,16.2306,1.347,1.0357,1.7373,23537655721.44,1245979097.0,28705999,0.4,362935,,,
1565798400000,21219538,3.3,3.36,3.23,3.36,0.0,0.0,0.33,69898181.0,,,16.2306,1.347,1.0357,1.7373,23537655721.44,1247615159.0,28777703,0.41,71704,,,
1565884800000,22636699,3.34,3.41,3.33,3.36,0.0,0.0,0.35,76370322.0,,,16.2306,1.347,1.0357,1.7373,23537655721.44,1257099094.0,29086703,0.41,309000,,,
1566144000000,37598635,3.4,3.54,3.37,3.49,0.13,3.87,0.58,129752912.0,,,16.8586,1.3991,1.0758,1.8046,24448338829.71,1264582666.0,31841968,0.45,2755265,,,
1566230400000,24648547,3.5,3.53,3.47,3.49,0.0,0.0,0.38,86256297.0,,,16.8586,1.3991,1.0758,1.8046,24448338829.71,1260328286.0,32603176,0.46,761208,,,
1566316800000,17532633,3.48,3.51,3.46,3.47,-0.02,-0.57,0.27,61136874.0,,,16.762,1.3911,1.0696,1.7942,24308233736.13,1257632728.0,32877460,0.46,274284,,,
1566403200000,12111863,3.48,3.5,3.44,3.46,-0.01,-0.29,0.19,41932496.0,,,16.7137,1.3871,1.0665,1.7891,24238181189.34,1251786369.0,32760160,0.46,-117300,,,
1566489600000,45486117,3.48,3.61,3.47,3.54,0.08,2.31,0.7,162057659.0,,,17.1001,1.4191,1.0912,1.8304,24798601563.66,1248369178.0,31817501,0.45,-942659,,,
1566748800000,28352756,3.44,3.46,3.4,3.43,-0.11,-3.11,0.44,97198995.0,,,16.5688,1.375,1.0573,1.7735,24028023548.97,1253231616.0,32081198,0.45,263697,,,
1566835200000,24047895,3.45,3.5,3.43,3.47,0.04,1.17,0.37,83474982.0,,,16.762,1.3911,1.0696,1.7942,24308233736.13,1249486968.0,31875446,0.45,-205752,,,
1566921600000,20642972,3.47,3.5,3.45,3.49,0.02,0.58,0.32,71721068.0,,,16.8586,1.3991,1.0758,1.8046,24448338829.71,1247069102.0,33244647,0.47,1369201,,,
1567008000000,18096751,3.5,3.5,3.42,3.42,-0.07,-2.01,0.28,62490943.0,,,16.5204,1.371,1.0542,1.7684,23957971002.18,1244424147.0,33057247,0.47,-187400,,,
1567094400000,27406711,3.46,3.51,3.42,3.47,0.05,1.46,0.42,94939674.0,,,16.762,1.3911,1.0696,1.7942,24308233736.13,1235755062.0,33625408,0.48,568161,,,
1567353600000,27465221,3.48,3.53,3.44,3.51,0.04,1.15,0.42,95754414.0,,,16.9552,1.4071,1.0819,1.8149,24588443923.29,1234868939.0,32983502,0.47,-641906,,,
1567440000000,22294562,3.48,3.54,3.47,3.52,0.01,0.28,0.34,77927055.0,,,17.0035,1.4111,1.085,1.8201,24658496470.08,1243803694.0,32260841,0.46,-722661,,,
1567526400000,33047234,3.51,3.57,3.48,3.56,0.04,1.14,0.51,116785309.0,,,17.1967,1.4271,1.0973,1.8408,24938706657.24,1233947359.0,34891963,0.49,2631122,,,
1567612800000,61638985,3.59,3.74,3.59,3.62,0.06,1.69,0.95,225953264.0,,,17.4866,1.4512,1.1158,1.8718,25359021937.98,1235132153.0,33458013,0.47,-1433950,,,
1567699200000,31165592,3.64,3.64,3.57,3.58,-0.04,-1.1,0.48,112056209.0,,,17.2933,1.4352,1.1035,1.8511,25078811750.82,1235298511.0,34145413,0.48,687400,,,
1567958400000,35135254,3.62,3.68,3.62,3.65,0.07,1.96,0.54,128117426.0,,,17.6315,1.4632,1.1251,1.8873,25569179578.35,1224534355.0,34733225,0.49,587812,,,
1568044800000,37988007,3.67,3.72,3.61,3.7,0.05,1.37,0.58,139421993.0,,,17.873,1.4833,1.1405,1.9131,25919442312.3,1240349004.0,34160350,0.48,-572875,,,
1568131200000,42330963,3.71,3.78,3.69,3.71,0.01,0.27,0.65,158131121.0,,,17.9213,1.4873,1.1436,1.9183,25989494859.09,1225385683.0,33754679,0.48,-405671,,,
1568217600000,29229217,3.72,3.76,3.69,3.74,0.03,0.81,0.45,108901183.0,,,18.0662,1.4993,1.1528,1.9338,26199652499.46,1227257726.0,33941179,0.48,186500,,,
1568563200000,43181045,3.75,3.86,3.74,3.76,0.02,0.53,0.66,163943573.0,,,18.1628,1.5073,1.159,1.9442,26339757593.04,1208128967.0,33254779,0.47,-686400,,,
1568649600000,35195462,3.74,3.74,3.6,3.62,-0.14,-3.72,0.54,128818672.0,,,17.4866,1.4512,1.1158,1.8718,25359021937.98,1211257263.0,31741997,0.45,-1512782,,,
1568736000000,14195974,3.63,3.65,3.59,3.61,-0.01,-0.28,0.22,51434866.0,,,17.4383,1.4472,1.1128,1.8666,25288969391.19,1210870209.0,31820272,0.45,78275,,,
1568822400000,16974053,3.62,3.62,3.58,3.62,0.01,0.28,0.26,61086118.0,,,17.4866,1.4512,1.1158,1.8718,25359021937.98,1211973861.0,30962601,0.44,-857671,,,
