timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1553900,10.9399,10.9688,10.4391,10.468,-0.4146,-3.81,0.58,17198419.0,,,16.7648,1.7935,1.5274,27.7789,2990497093.36,,,,,,,
1565539200000,1224500,10.5547,10.6703,10.4295,10.6606,0.1926,1.84,0.45,13407048.0,,,17.0733,1.8265,1.5555,28.29,3045520038.96,,,,,,,
1565625600000,753400,10.6029,10.6029,10.4295,10.468,-0.193,-1.81,0.28,8204792.0,,,16.7648,1.7935,1.5274,27.7789,2990497093.36,,,,,,,
1565712000000,1018600,10.6606,10.6703,10.4488,10.4777,0.0094,0.09,0.38,11142347.0,,,16.7802,1.7952,1.5288,27.8045,2993248240.64,,,,,,,
1565798400000,1370200,10.4295,10.5932,10.2176,10.5354,0.0576,0.55,0.51,14924512.0,,,16.8728,1.8051,1.5372,27.9578,3009755124.32,,,,,,,
1565884800000,1885300,10.5354,10.6317,10.4006,10.4199,-0.1159,-1.1,0.7,20615909.0,,,16.6877,1.7853,1.5204,27.6511,2976741356.96,,,,,,,
1566144000000,2121127,10.4584,10.728,10.4584,10.6992,0.2793,2.68,0.79,23390856.0,,,17.135,1.8331,1.5611,28.3922,3056524628.08,,,,,,,
1566230400000,1797900,10.6992,10.8821,10.6895,10.728,0.0289,0.27,0.67,20106209.0,,,17.1812,1.8381,1.5654,28.4689,3064778069.92,,,,,,,
1566316800000,1570775,10.7569,10.7569,10.5451,10.6029,-0.1255,-1.17,0.58,17356741.0,,,16.9807,1.8166,1.5471,28.1367,3029013155.28,,,,,,,
1566403200000,1430655,10.6414,10.6606,10.4873,10.6029,0.0,0.0,0.53,15718047.0,,,16.9807,1.8166,1.5471,28.1367,3029013155.28,,,,,,,
1566489600000,2521280,10.6895,10.8821,10.6125,10.834,0.2311,2.18,0.93,28249672.0,,,17.3509,1.8562,1.5808,28.75,3095040690.0,,,,,,,
1566748800000,2269747,10.574,10.6703,10.4006,10.5162,-0.3174,-2.93,0.84,24701268.0,,,16.8419,1.8018,1.5344,27.9067,3004252829.76,,,,,,,
1566835200000,2071975,10.5354,10.8147,10.5354,10.7858,0.2692,2.56,0.77,23086080.0,,,17.2738,1.848,1.5738,28.6222,3081284953.6,,,,,,,
1566921600000,1881075,10.7955,10.9303,10.7377,10.8725,0.0863,0.8,0.7,21141553.0,,,17.4126,1.8628,1.5864,28.8522,3106045279.12,,,,,,,
1567008000000,1559123,10.8725,10.8821,10.6703,10.7377,-0.1348,-1.24,0.58,17402762.0,,,17.1967,1.8397,1.5668,28.4945,3067529217.2,,,,,,,
1567094400000,1256900,10.7184,10.8243,10.5258,10.5643,-0.1729,-1.61,0.47,13911203.0,,,16.919,1.81,1.5415,28.0345,3018008566.16,,,,,,,
