timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,666069,16.7405,16.9769,16.5436,16.7307,0.0783,0.47,1.55,11311764.0,,,21.1777,3.8987,5.0993,45.3248,1790746000.0,,,,,,,
1565539200000,588240,16.7208,16.7996,16.3663,16.7799,0.0485,0.29,1.37,9911791.0,,,21.24,3.9102,5.1143,45.4581,1796016000.0,,,,,,,
1565625600000,752750,16.4451,16.7307,16.3663,16.4746,-0.3054,-1.82,1.75,12584451.0,,,20.8536,3.8391,5.0213,44.6311,1763342000.0,,,,,,,
1565712000000,675800,16.6913,16.8882,16.583,16.6027,0.1285,0.78,1.57,11474816.0,,,21.0156,3.8689,5.0603,44.9779,1777044000.0,,,,,,,
1565798400000,747150,16.2974,16.8587,16.1792,16.7898,0.1876,1.13,1.74,12580738.0,,,21.2524,3.9125,5.1173,45.4848,1797070000.0,,,,,,,
1565884800000,525312,16.8587,16.9867,16.711,16.8882,0.0991,0.59,1.22,9004194.0,,,21.3771,3.9355,5.1473,45.7516,1807610000.0,,,,,,,
1566144000000,1810645,17.7942,18.2669,17.4594,17.6957,0.8073,4.78,4.21,32528049.0,,,22.3992,4.1236,5.3934,47.9391,1894038000.0,,,,,,,
1566230400000,2611229,17.6169,19.163,17.6071,18.1782,0.4831,2.73,6.07,48367067.0,,,23.01,4.2361,5.5405,49.2463,1945684000.0,,,,,,,
1566316800000,1648155,18.1093,18.1093,17.7548,17.8139,-0.3635,-2.0,3.83,29912596.0,,,22.5488,4.1512,5.4294,48.2593,1906686000.0,,,,,,,
1566403200000,1460836,17.7351,18.0207,17.7253,17.9517,0.1372,0.77,3.39,26539471.0,,,22.7233,4.1833,5.4715,48.6327,1921442000.0,,,,,,,
