timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1564934400000,1905193,5.88,5.94,5.78,5.85,-0.05,-0.85,0.75,11142150.0,,,-2.2118,13.2303,25.5638,-14.8554,2420923050.0,,,,,,,
1565020800000,2177569,5.78,5.78,5.58,5.66,-0.19,-3.25,0.86,12326668.0,,,-2.14,12.8006,24.7336,-14.3729,2342294780.0,,,,,,,
1565107200000,1387800,5.71,5.75,5.63,5.67,0.01,0.18,0.55,7893603.0,,,-2.1438,12.8232,24.7772,-14.3983,2346433110.0,,,,,,,
1565193600000,1167050,5.7,5.72,5.64,5.7,0.03,0.53,0.46,6617209.0,,,-2.1551,12.8911,24.9083,-14.4745,2358848100.0,,,,,,,
1565280000000,1653391,5.67,5.75,5.59,5.6,-0.1,-1.75,0.65,9299633.0,,,-2.1173,12.6649,24.4714,-14.2205,2317464800.0,,,,,,,
1565539200000,1197504,5.57,5.69,5.57,5.68,0.08,1.43,0.47,6717284.0,,,-2.1475,12.8459,24.8209,-14.4237,2350571440.0,,,,,,,
1565625600000,1443699,5.61,5.63,5.51,5.56,-0.12,-2.11,0.57,8028764.0,,,-2.1022,12.5745,24.2966,-14.119,2300911480.0,,,,,,,
1565712000000,1300578,5.59,5.65,5.56,5.58,0.02,0.36,0.51,7286207.0,,,-2.1097,12.6197,24.384,-14.1698,2309188140.0,,,,,,,
1565798400000,5854015,5.52,6.14,5.41,5.94,0.36,6.45,2.32,34465198.0,,,-2.2458,13.4339,25.9571,-15.0839,2458168020.0,,,,,,,
1565884800000,5790874,5.91,6.13,5.91,6.05,0.11,1.85,2.29,35049602.0,,,-2.2874,13.6826,26.4378,-15.3633,2503689650.0,,,,,,,
1566144000000,4240078,6.1,6.16,6.02,6.13,0.08,1.32,1.68,25863934.0,,,-2.3177,13.8636,26.7874,-15.5664,2536796290.0,,,,,,,
1566230400000,3968200,6.09,6.25,6.06,6.06,-0.07,-1.14,1.57,24351988.0,,,-2.2912,13.7053,26.4815,-15.3887,2507827980.0,,,,,,,
1566316800000,1619800,6.1,6.14,6.02,6.05,-0.01,-0.17,0.64,9851335.0,,,-2.2874,13.6826,26.4378,-15.3633,2503689650.0,,,,,,,
1566403200000,5981500,6.08,6.32,6.08,6.22,0.17,2.81,2.37,37206217.0,,,-2.3517,14.0671,27.1807,-15.795,2574041260.0,,,,,,,
1566489600000,3994692,6.25,6.34,6.14,6.28,0.06,0.96,1.58,25067914.0,,,-2.3744,14.2028,27.4429,-15.9473,2598871240.0,,,,,,,
1566748800000,3435052,6.18,6.33,6.14,6.31,0.03,0.48,1.36,21516604.0,,,-2.3857,14.2707,27.574,-16.0235,2611286230.0,,,,,,,
1566835200000,5700441,6.32,6.73,6.32,6.62,0.31,4.91,2.26,37081602.0,,,-2.5029,14.9718,28.9286,-16.8107,2739574460.0,,,,,,,
1566921600000,4899248,6.61,6.74,6.49,6.67,0.05,0.76,1.94,32443926.0,,,-2.5219,15.0848,29.1471,-16.9377,2760266110.0,,,,,,,
1567008000000,2787048,6.68,6.77,6.57,6.72,0.05,0.75,1.1,18514529.0,,,-2.5408,15.1979,29.3656,-17.0647,2780957760.0,,,,,,,
1567094400000,5415270,6.7,6.75,6.45,6.45,-0.27,-4.02,2.15,35708092.0,,,-2.4387,14.5873,28.1858,-16.379,2669222850.0,,,,,,,
1567353600000,4130242,6.49,6.73,6.2,6.69,0.24,3.72,1.64,27419537.0,,,-2.5294,15.1301,29.2345,-16.9885,2768542770.0,,,,,,,
1567440000000,3109900,6.64,6.83,6.61,6.72,0.03,0.45,1.24,20918472.0,,,-2.5408,15.1979,29.3656,-17.0647,2780957760.0,,,,,,,
1567526400000,3629550,6.72,6.85,6.68,6.76,0.04,0.6,1.44,24509524.0,,,-2.5559,15.2884,29.5404,-17.1662,2797511080.0,,,,,,,
1567612800000,3184650,6.75,6.88,6.72,6.77,0.01,0.15,1.27,21650282.0,,,-2.5597,15.311,29.5841,-17.1916,2801649410.0,,,,,,,
1567699200000,5773142,6.85,6.85,6.43,6.64,-0.13,-1.92,2.3,38088850.0,,,-2.5105,15.017,29.016,-16.8615,2747851120.0,,,,,,,
1567958400000,6723550,6.65,6.67,6.38,6.58,-0.06,-0.9,2.67,43785678.0,,,-2.4878,14.8813,28.7538,-16.7091,2723021140.0,,,,,,,
1568044800000,4028526,6.6,6.66,6.43,6.5,-0.08,-1.22,1.6,26267758.0,,,-2.4576,14.7004,28.4043,-16.506,2689914500.0,,,,,,,
1568131200000,3961624,6.5,6.57,6.35,6.43,-0.07,-1.08,1.57,25527599.0,,,-2.4311,14.5421,28.0984,-16.3282,2660946190.0,,,,,,,
1568217600000,9342024,6.5,6.88,6.26,6.85,0.42,6.53,3.71,61626284.0,,,-2.5899,15.4919,29.9337,-17.3948,2834756050.0,,,,,,,
1568563200000,13382662,6.81,7.12,6.71,7.12,0.27,3.94,5.32,92925373.0,,,-2.692,16.1026,31.1136,-18.0804,2946490960.0,,,,,,,
1568649600000,6199800,7.08,7.12,6.94,7.04,-0.08,-1.12,2.46,43485221.0,,,-2.6617,15.9216,30.764,-17.8773,2913384320.0,,,,,,,
1568736000000,6817650,6.99,7.19,6.97,7.01,-0.03,-0.43,2.71,48115950.0,,,-2.6504,15.8538,30.6329,-17.8011,2900969330.0,,,,,,,
1568822400000,6163400,7.0,7.01,6.7,6.93,-0.08,-1.14,2.45,42332900.0,,,-2.6202,15.6729,30.2833,-17.5979,2867862690.0,,,,,,,
1568908800000,5889900,6.88,7.08,6.85,6.88,-0.05,-0.72,2.34,40876115.0,,,-2.6012,15.5598,30.0648,-17.471,2847171040.0,,,,,,,
1569168000000,8437075,6.88,7.03,6.7,6.8,-0.08,-1.16,3.42,57271440.0,,,-2.571,15.3788,29.7152,-17.2678,2814064400.0,,,,,,,
1569254400000,7514200,6.83,6.87,6.5,6.58,-0.22,-3.24,3.04,49667424.0,,,-2.4878,14.8813,28.7538,-16.7091,2723021140.0,,,,,,,
1569340800000,5741850,6.54,6.56,5.93,6.25,-0.33,-5.02,2.33,36023910.0,,,-2.3631,14.135,27.3118,-15.8711,2586456250.0,,,,,,,
1569427200000,4619761,6.21,6.32,6.03,6.12,-0.13,-2.08,1.87,28404236.0,,,-2.3139,13.841,26.7437,-15.541,2532657960.0,,,,,,,
1569513600000,3215900,6.11,6.2,6.02,6.13,0.01,0.16,1.3,19717062.0,,,-2.3177,13.8636,26.7874,-15.5664,2536796290.0,,,,,,,
1569772800000,4118652,6.13,6.4,6.13,6.33,0.2,3.26,1.67,25815238.0,,,-2.4469,11.9297,-4.3443,51.0571,2619562890.0,,,,,,,
1570464000000,4721811,6.36,6.44,6.17,6.25,-0.08,-1.26,1.91,29876604.0,,,-2.416,11.7789,-4.2894,50.4119,2586456250.0,,,,,,,
1570550400000,1989850,6.17,6.29,6.15,6.26,0.01,0.16,0.81,12355055.0,,,-2.4199,11.7977,-4.2963,50.4925,2590594580.0,,,,,,,
1570636800000,5831000,6.26,6.4,6.1,6.19,-0.07,-1.12,2.36,36151325.0,,,-2.3928,11.6658,-4.2483,49.9279,2561626270.0,,,,,,,
1570723200000,3136952,6.18,6.18,6.0,6.04,-0.15,-2.42,1.27,19085608.0,,,-2.3348,11.3831,-4.1453,48.718,2499551320.0,,,,,,,
1570982400000,2486202,6.08,6.17,6.07,6.14,0.1,1.66,1.01,15248658.0,,,-2.3735,11.5716,-4.2139,49.5246,2540934620.0,,,,,,,
1571068800000,4981050,6.15,6.38,6.13,6.33,0.19,3.09,2.02,31153435.0,,,-2.4469,11.9297,-4.3443,51.0571,2619562890.0,,,,,,,
1571155200000,3229002,6.28,6.37,6.18,6.29,-0.04,-0.63,1.31,20221869.0,,,-2.4315,11.8543,-4.3169,50.7345,2603009570.0,,,,,,,
1571241600000,3156748,6.26,6.3,6.1,6.14,-0.15,-2.38,1.28,19546586.0,,,-2.3735,11.5716,-4.2139,49.5246,2540934620.0,,,,,,,
1571328000000,4273050,6.1,6.17,5.88,5.97,-0.17,-2.77,1.73,25689444.0,,,-2.3078,11.2512,-4.0973,48.1534,2470583010.0,,,,,,,
1571587200000,4673786,5.98,6.0,5.74,5.8,-0.17,-2.85,1.89,27180024.0,,,-2.2421,10.9308,-3.9806,46.7822,2400231400.0,,,,,,,
1571673600000,2888900,5.83,5.99,5.79,5.97,0.17,2.93,1.17,17031460.0,,,-2.3078,11.2512,-4.0973,48.1534,2470583010.0,,,,,,,
1571760000000,3385200,5.97,6.06,5.87,5.91,-0.06,-1.01,1.37,20235304.0,,,-2.2846,11.1381,-4.0561,47.6695,2445753030.0,,,,,,,
