timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565193600000,3391800,2.5,2.52,2.48,2.49,0.0,0.0,0.35,8471982.0,,,-13.2806,2.4098,232.1293,266.5177,3245715000.0,,,,,,,
1565280000000,7514215,2.5,2.5,2.4,2.41,-0.08,-3.21,0.77,18323629.0,,,-12.854,2.3324,224.6713,257.9549,3141435000.0,,,,,,,
1565539200000,6760300,2.41,2.43,2.36,2.4,-0.01,-0.41,0.69,16141873.0,,,-12.8006,2.3227,223.7391,256.8846,3128400000.0,,,,,,,
1565625600000,9219850,2.38,2.56,2.37,2.44,0.04,1.67,0.95,22677474.0,,,-13.014,2.3614,227.468,261.166,3180540000.0,,,,,,,
1565712000000,5595650,2.44,2.47,2.42,2.43,-0.01,-0.41,0.57,13661710.0,,,-12.9606,2.3518,226.5358,260.0956,3167505000.0,,,,,,,
1565798400000,4925950,2.38,2.43,2.33,2.43,0.0,0.0,0.51,11764840.0,,,-12.9606,2.3518,226.5358,260.0956,3167505000.0,,,,,,,
1565884800000,4405900,2.42,2.47,2.41,2.44,0.01,0.41,0.45,10785431.0,,,-13.014,2.3614,227.468,261.166,3180540000.0,,,,,,,
1566144000000,6808600,2.44,2.49,2.44,2.48,0.04,1.64,0.7,16807759.0,,,-13.2273,2.4001,231.197,265.4474,3232680000.0,,,,,,,
1566230400000,6307100,2.48,2.51,2.46,2.47,-0.01,-0.4,0.65,15653698.0,,,-13.174,2.3905,230.2648,264.377,3219645000.0,,,,,,,
1566316800000,5208051,2.46,2.5,2.45,2.49,0.02,0.81,0.53,12931820.0,,,-13.2806,2.4098,232.1293,266.5177,3245715000.0,,,,,,,
1566403200000,11163889,2.48,2.54,2.47,2.53,0.04,1.61,1.15,28004402.0,,,-13.494,2.4485,235.8583,270.7991,3297855000.0,,,,,,,
1566489600000,8222313,2.53,2.53,2.47,2.48,-0.05,-1.98,0.84,20438585.0,,,-13.2273,2.4001,231.197,265.4474,3232680000.0,,,,,,,
1566748800000,5273000,2.43,2.45,2.39,2.44,-0.04,-1.61,0.54,12786566.0,,,-13.014,2.3614,227.468,261.166,3180540000.0,,,,,,,
1566835200000,6037600,2.44,2.5,2.44,2.49,0.05,2.05,0.62,14951917.0,,,-13.2806,2.4098,232.1293,266.5177,3245715000.0,,,,,,,
1566921600000,25910054,2.47,2.69,2.47,2.62,0.13,5.22,2.66,67102289.0,,,-13.974,2.5356,244.2485,280.4323,3415170000.0,,,,,,,
1567008000000,14120100,2.62,2.62,2.53,2.55,-0.07,-2.67,1.45,36110685.0,,,-13.6007,2.4679,237.7228,272.9398,3323925000.0,,,,,,,
1567094400000,9691605,2.56,2.59,2.52,2.53,-0.02,-0.78,1.0,24778156.0,,,-13.494,2.4485,235.8583,270.7991,3297855000.0,,,,,,,
1567353600000,6839102,2.51,2.56,2.5,2.55,0.02,0.79,0.7,17374141.0,,,-13.6007,2.4679,237.7228,272.9398,3323925000.0,,,,,,,
1567440000000,12009752,2.58,2.62,2.54,2.54,-0.01,-0.39,1.23,30899980.0,,,-13.5473,2.4582,236.7905,271.8695,3310890000.0,,,,,,,
1567526400000,10515925,2.55,2.56,2.5,2.54,0.0,0.0,1.08,26513193.0,,,-13.5473,2.4582,236.7905,271.8695,3310890000.0,,,,,,,
1567612800000,14336157,2.54,2.6,2.53,2.56,0.02,0.79,1.47,36904485.0,,,-13.654,2.4776,238.655,274.0102,3336960000.0,,,,,,,
