timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1697000,6.13,6.16,5.98,6.06,-0.07,-1.14,0.21,10275041.0,,,27.0442,2.1582,0.619,104.4627,4866181563.48,,712067,0.08,-16400,,,
1565539200000,1021094,6.05,6.1,5.99,6.1,0.04,0.66,0.13,6176326.0,,,27.2227,2.1725,0.6231,105.1522,4898301573.8,,699267,0.08,-12800,,,
1565625600000,934124,6.08,6.12,6.01,6.09,-0.01,-0.16,0.12,5665456.0,,,27.178,2.1689,0.6221,104.9798,4890271571.22,,732267,0.09,33000,,,
1565712000000,1791400,6.24,6.24,6.06,6.07,-0.02,-0.33,0.22,10951892.0,,,27.0888,2.1618,0.62,104.6351,4874211566.06,,677867,0.08,-54400,,,
1565798400000,2103753,6.01,6.13,5.87,6.09,0.02,0.33,0.26,12656575.0,,,27.178,2.1689,0.6221,104.9798,4890271571.22,,756167,0.09,78300,,,
1565884800000,2244853,6.06,6.27,6.06,6.15,0.06,0.99,0.28,13842305.0,,,27.4458,2.1903,0.6282,106.0141,4938451586.7,,760867,0.09,4700,,,
1566144000000,2240370,6.17,6.3,6.16,6.28,0.13,2.11,0.28,14012526.0,,,28.026,2.2366,0.6415,108.2551,5042841620.24,,1091735,0.13,330868,,,
1566230400000,1882786,6.28,6.41,6.28,6.31,0.03,0.48,0.23,11950642.0,,,28.1598,2.2473,0.6446,108.7722,5066931627.98,,1194735,0.14,103000,,,
1566316800000,2654874,6.34,6.44,6.3,6.35,0.04,0.63,0.33,16947674.0,,,28.3384,2.2615,0.6486,109.4617,5099051638.3,,1082535,0.13,-112200,,,
1566403200000,7140051,6.36,6.69,6.36,6.69,0.34,5.35,0.89,46904061.0,,,29.8557,2.3826,0.6834,115.3227,5372071726.02,,1140635,0.14,58100,,,
1566489600000,4589302,6.6,6.7,6.47,6.53,-0.16,-2.39,0.57,30168070.0,,,29.1416,2.3256,0.667,112.5646,5243591684.74,,1000766,0.12,-139869,,,
1566748800000,2967801,6.34,6.53,6.3,6.45,-0.08,-1.23,0.37,19163774.0,,,28.7846,2.2971,0.6589,111.1855,5179351664.1,,1244666,0.15,243900,,,
1566835200000,3312339,6.44,6.65,6.44,6.57,0.12,1.86,0.41,21797946.0,,,29.3202,2.3399,0.6711,113.2541,5275711695.06,,1622567,0.2,377901,,,
1566921600000,2665535,6.59,6.69,6.54,6.57,0.0,0.0,0.33,17593032.0,,,29.3202,2.3399,0.6711,113.2541,5275711695.06,,1608502,0.2,-14065,,,
1567008000000,3415732,6.65,6.84,6.58,6.63,0.06,0.91,0.43,22812695.0,,,29.5879,2.3612,0.6772,114.2884,5323891710.54,,1323302,0.16,-285200,,,
1567094400000,3217700,6.68,6.68,6.4,6.51,-0.12,-1.81,0.4,20995177.0,,,29.0524,2.3185,0.665,112.2198,5227531679.58,,1321402,0.16,-1900,,,
1567353600000,3358880,6.51,6.62,6.39,6.58,0.07,1.08,0.42,21925529.0,,,29.3648,2.3434,0.6721,113.4265,5283741697.64,,1748274,0.21,426872,,,
1567440000000,4894841,6.58,6.84,6.56,6.78,0.2,3.04,0.61,32916131.0,,,30.2573,2.4147,0.6926,116.8741,5444341749.24,,1959574,0.24,211300,,,
1567526400000,7022209,6.77,7.18,6.73,7.14,0.36,5.31,0.88,48726399.0,,,31.8639,2.5429,0.7293,123.0798,5733421842.12,,1571604,0.19,-387970,,,
1567612800000,9753235,7.1,7.2,7.01,7.01,-0.13,-1.82,1.22,69227698.0,,,31.2838,2.4966,0.7161,120.8389,5629031808.58,,1076269,0.13,-495335,,,
1567699200000,4379347,7.02,7.07,6.92,7.0,-0.01,-0.14,0.55,30603321.0,,,31.2391,2.493,0.715,120.6665,5621001806.0,,1190769,0.14,114500,,,
1567958400000,3654957,7.04,7.09,6.97,7.04,0.04,0.57,0.46,25682564.0,,,31.4176,2.5073,0.7191,121.356,5653121816.32,,1437370,0.17,246601,,,
1568044800000,3270308,7.04,7.06,6.91,6.95,-0.09,-1.28,0.41,22746334.0,,,31.016,2.4752,0.7099,119.8046,5580851793.1,,1560770,0.19,123400,,,
1568131200000,2611100,6.96,7.03,6.95,6.97,0.02,0.29,0.33,18235051.0,,,31.1052,2.4823,0.712,120.1493,5596911798.26,,1574470,0.19,13700,,,
1568217600000,4934701,7.0,7.17,6.95,7.12,0.15,2.15,0.61,34941746.0,,,31.7747,2.5357,0.7273,122.735,5717361836.96,,1559980,0.19,-14490,,,
1568563200000,6556645,6.99,7.01,6.73,6.94,-0.18,-2.53,0.82,45219449.0,,,30.9714,2.4716,0.7089,119.6322,5572821790.52,,1629524,0.2,69544,,,
1568649600000,4477700,6.91,6.95,6.61,6.66,-0.28,-4.03,0.56,30181164.0,,,29.7218,2.3719,0.6803,114.8055,5347981718.28,,1467324,0.18,-162200,,,
1568736000000,3810900,6.66,6.72,6.52,6.53,-0.13,-1.95,0.47,25136729.0,,,29.1416,2.3256,0.667,112.5646,5243591684.74,,1328724,0.16,-138600,,,
1568822400000,7945870,6.58,7.18,6.55,7.18,0.65,9.95,0.99,55913755.0,,,32.0424,2.5571,0.7334,123.7693,5765541852.44,,1078880,0.13,-249844,,,
1568908800000,23652804,7.36,7.69,7.2,7.48,0.3,4.18,2.95,175516317.0,,,33.3812,2.664,0.7641,128.9407,6006441929.84,,715208,0.08,-363672,,,
1569168000000,12674705,7.47,7.47,7.12,7.2,-0.28,-3.74,1.58,91625463.0,,,32.1317,2.5642,0.7355,124.1141,5781601857.6,,1054308,0.13,339100,,,
1569254400000,16388643,7.26,7.56,7.15,7.56,0.36,5.0,2.04,120743479.0,,,33.7383,2.6924,0.7722,130.3198,6070681950.48,,1250468,0.15,196160,,,
1569340800000,10486904,7.52,7.52,7.15,7.27,-0.29,-3.84,1.31,76548406.0,,,32.4441,2.5892,0.7426,125.3207,5837811875.66,,575376,0.07,-675092,,,
1569427200000,16554197,7.4,7.75,7.3,7.38,0.11,1.51,2.06,123671218.0,,,32.935,2.6283,0.7539,127.2169,5926141904.04,,645576,0.08,70200,,,
1569513600000,10672335,7.38,7.5,7.11,7.5,0.12,1.63,1.33,78131343.0,,,33.4705,2.6711,0.7661,129.2855,6022501935.0,,686780,0.08,41204,,,
1569772800000,7071601,7.53,7.59,7.26,7.32,-0.18,-2.4,0.88,52341055.0,,,59.6127,2.4169,0.8165,-10.5101,5877961888.56,,529656,0.06,-157124,,,
1570464000000,10907183,7.31,7.33,6.59,6.96,-0.36,-4.92,1.36,74567265.0,,,56.681,2.298,0.7763,-9.9932,5588881795.68,,623176,0.07,93520,,,
1570550400000,4912877,6.76,6.84,6.65,6.72,-0.24,-3.45,0.61,33172411.0,,,54.7265,2.2188,0.7495,-9.6487,5396161733.76,,606176,0.07,-17000,,,
1570636800000,5411400,6.7,6.78,6.58,6.65,-0.07,-1.04,0.67,36028294.0,,,54.1564,2.1957,0.7417,-9.5481,5339951715.7,,652076,0.08,45900,,,
1570723200000,4233827,6.66,6.83,6.65,6.71,0.06,0.9,0.53,28531871.0,,,54.645,2.2155,0.7484,-9.6343,5388131731.18,,623277,0.07,-28799,,,
1570982400000,3662982,6.75,6.83,6.73,6.77,0.06,0.89,0.46,24804770.0,,,55.1336,2.2353,0.7551,-9.7204,5436311746.66,,758677,0.09,135400,,,
1571068800000,2431734,6.78,6.78,6.58,6.64,-0.13,-1.92,0.3,16171544.0,,,54.0749,2.1924,0.7406,-9.5338,5331921713.12,,730576,0.09,-28101,,,
1571155200000,2603425,6.66,6.68,6.55,6.57,-0.07,-1.05,0.32,17211216.0,,,53.5049,2.1693,0.7328,-9.4333,5275711695.06,,630376,0.07,-100200,,,
1571241600000,3469000,6.57,6.59,6.4,6.44,-0.13,-1.98,0.43,22388892.0,,,52.4462,2.1263,0.7183,-9.2466,5171321661.52,,682976,0.08,52600,,,
1571328000000,1937122,6.44,6.47,6.32,6.36,-0.08,-1.24,0.24,12387064.0,,,51.7947,2.0999,0.7094,-9.1318,5107081640.88,,577938,0.07,-105038,,,
1571587200000,1773757,6.36,6.36,6.2,6.27,-0.09,-1.42,0.22,11088207.0,,,51.0617,2.0702,0.6994,-9.0025,5034811617.66,,599371,0.07,21433,,,
1571673600000,1322900,6.3,6.31,6.23,6.3,0.03,0.48,0.16,8314541.0,,,51.306,2.0801,0.7027,-9.0456,5058901625.4,,646271,0.08,46900,,,
1571760000000,1398600,6.33,6.33,6.23,6.28,-0.02,-0.32,0.17,8790349.0,,,51.1432,2.0735,0.7005,-9.0169,5042841620.24,,570871,0.07,-75400,,,
1571846400000,954429,6.24,6.31,6.24,6.28,0.0,0.0,0.12,5990402.0,,,51.1432,2.0735,0.7005,-9.0169,5042841620.24,,548671,0.06,-22200,,,
1571932800000,1854419,6.35,6.42,6.29,6.4,0.12,1.91,0.23,11775352.0,,,52.1204,2.1131,0.7139,-9.1892,5139201651.2,,533376,0.06,-15295,,,
1572192000000,1989544,6.43,6.5,6.37,6.45,0.05,0.78,0.25,12801410.0,,,52.5276,2.1296,0.7194,-9.261,5179351664.1,,752076,0.09,218700,,,
1572278400000,1912214,6.45,6.45,6.32,6.42,-0.03,-0.47,0.24,12213732.0,,,52.2833,2.1197,0.7161,-9.2179,5155261656.36,,736676,0.09,-15400,,,
1572364800000,1277500,6.38,6.45,6.31,6.32,-0.1,-1.56,0.16,8114615.0,,,51.4689,2.0867,0.7049,-9.0743,5074961630.56,,682376,0.08,-54300,,,
1572451200000,3270361,6.38,6.56,6.32,6.48,0.16,2.53,0.41,21165326.0,,,52.7719,2.1395,0.7228,-9.3041,5203441671.84,,893477,0.11,211101,,,
1572537600000,1405159,6.49,6.51,6.42,6.51,0.03,0.46,0.18,9088128.0,,,53.0162,2.1494,0.7261,-9.3471,5227531679.58,,885676,0.11,-7801,,,
1572796800000,5159428,6.59,7.0,6.5,6.75,0.24,3.69,0.64,35105028.0,,,54.9708,2.2287,0.7529,-9.6917,5420251741.5,,637876,0.07,-247800,,,
1572883200000,8933777,6.73,7.2,6.73,7.1,0.35,5.19,1.11,62687147.0,,,57.8211,2.3442,0.7919,-10.1943,5701301831.8,,1482876,0.18,845000,,,
1572969600000,5460503,7.02,7.1,6.79,6.9,-0.2,-2.82,0.68,38016621.0,,,56.1923,2.2782,0.7696,-9.9071,5540701780.2,,1793277,0.22,310401,,,
1573056000000,2900200,6.87,6.92,6.76,6.78,-0.12,-1.74,0.36,19710327.0,,,55.2151,2.2386,0.7562,-9.7348,5444341749.24,,1809577,0.22,16300,,,
1573142400000,16524283,6.82,7.46,6.82,7.3,0.52,7.67,2.06,119806229.0,,,59.4499,2.4103,0.8142,-10.4814,5861901883.4,,938977,0.11,-870600,,,
1573401600000,15634978,7.57,7.77,7.37,7.39,0.09,1.23,1.95,117952779.0,,,60.1828,2.44,0.8243,-10.6106,5934171906.62,,744722,0.09,-194255,,,
1573488000000,9985772,7.35,7.65,7.21,7.47,0.08,1.08,1.24,74279134.0,,,60.8343,2.4664,0.8332,-10.7255,5998411927.26,,1372622,0.17,627900,,,
1573574400000,6203700,7.4,7.53,7.28,7.4,-0.07,-0.94,0.77,45984009.0,,,60.2642,2.4433,0.8254,-10.625,5942201909.2,,1598022,0.19,225400,,,
1573660800000,7561870,7.49,7.57,7.26,7.36,-0.04,-0.54,0.94,55660080.0,,,59.9385,2.4301,0.8209,-10.5676,5910081898.88,,1257522,0.15,-340500,,,
1573747200000,8337532,7.38,7.39,7.01,7.12,-0.24,-3.26,1.04,59798649.0,,,57.984,2.3508,0.7942,-10.223,5717361836.96,,1805822,0.22,548300,,,
1574006400000,4140200,7.06,7.18,7.03,7.04,-0.08,-1.12,0.52,29340199.0,,,57.3325,2.3244,0.7852,-10.1081,5653121816.32,,1659722,0.2,-146100,,,
1574092800000,15893726,7.0,7.74,7.0,7.74,0.7,9.94,1.98,119898201.0,,,63.0331,2.5556,0.8633,-11.1132,6215221996.92,,1432722,0.17,-227000,,,
1574179200000,17407190,7.74,7.95,7.59,7.73,-0.01,-0.13,2.17,135276273.0,,,62.9517,2.5523,0.8622,-11.0988,6207191994.34,,1487724,0.18,55002,,,
1574265600000,14794510,7.7,8.38,7.65,8.04,0.31,4.01,1.84,119254721.0,,,65.4763,2.6546,0.8968,-11.5439,6456122074.32,,1422275,0.17,-65449,,,
1574352000000,23184086,8.12,8.64,7.93,8.28,0.24,2.99,2.89,192123616.0,,,67.4308,2.7338,0.9236,-11.8885,6648842136.24,,1794624,0.22,372349,,,
1574611200000,10825802,8.34,8.43,7.91,8.16,-0.12,-1.45,1.35,88284411.0,,,66.4535,2.6942,0.9102,-11.7162,6552482105.28,,1442722,0.17,-351902,,,
1574697600000,8367595,8.29,8.5,8.02,8.11,-0.05,-0.61,1.02,68723743.0,,,66.0464,2.6777,0.9046,-11.6444,6512332092.38,,1538252,0.19,95530,,,
1574784000000,6790662,8.0,8.25,7.97,8.1,-0.01,-0.12,0.85,54989647.0,,,65.9649,2.6744,0.9035,-11.6301,6504302089.8,,1769152,0.22,230900,,,
1574870400000,5427862,8.05,8.27,8.03,8.1,0.0,0.0,0.68,44098246.0,,,65.9649,2.6744,0.9035,-11.6301,6504302089.8,,1112452,0.13,-656700,,,
1574956800000,10493277,8.2,8.2,7.68,7.9,-0.2,-2.47,1.31,82381761.0,,,64.3362,2.6084,0.8812,-11.3429,6343702038.2,,2384327,0.29,1271875,,,
