timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,649400,38.4,38.64,37.36,37.7,-0.7,-1.82,0.5,24673835.0,,,85.2068,9.4099,14.3573,29.5334,4855760000.0,,,,,,,
1565539200000,771886,37.66,38.31,37.51,37.95,0.25,0.66,0.6,29180163.0,,,85.7718,9.4723,14.4525,29.7292,4887960000.0,,,,,,,
1565625600000,629092,37.98,38.3,37.85,37.95,0.0,0.0,0.49,23894728.0,,,85.7718,9.4723,14.4525,29.7292,4887960000.0,,,,,,,
1565712000000,818375,37.97,38.06,37.63,38.03,0.08,0.21,0.64,31028406.0,,,85.9526,9.4922,14.483,29.7919,4898264000.0,,,,,,,
1565798400000,913610,38.03,38.38,37.37,38.34,0.31,0.82,0.71,34714012.0,,,86.6533,9.5696,14.601,30.0347,4938192000.0,,,,,,,
1565884800000,838058,38.34,39.75,38.33,39.49,1.15,3.0,0.65,32874312.0,,,89.2524,9.8566,15.039,30.9356,5086312000.0,,,,,,,
1566144000000,912960,39.5,40.09,39.41,39.51,0.02,0.05,0.71,36198231.0,,,89.2976,9.8616,15.0466,30.9513,5088888000.0,,,,,,,
1566230400000,2081605,39.52,39.6,38.08,38.8,-0.71,-1.8,1.62,80455394.0,,,87.6929,9.6844,14.7762,30.3951,4997440000.0,,,,,,,
1566316800000,607580,38.78,38.84,38.28,38.34,-0.46,-1.19,0.47,23439406.0,,,86.6533,9.5696,14.601,30.0347,4938192000.0,,,,,,,
1566403200000,747700,38.37,39.07,38.35,38.99,0.65,1.7,0.58,29001371.0,,,88.1224,9.7318,14.8486,30.5439,5021912000.0,,,,,,,
1566489600000,899040,38.98,39.31,38.76,38.98,-0.01,-0.03,0.7,35059613.0,,,88.0998,9.7293,14.8448,30.5361,5020624000.0,,,,,,,
1566748800000,524480,38.88,39.22,38.5,39.04,0.06,0.15,0.41,20358181.0,,,88.2354,9.7443,14.8676,30.5831,5028352000.0,,,,,,,
1566835200000,542000,39.1,39.6,38.96,39.3,0.26,0.67,0.42,21282627.0,,,88.823,9.8092,14.9666,30.7868,5061840000.0,,,,,,,
