timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2992502,5.35,5.47,5.23,5.25,-0.09,-1.69,0.9,15992753.0,,,146.37,1.3374,4.7449,15.8086,2125292851.5,,,,,,,
1565539200000,1483701,5.2,5.27,5.2,5.26,0.01,0.19,0.45,7767649.0,,,146.6488,1.3399,4.754,15.8387,2129341028.36,,,,,,,
1565625600000,1372396,5.2,5.29,5.17,5.21,-0.05,-0.95,0.41,7172492.0,,,145.2548,1.3272,4.7088,15.6881,2109100144.06,,,,,,,
1565712000000,1346349,5.26,5.3,5.24,5.27,0.06,1.15,0.41,7100680.0,,,146.9276,1.3425,4.763,15.8688,2133389205.22,,,,,,,
1565798400000,1143100,5.18,5.27,5.1,5.25,-0.02,-0.38,0.34,5940410.0,,,146.37,1.3374,4.7449,15.8086,2125292851.5,,,,,,,
1565884800000,1703400,5.25,5.36,5.21,5.32,0.07,1.33,0.51,9032444.0,,,148.3216,1.3552,4.8082,16.0193,2153630089.52,,,,,,,
1566144000000,2140939,5.33,5.41,5.31,5.4,0.08,1.5,0.65,11486929.0,,,150.552,1.3756,4.8805,16.2602,2186015504.4,,,,,,,
1566230400000,1434900,5.39,5.43,5.36,5.39,-0.01,-0.19,0.43,7747141.0,,,150.2732,1.373,4.8715,16.2301,2181967327.54,,,,,,,
1566316800000,981101,5.39,5.4,5.33,5.36,-0.03,-0.56,0.3,5264282.0,,,149.4368,1.3654,4.8444,16.1398,2169822796.96,,,,,,,
1566403200000,1432301,5.39,5.39,5.35,5.39,0.03,0.56,0.43,7693571.0,,,150.2732,1.373,4.8715,16.2301,2181967327.54,,,,,,,
1566489600000,1102312,5.39,5.42,5.35,5.36,-0.03,-0.56,0.33,5933621.0,,,149.4368,1.3654,4.8444,16.1398,2169822796.96,,,,,,,
1566748800000,1210251,5.27,5.31,5.21,5.31,-0.05,-0.93,0.36,6385883.0,,,148.0428,1.3527,4.7992,15.9892,2149581912.66,,,,,,,
1566835200000,1897401,5.33,5.38,5.32,5.37,0.06,1.13,0.57,10166782.0,,,149.7156,1.368,4.8534,16.1699,2173870973.82,,,,,,,
1566921600000,1819400,5.37,5.41,5.35,5.4,0.03,0.56,0.55,9788754.0,,,150.552,1.3756,4.8805,16.2602,2186015504.4,,,,,,,
1567008000000,1366949,5.39,5.4,5.37,5.38,-0.02,-0.37,0.41,7369441.0,,,149.9944,1.3705,4.8624,16.2,2177919150.68,,,,,,,
1567094400000,1707208,5.39,5.41,5.23,5.27,-0.11,-2.04,0.51,9118428.0,,,146.9276,1.3425,4.763,15.8688,2133389205.22,,,,,,,
1567353600000,1762908,5.26,5.38,5.23,5.37,0.1,1.9,0.53,9417068.0,,,149.7156,1.368,4.8534,16.1699,2173870973.82,,,,,,,
1567440000000,1668967,5.38,5.41,5.36,5.4,0.03,0.56,0.5,8981800.0,,,150.552,1.3756,4.8805,16.2602,2186015504.4,,,,,,,
1567526400000,2568596,5.42,5.53,5.36,5.49,0.09,1.67,0.77,13996977.0,,,153.0612,1.3985,4.9619,16.5312,2222449096.14,,,,,,,
1567612800000,3415702,5.49,5.59,5.47,5.47,-0.02,-0.36,1.03,18893154.0,,,152.5036,1.3934,4.9438,16.471,2214352742.42,,,,,,,
1567699200000,2207602,5.48,5.53,5.45,5.48,0.01,0.18,0.67,12103416.0,,,152.7824,1.396,4.9528,16.5011,2218400919.28,,,,,,,
1567958400000,3068698,5.51,5.57,5.5,5.57,0.09,1.64,0.93,16974540.0,,,155.2916,1.4189,5.0342,16.7721,2254834511.02,,,,,,,
1568044800000,2141600,5.58,5.6,5.52,5.55,-0.02,-0.36,0.65,11879955.0,,,154.734,1.4138,5.0161,16.7119,2246738157.3,,,,,,,
1568131200000,2618896,5.56,5.58,5.5,5.5,-0.05,-0.9,0.79,14504705.0,,,153.34,1.4011,4.9709,16.5614,2226497273.0,,,,,,,
1568217600000,3165600,5.54,5.59,5.5,5.57,0.07,1.27,0.95,17570770.0,,,155.2916,1.4189,5.0342,16.7721,2254834511.02,,,,,,,
1568563200000,2953044,5.57,5.63,5.55,5.6,0.03,0.54,0.89,16539051.0,,,156.128,1.4265,5.0613,16.8625,2266979041.6,,,,,,,
1568649600000,2762202,5.56,5.58,5.4,5.43,-0.17,-3.04,0.83,15138361.0,,,151.3884,1.3832,4.9076,16.3506,2198160034.98,,,,,,,
1568736000000,1323900,5.47,5.48,5.42,5.44,0.01,0.18,0.4,7220864.0,,,151.6672,1.3858,4.9167,16.3807,2202208211.84,,,,,,,
1568822400000,13162649,5.44,5.98,5.44,5.82,0.38,6.99,3.97,75710704.0,,,162.2616,1.4826,5.2601,17.5249,2356038932.52,,,,,,,
1568908800000,5993051,5.82,5.82,5.66,5.72,-0.1,-1.72,1.81,34262091.0,,,159.4736,1.4571,5.1697,17.2238,2315557163.92,,,,,,,
1569168000000,4984583,5.72,5.75,5.5,5.57,-0.15,-2.62,1.5,27684781.0,,,155.2916,1.4189,5.0342,16.7721,2254834511.02,,,,,,,
1569254400000,2944680,5.55,5.62,5.55,5.56,-0.01,-0.18,0.89,16417979.0,,,155.0128,1.4164,5.0251,16.742,2250786334.16,,,,,,,
1569340800000,3343296,5.52,5.63,5.51,5.56,0.0,0.0,1.01,18672304.0,,,155.0128,1.4164,5.0251,16.742,2250786334.16,,,,,,,
1569427200000,2890100,5.55,5.61,5.4,5.41,-0.15,-2.7,0.87,15872243.0,,,150.8308,1.3781,4.8895,16.2904,2190063681.26,,,,,,,
1569513600000,2208596,5.43,5.43,5.35,5.41,0.0,0.0,0.67,11904441.0,,,150.8308,1.3781,4.8895,16.2904,2190063681.26,,,,,,,
1569772800000,1309600,5.39,5.41,5.33,5.34,-0.07,-1.29,0.39,7019749.0,,,188.6779,1.3329,5.0659,14.4878,2161726443.24,,,,,,,
1570464000000,2192800,5.35,5.38,5.22,5.23,-0.11,-2.06,0.66,11562202.0,,,184.7912,1.3054,4.9616,14.1894,2117196497.78,,,,,,,
1570550400000,1523884,5.2,5.24,5.17,5.24,0.01,0.19,0.46,7919208.0,,,185.1446,1.3079,4.9711,14.2165,2121244674.64,,,,,,,
1570636800000,1160239,5.24,5.28,5.21,5.26,0.02,0.38,0.35,6099115.0,,,185.8512,1.3129,4.9901,14.2708,2129341028.36,,,,,,,
1570723200000,1090084,5.26,5.29,5.2,5.27,0.01,0.19,0.33,5720347.0,,,186.2046,1.3154,4.9995,14.2979,2133389205.22,,,,,,,
1570982400000,1762784,5.28,5.33,5.27,5.33,0.06,1.14,0.53,9361982.0,,,188.3245,1.3304,5.0565,14.4607,2157678266.38,,,,,,,
1571068800000,1056209,5.33,5.33,5.25,5.26,-0.07,-1.31,0.32,5578729.0,,,185.8512,1.3129,4.9901,14.2708,2129341028.36,,,,,,,
1571155200000,860700,5.29,5.31,5.23,5.24,-0.02,-0.38,0.26,4536099.0,,,185.1446,1.3079,4.9711,14.2165,2121244674.64,,,,,,,
1571241600000,906200,5.23,5.26,5.22,5.24,0.0,0.0,0.27,4744811.0,,,185.1446,1.3079,4.9711,14.2165,2121244674.64,,,,,,,
1571328000000,1389917,5.24,5.28,5.15,5.16,-0.08,-1.53,0.42,7216971.0,,,182.3179,1.2879,4.8952,13.9995,2088859259.76,,,,,,,
1571587200000,492766,5.18,5.2,5.13,5.16,0.0,0.0,0.15,2535921.0,,,182.3179,1.2879,4.8952,13.9995,2088859259.76,,,,,,,
1571673600000,749224,5.15,5.24,5.15,5.22,0.06,1.16,0.23,3901116.0,,,184.4379,1.3029,4.9521,14.1623,2113148320.92,,,,,,,
1571760000000,817400,5.22,5.26,5.2,5.21,-0.01,-0.19,0.25,4282526.0,,,184.0846,1.3004,4.9426,14.1351,2109100144.06,,,,,,,
1571846400000,636572,5.25,5.25,5.18,5.23,0.02,0.38,0.19,3318574.0,,,184.7912,1.3054,4.9616,14.1894,2117196497.78,,,,,,,
1571932800000,787600,5.2,5.27,5.19,5.26,0.03,0.57,0.24,4127671.0,,,185.8512,1.3129,4.9901,14.2708,2129341028.36,,,,,,,
1572192000000,1127600,5.26,5.33,5.24,5.31,0.05,0.95,0.34,5965889.0,,,187.6179,1.3254,5.0375,14.4064,2149581912.66,,,,,,,
1572278400000,989800,5.31,5.33,5.21,5.21,-0.1,-1.88,0.3,5206732.0,,,184.0846,1.3004,4.9426,14.1351,2109100144.06,,,,,,,
1572364800000,938200,5.22,5.23,5.13,5.14,-0.07,-1.34,0.28,4837919.0,,,181.6113,1.283,4.8762,13.9452,2080762906.04,,,,,,,
1572451200000,3152072,5.15,5.27,5.12,5.15,0.01,0.19,0.95,16419545.0,,,181.9646,1.2855,4.8857,13.9724,2084811082.9,,,,,,,
1572537600000,1039500,5.15,5.2,5.12,5.16,0.01,0.19,0.31,5360526.0,,,182.3179,1.2879,4.8952,13.9995,2088859259.76,,,,,,,
1572796800000,690200,5.18,5.23,5.17,5.18,0.02,0.39,0.21,3585882.0,,,183.0246,1.2929,4.9142,14.0537,2096955613.48,,,,,,,
1572883200000,774900,5.18,5.24,5.15,5.21,0.03,0.58,0.23,4034395.0,,,184.0846,1.3004,4.9426,14.1351,2109100144.06,,,,,,,
1572969600000,1104500,5.21,5.21,5.13,5.13,-0.08,-1.54,0.33,5701894.0,,,181.258,1.2805,4.8667,13.9181,2076714729.18,,,,,,,
