timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1563292800000,446400,16.9883,17.0579,16.9385,16.9584,-0.0493,-0.29,0.26,7627941.0,,,64.716,6.2392,1.7924,17.0392,5797000000.0,,,,,,,
1563379200000,751300,16.9883,16.9883,16.7197,16.7694,-0.1882,-1.11,0.44,12686164.0,,,63.9949,6.1697,1.7725,16.8493,5732400000.0,,,,,,,
1563465600000,566000,16.7297,16.9684,16.7197,16.8092,0.0402,0.24,0.33,9600222.0,,,64.1467,6.1844,1.7767,16.8893,5746000000.0,,,,,,,
1563724800000,1235668,16.7197,16.8789,16.4114,16.4114,-0.3984,-2.37,0.73,20538902.0,,,62.6284,6.038,1.7346,16.4895,5610000000.0,,,,,,,
1563811200000,562400,16.4114,16.5904,16.3716,16.5307,0.1198,0.73,0.33,9342255.0,,,63.0839,6.0819,1.7472,16.6094,5650800000.0,,,,,,,
1563897600000,819299,16.5904,16.859,16.5805,16.7794,0.248,1.5,0.48,13802860.0,,,64.0328,6.1734,1.7735,16.8593,5735800000.0,,,,,,,
1563984000000,687331,16.7396,16.8291,16.7197,16.7595,-0.0201,-0.12,0.4,11587378.0,,,63.9569,6.1661,1.7714,16.8393,5729000000.0,,,,,,,
1564070400000,4000819,16.7297,17.595,16.6401,17.595,0.8363,4.99,2.35,69849997.0,,,67.1453,6.4734,1.8597,17.6788,6014600000.0,,,,,,,
1564329600000,2903754,17.1076,17.1772,16.8888,16.9684,-0.6264,-3.56,1.71,49729507.0,,,64.754,6.2429,1.7935,17.0492,5800400000.0,,,,,,,
1564416000000,1265685,16.9883,17.0678,16.8888,16.8888,-0.0798,-0.47,0.74,21584502.0,,,64.4503,6.2136,1.7851,16.9692,5773200000.0,,,,,,,
1564502400000,970300,16.849,16.9982,16.7993,16.8987,0.0101,0.06,0.57,16456164.0,,,64.4883,6.2173,1.7861,16.9792,5776600000.0,,,,,,,
1564588800000,1159600,16.9087,16.9485,16.6799,16.8092,-0.0896,-0.53,0.68,19566656.0,,,64.1467,6.1844,1.7767,16.8893,5746000000.0,,,,,,,
1564675200000,1094605,16.481,16.6799,16.4412,16.6203,-0.1883,-1.12,0.64,18253346.0,,,63.4255,6.1148,1.7567,16.6994,5681400000.0,,,,,,,
1564934400000,864300,16.5606,16.7595,16.4909,16.5108,-0.1097,-0.66,0.51,14406677.0,,,63.008,6.0746,1.7451,16.5895,5644000000.0,,,,,,,
1565020800000,2219700,16.3517,16.3517,15.6853,15.7748,-0.7364,-4.46,1.31,35442265.0,,,60.1992,5.8038,1.6673,15.8499,5392400000.0,,,,,,,
1565107200000,737010,15.8245,15.9837,15.745,15.7649,-0.0095,-0.06,0.43,11756677.0,,,60.1612,5.8001,1.6663,15.8399,5389000000.0,,,,,,,
1565193600000,928305,15.8743,16.0931,15.7947,15.9538,0.1892,1.2,0.55,14883816.0,,,60.8824,5.8696,1.6863,16.0298,5453600000.0,,,,,,,
1565280000000,978600,15.9638,16.3219,15.9439,15.9837,0.0303,0.19,0.58,15850250.0,,,60.9963,5.8806,1.6894,16.0598,5463800000.0,,,,,,,
1565539200000,545601,15.9837,16.1727,15.9837,16.1528,0.1694,1.06,0.32,8820966.0,,,61.6415,5.9428,1.7073,16.2297,5521600000.0,,,,,,,
1565625600000,612200,16.0931,16.1329,15.9737,16.0235,-0.1292,-0.8,0.36,9872857.0,,,61.1481,5.8953,1.6936,16.0998,5477400000.0,,,,,,,
1565712000000,671131,16.1727,16.2622,16.113,16.1229,0.0993,0.62,0.39,10908581.0,,,61.5277,5.9319,1.7041,16.1997,5511400000.0,,,,,,,
1565798400000,678834,15.8245,16.0732,15.7649,16.0732,-0.05,-0.31,0.4,10868642.0,,,61.3379,5.9136,1.6989,16.1497,5494400000.0,,,,,,,
1565884800000,743209,16.0135,16.1727,16.0135,16.0533,-0.0193,-0.12,0.44,12041726.0,,,61.262,5.9062,1.6968,16.1298,5487600000.0,,,,,,,
1566144000000,1220025,16.1528,16.5208,16.0732,16.4313,0.3773,2.35,0.72,20091175.0,,,62.7043,6.0453,1.7367,16.5095,5616800000.0,,,,,,,
1566230400000,893101,16.4014,16.5407,16.3616,16.4512,0.0197,0.12,0.53,14772537.0,,,62.7802,6.0526,1.7388,16.5295,5623600000.0,,,,,,,
1566316800000,704500,16.3119,16.4909,16.3119,16.4611,0.0099,0.06,0.41,11621705.0,,,62.8182,6.0563,1.7399,16.5395,5627000000.0,,,,,,,
1566403200000,1513587,16.5307,16.9186,16.4909,16.8092,0.3473,2.11,0.89,25502804.0,,,64.1467,6.1844,1.7767,16.8893,5746000000.0,,,,,,,
1566489600000,1337365,16.8092,16.9883,16.4711,16.4711,-0.3379,-2.01,0.79,22410009.0,,,62.8562,6.0599,1.7409,16.5495,5630400000.0,,,,,,,
1566748800000,1717051,16.0135,16.103,15.8444,16.0135,-0.4579,-2.78,1.01,27610383.0,,,61.1102,5.8916,1.6926,16.0898,5474000000.0,,,,,,,
1566835200000,1021806,16.0135,16.2323,16.0135,16.1826,0.1697,1.06,0.6,16603164.0,,,61.7554,5.9538,1.7104,16.2597,5531800000.0,,,,,,,
1566921600000,901900,16.2423,16.2821,15.9638,16.0832,-0.0987,-0.61,0.53,14628109.0,,,61.3759,5.9172,1.6999,16.1597,5497800000.0,,,,,,,
1567008000000,664100,16.0832,16.1627,16.0235,16.0732,-0.0096,-0.06,0.39,10740804.0,,,61.3379,5.9136,1.6989,16.1497,5494400000.0,,,,,,,
1567094400000,960315,16.1627,16.2125,15.9439,15.9936,-0.0804,-0.5,0.56,15548774.0,,,61.0342,5.8843,1.6905,16.0698,5467200000.0,,,,,,,
1567353600000,1167809,16.0732,16.1826,15.9737,16.1627,0.1695,1.06,0.69,18931592.0,,,61.6795,5.9465,1.7083,16.2397,5525000000.0,,,,,,,
1567440000000,813101,16.2323,16.2323,16.1329,16.1826,0.0194,0.12,0.48,13227273.0,,,61.7554,5.9538,1.7104,16.2597,5531800000.0,,,,,,,
1567526400000,1043940,16.2025,16.2622,16.113,16.2622,0.0793,0.49,0.61,16984423.0,,,62.0591,5.9831,1.7189,16.3396,5559000000.0,,,,,,,
1567612800000,1410001,16.292,16.5407,16.2821,16.3915,0.1301,0.8,0.83,23300323.0,,,62.5525,6.0307,1.7325,16.4695,5603200000.0,,,,,,,
1567699200000,883410,16.4611,16.5208,16.3418,16.4412,0.0492,0.3,0.52,14599595.0,,,62.7423,6.049,1.7378,16.5195,5620200000.0,,,,,,,
1567958400000,1203000,16.5108,16.6799,16.4711,16.6103,0.1693,1.03,0.71,20053120.0,,,63.3876,6.1112,1.7557,16.6894,5678000000.0,,,,,,,
1568044800000,996601,16.6004,16.6799,16.4909,16.6401,0.0299,0.18,0.59,16635467.0,,,63.5014,6.1221,1.7588,16.7194,5688200000.0,,,,,,,
1568131200000,2572901,16.6302,17.0579,16.6103,16.8789,0.238,1.43,1.51,43792812.0,,,64.4124,6.21,1.784,16.9592,5769800000.0,,,,,,,
1568217600000,932311,16.8789,16.9982,16.7893,16.8987,0.0203,0.12,0.55,15814331.0,,,64.4883,6.2173,1.7861,16.9792,5776600000.0,,,,,,,
1568563200000,1596668,17.0082,17.0778,16.9087,17.028,0.1301,0.77,0.94,27320749.0,,,64.9817,6.2649,1.7998,17.1091,5820800000.0,,,,,,,
1568649600000,1610601,17.0877,17.0877,16.5904,16.67,-0.3576,-2.1,0.95,27207773.0,,,63.6153,6.1331,1.762,16.7494,5698400000.0,,,,,,,
