timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,6679200,5.1346,5.1944,4.985,5.0648,-0.0301,-0.59,1.26,34128641.0,,,41.6245,1.6947,3.7031,18.8117,3637969244.24,,,,,,,
1565539200000,5408824,5.1246,5.2443,5.0748,5.2443,0.1793,3.54,1.02,27977339.0,,,43.0993,1.7547,3.8343,19.4783,3766873666.28,,,,,,,
1565625600000,4338799,5.2044,5.2044,5.1047,5.1446,-0.0996,-1.9,0.82,22415854.0,,,42.28,1.7214,3.7614,19.108,3695260098.48,,,,,,,
1565712000000,3900000,5.2144,5.2343,5.1346,5.1446,0.0,0.0,0.74,20280785.0,,,42.28,1.7214,3.7614,19.108,3695260098.48,,,,,,,
1565798400000,6082630,5.0249,5.2343,4.9352,5.2044,0.0597,1.16,1.15,31071606.0,,,42.7716,1.7414,3.8052,19.3302,3738228239.16,,,,,,,
1565884800000,4746000,5.1745,5.2243,5.1545,5.1745,-0.0297,-0.57,0.9,24711945.0,,,42.5258,1.7314,3.7833,19.2191,3716744168.82,,,,,,,
1566144000000,7410920,5.2742,5.344,5.2243,5.324,0.1495,2.89,1.4,39275133.0,,,43.7549,1.7814,3.8926,19.7745,3824164520.52,,,,,,,
1566230400000,5705700,5.344,5.3739,5.2742,5.2841,-0.0399,-0.75,1.08,30470483.0,,,43.4271,1.7681,3.8635,19.6264,3795519093.4,,,,,,,
1566316800000,4186244,5.3141,5.334,5.2742,5.2841,0.0,0.0,0.79,22224952.0,,,43.4271,1.7681,3.8635,19.6264,3795519093.4,,,,,,,
1566403200000,4143316,5.2841,5.3539,5.2742,5.344,0.0597,1.13,0.78,22071773.0,,,43.9187,1.7881,3.9072,19.8486,3838487234.08,,,,,,,
1566489600000,10993951,5.324,5.4736,5.2841,5.4038,0.0599,1.12,2.08,59303150.0,,,44.4104,1.8081,3.951,20.0708,3881455374.76,,,,,,,
1566748800000,9445884,5.2443,5.3539,5.1944,5.2243,-0.1794,-3.32,1.78,49873107.0,,,42.9355,1.7481,3.8197,19.4042,3752550952.72,,,,,,,
1566835200000,8615303,5.2642,5.3938,5.2642,5.3639,0.1395,2.67,1.63,46177491.0,,,44.0826,1.7948,3.9218,19.9227,3852809947.64,,,,,,,
1566921600000,17322972,5.4337,5.6132,5.344,5.5833,0.2194,4.09,3.27,95358306.0,,,45.8852,1.8682,4.0822,20.7373,4010359796.8,,,,,,,
1567008000000,10682342,5.5833,5.6032,5.4736,5.5135,-0.0698,-1.25,2.02,59064941.0,,,45.3117,1.8448,4.0311,20.4781,3960230299.34,,,,,,,
1567094400000,11719725,5.5234,5.663,5.4835,5.5334,0.0198,0.36,2.21,65433534.0,,,45.4755,1.8515,4.0457,20.5522,3974553012.9,,,,,,,
1567353600000,14741086,5.5334,5.7328,5.5334,5.7029,0.1693,3.06,2.79,83928377.0,,,46.8685,1.9082,4.1696,21.1817,4096296078.16,,,,,,,
1567440000000,9298446,5.7627,5.7727,5.6231,5.6431,-0.0599,-1.05,1.76,52794710.0,,,46.3769,1.8882,4.1259,20.9595,4053327937.48,,,,,,,
1567526400000,8747707,5.653,5.663,5.5434,5.6032,-0.0401,-0.71,1.65,49073226.0,,,46.0491,1.8748,4.0968,20.8114,4024682510.36,,,,,,,
1567612800000,16316653,5.6331,5.8624,5.6032,5.7228,0.1199,2.14,3.08,94036598.0,,,47.0324,1.9149,4.1842,21.2558,4110618791.72,,,,,,,
1567699200000,6607300,5.7328,5.7727,5.653,5.7328,0.0097,0.17,1.25,37868257.0,,,47.1143,1.9182,4.1915,21.2928,4117780148.5,,,,,,,
1567958400000,13351996,5.7827,5.8225,5.683,5.7428,0.0097,0.17,2.52,76781767.0,,,47.1962,1.9215,4.1988,21.3298,4124941505.28,,,,,,,
1568044800000,12413634,5.7827,6.321,5.7328,6.321,0.5783,10.07,2.35,77468661.0,,,51.9486,2.115,4.6216,23.4776,4540300198.52,,,,,,,
1568131200000,51705197,6.8794,6.9492,6.7298,6.9093,0.5885,9.31,9.77,357904726.0,,,56.783,2.3119,5.0517,25.6625,4962820248.54,,,,,,,
1568217600000,70769150,6.6401,6.9192,6.3908,6.65,-0.2591,-3.75,13.37,468564908.0,,,54.6526,2.2251,4.8622,24.6997,4776624972.26,,,,,,,
1568563200000,49117304,6.5304,6.8495,6.4905,6.67,0.02,0.3,9.28,326642028.0,,,54.8165,2.2318,4.8767,24.7737,4790947685.82,,,,,,,
1568649600000,33271821,6.5703,6.5703,6.2313,6.3011,-0.3688,-5.53,6.29,213218154.0,,,51.7848,2.1084,4.607,23.4036,4525977484.96,,,,,,,
1568736000000,21229095,6.2812,6.4905,6.2512,6.3509,0.0498,0.79,4.01,135985477.0,,,52.1945,2.125,4.6435,23.5887,4561784268.86,,,,,,,
1568822400000,19133502,6.321,6.321,6.0917,6.2413,-0.1099,-1.73,3.62,119011943.0,,,51.2931,2.0884,4.5633,23.1814,4483009344.28,,,,,,,
1568908800000,13439911,6.2612,6.2712,6.1316,6.1416,-0.0999,-1.6,2.54,83296126.0,,,50.4738,2.055,4.4904,22.8111,4411395776.48,,,,,,,
