timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1093000,9.1586,9.1586,8.8708,9.0296,-0.0792,-0.87,0.16,9895198.0,,,16.4751,1.7083,0.8524,10.6751,6503264003.6,,554042,0.07,-40900,,,
1565539200000,615600,9.0693,9.0891,8.9601,8.9899,-0.0397,-0.44,0.09,5592068.0,,,16.4027,1.7007,0.8486,10.6282,6474678227.76,,611442,0.08,57400,,,
1565625600000,792414,9.0494,9.0494,8.8609,8.9998,0.0099,0.11,0.12,7137222.0,,,16.4208,1.7026,0.8496,10.6399,6481824671.72,,623142,0.08,11700,,,
1565712000000,1654400,9.0395,9.0792,8.9006,8.9105,-0.0891,-0.99,0.25,14920838.0,,,16.2578,1.6857,0.8411,10.5344,6417506676.08,,610442,0.08,-12700,,,
1565798400000,746800,8.8907,8.8907,8.7418,8.8013,-0.1087,-1.22,0.11,6624323.0,,,16.0587,1.6651,0.8308,10.4053,6338895792.52,,593614,0.08,-16828,,,
1565884800000,2619005,8.8807,9.2181,8.7319,9.0693,0.2676,3.04,0.39,23932118.0,,,16.5475,1.7158,0.8561,10.7221,6531849779.44,,594942,0.08,1328,,,
1566144000000,4892533,9.1387,9.6944,9.1387,9.5753,0.5061,5.58,0.73,46491718.0,,,17.4709,1.8115,0.9039,11.3203,6896318421.4,,661642,0.09,66700,,,
1566230400000,2236400,9.5753,9.615,9.3272,9.4761,-0.0996,-1.04,0.33,21274882.0,,,17.2898,1.7927,0.8945,11.203,6824853981.8,,826742,0.11,165100,,,
1566316800000,3878700,9.5059,10.2004,9.4662,9.7341,0.2578,2.72,0.58,38061915.0,,,17.7605,1.8415,0.9189,11.508,7010661524.76,,724742,0.1,-102000,,,
1566403200000,1234236,9.8829,9.8829,9.6051,9.6249,-0.109,-1.12,0.18,12011879.0,,,17.5614,1.8209,0.9086,11.379,6932050641.2,,734042,0.1,9300,,,
1566489600000,2399494,9.7242,9.7242,9.3769,9.5257,-0.0991,-1.03,0.36,23062053.0,,,17.3803,1.8021,0.8992,11.2617,6860586201.6,,842739,0.11,108697,,,
1566748800000,3888026,9.5257,9.5455,9.2181,9.4562,-0.0695,-0.73,0.58,36620455.0,,,17.2536,1.789,0.8926,11.1796,6810561093.88,,1150019,0.16,307280,,,
1566835200000,3457004,9.3967,9.4066,9.2876,9.3272,-0.1286,-1.36,0.52,32535030.0,,,17.0182,1.7646,0.8805,11.0271,6717657322.4,,1154419,0.16,4400,,,
1566921600000,3693182,9.3372,9.6051,9.2677,9.4265,0.0989,1.06,0.55,35208056.0,,,17.1993,1.7833,0.8898,11.1444,6789121762.0,,967696,0.13,-186723,,,
1567008000000,1588392,9.5654,9.5654,9.3272,9.3471,-0.0792,-0.84,0.24,14998346.0,,,17.0544,1.7683,0.8823,11.0505,6731950210.32,,913504,0.12,-54192,,,
1567094400000,1539198,9.4364,9.4364,9.1586,9.1883,-0.1589,-1.7,0.23,14405765.0,,,16.7648,1.7383,0.8674,10.8628,6617607106.96,,847253,0.11,-66251,,,
1567353600000,1106493,9.2379,9.3272,9.0395,9.2975,0.1093,1.19,0.17,10329851.0,,,16.9639,1.7589,0.8777,10.9919,6696217990.52,,908676,0.12,61423,,,
1567440000000,1368316,9.2975,9.3471,9.228,9.2776,-0.0195,-0.21,0.2,12787598.0,,,16.9277,1.7552,0.8758,10.9684,6681925102.6,,970822,0.13,62146,,,
1567526400000,1833022,9.228,9.2776,9.2082,9.2578,-0.0195,-0.21,0.27,17054167.0,,,16.8915,1.7514,0.8739,10.9449,6667632214.68,,1066571,0.14,95749,,,
1567612800000,2918000,9.2776,9.3967,9.2479,9.3372,0.0796,0.86,0.44,27439518.0,,,17.0363,1.7664,0.8814,11.0388,6724803766.36,,1175374,0.16,108803,,,
1567699200000,5211648,9.3669,9.3669,9.1288,9.1784,-0.1587,-1.7,0.78,48300950.0,,,16.7467,1.7364,0.8664,10.8511,6610460663.0,,1191954,0.16,16580,,,
