timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,812753,77.5102,78.3824,76.9353,77.758,0.6859,0.89,0.29,63822086.0,,,33.3378,4.8852,4.064,45.2463,21664377950.4,,2332295,0.84,-52889,,,
1565539200000,1130401,76.7073,78.5905,76.4397,77.0146,-0.7465,-0.96,0.41,87985596.0,,,33.0191,4.8385,4.0251,44.8137,21457261526.4,,2480495,0.89,148200,,,
1565625600000,649100,77.1831,77.2921,76.073,76.7668,-0.2464,-0.32,0.24,50222629.0,,,32.9129,4.823,4.0122,44.6695,21388222718.4,,2578595,0.93,98100,,,
1565712000000,1030561,77.7282,77.748,75.9243,76.063,-0.7063,-0.92,0.37,79661934.0,,,32.6112,4.7787,3.9754,44.26,21192152503.68,,2753295,0.99,174700,,,
1565798400000,728461,75.726,77.1137,74.7349,77.0641,1.004,1.32,0.26,56111143.0,,,33.0404,4.8416,4.0277,44.8425,21471069288.0,,2824356,1.02,71061,,,
1565884800000,492615,77.074,77.2624,76.5388,76.6181,-0.447,-0.58,0.18,38190257.0,,,32.8491,4.8136,4.0044,44.583,21346799433.6,,2850056,1.03,25700,,,
1566144000000,826360,77.5399,78.9969,76.9551,78.65,2.0304,2.65,0.3,65348173.0,,,33.7203,4.9413,4.1106,45.7653,21912917659.2,369571.0,2805616,1.01,-44440,,,
1566230400000,1315767,78.3031,79.2546,75.9937,76.8064,-1.8403,-2.34,0.48,102616941.0,,,32.9299,4.8254,4.0143,44.6926,21399268927.68,1575018.0,2857116,1.03,51500,,,
1566316800000,966670,76.6776,77.0542,75.5278,75.8351,-0.9677,-1.26,0.35,74389076.0,,,32.5134,4.7644,3.9635,44.1274,21128636800.32,2307559.0,2941122,1.06,84006,,,
1566403200000,1593230,76.4595,77.1137,73.3769,73.9221,-1.911,-2.52,0.58,119369124.0,,,31.6933,4.6442,3.8635,43.0142,20595657202.56,2312819.0,3092079,1.11,150957,,,
1566489600000,1612190,74.3384,77.8868,74.1402,76.3406,2.4173,3.27,0.58,124471254.0,,,32.7302,4.7962,3.9899,44.4215,21269475968.64,6206334.0,3213856,1.16,121777,,,
1566748800000,1677520,74.2095,77.3912,73.9518,74.8835,-1.4581,-1.91,0.61,127792666.0,,,32.1055,4.7046,3.9138,43.5737,20863527777.6,3355479.0,3118678,1.12,-95178,,,
1566835200000,3450777,75.1512,80.8802,75.1512,79.9385,5.0547,6.75,1.25,274208269.0,,,34.2728,5.0222,4.178,46.5151,22271919460.8,7519214.0,3102763,1.12,-15915,,,
1566921600000,6669685,71.9496,75.3296,71.9496,73.3472,-6.5953,-8.25,2.42,490799697.0,,,31.4468,4.6081,3.8335,42.6797,20435487168.0,8813792.0,2317562,0.83,-785201,,,
1567008000000,3728667,73.3472,75.8152,73.3472,74.1996,0.8508,1.16,1.35,280161459.0,,,31.8123,4.6617,3.878,43.1757,20672980667.52,9961516.0,2146956,0.77,-170606,,,
1567094400000,1225536,74.9133,76.7073,74.2294,75.6071,1.4097,1.9,0.44,93154493.0,,,32.4157,4.7501,3.9516,43.9947,21065121096.96,6608023.0,2176181,0.78,29225,,,
1567353600000,1403607,74.8439,76.1919,74.3879,75.0322,-0.5746,-0.76,0.51,106355151.0,,,32.1692,4.714,3.9215,43.6602,20904951062.4,8183365.0,2150781,0.77,-25400,,,
1567440000000,992900,74.8835,75.5972,74.3979,74.4871,-0.5478,-0.73,0.36,74926993.0,,,31.9355,4.6797,3.893,43.343,20753065684.8,8217809.0,2136580,0.77,-14201,,,
1567526400000,1621328,74.0708,74.7249,72.4551,72.7525,-1.7356,-2.33,0.59,119673434.0,,,31.1918,4.5708,3.8024,42.3337,20269794028.8,6779809.0,2151180,0.77,14600,,,
1567612800000,3422166,73.2084,73.3274,71.0675,71.6027,-1.1495,-1.58,1.24,247208468.0,,,30.6989,4.4985,3.7423,41.6646,19949453959.68,12663159.0,2047777,0.74,-103403,,,
1567699200000,1385868,71.5433,71.8604,70.9486,71.3748,-0.2291,-0.32,0.5,99792750.0,,,30.6011,4.4842,3.7304,41.532,19885938256.32,13634535.0,2003204,0.72,-44573,,,
1567958400000,2295311,71.3649,71.9695,70.4133,71.008,-0.364,-0.51,0.83,164324448.0,,,30.4439,4.4612,3.7112,41.3186,19783760820.48,14219296.0,2102604,0.76,99400,,,
1568044800000,2605322,71.3649,71.5631,68.4012,70.1754,-0.8308,-1.17,0.94,182958308.0,,,30.0869,4.4088,3.6677,40.8341,19551790425.6,15828311.0,2234776,0.8,132172,,,
1568131200000,1785005,69.6798,70.5719,69.2536,69.3032,-0.8701,-1.24,0.65,125911190.0,,,29.713,4.354,3.6221,40.3266,19308773821.44,14462993.0,2287241,0.82,52465,,,
1568217600000,2032583,69.1644,71.5532,69.0752,71.464,2.1622,3.12,0.74,144824680.0,,,30.6394,4.4898,3.735,41.5839,19910792227.2,12003930.0,2902341,1.05,615100,,,
1568563200000,2055490,72.0587,74.7051,71.8604,74.1897,2.7229,3.81,0.74,153227005.0,,,31.808,4.661,3.8775,43.17,20670219115.2,10075964.0,2912225,1.05,9884,,,
1568649600000,959915,73.8428,74.2194,72.8913,73.7932,-0.3932,-0.53,0.35,71306131.0,,,31.638,4.6361,3.8568,42.9393,20559757022.4,8916101.0,2844730,1.03,-67495,,,
1568736000000,847825,73.9816,74.2393,72.3858,73.5454,-0.2509,-0.34,0.31,62696976.0,,,31.5318,4.6206,3.8438,42.7951,20490718214.4,8370633.0,2824206,1.02,-20524,,,
1568822400000,1220895,73.704,76.1225,73.2084,75.4683,1.9196,2.61,0.44,92539021.0,,,32.3562,4.7414,3.9443,43.914,21026459364.48,7503153.0,2810178,1.01,-14028,,,
1568908800000,1310137,75.4287,77.3119,75.0719,76.3207,0.8528,1.13,0.47,100975482.0,,,32.7217,4.7949,3.9889,44.41,21263952864.0,6561342.0,2852006,1.03,41828,,,
1569168000000,844400,77.302,78.3725,75.8252,77.6886,1.3662,1.79,0.31,65990500.0,,,33.3081,4.8809,4.0604,45.2059,21645047084.16,6938599.0,2806274,1.01,-45732,,,
1569254400000,665494,79.0762,79.0762,76.5091,77.6192,-0.0699,-0.09,0.24,52211440.0,,,33.2784,4.8765,4.0567,45.1655,21625716217.92,7185356.0,2824674,1.02,18400,,,
1569340800000,740479,79.0168,79.1952,77.2525,77.5498,-0.0699,-0.09,0.27,58498819.0,,,33.2486,4.8721,4.0531,45.1252,21606385351.68,5780648.0,2851592,1.03,26918,,,
1569427200000,796283,78.6996,79.096,77.1137,77.3119,-0.2404,-0.31,0.29,62623013.0,,,33.1466,4.8572,4.0407,44.9867,21540108096.0,5428159.0,2891897,1.04,40305,,,
1569513600000,895398,78.3824,78.5905,75.845,76.7965,-0.518,-0.67,0.32,69342454.0,,,32.9256,4.8248,4.0137,44.6868,21396507375.36,5447597.0,2966035,1.07,74138,,,
1569772800000,701853,77.6291,78.8681,76.4199,76.4694,-0.3302,-0.43,0.25,54942258.0,,,30.3234,4.6044,3.9058,33.867,21305376148.8,5331790.0,3030035,1.09,64000,,,
