timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2017000,5.1346,5.1539,4.9899,5.0188,-0.0967,-1.89,0.49,10609748.0,,,10.3445,1.1428,1.6839,14.0239,2917200000.0,,,,,,,
1565539200000,2901550,5.0092,5.2022,5.0092,5.1925,0.1737,3.46,0.7,15412350.0,,,10.7026,1.1823,1.7422,14.5094,3018180000.0,,,,,,,
1565625600000,2334900,5.1443,5.1732,5.0188,5.096,-0.0966,-1.86,0.56,12273276.0,,,10.5037,1.1603,1.7098,14.2397,2962080000.0,,,,,,,
1565712000000,1395300,5.1153,5.1732,5.096,5.1153,0.0194,0.38,0.34,7418936.0,,,10.5435,1.1647,1.7163,14.2936,2973300000.0,,,,,,,
1565798400000,1559100,5.0574,5.1443,5.0285,5.1443,0.0292,0.57,0.38,8222732.0,,,10.6031,1.1713,1.726,14.3745,2990130000.0,,,,,,,
1565884800000,1757300,5.1443,5.1732,5.0864,5.125,-0.0195,-0.38,0.42,9347831.0,,,10.5634,1.1669,1.7195,14.3206,2978910000.0,,,,,,,
1566144000000,4134636,5.1539,5.3566,5.1153,5.3566,0.2316,4.52,0.99,22542722.0,,,11.0408,1.2197,1.7972,14.9678,3113550000.0,,,,,,,
1566230400000,3921732,5.3566,5.3759,5.2408,5.2698,-0.0868,-1.62,0.94,21525506.0,,,10.8618,1.1999,1.7681,14.7251,3063060000.0,,,,,,,
1566316800000,3522200,5.2408,5.347,5.2119,5.347,0.0775,1.47,0.85,19295863.0,,,11.0209,1.2175,1.794,14.9409,3107940000.0,,,,,,,
1566403200000,3226900,5.347,5.4338,5.2891,5.318,-0.0289,-0.54,0.78,17838501.0,,,10.9612,1.2109,1.7843,14.86,3091110000.0,,,,,,,
1566489600000,2608000,5.318,5.347,5.2601,5.3373,0.0191,0.36,0.63,14367594.0,,,11.001,1.2153,1.7907,14.9139,3102330000.0,,,,,,,
1566748800000,11297850,5.2215,5.5111,5.2119,5.4917,0.1543,2.89,2.72,63072145.0,,,11.3193,1.2504,1.8425,15.3454,3192090000.0,,,,,,,
1566835200000,10843400,5.4724,5.569,5.3952,5.5014,0.0099,0.18,2.61,61482183.0,,,11.3392,1.2526,1.8458,15.3724,3197700000.0,,,,,,,
1566921600000,16549287,5.5497,5.8392,5.5014,5.6365,0.1353,2.46,3.98,97124981.0,,,11.6177,1.2834,1.8911,15.75,3276240000.0,,,,,,,
1567008000000,8104574,5.6269,5.6462,5.5111,5.5304,-0.106,-1.88,1.95,46656456.0,,,11.3989,1.2592,1.8555,15.4533,3214530000.0,,,,,,,
1567094400000,7134826,5.5786,5.5979,5.4049,5.5497,0.0194,0.35,1.72,40826244.0,,,11.4387,1.2636,1.862,15.5072,3225750000.0,,,,,,,
1567353600000,10414275,5.5304,5.7716,5.4821,5.7234,0.1737,3.13,2.51,61230521.0,,,11.7967,1.3032,1.9203,15.9927,3326730000.0,,,,,,,
1567440000000,10212856,5.733,5.9261,5.6848,5.7041,-0.0195,-0.34,2.46,61139197.0,,,11.757,1.2988,1.9138,15.9387,3315510000.0,,,,,,,
1567526400000,6763112,5.6751,5.7041,5.6172,5.7041,0.0,0.0,1.63,39611634.0,,,11.757,1.2988,1.9138,15.9387,3315510000.0,,,,,,,
1567612800000,9116133,5.7137,5.7813,5.3084,5.6462,-0.0582,-1.02,2.19,53708782.0,,,11.6376,1.2856,1.8944,15.7769,3281850000.0,,,,,,,
1567699200000,5109131,5.6558,5.6944,5.5979,5.6172,-0.0288,-0.51,1.23,29812948.0,,,11.5779,1.279,1.8846,15.696,3265020000.0,,,,,,,
1567958400000,5786824,5.6751,5.6944,5.6076,5.6848,0.0674,1.2,1.39,33820984.0,,,11.7172,1.2944,1.9073,15.8848,3304290000.0,,,,,,,
1568044800000,5386321,5.6848,5.733,5.6076,5.6655,-0.0193,-0.34,1.3,31613786.0,,,11.6774,1.29,1.9008,15.8309,3293070000.0,,,,,,,
1568131200000,5250082,5.6848,5.7041,5.5593,5.5593,-0.1059,-1.87,1.26,30575432.0,,,11.4586,1.2658,1.8652,15.5342,3231360000.0,,,,,,,
1568217600000,4466686,5.5979,5.6269,5.5497,5.6076,0.0484,0.87,1.07,25846057.0,,,11.558,1.2768,1.8814,15.669,3259410000.0,,,,,,,
1568563200000,4941140,5.6365,5.6944,5.6172,5.6848,0.0774,1.38,1.19,29038702.0,,,11.7172,1.2944,1.9073,15.8848,3304290000.0,,,,,,,
1568649600000,4398032,5.6944,5.6944,5.5207,5.5497,-0.1353,-2.38,1.06,25466590.0,,,11.4387,1.2636,1.862,15.5072,3225750000.0,,,,,,,
1568736000000,2717342,5.5786,5.5786,5.5111,5.5497,0.0,0.0,0.65,15605371.0,,,11.4387,1.2636,1.862,15.5072,3225750000.0,,,,,,,
1568822400000,15313853,5.6944,5.8778,5.6655,5.8199,0.2703,4.87,3.68,91538238.0,,,11.9957,1.3252,1.9526,16.2624,3382830000.0,,,,,,,
1568908800000,10872131,5.7909,5.8296,5.6751,5.8199,0.0,0.0,2.62,64892575.0,,,11.9957,1.3252,1.9526,16.2624,3382830000.0,,,,,,,
1569168000000,8614246,5.7041,5.7041,5.54,5.5593,-0.2607,-4.48,2.07,50066751.0,,,11.4586,1.2658,1.8652,15.5342,3231360000.0,,,,,,,
1569254400000,4725733,5.5593,5.5883,5.4917,5.5111,-0.0484,-0.87,1.14,27121814.0,,,11.3591,1.2548,1.849,15.3994,3203310000.0,,,,,,,
1569340800000,3889370,5.4531,5.5207,5.3856,5.3952,-0.1157,-2.1,0.94,21980127.0,,,11.1204,1.2285,1.8102,15.0757,3135990000.0,,,,,,,
1569427200000,4128100,5.4049,5.4242,5.2601,5.2891,-0.1063,-1.97,0.99,22726114.0,,,10.9015,1.2043,1.7745,14.7791,3074280000.0,,,,,,,
