timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,5351614,4.01,4.02,3.88,3.89,-0.08,-2.02,0.71,21061142.0,,,48.2505,1.2747,0.7742,89.8033,3540362190.35,,,,,,,
1565539200000,5479419,3.89,3.94,3.86,3.94,0.05,1.29,0.73,21344272.0,,,48.8706,1.2911,0.7841,90.9576,3585868131.1,,,,,,,
1565625600000,2727586,3.91,3.93,3.87,3.88,-0.06,-1.52,0.36,10611131.0,,,48.1264,1.2714,0.7722,89.5725,3531261002.2,,,,,,,
1565712000000,9240391,3.94,4.27,3.92,4.0,0.12,3.09,1.23,37516278.0,,,49.6149,1.3107,0.796,92.3427,3640475260.0,,,,,,,
1565798400000,6081988,3.88,4.0,3.88,4.0,0.0,0.0,0.81,23918341.0,,,49.6149,1.3107,0.796,92.3427,3640475260.0,,,,,,,
1565884800000,5061870,4.05,4.08,3.99,4.03,0.03,0.75,0.68,20417035.0,,,49.987,1.3205,0.802,93.0353,3667778824.45,,,,,,,
1566144000000,8502361,4.06,4.23,4.03,4.2,0.17,4.22,1.13,35037389.0,,,52.0956,1.3762,0.8359,96.9599,3822499023.0,,,,,,,
1566230400000,5481940,4.19,4.25,4.16,4.21,0.01,0.24,0.73,23033448.0,,,52.2196,1.3795,0.8378,97.1907,3831600211.15,,,,,,,
1566316800000,4296000,4.18,4.27,4.18,4.21,0.0,0.0,0.57,18162586.0,,,52.2196,1.3795,0.8378,97.1907,3831600211.15,,,,,,,
1566403200000,7329365,4.24,4.37,4.22,4.31,0.1,2.38,0.98,31429979.0,,,53.46,1.4123,0.8577,99.4993,3922612092.65,,,,,,,
1566489600000,4702727,4.27,4.32,4.22,4.25,-0.06,-1.39,0.63,20028714.0,,,52.7158,1.3926,0.8458,98.1142,3868004963.75,,,,,,,
1566748800000,6818040,4.11,4.28,4.08,4.22,-0.03,-0.71,0.91,28593514.0,,,52.3437,1.3828,0.8398,97.4216,3840701399.3,,,,,,,
1566835200000,7189320,4.23,4.34,4.23,4.31,0.09,2.13,0.96,30890170.0,,,53.46,1.4123,0.8577,99.4993,3922612092.65,,,,,,,
1566921600000,8291820,4.3,4.41,4.27,4.36,0.05,1.16,1.11,36122325.0,,,54.0802,1.4287,0.8677,100.6536,3968118033.4,,,,,,,
1567008000000,5161148,4.34,4.37,4.26,4.28,-0.08,-1.83,0.69,22233260.0,,,53.0879,1.4025,0.8518,98.8067,3895308528.2,,,,,,,
1567094400000,6147200,4.31,4.32,4.23,4.3,0.02,0.47,0.82,26303807.0,,,53.336,1.409,0.8558,99.2684,3913510904.5,,,,,,,
1567353600000,7029240,4.31,4.34,4.25,4.34,0.04,0.93,0.94,30259639.0,,,53.8321,1.4221,0.8637,100.1919,3949915657.1,,,,,,,
1567440000000,6035820,4.31,4.39,4.3,4.34,0.0,0.0,0.81,26184125.0,,,53.8321,1.4221,0.8637,100.1919,3949915657.1,,,,,,,
1567526400000,3932860,4.34,4.36,4.31,4.36,0.02,0.46,0.52,17057063.0,,,54.0802,1.4287,0.8677,100.6536,3968118033.4,,,,,,,
1567612800000,11400230,4.39,4.5,4.35,4.49,0.13,2.98,1.52,50478333.0,,,55.6927,1.4713,0.8936,103.6547,4086433479.35,,,,,,,
1567699200000,7747926,4.51,4.58,4.45,4.51,0.02,0.45,1.03,34931294.0,,,55.9408,1.4778,0.8975,104.1164,4104635855.65,,,,,,,
1567958400000,9337539,4.56,4.56,4.48,4.51,0.0,0.0,1.25,42148860.0,,,55.9408,1.4778,0.8975,104.1164,4104635855.65,,,,,,,
1568044800000,4387200,4.52,4.55,4.48,4.53,0.02,0.44,0.59,19836716.0,,,56.1888,1.4844,0.9015,104.5781,4122838231.95,,,,,,,
1568131200000,4080647,4.55,4.56,4.46,4.49,-0.04,-0.88,0.54,18376097.0,,,55.6927,1.4713,0.8936,103.6547,4086433479.35,,,,,,,
1568217600000,3363146,4.5,4.51,4.46,4.5,0.01,0.22,0.45,15084666.0,,,55.8167,1.4746,0.8956,103.8856,4095534667.5,,,,,,,
1568563200000,8375800,4.53,4.63,4.47,4.59,0.09,2.0,1.12,38157944.0,,,56.9331,1.504,0.9135,105.9633,4177445360.85,,,,,,,
1568649600000,10338050,4.58,4.65,4.53,4.6,0.01,0.22,1.38,47357682.0,,,57.0571,1.5073,0.9155,106.1941,4186546549.0,,,,,,,
1568736000000,6847353,4.6,4.65,4.47,4.51,-0.09,-1.96,0.91,31137815.0,,,55.9408,1.4778,0.8975,104.1164,4104635855.65,,,,,,,
1568822400000,4237713,4.47,4.52,4.44,4.51,0.0,0.0,0.57,18979731.0,,,55.9408,1.4778,0.8975,104.1164,4104635855.65,,,,,,,
1568908800000,3010523,4.49,4.55,4.46,4.49,-0.02,-0.44,0.4,13537818.0,,,55.6927,1.4713,0.8936,103.6547,4086433479.35,,,,,,,
1569168000000,4875992,4.49,4.49,4.33,4.38,-0.11,-2.45,0.65,21313659.0,,,54.3283,1.4352,0.8717,101.1153,3986320409.7,,,,,,,
1569254400000,4172700,4.38,4.43,4.34,4.39,0.01,0.23,0.56,18370102.0,,,54.4523,1.4385,0.8737,101.3462,3995421597.85,,,,,,,
1569340800000,7483500,4.38,4.4,4.15,4.18,-0.21,-4.78,1.0,31766527.0,,,51.8475,1.3697,0.8319,96.4982,3804296646.7,,,,,,,
1569427200000,5097854,4.19,4.24,4.13,4.18,0.0,0.0,0.68,21327762.0,,,51.8475,1.3697,0.8319,96.4982,3804296646.7,,,,,,,
1569513600000,3396104,4.18,4.2,4.13,4.15,-0.03,-0.72,0.45,14132348.0,,,51.4754,1.3599,0.8259,95.8056,3776993082.25,,,,,,,
1569772800000,3699100,4.15,4.18,4.06,4.06,-0.09,-2.17,0.49,15150959.0,,,178.3062,1.3245,0.8232,43.597,3695082388.9,,,,,,,
1570464000000,2502429,4.06,4.14,4.05,4.08,0.02,0.49,0.33,10257497.0,,,179.1845,1.331,0.8272,43.8118,3713284765.2,,,,,,,
1570550400000,2046800,4.07,4.11,4.04,4.1,0.02,0.49,0.27,8343134.0,,,180.0629,1.3375,0.8313,44.0265,3731487141.5,,,,,,,
1570636800000,2513347,4.13,4.15,4.08,4.15,0.05,1.22,0.34,10364396.0,,,182.2588,1.3538,0.8414,44.5634,3776993082.25,,,,,,,
1570723200000,2898037,4.15,4.18,4.11,4.15,0.0,0.0,0.39,12022145.0,,,182.2588,1.3538,0.8414,44.5634,3776993082.25,,,,,,,
1570982400000,3749260,4.18,4.21,4.16,4.19,0.04,0.96,0.5,15674544.0,,,184.0155,1.3669,0.8495,44.993,3813397834.85,,,,,,,
1571068800000,3953017,4.16,4.17,4.08,4.09,-0.1,-2.39,0.53,16274551.0,,,179.6237,1.3342,0.8293,43.9191,3722385953.35,,,,,,,
1571155200000,2317957,4.14,4.15,4.07,4.08,-0.01,-0.24,0.31,9509509.0,,,179.1845,1.331,0.8272,43.8118,3713284765.2,,,,,,,
1571241600000,2346180,4.08,4.12,4.05,4.06,-0.02,-0.49,0.31,9564509.0,,,178.3062,1.3245,0.8232,43.597,3695082388.9,,,,,,,
