timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,17928660,2.3144,2.3336,2.2856,2.2856,-0.0287,-1.24,0.32,43042091.0,,,8.252,0.8688,1.2108,14.6577,14103710101.32,471848501.24,17851422,0.32,-63200,,,
1565539200000,17153240,2.2856,2.324,2.2856,2.324,0.0384,1.68,0.31,41180142.0,,,8.3906,0.8834,1.2311,14.904,14340747245.88,470859041.16,19176280,0.34,1324858,,,
1565625600000,18446142,2.3048,2.3432,2.2952,2.324,0.0,0.0,0.33,44580176.0,,,8.3906,0.8834,1.2311,14.904,14340747245.88,469454886.16,19838259,0.35,661979,,,
1565712000000,16276012,2.3432,2.3624,2.3336,2.3528,0.0288,1.24,0.29,39874092.0,,,8.4947,0.8943,1.2464,15.0888,14518525104.3,468756043.6,20891494,0.37,1053235,,,
1565798400000,15603628,2.3144,2.3528,2.3048,2.3528,0.0,0.0,0.28,37776447.0,,,8.4947,0.8943,1.2464,15.0888,14518525104.3,467428944.6,22485333,0.4,1593839,,,
1565884800000,17877744,2.3528,2.3624,2.3336,2.3432,-0.0096,-0.41,0.32,43695611.0,,,8.46,0.8907,1.2413,15.0272,14459265818.16,466241399.12,23273360,0.41,788027,,,
1566144000000,23107715,2.3528,2.4201,2.3528,2.4104,0.0672,2.87,0.41,57403515.0,,,8.7027,0.9162,1.2769,15.4583,14874080821.14,468645502.48,26899452,0.48,3626092,,,
1566230400000,19258612,2.4104,2.4393,2.4008,2.4104,0.0,0.0,0.35,48650933.0,,,8.7027,0.9162,1.2769,15.4583,14874080821.14,463129725.48,28537682,0.51,1638230,,,
1566316800000,20636402,2.4104,2.4585,2.4104,2.4297,0.0193,0.8,0.37,52417181.0,,,8.772,0.9235,1.2871,15.5815,14992599393.42,455993740.44,31248702,0.56,2711020,,,
1566403200000,12146855,2.4393,2.4489,2.4104,2.4201,-0.0097,-0.4,0.22,30728769.0,,,8.7374,0.9199,1.282,15.5199,14933340107.28,455854862.96,30754838,0.55,-493864,,,
1566489600000,22020604,2.4297,2.4777,2.4201,2.4777,0.0576,2.38,0.4,56262562.0,,,8.9454,0.9418,1.3125,15.8894,15288895824.12,454986346.84,30441368,0.54,-313470,,,
1566748800000,25723920,2.4393,2.4873,2.4104,2.4393,-0.0384,-1.55,0.46,65354347.0,,,8.8067,0.9272,1.2922,15.6431,15051858679.56,457517006.92,30367628,0.54,-73740,,,
1566835200000,42014308,2.4681,2.5353,2.4585,2.4777,0.0383,1.57,0.75,109137165.0,,,8.9454,0.9418,1.3125,15.8894,15288895824.12,452687314.84,31186938,0.55,819310,,,
1566921600000,16346286,2.4681,2.4777,2.4393,2.4489,-0.0287,-1.16,0.29,41841475.0,,,8.8414,0.9308,1.2973,15.7046,15111117965.7,450860662.4,31463938,0.56,277000,,,
1567008000000,17906315,2.4585,2.4585,2.4201,2.4297,-0.0191,-0.78,0.32,45287336.0,,,8.772,0.9235,1.2871,15.5815,14992599393.42,452220382.44,32327000,0.57,863062,,,
1567094400000,21016341,2.4393,2.4489,2.3912,2.4104,-0.0192,-0.79,0.38,52924035.0,,,8.7027,0.9162,1.2769,15.4583,14874080821.14,454219621.48,30009537,0.53,-2317463,,,
1567353600000,24006620,2.4104,2.4393,2.3912,2.4297,0.0193,0.8,0.43,60477208.0,,,8.772,0.9235,1.2871,15.5815,14992599393.42,455887437.44,30566363,0.54,556826,,,
1567440000000,17106066,2.4297,2.4393,2.4104,2.4104,-0.0192,-0.79,0.31,43098701.0,,,8.7027,0.9162,1.2769,15.4583,14874080821.14,456604501.48,30972999,0.55,406636,,,
1567526400000,24476457,2.4104,2.4489,2.4008,2.4489,0.0383,1.59,0.44,61841953.0,,,8.8414,0.9308,1.2973,15.7046,15111117965.7,460088070.4,32819923,0.58,1846924,,,
1567612800000,36888086,2.4489,2.5065,2.4489,2.4585,0.0096,0.39,0.66,95299431.0,,,8.8761,0.9345,1.3024,15.7662,15170377251.84,460697635.88,34085576,0.61,1265653,,,
1567699200000,30825313,2.4777,2.5161,2.4585,2.4873,0.0288,1.17,0.55,79852139.0,,,8.9801,0.9454,1.3176,15.951,15348155110.26,458131974.32,33352749,0.59,-732827,,,
1567958400000,24173061,2.4969,2.5065,2.4681,2.4969,0.0097,0.39,0.43,62601257.0,,,9.0147,0.9491,1.3227,16.0126,15407414396.4,461291845.8,34094885,0.61,742136,,,
1568044800000,28244976,2.4873,2.5065,2.4585,2.4969,0.0,0.0,0.51,73100915.0,,,9.0147,0.9491,1.3227,16.0126,15407414396.4,456345135.8,35377747,0.63,1282862,,,
1568131200000,20580363,2.4969,2.5161,2.4873,2.5065,0.0095,0.38,0.37,53553931.0,,,9.0494,0.9527,1.3278,16.0742,15466673682.54,453721377.28,35739385,0.64,361638,,,
1568217600000,22141123,2.5065,2.5161,2.4777,2.5065,0.0,0.0,0.4,57625036.0,,,9.0494,0.9527,1.3278,16.0742,15466673682.54,454222291.28,36329077,0.65,589692,,,
1568563200000,24770215,2.5065,2.5257,2.4969,2.5161,0.0095,0.38,0.44,64795528.0,,,9.0841,0.9564,1.3329,16.1357,15525932968.68,459214393.76,37124611,0.66,795534,,,
1568649600000,27615786,2.5065,2.5161,2.4489,2.4681,-0.0481,-1.91,0.5,71138762.0,,,8.9107,0.9381,1.3075,15.8278,15229636537.98,462949804.36,34154181,0.61,-2970430,,,
1568736000000,14354495,2.4585,2.4777,2.4585,2.4585,-0.0096,-0.39,0.26,36892303.0,,,8.8761,0.9345,1.3024,15.7662,15170377251.84,460437280.88,34019356,0.61,-134825,,,
1568822400000,14884480,2.4681,2.4777,2.4489,2.4681,0.0096,0.39,0.27,38152557.0,,,8.9107,0.9381,1.3075,15.8278,15229636537.98,457459086.36,35109472,0.62,1090116,,,
1568908800000,17686648,2.4681,2.4777,2.4489,2.4777,0.0096,0.39,0.32,45450258.0,,,8.9454,0.9418,1.3125,15.8894,15288895824.12,455739759.84,33722696,0.6,-1386776,,,
1569168000000,19702410,2.4681,2.4777,2.4201,2.4393,-0.0384,-1.55,0.35,50175271.0,,,8.8067,0.9272,1.2922,15.6431,15051858679.56,457350593.92,32876720,0.58,-845976,,,
1569254400000,14966824,2.4393,2.4585,2.4297,2.4393,0.0,0.0,0.27,38104660.0,,,8.8067,0.9272,1.2922,15.6431,15051858679.56,452553961.92,33532140,0.6,655420,,,
1569340800000,16544454,2.4393,2.4393,2.3912,2.4008,-0.0383,-1.57,0.3,41499786.0,,,8.668,0.9126,1.2718,15.3967,14814821535.0,454485499.0,33094214,0.59,-437926,,,
1569427200000,17966521,2.4104,2.4201,2.3624,2.372,-0.0288,-1.2,0.32,44666391.0,,,8.564,0.9016,1.2566,15.2119,14637043676.58,455655786.56,32806599,0.58,-287615,,,
1569513600000,17049615,2.372,2.3912,2.3528,2.3912,0.0192,0.81,0.31,42229183.0,,,8.6333,0.9089,1.2668,15.3351,14755562248.86,454066311.52,32455608,0.58,-350991,,,
1569772800000,14631441,2.3816,2.3912,2.3624,2.3624,-0.0287,-1.2,0.26,36156269.0,,,8.295,0.8776,1.2686,25.5968,14577784390.44,450680510.08,32529872,0.58,74264,,,
1570464000000,11080796,2.372,2.4008,2.372,2.3816,0.0191,0.81,0.2,27529419.0,,,8.3624,0.8847,1.2789,25.8049,14696302962.72,453423945.04,33301020,0.59,771148,,,
1570550400000,17370877,2.372,2.4201,2.3624,2.4008,0.0193,0.81,0.31,43245460.0,,,8.4299,0.8919,1.2892,26.013,14814821535.0,455665994.0,33818681,0.6,517661,,,
1570636800000,23679783,2.4104,2.4585,2.4008,2.4489,0.048,2.0,0.42,60150351.0,,,8.5985,0.9097,1.315,26.5333,15111117965.7,453477660.4,36745217,0.65,2926536,,,
1570723200000,28353602,2.4489,2.5065,2.4489,2.4969,0.048,1.96,0.51,73414676.0,,,8.7671,0.9275,1.3408,27.0535,15407414396.4,448629090.8,40274841,0.72,3529624,,,
1570982400000,37487598,2.5161,2.5545,2.5065,2.5257,0.0287,1.15,0.67,98939940.0,,,8.8682,0.9382,1.3563,27.3657,15585192254.82,446394315.24,45465139,0.81,5190298,,,
1571068800000,24270742,2.5257,2.5449,2.4969,2.5161,-0.0096,-0.38,0.44,63672132.0,,,8.8345,0.9347,1.3511,27.2617,15525932968.68,440655420.76,46481039,0.83,1015900,,,
1571155200000,17404582,2.5161,2.5353,2.4969,2.5065,-0.0096,-0.38,0.31,45569729.0,,,8.8008,0.9311,1.346,27.1576,15466673682.54,440282278.28,47823820,0.85,1342781,,,
1571241600000,14466228,2.4969,2.5257,2.4969,2.4969,-0.0095,-0.38,0.26,37821221.0,,,8.7671,0.9275,1.3408,27.0535,15407414396.4,440204369.8,49514509,0.88,1690689,,,
