timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,6013569,3.3418,3.3515,3.3029,3.3029,-0.029,-0.87,0.21,20596218.0,,,16.5888,0.5905,0.5441,3.4998,12014059290.0,450823342.0,8694792,0.24,77500,,,
1565539200000,3155461,3.3126,3.3418,3.3029,3.3418,0.039,1.18,0.11,10805101.0,,,16.7839,0.5974,0.5505,3.541,12155401164.0,450674455.0,8755892,0.24,61100,,,
1565625600000,3529584,3.332,3.3418,3.3029,3.332,-0.0097,-0.29,0.12,12052726.0,,,16.7351,0.5957,0.5489,3.5307,12120065695.5,443739934.0,8716142,0.24,-39750,,,
1565712000000,7594271,3.3515,3.3903,3.3418,3.3612,0.029,0.87,0.26,26292002.0,,,16.8815,0.6009,0.5537,3.5616,12226072101.0,444637950.0,8702192,0.24,-13950,,,
1565798400000,6839803,3.3029,3.3418,3.2738,3.3418,-0.0195,-0.58,0.24,23268600.0,,,16.7839,0.5974,0.5505,3.541,12155401164.0,444033925.0,8530992,0.24,-171200,,,
1565884800000,5648294,3.332,3.3612,3.3223,3.332,-0.0097,-0.29,0.19,19420454.0,,,16.7351,0.5957,0.5489,3.5307,12120065695.5,443552662.0,8652192,0.24,121200,,,
1566144000000,11096191,3.3418,3.4195,3.3223,3.4098,0.0776,2.33,0.38,38506665.0,,,17.1255,0.6096,0.5617,3.6131,12402749443.5,448216607.0,9027492,0.25,375300,,,
1566230400000,22421435,3.4292,3.5458,3.4292,3.5069,0.0972,2.85,0.77,80988998.0,,,17.6134,0.6269,0.5777,3.716,12756104128.5,446255017.0,9699592,0.27,672100,,,
1566316800000,9850228,3.4778,3.4972,3.4486,3.4486,-0.0582,-1.66,0.34,35144501.0,,,17.3206,0.6165,0.5681,3.6542,12544091317.5,442782598.0,9717392,0.27,17800,,,
1566403200000,5715798,3.4486,3.4778,3.4389,3.4583,0.0097,0.28,0.2,20312295.0,,,17.3694,0.6182,0.5697,3.6645,12579426786.0,442630180.0,9531392,0.26,-186000,,,
1566489600000,7708102,3.468,3.4875,3.4486,3.4778,0.0194,0.56,0.27,27567159.0,,,17.467,0.6217,0.5729,3.6851,12650097723.0,437957278.0,9920392,0.28,389000,,,
1566748800000,7918499,3.4195,3.468,3.3903,3.4583,-0.0195,-0.56,0.27,27985447.0,,,17.3694,0.6182,0.5697,3.6645,12579426786.0,437755891.0,10235692,0.28,315300,,,
1566835200000,13743818,3.4778,3.5749,3.4778,3.536,0.0778,2.25,0.47,50021853.0,,,17.7597,0.6321,0.5825,3.7469,12862110534.0,432568000.0,10258182,0.29,22490,,,
1566921600000,12465191,3.5263,3.536,3.4583,3.4875,-0.0484,-1.37,0.43,44724927.0,,,17.5158,0.6235,0.5745,3.6954,12685433191.5,428990974.0,10558650,0.29,300468,,,
1567008000000,6425999,3.4778,3.4875,3.4486,3.4778,-0.0098,-0.28,0.22,22953786.0,,,17.467,0.6217,0.5729,3.6851,12650097723.0,429644070.0,10543750,0.29,-14900,,,
1567094400000,6507096,3.4972,3.5069,3.4195,3.4389,-0.039,-1.12,0.22,23193809.0,,,17.2718,0.6148,0.5665,3.6439,12508755849.0,428950490.0,10717350,0.3,173600,,,
1567353600000,11286558,3.4389,3.536,3.4292,3.5263,0.0873,2.54,0.39,40693395.0,,,17.7109,0.6304,0.5809,3.7366,12826775065.5,431597707.0,11561750,0.32,844400,,,
1567440000000,6029608,3.5263,3.5458,3.4972,3.5166,-0.0099,-0.28,0.21,21806180.0,,,17.6622,0.6287,0.5793,3.7263,12791439597.0,428339302.0,11809929,0.33,248179,,,
1567526400000,8686502,3.5069,3.5458,3.4972,3.5458,0.0292,0.83,0.3,31528108.0,,,17.8085,0.6339,0.5841,3.7572,12897446002.5,429991875.0,12104129,0.34,294200,,,
1567612800000,12865207,3.5555,3.6138,3.5555,3.5652,0.0195,0.55,0.44,47409756.0,,,17.9061,0.6373,0.5873,3.7778,12968116939.5,428044811.0,12593729,0.35,489600,,,
1567699200000,7452447,3.5749,3.5846,3.5263,3.5555,-0.0096,-0.27,0.26,27257572.0,,,17.8573,0.6356,0.5857,3.7675,12932781471.0,428315384.0,12743559,0.36,149830,,,
1567958400000,8101291,3.5749,3.5943,3.5555,3.5652,0.0096,0.27,0.28,29791777.0,,,17.9061,0.6373,0.5873,3.7778,12968116939.5,429615570.0,12625706,0.35,-117853,,,
1568044800000,7809830,3.5749,3.5943,3.5458,3.5652,0.0,0.0,0.27,28612255.0,,,17.9061,0.6373,0.5873,3.7778,12968116939.5,426447738.0,12959806,0.36,334100,,,
1568131200000,10025861,3.5652,3.6138,3.5555,3.5749,0.0096,0.27,0.34,36950510.0,,,17.9549,0.6391,0.5889,3.788,13003452408.0,429121026.0,13322313,0.37,362507,,,
1568217600000,6452894,3.5749,3.5943,3.5555,3.5943,0.0193,0.54,0.22,23759771.0,,,18.0525,0.6426,0.5921,3.8086,13074123345.0,424800652.0,13542913,0.38,220600,,,
1568563200000,10908000,3.6138,3.6332,3.5749,3.5846,-0.0097,-0.27,0.38,40519600.0,,,18.0037,0.6408,0.5905,3.7983,13038787876.5,425954815.0,13583813,0.38,40900,,,
1568649600000,12487213,3.5749,3.5846,3.4778,3.4972,-0.0875,-2.44,0.43,45168496.0,,,17.5646,0.6252,0.5761,3.7057,12720768660.0,428645614.0,12659316,0.35,-924497,,,
1568736000000,6763610,3.4972,3.5069,3.468,3.4778,-0.0196,-0.56,0.23,24291718.0,,,17.467,0.6217,0.5729,3.6851,12650097723.0,427566194.0,11932999,0.33,-726317,,,
1568822400000,7671094,3.4778,3.4972,3.4292,3.4778,0.0,0.0,0.26,27327470.0,,,17.467,0.6217,0.5729,3.6851,12650097723.0,429860991.0,11629599,0.32,-303400,,,
1568908800000,7081881,3.4778,3.4972,3.468,3.4972,0.0195,0.56,0.24,25392997.0,,,17.5646,0.6252,0.5761,3.7057,12720768660.0,429049215.0,11890688,0.33,261089,,,
1569168000000,7515253,3.4875,3.4972,3.4195,3.4389,-0.0584,-1.67,0.26,26628593.0,,,17.2718,0.6148,0.5665,3.6439,12508755849.0,430353921.0,11923173,0.33,32485,,,
1569254400000,4730844,3.4389,3.468,3.4292,3.4389,0.0,0.0,0.16,16778646.0,,,17.2718,0.6148,0.5665,3.6439,12508755849.0,425966639.0,12228467,0.34,305294,,,
1569340800000,5996275,3.4292,3.4389,3.4,3.4195,-0.0193,-0.56,0.21,21106981.0,,,17.1742,0.6113,0.5633,3.6233,12438084912.0,426335464.0,12791703,0.36,563236,,,
1569427200000,5792138,3.4195,3.4292,3.4,3.4098,-0.0096,-0.28,0.2,20365358.0,,,17.1255,0.6096,0.5617,3.6131,12402749443.5,425671795.0,13919586,0.39,1127883,,,
1569513600000,3726175,3.4,3.4292,3.4,3.4292,0.0194,0.57,0.13,13120845.0,,,17.223,0.613,0.5649,3.6336,12473420380.5,427472960.0,14318161,0.4,398575,,,
1569772800000,5034990,3.4292,3.4389,3.4,3.4,-0.0291,-0.85,0.17,17730618.0,,,16.3827,0.5911,0.5592,4.4146,12367413975.0,424008558.0,14823261,0.41,505100,,,
1570464000000,5220203,3.4,3.4195,3.3903,3.4,0.0,0.0,0.18,18277470.0,,,16.3827,0.5911,0.5592,4.4146,12367413975.0,423220211.0,14774266,0.41,-48995,,,
1570550400000,5163825,3.3806,3.4195,3.3612,3.4195,0.0194,0.57,0.18,18048599.0,,,16.4763,0.5945,0.5624,4.4398,12438084912.0,423795613.0,15132666,0.42,358400,,,
1570636800000,5109723,3.4195,3.4486,3.4098,3.4486,0.0291,0.85,0.18,18045234.0,,,16.6168,0.5996,0.5672,4.4777,12544091317.5,423876966.0,15870406,0.44,737740,,,
1570723200000,7103510,3.4486,3.468,3.4195,3.4486,0.0,0.0,0.24,25188512.0,,,16.6168,0.5996,0.5672,4.4777,12544091317.5,421189641.0,16958239,0.47,1087833,,,
1570982400000,7493632,3.468,3.5069,3.4583,3.4972,0.0486,1.41,0.26,26941296.0,,,16.8508,0.608,0.5751,4.5408,12720768660.0,419113876.0,17677339,0.5,719100,,,
1571068800000,7457360,3.4875,3.4972,3.4486,3.468,-0.029,-0.83,0.26,26605254.0,,,16.7104,0.6029,0.5704,4.5029,12614762254.5,416565751.0,18551884,0.52,874545,,,
1571155200000,8579371,3.468,3.5069,3.4583,3.4778,0.0097,0.28,0.3,30844029.0,,,16.7572,0.6046,0.572,4.5155,12650097723.0,415534446.0,18724604,0.52,172720,,,
1571241600000,4276231,3.4583,3.4778,3.4486,3.4583,-0.0195,-0.56,0.15,15235674.0,,,16.6636,0.6012,0.5688,4.4903,12579426786.0,414950872.0,18653718,0.52,-70886,,,
1571328000000,6808493,3.468,3.4972,3.4098,3.4292,-0.029,-0.84,0.23,24226980.0,,,16.5231,0.5962,0.564,4.4525,12473420380.5,412280820.0,20571111,0.58,1917393,,,
1571587200000,6241967,3.4098,3.4292,3.3903,3.4195,-0.0096,-0.28,0.21,21870671.0,,,16.4763,0.5945,0.5624,4.4398,12438084912.0,412561839.0,20843642,0.58,272531,,,
1571673600000,3970304,3.4195,3.4292,3.3903,3.4195,0.0,0.0,0.14,13950544.0,,,16.4763,0.5945,0.5624,4.4398,12438084912.0,412967769.0,21323342,0.6,479700,,,
