timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1213522,10.3482,10.3874,10.2207,10.2403,-0.0784,-0.76,0.73,12752144.0,,,17.158,1.6784,0.9658,9.5266,3507840000.0,,,,,,,
1565539200000,992600,10.2403,10.3482,10.2403,10.3384,0.0983,0.96,0.59,10435200.0,,,17.3224,1.6945,0.975,9.6178,3541440000.0,,,,,,,
1565625600000,974700,10.2207,10.2992,10.1913,10.2403,-0.0982,-0.95,0.58,10171957.0,,,17.158,1.6784,0.9658,9.5266,3507840000.0,,,,,,,
1565712000000,1511100,10.3482,10.3482,10.2207,10.2403,0.0,0.0,0.9,15816671.0,,,17.158,1.6784,0.9658,9.5266,3507840000.0,,,,,,,
1565798400000,1576848,10.1422,10.2501,10.0049,10.2501,0.0102,0.1,0.94,16308203.0,,,17.1745,1.68,0.9667,9.5357,3511200000.0,,,,,,,
1565884800000,1223700,10.2501,10.3286,10.2011,10.2795,0.0297,0.29,0.73,12825169.0,,,17.2238,1.6849,0.9695,9.5631,3521280000.0,,,,,,,
1566144000000,1769716,10.309,10.4659,10.2894,10.4561,0.1768,1.72,1.06,18757827.0,,,17.5196,1.7138,0.9861,9.7273,3581760000.0,,,,,,,
1566230400000,1378700,10.4463,10.515,10.3874,10.4463,-0.0094,-0.09,0.82,14705153.0,,,17.5032,1.7122,0.9852,9.7182,3578400000.0,,,,,,,
1566316800000,1379300,10.4169,10.4855,10.3973,10.4757,0.0293,0.28,0.82,14699436.0,,,17.5525,1.717,0.988,9.7456,3588480000.0,,,,,,,
1566403200000,2339600,10.5248,10.564,10.3678,10.4365,-0.0388,-0.37,1.4,24914770.0,,,17.4867,1.7106,0.9843,9.7091,3575040000.0,,,,,,,
1566489600000,1997100,10.4365,10.4365,10.2894,10.3286,-0.1075,-1.03,1.19,21084521.0,,,17.3059,1.6929,0.9741,9.6087,3538080000.0,,,,,,,
