timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,3956600,6.9887,7.0177,6.8628,6.8725,-0.116,-1.66,0.36,28327993.0,,,26.3445,1.3606,0.8007,10.1275,7895735659.5,301103644.0,8707046,0.78,-265500,,,
1565539200000,1756600,6.8628,6.9403,6.8435,6.9403,0.068,0.99,0.16,12517893.0,,,26.6042,1.374,0.8086,10.2274,7973580940.65,300086864.0,8629946,0.77,-77100,,,
1565625600000,2327203,6.9112,6.9112,6.8435,6.8725,-0.068,-0.98,0.21,16522120.0,,,26.3445,1.3606,0.8007,10.1275,7895735659.5,299815372.0,8626346,0.77,-3600,,,
1565712000000,2371728,6.9306,6.9403,6.8628,6.8919,0.0192,0.28,0.21,16920181.0,,,26.4187,1.3644,0.8029,10.1561,7917977168.4,299514585.0,8285624,0.74,-340722,,,
1565798400000,3742392,6.7467,6.8628,6.6789,6.8628,-0.0289,-0.42,0.34,26145685.0,,,26.3074,1.3587,0.7995,10.1133,7884614905.05,297491004.0,8075077,0.72,-210547,,,
1565884800000,2614903,6.8144,6.9112,6.7951,6.8532,-0.0096,-0.14,0.24,18525106.0,,,26.2703,1.3567,0.7984,10.099,7873494150.6,295639552.0,8199477,0.73,124400,,,
1566144000000,5002871,6.8725,7.0274,6.766,7.008,0.1549,2.26,0.45,35936461.0,,,26.864,1.3874,0.8164,10.3272,8051426221.8,290477938.0,8715226,0.78,515749,,,
1566230400000,3762590,7.008,7.0564,6.95,6.979,-0.0287,-0.41,0.34,27247177.0,,,26.7526,1.3816,0.8131,10.2844,8018063958.45,288677860.0,8639709,0.77,-75517,,,
1566316800000,3022164,7.008,7.0371,6.95,6.9887,0.0098,0.14,0.27,21852804.0,,,26.7898,1.3836,0.8142,10.2987,8029184712.9,286408764.0,8625709,0.77,-14000,,,
1566403200000,2680670,6.9887,7.0274,6.9306,6.9984,0.0098,0.14,0.24,19300549.0,,,26.8269,1.3855,0.8153,10.313,8040305467.35,287014649.0,8687549,0.78,61840,,,
1566489600000,2783208,6.9887,6.9984,6.9306,6.95,-0.0483,-0.69,0.25,20006434.0,,,26.6413,1.3759,0.8097,10.2416,7984701695.1,287255662.0,8622649,0.77,-64900,,,
1566748800000,7822552,6.7757,6.8144,6.6789,6.7564,-0.1939,-2.79,0.7,54453502.0,,,25.8992,1.3376,0.7871,9.9564,7762286606.1,292799366.0,8235692,0.74,-386957,,,
1566835200000,6811648,6.7757,6.8338,6.7564,6.8338,0.0777,1.15,0.61,47861192.0,,,26.1961,1.3529,0.7962,10.0705,7851252641.7,294933784.0,7070528,0.63,-1165164,,,
1566921600000,4373910,6.8048,6.8144,6.7273,6.7757,-0.0581,-0.85,0.39,30610481.0,,,25.9734,1.3414,0.7894,9.9849,7784528115.0,291430167.0,7129028,0.64,58500,,,
1567008000000,3396505,6.7757,6.7854,6.7273,6.7564,-0.0197,-0.29,0.31,23698364.0,,,25.8992,1.3376,0.7871,9.9564,7762286606.1,291832395.0,6753142,0.6,-375886,,,
1567094400000,4165111,6.7951,6.8338,6.766,6.7854,0.0291,0.43,0.37,29255658.0,,,26.0106,1.3433,0.7905,9.9991,7795648869.45,293068519.0,6569073,0.59,-184069,,,
1567353600000,4615726,6.7757,6.8532,6.737,6.8435,0.0584,0.86,0.42,32486148.0,,,26.2332,1.3548,0.7973,10.0847,7862373396.15,296135791.0,6208910,0.55,-360163,,,
1567440000000,4144616,6.8338,6.8338,6.7757,6.8144,-0.0287,-0.42,0.37,29111044.0,,,26.1219,1.3491,0.7939,10.0419,7829011132.8,297914535.0,5935357,0.53,-273553,,,
1567526400000,4495716,6.8048,6.8628,6.766,6.8532,0.0388,0.57,0.4,31662427.0,,,26.2703,1.3567,0.7984,10.099,7873494150.6,293968534.0,5783722,0.52,-151635,,,
1567612800000,13669220,6.8628,7.1823,6.8532,7.0855,0.2323,3.39,1.23,99001347.0,,,27.1608,1.4027,0.8255,10.4413,8140392257.4,289538326.0,5167089,0.46,-616633,,,
1567699200000,7468318,7.0274,7.0468,6.9596,6.9693,-0.1162,-1.64,0.67,53963632.0,,,26.7155,1.3797,0.8119,10.2702,8006943204.0,289551091.0,4713675,0.42,-453414,,,
