timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1273323,4.96,4.99,4.84,4.87,-0.08,-1.62,0.41,6257560.0,,,-3.713,2.32,2.7357,21.686,2321647988.71,,,,,,,
1565539200000,1504520,4.89,4.98,4.87,4.97,0.1,2.05,0.48,7426542.0,,,-3.7893,2.3677,2.7919,22.1313,2369320432.01,,,,,,,
1565625600000,1187240,4.91,4.95,4.8,4.92,-0.05,-1.01,0.38,5818619.0,,,-3.7511,2.3439,2.7638,21.9086,2345484210.36,,,,,,,
1565712000000,1406164,4.94,4.99,4.94,4.94,0.02,0.41,0.45,6976524.0,,,-3.7664,2.3534,2.775,21.9977,2355018699.02,,,,,,,
1565798400000,2568537,4.83,4.95,4.7,4.93,-0.01,-0.2,0.82,12362812.0,,,-3.7588,2.3486,2.7694,21.9532,2350251454.69,,,,,,,
1565884800000,2284516,4.91,5.04,4.87,4.98,0.05,1.01,0.73,11389075.0,,,-3.7969,2.3724,2.7975,22.1758,2374087676.34,,,,,,,
1566144000000,6220340,5.33,5.33,5.1,5.25,0.27,5.42,1.99,32253546.0,,,-4.0027,2.5011,2.9492,23.3781,2502803273.25,,,,,,,
1566230400000,8254120,5.28,5.53,5.25,5.31,0.06,1.14,2.64,44402197.0,,,-4.0485,2.5297,2.9829,23.6453,2531406739.23,,,,,,,
1566316800000,5662980,5.3,5.44,5.22,5.35,0.04,0.75,1.81,30168093.0,,,-4.079,2.5487,3.0053,23.8234,2550475716.55,,,,,,,
1566403200000,6606282,5.4,5.89,5.34,5.89,0.54,10.09,2.11,38659642.0,,,-4.4907,2.806,3.3087,26.228,2807906910.37,,,,,,,
1566489600000,2206426,6.48,6.48,6.48,6.48,0.59,10.02,0.71,14297640.0,,,-4.9405,3.087,3.6401,28.8553,3089174325.84,,,,,,,
1566748800000,42182839,6.62,7.13,6.47,7.13,0.65,10.03,13.49,288070659.0,,,-5.4361,3.3967,4.0052,31.7497,3399045207.29,,,,,,,
1566835200000,41812866,6.9,7.58,6.7,7.0,-0.13,-1.82,13.37,296818697.0,,,-5.337,3.3348,3.9322,31.1708,3337071031.0,,,,,,,
1566921600000,28531097,6.71,6.9,6.36,6.42,-0.58,-8.29,9.12,190316387.0,,,-4.8948,3.0585,3.6064,28.5881,3060570859.86,,,,,,,
1567008000000,21505549,6.3,7.06,6.27,7.06,0.64,9.97,6.88,147208143.0,,,-5.3827,3.3633,3.9659,31.438,3365674496.98,,,,,,,
1567094400000,28638204,7.24,7.3,6.5,6.5,-0.56,-7.93,9.24,196701604.0,,,-4.9558,3.0966,3.6513,28.9443,3098708814.5,,,,,,,
1567353600000,21106200,6.39,6.8,6.19,6.65,0.15,2.31,6.81,136421587.0,,,-5.0701,3.168,3.7356,29.6123,3170217479.45,,,,,,,
1567440000000,26786923,6.7,7.09,6.66,6.82,0.17,2.56,8.64,184420996.0,,,-5.1997,3.249,3.8311,30.3693,3251260633.06,,,,,,,
1567526400000,41387266,6.8,7.47,6.39,7.21,0.39,5.72,13.35,289015890.0,,,-5.4971,3.4348,4.0502,32.106,3437183161.93,,,,,,,
1567612800000,39184224,7.02,7.48,6.71,7.12,-0.09,-1.25,12.64,280376623.0,,,-5.4285,3.3919,3.9996,31.7052,3394277962.96,,,,,,,
1567699200000,19816486,7.05,7.15,6.78,6.92,-0.2,-2.81,6.39,137985112.0,,,-5.276,3.2967,3.8873,30.8146,3298933076.36,,,,,,,
1567958400000,20793134,6.93,7.16,6.91,7.06,0.14,2.02,6.71,146187070.0,,,-5.3827,3.3633,3.9659,31.438,3365674496.98,,,,,,,
1568044800000,18573965,7.05,7.15,6.71,7.15,0.09,1.27,5.99,129707242.0,,,-5.4513,3.4062,4.0165,31.8388,3408579695.95,,,,,,,
1568131200000,23097984,7.1,7.46,7.1,7.21,0.06,0.84,7.45,167347042.0,,,-5.4971,3.4348,4.0502,32.106,3437183161.93,,,,,,,
1568217600000,40296210,7.19,7.93,6.87,7.69,0.48,6.66,13.0,299703051.0,,,-5.8631,3.6635,4.3198,34.2434,3666010889.77,,,,,,,
1568563200000,30573811,7.44,7.6,7.32,7.44,-0.25,-3.25,9.86,227536610.0,,,-5.6725,3.5444,4.1794,33.1301,3546829781.52,,,,,,,
1568649600000,20446462,7.38,7.44,6.99,7.07,-0.37,-4.97,6.6,146547966.0,,,-5.3904,3.3681,3.9715,31.4825,3370441741.31,,,,,,,
1568736000000,15397226,7.03,7.11,6.78,6.79,-0.28,-3.96,4.97,106778826.0,,,-5.1769,3.2347,3.8142,30.2357,3236958900.07,,,,,,,
1568822400000,14675935,6.77,6.83,6.51,6.69,-0.1,-1.47,4.73,97506070.0,,,-5.1006,3.1871,3.7581,29.7904,3189286456.77,,,,,,,
1568908800000,12458187,6.88,6.88,6.54,6.59,-0.1,-1.49,4.02,83682942.0,,,-5.0244,3.1394,3.7019,29.3451,3141614013.47,,,,,,,
1569168000000,8093539,6.49,6.61,6.45,6.56,-0.03,-0.46,2.61,52724275.0,,,-5.0015,3.1251,3.685,29.2115,3127312280.48,,,,,,,
1569254400000,9053448,6.57,6.69,6.47,6.55,-0.01,-0.15,2.92,59606363.0,,,-4.9939,3.1204,3.6794,29.167,3122545036.15,,,,,,,
1569340800000,10150442,6.5,6.5,6.25,6.3,-0.25,-3.82,3.27,64365646.0,,,-4.8033,3.0013,3.539,28.0537,3003363927.9,,,,,,,
1569427200000,11400294,6.3,6.34,5.9,5.96,-0.34,-5.4,3.68,69263888.0,,,-4.5441,2.8393,3.348,26.5397,2841277620.68,,,,,,,
1569513600000,6565096,6.03,6.06,5.94,5.96,0.0,0.0,2.12,39408385.0,,,-4.5441,2.8393,3.348,26.5397,2841277620.68,,,,,,,
1569772800000,7387748,5.8,5.96,5.8,5.84,-0.12,-2.01,2.38,43520172.0,,,-4.2638,2.7947,3.818,17.4058,2784070688.72,,,,,,,
1570464000000,5029193,5.93,5.99,5.81,5.85,0.01,0.17,1.62,29723353.0,,,-4.2711,2.7995,3.8245,17.4356,2788837933.05,,,,,,,
