timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,8494872,9.73,9.89,9.55,9.58,-0.09,-0.93,0.72,82430472.0,,,35.8284,1.0397,1.3205,94.8203,13704944750.72,1137742271.0,15296414,1.06,-53940,,,
1565539200000,5816477,9.54,9.71,9.49,9.7,0.12,1.25,0.49,56012312.0,,,36.2771,1.0528,1.337,96.0081,13876614204.8,1140282181.0,15187414,1.06,-109000,,,
1565625600000,6527997,9.66,9.66,9.54,9.59,-0.11,-1.13,0.55,62634115.0,,,35.8658,1.0408,1.3219,94.9193,13719250538.56,1137827588.0,15032434,1.05,-154980,,,
1565712000000,9091465,9.76,9.85,9.65,9.68,0.09,0.94,0.77,88652647.0,,,36.2023,1.0506,1.3343,95.8101,13848002629.12,1137535770.0,15091303,1.05,58869,,,
1565798400000,7819501,9.48,9.69,9.4,9.68,0.0,0.0,0.66,74756295.0,,,36.2023,1.0506,1.3343,95.8101,13848002629.12,1134015325.0,15640368,1.09,549065,,,
1565884800000,9747813,9.64,9.84,9.64,9.75,0.07,0.72,0.82,95294681.0,,,36.4641,1.0582,1.3439,96.503,13948143144.0,1129756351.0,15741128,1.1,100760,,,
1566144000000,15287762,9.89,10.05,9.78,10.02,0.27,2.77,1.29,151755317.0,,,37.4739,1.0875,1.3811,99.1753,14334399415.68,1124631608.0,17006765,1.18,1265637,,,
1566230400000,12543707,9.94,10.05,9.85,9.93,-0.09,-0.9,1.05,124782688.0,,,37.1373,1.0777,1.3687,98.2845,14205647325.12,1118062137.0,17153222,1.19,146457,,,
1566316800000,17114454,9.91,10.12,9.85,10.1,0.17,1.71,1.44,171484766.0,,,37.7731,1.0962,1.3922,99.9672,14448845718.4,1123498727.0,16031563,1.12,-1121659,,,
1566403200000,11094028,10.1,10.12,9.93,9.99,-0.11,-1.09,0.93,111003971.0,,,37.3617,1.0842,1.377,98.8784,14291482052.16,1119332721.0,15444843,1.07,-586720,,,
1566489600000,8865185,10.0,10.03,9.89,9.92,-0.07,-0.7,0.74,88201431.0,,,37.0999,1.0766,1.3673,98.1856,14191341537.28,1115678746.0,15461493,1.08,16650,,,
1566748800000,21440879,9.48,9.54,9.34,9.53,-0.39,-3.93,1.8,202272185.0,,,35.6414,1.0343,1.3136,94.3255,13633415811.52,1113571195.0,15167081,1.06,-294412,,,
1566835200000,19117772,9.73,9.74,9.54,9.6,0.07,0.73,1.61,184229880.0,,,35.9032,1.0419,1.3232,95.0183,13733556326.4,1092594727.0,13888464,0.97,-1278617,,,
1566921600000,11104424,9.59,9.59,9.46,9.48,-0.12,-1.25,0.93,105506053.0,,,35.4544,1.0289,1.3067,93.8306,13561886872.32,1088210926.0,13208004,0.92,-680460,,,
1567008000000,12790638,9.47,9.52,9.37,9.44,-0.04,-0.42,1.07,120670384.0,,,35.3048,1.0245,1.3012,93.4347,13504663720.96,1084985422.0,12763204,0.89,-444800,,,
1567094400000,10807789,9.49,9.51,9.34,9.38,-0.06,-0.64,0.91,101641069.0,,,35.0804,1.018,1.2929,92.8408,13418828993.92,1084793168.0,12537602,0.87,-225602,,,
1567353600000,12577982,9.4,9.57,9.37,9.51,0.13,1.39,1.06,119500757.0,,,35.5666,1.0321,1.3108,94.1275,13604804235.84,1067858275.0,13432974,0.93,895372,,,
1567440000000,13176978,9.52,9.55,9.41,9.44,-0.07,-0.74,1.11,124698593.0,,,35.3048,1.0245,1.3012,93.4347,13504663720.96,1064988357.0,13281294,0.92,-151680,,,
1567526400000,19660258,9.46,9.63,9.44,9.56,0.12,1.27,1.65,187643670.0,,,35.7536,1.0376,1.3177,94.6224,13676333175.04,1069254276.0,11380738,0.79,-1900556,,,
1567612800000,25488201,9.63,9.86,9.63,9.74,0.18,1.88,2.14,248446318.0,,,36.4267,1.0571,1.3425,96.404,13933837356.16,1071716885.0,11094133,0.77,-286605,,,
1567699200000,16977476,9.79,9.8,9.68,9.8,0.06,0.62,1.43,165443651.0,,,36.6511,1.0636,1.3508,96.9978,14019672083.2,1070243724.0,9452651,0.66,-1641482,,,
