timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2825600,4.1955,4.2349,3.9585,4.1955,0.01,0.24,0.38,11935208.0,,,35.3748,1.2596,0.944,7.4315,3973393293.25,,,,,,,
1565539200000,2559215,4.2251,4.2646,4.1658,4.2152,0.0197,0.47,0.34,10922652.0,,,35.5412,1.2655,0.9485,7.4665,3992091614.63,,,,,,,
1565625600000,1764415,4.1856,4.1856,4.1165,4.156,-0.0594,-1.41,0.24,7399610.0,,,35.0418,1.2477,0.9352,7.3616,3935996650.49,,,,,,,
1565712000000,1798602,4.1955,4.2053,4.1461,4.156,0.0,0.0,0.24,7606743.0,,,35.0418,1.2477,0.9352,7.3616,3935996650.49,,,,,,,
1565798400000,1879872,4.077,4.1856,4.0573,4.1757,0.0199,0.48,0.25,7827288.0,,,35.2083,1.2536,0.9396,7.3966,3954694971.87,,,,,,,
1565884800000,1966600,4.1757,4.2251,4.1461,4.2251,0.0493,1.18,0.26,8374633.0,,,35.6245,1.2684,0.9507,7.484,4001440775.32,,,,,,,
1566144000000,2977023,4.2152,4.3633,4.2152,4.3633,0.1382,3.27,0.4,12966802.0,,,36.7897,1.3099,0.9818,7.7288,4132329024.98,,,,,,,
1566230400000,1973419,4.3633,4.3929,4.3238,4.3731,0.01,0.23,0.26,8702869.0,,,36.873,1.3129,0.984,7.7463,4141678185.67,,,,,,,
1566316800000,5514857,4.3929,4.6101,4.3731,4.4126,0.0394,0.9,0.74,25025174.0,,,37.2059,1.3248,0.9929,7.8162,4179074828.43,,,,,,,
1566403200000,2781460,4.4817,4.5015,4.3929,4.4423,0.0296,0.67,0.37,12475009.0,,,37.4556,1.3336,0.9996,7.8687,4207122310.5,,,,,,,
1566489600000,2490798,4.4225,4.4423,4.383,4.4423,0.0,0.0,0.33,11144925.0,,,37.4556,1.3336,0.9996,7.8687,4207122310.5,,,,,,,
1566748800000,2163358,4.3633,4.4324,4.2942,4.4126,-0.0298,-0.67,0.29,9600649.0,,,37.2059,1.3248,0.9929,7.8162,4179074828.43,,,,,,,
1566835200000,3054504,4.4423,4.4916,4.4126,4.4916,0.079,1.79,0.41,13840721.0,,,37.8718,1.3485,1.0107,7.9561,4253868113.95,,,,,,,
1566921600000,3122926,4.4916,4.5903,4.462,4.5311,0.0395,0.88,0.42,14302629.0,,,38.2047,1.3603,1.0196,8.0261,4291264756.71,,,,,,,
1567008000000,1740300,4.5311,4.5706,4.4719,4.4916,-0.0394,-0.87,0.23,7929437.0,,,37.8718,1.3485,1.0107,7.9561,4253868113.95,,,,,,,
1567094400000,3143713,4.4719,4.5311,4.3435,4.3534,-0.1383,-3.08,0.42,14098806.0,,,36.7065,1.307,0.9796,7.7113,4122979864.29,,,,,,,
1567353600000,4186603,4.4028,4.5903,4.3337,4.5311,0.1776,4.08,0.56,19066469.0,,,38.2047,1.3603,1.0196,8.0261,4291264756.71,,,,,,,
1567440000000,2570661,4.5607,4.5607,4.4521,4.4916,-0.0394,-0.87,0.34,11710080.0,,,37.8718,1.3485,1.0107,7.9561,4253868113.95,,,,,,,
1567526400000,2149460,4.5015,4.541,4.462,4.5311,0.0395,0.88,0.29,9802292.0,,,38.2047,1.3603,1.0196,8.0261,4291264756.71,,,,,,,
1567612800000,3455170,4.541,4.6101,4.541,4.5706,0.0394,0.87,0.46,16016488.0,,,38.5377,1.3722,1.0284,8.096,4328661399.47,,,,,,,
1567699200000,2138200,4.5607,4.6101,4.5212,4.5805,0.0101,0.22,0.29,9865496.0,,,38.6209,1.3751,1.0307,8.1135,4338010560.16,,,,,,,
1567958400000,3403855,4.6199,4.6397,4.5706,4.6101,0.0298,0.65,0.46,15863919.0,,,38.8706,1.384,1.0373,8.166,4366058042.23,,,,,,,
1568044800000,1854632,4.5903,4.6101,4.5706,4.6101,0.0,0.0,0.25,8613481.0,,,38.8706,1.384,1.0373,8.166,4366058042.23,,,,,,,
1568131200000,2507900,4.6101,4.6199,4.541,4.5607,-0.0493,-1.07,0.34,11631521.0,,,38.4544,1.3692,1.0262,8.0785,4319312238.78,,,,,,,
1568217600000,5849842,4.5706,4.7088,4.541,4.6496,0.0889,1.95,0.78,27477585.0,,,39.2036,1.3959,1.0462,8.2359,4403454684.99,,,,,,,
