timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,8594724,14.3167,14.5634,14.0898,14.1589,-0.0199,-0.14,0.42,124563981.0,,,34.9954,6.0185,10.9554,29.167,29187735218.95,791217870.1,126859566,6.23,248477,,,
1565539200000,6663793,14.0701,14.4154,14.0701,14.297,0.1388,0.98,0.33,96174127.0,,,35.3368,6.0773,11.0623,29.4515,29472493611.33,792027463.14,125779222,6.18,-1080344,,,
1565625600000,45660990,14.3167,15.7277,14.3167,15.7277,1.4311,10.01,2.24,717534854.0,,,38.8729,6.6854,12.1693,32.3987,32421776960.98,898665609.84,127469132,6.26,1689910,,,
1565712000000,65425301,16.1322,16.5762,15.8362,16.4085,0.681,4.33,3.22,1077752589.0,,,40.5556,6.9748,12.6961,33.8012,33825229037.71,888682198.18,131087742,6.44,3618610,,,
1565798400000,39257673,16.1914,16.6552,16.0434,16.596,0.1871,1.14,1.93,652736247.0,,,41.019,7.0545,12.8411,34.1874,34211686855.94,897253362.52,129952853,6.38,-1134889,,,
1565884800000,43797701,16.6453,17.0202,16.369,16.7834,0.1875,1.13,2.15,745442342.0,,,41.4824,7.1342,12.9862,34.5735,34598144674.17,861378309.86,126858369,6.23,-3094484,,,
1566144000000,35222611,16.8229,17.188,16.7637,17.0498,0.2668,1.59,1.73,607385448.0,,,42.1408,7.2474,13.1923,35.1223,35147321573.76,760554207.08,129115821,6.34,2257452,,,
1566230400000,25805122,16.9808,17.1288,16.665,16.8722,-0.1773,-1.04,1.27,441836698.0,,,41.7018,7.1719,13.0549,34.7565,34781203640.7,702070982.6,130917107,6.43,1801286,,,
1566316800000,32855456,16.9709,17.04,16.4578,16.7736,-0.0979,-0.58,1.62,556746168.0,,,41.458,7.13,12.9785,34.5532,34577804789.0,696475535.0,131823552,6.48,906445,,,
1566403200000,23457782,16.9216,17.1682,16.7736,16.9117,0.1375,0.82,1.15,403255319.0,,,41.7994,7.1887,13.0854,34.8378,34862563181.38,680888172.04,129707742,6.37,-2115810,,,
1566489600000,30893162,17.0893,17.4544,16.8229,16.9413,0.0304,0.18,1.52,537534516.0,,,41.8725,7.2013,13.1083,34.8988,34923582836.89,697061211.62,127205556,6.25,-2502186,,,
1566748800000,28678105,16.5565,17.3853,16.5565,16.961,0.0203,0.12,1.41,494041631.0,,,41.9213,7.2097,13.1236,34.9394,34964262607.23,681110265.34,128772421,6.33,1566865,,,
1566835200000,33121883,17.1584,17.6912,17.1584,17.3557,0.3952,2.33,1.63,585711326.0,,,42.8968,7.3774,13.429,35.7524,35777858014.03,666717365.74,126869536,6.23,-1902885,,,
1566921600000,20549381,17.484,17.5136,17.0301,17.3261,-0.0295,-0.17,1.01,359672185.0,,,42.8236,7.3648,13.4061,35.6914,35716838358.52,679854372.16,123231490,6.05,-3638046,,,
1567008000000,14803411,17.3261,17.3458,16.8525,17.0992,-0.227,-1.31,0.73,257321657.0,,,42.2627,7.2684,13.2305,35.224,35249020999.61,673538689.38,123456093,6.06,224603,,,
1567094400000,16206257,17.3162,17.4248,16.9709,17.188,0.0889,0.52,0.8,283593257.0,,,42.4822,7.3061,13.2992,35.4069,35432079966.14,655235201.12,125011408,6.14,1555315,,,
1567353600000,19627260,17.2274,17.5629,17.1682,17.484,0.2956,1.72,0.96,346441286.0,,,43.2138,7.432,13.5282,36.0166,36042276521.24,643863002.92,123943159,6.09,-1068249,,,
1567440000000,17891466,17.4346,17.484,17.0005,17.1682,-0.3165,-1.81,0.88,311192276.0,,,42.4334,7.2977,13.2839,35.3662,35391400195.8,652330266.4,121485088,5.97,-2458071,,,
1567526400000,43829152,17.5234,18.6285,17.5234,18.2536,1.0851,6.32,2.15,805040185.0,,,45.116,7.7591,14.1237,37.602,37628787564.5,622922824.0,125205612,6.15,3720524,,,
1567612800000,28037651,18.3621,18.5298,17.997,18.0957,-0.157,-0.86,1.38,517302634.0,,,44.7258,7.692,14.0016,37.2768,37303349401.78,621309169.42,123813320,6.08,-1392292,,,
1567699200000,15573091,18.2042,18.2733,17.8096,18.1352,0.0398,0.22,0.77,284334189.0,,,44.8234,7.7088,14.0321,37.3581,37384708942.46,626800471.96,122118930,6.0,-1694390,,,
1567958400000,16747476,18.2042,18.2437,17.8096,18.2338,0.0979,0.54,0.82,306334369.0,,,45.0672,7.7507,14.1084,37.5614,37588107794.16,638148581.16,119149449,5.85,-2969481,,,
1568044800000,43774532,18.1746,19.0923,18.0069,18.9936,0.7603,4.17,2.15,830405759.0,,,46.945,8.0736,14.6963,39.1264,39154278952.25,645690602.0,119345001,5.86,195552,,,
1568131200000,21834121,18.9245,18.9245,18.4706,18.6976,-0.2963,-1.56,1.07,412307206.0,,,46.2134,7.9478,14.4673,38.5167,38544082397.15,646601243.4,116718969,5.73,-2626032,,,
1568217600000,28261211,18.6976,18.8456,18.0562,18.2634,-0.4338,-2.32,1.39,524743044.0,,,45.1404,7.7633,14.1313,37.6224,37649127449.67,628598829.92,114243047,5.61,-2475922,,,
1568563200000,29674155,17.9576,18.5594,17.632,18.4213,0.1571,0.86,1.46,545042371.0,,,45.5306,7.8304,14.2535,37.9476,37974565612.39,610659461.64,118111991,5.8,3868944,,,
1568649600000,19566037,18.4509,18.6088,18.0562,18.1549,-0.2671,-1.45,0.96,362924939.0,,,44.8721,7.7172,14.0474,37.3988,37425388712.8,623826725.8,117724138,5.78,-387853,,,
1568736000000,17470537,18.1549,18.3029,17.8589,18.2536,0.098,0.54,0.86,321725078.0,,,45.116,7.7591,14.1237,37.602,37628787564.5,608897074.0,117496474,5.77,-227664,,,
1568822400000,21477204,18.3029,18.5002,18.1648,18.4312,0.1771,0.97,1.06,400165788.0,,,45.555,7.8346,14.2611,37.9679,37994905497.56,572888050.68,119290073,5.86,1793599,,,
1568908800000,16024969,18.6482,18.6778,18.4312,18.6285,0.1972,1.07,0.79,301724776.0,,,46.0427,7.9185,14.4138,38.3744,38401703200.96,560454164.88,119808691,5.89,518618,,,
1569168000000,12022753,18.589,18.589,18.0069,18.1944,-0.434,-2.33,0.59,222047481.0,,,44.9697,7.7339,14.0779,37.4801,37506748253.48,594697107.28,119593609,5.87,-215082,,,
1569254400000,18523901,18.1549,18.5101,18.1056,18.2141,0.02,0.11,0.91,343072652.0,,,45.0185,7.7423,14.0932,37.5207,37547428023.82,583784431.32,119984874,5.89,391265,,,
1569340800000,40584704,18.5002,18.8357,18.3917,18.7173,0.5027,2.76,2.0,767889669.0,,,46.2622,7.9562,14.4825,38.5573,38584762167.49,535595149.24,121388458,5.96,1403584,,,
1569427200000,36889730,18.5693,18.668,17.6221,17.8786,-0.8385,-4.48,1.81,681625641.0,,,44.1893,7.5997,13.8336,36.8297,36855871928.04,733344175.04,118678059,5.83,-2710399,,,
1569513600000,18601091,17.7602,18.224,17.2768,17.928,0.0501,0.28,0.91,336567717.0,,,44.3112,7.6207,13.8718,36.9313,36957571353.89,733695636.64,119186329,5.85,508270,,,
1569772800000,17967488,17.7306,18.1056,17.0005,17.2669,-0.6616,-3.69,0.88,317375851.0,,,42.4191,7.111,12.9844,32.0901,35594799047.5,736892796.0,120168850,5.9,982521,,,
1570464000000,17981223,17.188,17.3261,16.744,16.8032,-0.4645,-2.69,0.88,309662750.0,,,41.2798,6.92,12.6357,31.2283,34638824444.51,758299792.96,120322382,5.91,153532,,,
1570550400000,13205370,16.8328,17.1189,16.3789,17.0893,0.2857,1.7,0.65,226582433.0,,,41.9828,7.0378,12.8509,31.7601,35228681114.44,732147668.44,121304291,5.96,981909,,,
1570636800000,15723062,17.1682,17.6221,16.9808,17.2768,0.188,1.1,0.77,274388296.0,,,42.4433,7.115,12.9919,32.1085,35615138932.67,761491136.92,118986579,5.84,-2317712,,,
1570723200000,17697123,17.2373,17.4938,17.0696,17.109,-0.1676,-0.97,0.87,308476543.0,,,42.0313,7.046,12.8657,31.7967,35269360884.78,818773171.28,118195753,5.81,-790826,,,
1570982400000,17560631,17.2866,17.3754,17.0597,17.1288,0.0205,0.12,0.86,306485436.0,,,42.0797,7.0541,12.8806,31.8334,35310040655.12,843630274.12,115705129,5.68,-2490624,,,
1571068800000,13902210,17.0893,17.2965,16.9018,17.1978,0.0685,0.4,0.68,241354836.0,,,42.2494,7.0825,12.9325,31.9618,35452419851.31,828472879.56,117101938,5.75,1396809,,,
1571155200000,15254090,17.188,17.1978,16.8032,16.9117,-0.2855,-1.66,0.75,262092494.0,,,41.5465,6.9647,12.7173,31.43,34862563181.38,834069970.88,118449155,5.82,1347217,,,
1571241600000,9157471,16.9808,17.1288,16.8328,17.0696,0.1573,0.93,0.45,157890808.0,,,41.9343,7.0297,12.836,31.7234,35188001344.1,834342803.6,116595434,5.73,-1853721,,,
1571328000000,9168623,17.1288,17.2077,16.8426,17.1189,0.0495,0.29,0.45,158644944.0,,,42.0555,7.05,12.8731,31.8151,35289700769.95,825565854.2,114766515,5.64,-1828919,,,
1571587200000,12361227,17.0794,17.336,17.0202,17.3162,0.1969,1.15,0.61,216098155.0,,,42.5403,7.1313,13.0215,32.1818,35696498473.35,805533317.6,113889625,5.59,-876890,,,
