timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,28021001,12.2866,12.405,12.0201,12.1287,-0.0597,-0.49,1.74,346738296.0,,,14.4005,3.2306,0.5713,27.5046,243888703124.46,1189957180.78,64570053,4.01,-696493,,,
1565539200000,42490341,12.1287,12.7109,12.0596,12.6912,0.5628,4.64,2.64,533738872.0,,,15.0684,3.3805,0.5978,28.7802,255200058761.64,1167688199.52,64349433,3.99,-220620,,,
1565625600000,87837517,12.5037,13.4412,12.4741,13.3129,0.6219,4.9,5.46,1169815276.0,,,15.8066,3.5461,0.6271,30.1901,267702083413.26,1179914404.18,69433449,4.31,5084016,,,
1565712000000,113501288,13.6386,13.8656,13.3524,13.5103,0.197,1.48,7.06,1566341329.0,,,16.0409,3.5987,0.6364,30.6377,271670980128.06,1174741097.58,73105049,4.54,3671600,,,
1565798400000,99264481,13.1649,14.1814,13.1452,14.1024,0.5918,4.38,6.17,1379756506.0,,,16.744,3.7564,0.6643,31.9805,283577670272.46,1130784458.1,77924834,4.84,4819785,,,
1565884800000,113352436,14.063,14.8031,14.0136,14.1715,0.0691,0.49,7.05,1655650511.0,,,16.826,3.7748,0.6675,32.1371,284966784122.64,1087940157.96,72822912,4.52,-5101922,,,
1566144000000,136205064,14.586,15.1387,14.5367,14.8919,0.7199,5.08,8.47,2046562428.0,,,17.6814,3.9667,0.7015,33.7709,299453257131.66,1054538196.05,75118600,4.66,2295688,,,
1566230400000,69617133,14.8031,14.9413,14.5564,14.5761,-0.3157,-2.12,4.33,1036385548.0,,,17.3064,3.8826,0.6866,33.0547,293103022387.98,1063162502.3,75304630,4.68,186030,,,
1566316800000,83578962,14.586,15.0202,14.4478,14.9511,0.3746,2.57,5.2,1252501784.0,,,17.7517,3.9825,0.7043,33.9051,300643926146.1,1020800606.5,70083435,4.35,-5221195,,,
1566403200000,65919118,14.9314,15.0893,14.4182,14.6255,-0.3259,-2.18,4.1,984257083.0,,,17.365,3.8957,0.6889,33.1666,294095246566.68,1010139821.8,68468971,4.25,-1614464,,,
1566489600000,51269698,14.7143,14.9511,14.4774,14.7538,0.1287,0.88,3.19,764844533.0,,,17.5173,3.9299,0.695,33.4575,296675029431.3,993917453.5,70782152,4.39,2313181,,,
1566748800000,87833642,14.2899,14.438,13.5893,14.0432,-0.7112,-4.82,5.46,1250575266.0,,,16.6737,3.7406,0.6615,31.8462,282387001258.02,1049886486.22,76883092,4.77,6100940,,,
1566835200000,58293328,14.211,14.3788,14.0432,14.211,0.1671,1.19,3.62,839474624.0,,,16.8729,3.7853,0.6694,32.2267,285760563465.6,1058463340.0,78726016,4.89,1842924,,,
1566921600000,41201407,14.211,14.211,13.8557,13.8952,-0.3155,-2.22,2.56,583096686.0,,,16.4979,3.7012,0.6545,31.5105,279410328721.92,1071026037.2,81150026,5.04,2424010,,,
1567008000000,61167369,13.9939,14.3492,13.8064,14.1814,0.2862,2.06,3.8,875475211.0,,,16.8377,3.7774,0.668,32.1595,285165228958.38,1072067043.3,79641964,4.95,-1508062,,,
1567094400000,53929824,14.2801,14.4873,13.8459,14.0235,-0.1574,-1.11,3.35,777040433.0,,,16.6502,3.7354,0.6606,31.8015,281990111586.54,1064812743.9,78942310,4.9,-699654,,,
1567353600000,57653209,13.9347,14.4182,13.9051,14.3294,0.3057,2.18,3.58,829257483.0,,,17.0135,3.8168,0.675,32.4952,288141901494.48,1061812519.8,79930105,4.96,987795,,,
1567440000000,87521568,14.3393,14.8426,14.0038,14.813,0.4829,3.37,5.44,1285408255.0,,,17.5876,3.9456,0.6978,33.5918,297865698445.74,1108203723.52,77354113,4.8,-2575992,,,
1567526400000,73173538,14.7044,15.0597,14.4972,14.9314,0.1185,0.8,4.55,1098477219.0,,,17.7282,3.9772,0.7033,33.8604,300247036474.62,1072992667.76,78665200,4.88,1311087,,,
1567612800000,96705743,15.0104,15.5531,14.8327,15.0005,0.0687,0.46,6.01,1485586430.0,,,17.8103,3.9956,0.7066,34.017,301636150324.8,1080096847.4,82993728,5.15,4328528,,,
1567699200000,65861418,15.188,15.4545,14.9018,15.109,0.108,0.72,4.09,1014090622.0,,,17.9391,4.0245,0.7117,34.2632,303819043517.94,1080120036.12,84376542,5.24,1382814,,,
1567958400000,83065310,15.3163,15.3854,14.9215,15.1584,0.0499,0.33,5.16,1273423974.0,,,17.9977,4.0377,0.714,34.3751,304811267696.64,1108296959.72,83096468,5.16,-1280074,,,
1568044800000,57591065,15.0794,15.2373,14.7242,14.9018,-0.2562,-1.69,3.58,873652422.0,,,17.6931,3.9693,0.7019,33.7932,299651701967.4,1084286192.2,83195398,5.17,98930,,,
1568131200000,60017130,14.9808,15.2768,14.8623,15.0104,0.1088,0.73,3.73,917094026.0,,,17.822,3.9982,0.7071,34.0394,301834595160.54,1115920963.27,85531827,5.31,2336429,,,
1568217600000,96727879,15.0696,15.7505,14.6452,15.109,0.0991,0.66,6.01,1479024279.0,,,17.9391,4.0245,0.7117,34.2632,303819043517.94,1147718496.97,87042043,5.41,1510216,,,
1568563200000,72749947,14.8623,14.8623,14.4182,14.6847,-0.4246,-2.81,4.52,1079049539.0,,,17.4353,3.9112,0.6917,33.3009,295285915581.12,1163294982.56,88868384,5.52,1826341,,,
1568649600000,65095874,14.2209,14.3689,13.9544,13.984,-0.7004,-4.77,4.05,935751276.0,,,16.6034,3.7246,0.6587,31.7119,281196332243.58,1130151213.79,86982007,5.4,-1886377,,,
