timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,13041451,18.5887,18.9973,17.7614,17.8112,-1.0566,-5.6,19.27,239220974.0,,,38.5744,4.2131,2.5862,47.481,3216600000.0,,,,,,,
1565539200000,10250631,17.8112,18.4092,17.4624,18.3395,0.529,2.97,15.14,185378728.0,,,39.7185,4.338,2.6629,48.8892,3312000000.0,,,,,,,
1565625600000,18518411,18.0903,19.4159,17.9408,19.1767,0.8381,4.57,27.36,351016499.0,,,41.5317,4.5361,2.7844,51.1211,3463200000.0,,,,,,,
1565712000000,16919913,19.1967,19.6352,18.6584,18.8079,-0.3682,-1.92,25.0,322837944.0,,,40.733,4.4488,2.7309,50.138,3396600000.0,,,,,,,
1565798400000,10239030,17.9906,18.9176,17.7614,18.7681,-0.0395,-0.21,15.13,188741360.0,,,40.6467,4.4394,2.7251,50.0317,3389400000.0,,,,,,,
1565884800000,20550175,18.8378,19.9242,18.6186,19.386,0.6175,3.29,30.36,398628812.0,,,41.985,4.5856,2.8148,51.6791,3501000000.0,,,,,,,
1566144000000,30986656,20.9309,21.3296,19.9342,20.5621,1.1767,6.07,45.78,644456536.0,,,44.5322,4.8638,2.9856,54.8144,3713400000.0,,,,,,,
1566230400000,29071452,20.5522,22.436,20.2831,21.3196,0.7567,3.68,42.95,619429956.0,,,46.1727,5.0429,3.0956,56.8337,3850200000.0,,,,,,,
1566316800000,22619184,20.8512,21.8878,20.2332,21.6984,0.3795,1.78,33.41,476298473.0,,,46.993,5.1325,3.1506,57.8434,3918600000.0,,,,,,,
1566403200000,15922137,21.3296,21.6286,20.8412,21.0306,-0.6683,-3.08,23.52,338577622.0,,,45.5467,4.9746,3.0536,56.0632,3798000000.0,,,,,,,
1566489600000,13695967,20.911,20.921,19.9841,20.0538,-0.9758,-4.64,20.23,279850572.0,,,43.4313,4.7435,2.9118,53.4593,3621600000.0,,,,,,,
1566748800000,8864500,19.2166,19.6751,19.1468,19.4957,-0.5575,-2.78,13.1,173011725.0,,,42.2225,4.6115,2.8308,51.9714,3520800000.0,,,,,,,
1566835200000,9676955,19.6153,19.9841,19.4159,19.6053,0.1092,0.56,14.3,190793563.0,,,42.4599,4.6374,2.8467,52.2636,3540600000.0,,,,,,,
1566921600000,9332897,19.7149,19.7548,18.8478,18.9674,-0.6371,-3.25,13.79,179609341.0,,,41.0784,4.4865,2.7541,50.5631,3425400000.0,,,,,,,
1567008000000,8064639,18.9574,19.2565,18.7382,18.778,-0.1897,-1.0,11.91,153370842.0,,,40.6683,4.4417,2.7266,50.0583,3391200000.0,,,,,,,
1567094400000,8685950,18.8877,19.2365,18.4092,18.4491,-0.3286,-1.75,12.83,164104574.0,,,39.9559,4.3639,2.6788,49.1815,3331800000.0,,,,,,,
1567353600000,7752892,18.4392,19.097,18.3694,19.097,0.6476,3.51,11.45,146217640.0,,,41.359,4.5172,2.7729,50.9085,3448800000.0,,,,,,,
1567440000000,9129927,19.077,19.5156,18.9873,19.5156,0.4182,2.19,13.49,176623573.0,,,42.2656,4.6162,2.8336,52.0245,3524400000.0,,,,,,,
1567526400000,6961692,19.4259,19.4957,19.0372,19.3063,-0.2088,-1.07,10.28,134271787.0,,,41.8123,4.5667,2.8033,51.4665,3486600000.0,,,,,,,
1567612800000,15722383,19.4857,20.3827,19.4359,20.0339,0.7278,3.77,23.23,314971729.0,,,43.3881,4.7388,2.9089,53.4061,3618000000.0,,,,,,,
1567699200000,12061487,19.9342,20.612,19.9043,20.2133,0.1803,0.9,17.82,244540256.0,,,43.7767,4.7812,2.935,53.8844,3650400000.0,,,,,,,
1567958400000,16079913,20.4326,21.2798,20.0439,21.2,0.9864,4.88,23.75,333822482.0,,,45.9137,5.0146,3.0782,56.5149,3828600000.0,,,,,,,
1568044800000,11207121,20.9309,20.9608,20.303,20.4525,-0.7484,-3.53,16.56,231365432.0,,,44.2947,4.8378,2.9697,54.5221,3693600000.0,,,,,,,
1568131200000,7156917,20.6419,20.6818,19.9841,19.9841,-0.4684,-2.29,10.57,144926345.0,,,43.2802,4.727,2.9017,53.2733,3609000000.0,,,,,,,
1568217600000,11802688,20.0837,20.9309,19.9442,20.8711,0.8873,4.44,17.44,243504631.0,,,45.2013,4.9368,3.0305,55.638,3769200000.0,,,,,,,
1568563200000,9081400,20.9309,21.0107,20.4824,20.6917,-0.1795,-0.86,13.42,188902471.0,,,44.8128,4.8944,3.0044,55.1598,3736800000.0,,,,,,,
1568649600000,8467024,20.5422,20.6718,19.7747,20.1834,-0.509,-2.46,12.51,170633224.0,,,43.7119,4.7742,2.9306,53.8047,3645000000.0,,,,,,,
1568736000000,11910340,20.1934,21.2598,20.0538,20.9309,0.7468,3.7,17.59,246968727.0,,,45.3309,4.951,3.0392,55.7975,3780000000.0,,,,,,,
1568822400000,17341095,21.0007,21.808,20.7316,21.4293,0.4982,2.38,25.62,370687476.0,,,46.4102,5.0689,3.1115,57.126,3870000000.0,,,,,,,
1568908800000,10937541,21.2299,21.3794,20.7416,20.7416,-0.6879,-3.21,16.16,230492319.0,,,44.9207,4.9062,3.0117,55.2926,3745800000.0,,,,,,,
1569168000000,6709198,20.4924,20.6219,20.0638,20.602,-0.139,-0.67,9.91,136593124.0,,,44.6185,4.8732,2.9914,54.9206,3720600000.0,,,,,,,
1569254400000,12970471,20.6618,21.529,20.4425,21.2299,0.6283,3.05,19.16,275607612.0,,,45.9784,5.0217,3.0826,56.5946,3834000000.0,,,,,,,
