timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,37679586,6.11,6.17,6.02,6.07,-0.08,-1.3,0.74,228642439.0,,,818.2674,7.0757,3.0251,16.2682,30847034666.0,,54521981,1.07,2353300,,,
1565539200000,67133573,6.03,6.15,5.96,6.12,0.05,0.82,1.32,405660835.0,,,825.0077,7.134,3.0501,16.4022,31101128856.0,,60587681,1.19,6065700,,,
1565625600000,25874213,6.1,6.17,6.06,6.15,0.03,0.49,0.51,158337132.0,,,829.0519,7.169,3.065,16.4826,31253585370.0,,61048135,1.2,460454,,,
1565712000000,27776400,6.13,6.21,6.09,6.12,-0.03,-0.49,0.55,170319146.0,,,825.0077,7.134,3.0501,16.4022,31101128856.0,,58628435,1.15,-2419700,,,
1565798400000,37763419,6.05,6.19,6.01,6.18,0.06,0.98,0.74,230945015.0,,,833.096,7.2039,3.08,16.563,31406041884.0,,61136735,1.2,2508300,,,
1565884800000,19123692,6.16,6.19,6.11,6.15,-0.03,-0.49,0.38,117492558.0,,,829.0519,7.169,3.065,16.4826,31253585370.0,,60473535,1.18,-663200,,,
1566144000000,34450821,6.13,6.24,6.12,6.15,0.0,0.0,0.68,212594276.0,,,829.0519,7.169,3.065,16.4826,31253585370.0,10742480.0,59705595,1.17,-767940,,,
1566230400000,27978389,6.16,6.24,6.08,6.09,-0.06,-0.98,0.55,172027346.0,,,820.9635,7.099,3.0351,16.3218,30948672342.0,17428732.0,57268535,1.12,-2437060,,,
1566316800000,16535202,6.08,6.12,6.06,6.11,0.02,0.33,0.33,100651417.0,,,823.6597,7.1223,3.0451,16.3754,31050310018.0,21297471.0,55449135,1.09,-1819400,,,
1566403200000,19881214,6.09,6.15,6.05,6.09,-0.02,-0.33,0.39,120929150.0,,,820.9635,7.099,3.0351,16.3218,30948672342.0,24895450.0,54431285,1.07,-1017850,,,
1566489600000,68849124,6.13,6.44,6.13,6.31,0.22,3.61,1.36,435001548.0,,,850.6207,7.3555,3.1447,16.9114,32066686778.0,46352793.0,54652406,1.07,221121,,,
1566748800000,33669740,6.18,6.36,6.15,6.22,-0.09,-1.43,0.66,209565578.0,,,838.4882,7.2506,3.0999,16.6702,31609317236.0,70608699.0,52163295,1.02,-2489111,,,
1566835200000,43809101,6.21,6.32,6.13,6.15,-0.07,-1.13,0.86,271439259.0,,,829.0519,7.169,3.065,16.4826,31253585370.0,94820015.0,49853295,0.98,-2310000,,,
1566921600000,23713039,6.11,6.16,6.07,6.14,-0.01,-0.16,0.47,144906187.0,,,827.7038,7.1573,3.06,16.4558,31202766532.0,93508136.0,47043095,0.92,-2810200,,,
1567008000000,16687157,6.12,6.14,6.08,6.14,0.0,0.0,0.33,101912268.0,,,827.7038,7.1573,3.06,16.4558,31202766532.0,95169814.0,46804324,0.92,-238771,,,
1567094400000,25279247,6.13,6.17,6.09,6.17,0.03,0.49,0.5,155237825.0,,,831.748,7.1923,3.075,16.5362,31355223046.0,92545883.0,47231173,0.92,426849,,,
1567353600000,34925200,6.14,6.32,6.1,6.22,0.05,0.81,0.69,217104043.0,,,838.4882,7.2506,3.0999,16.6702,31609317236.0,96227083.0,47048573,0.92,-182600,,,
1567440000000,21948700,6.2,6.24,6.14,6.19,-0.03,-0.48,0.43,135836444.0,,,834.4441,7.2156,3.0849,16.5898,31456860722.0,98647361.0,45659273,0.89,-1389300,,,
1567526400000,31397633,6.18,6.28,6.13,6.22,0.03,0.48,0.62,195120690.0,,,838.4882,7.2506,3.0999,16.6702,31609317236.0,111587034.0,46539985,0.91,880712,,,
1567612800000,57254539,6.23,6.49,6.21,6.38,0.16,2.57,1.13,363854346.0,,,860.0571,7.4371,3.1796,17.099,32422418644.0,111805226.0,52898182,1.04,6358197,,,
1567699200000,55227190,6.38,6.54,6.38,6.48,0.1,1.57,1.09,357419237.0,,,873.5376,7.5537,3.2295,17.3671,32930607024.0,127816040.0,56542629,1.11,3644447,,,
1567958400000,73612568,6.56,6.57,6.22,6.27,-0.21,-3.24,1.45,468390324.0,,,845.2285,7.3089,3.1248,16.8042,31863411426.0,107522871.0,51051738,1.0,-5490891,,,
1568044800000,35096737,6.25,6.32,6.22,6.29,0.02,0.32,0.69,220291032.0,,,847.9246,7.3322,3.1348,16.8578,31965049102.0,117132891.0,53752105,1.05,2700367,,,
1568131200000,49722937,6.29,6.35,6.26,6.31,0.02,0.32,0.98,313524554.0,,,850.6207,7.3555,3.1447,16.9114,32066686778.0,182018021.0,62370532,1.22,8618427,,,
1568217600000,29673120,6.31,6.4,6.29,6.36,0.05,0.79,0.59,188287408.0,,,857.3609,7.4138,3.1697,17.0454,32320780968.0,197377536.0,64525332,1.26,2154800,,,
1568563200000,129834861,6.37,6.74,6.25,6.35,-0.01,-0.16,2.56,837596973.0,,,856.0129,7.4021,3.1647,17.0186,32269962130.0,266332864.0,73743126,1.45,9217794,,,
1568649600000,87849529,6.34,6.35,6.19,6.35,0.0,0.0,1.73,550165571.0,,,856.0129,7.4021,3.1647,17.0186,32269962130.0,287578557.0,59031134,1.16,-14711992,,,
1568736000000,36996802,6.32,6.34,6.24,6.27,-0.08,-1.26,0.73,232500832.0,,,845.2285,7.3089,3.1248,16.8042,31863411426.0,294407087.0,56819902,1.11,-2211232,,,
1568822400000,79209505,6.26,6.41,6.25,6.36,0.09,1.44,1.56,502999781.0,,,857.3609,7.4138,3.1697,17.0454,32320780968.0,408488176.0,66459272,1.3,9639370,,,
1568908800000,128805553,6.35,6.51,6.32,6.41,0.05,0.79,2.54,828894054.0,,,864.1012,7.4721,3.1946,17.1794,32574875158.0,485317186.0,85589457,1.68,19130185,,,
1569168000000,80983976,6.41,6.45,6.31,6.43,0.02,0.31,1.6,516262363.0,,,866.7973,7.4954,3.2046,17.233,32676512834.0,501510183.0,82244179,1.61,-3345278,,,
1569254400000,112301986,6.42,6.93,6.42,6.77,0.34,5.29,2.22,753301412.0,,,912.6311,7.8917,3.374,18.1443,34404353326.0,584160294.0,83218773,1.63,974594,,,
1569340800000,83735481,6.85,6.98,6.77,6.79,0.02,0.3,1.65,574512432.0,,,915.3272,7.915,3.384,18.1979,34505991002.0,626486948.0,81988527,1.61,-1230246,,,
1569427200000,71242039,6.77,6.92,6.52,6.61,-0.18,-2.65,1.41,472135773.0,,,891.0622,7.7052,3.2943,17.7155,33591251918.0,612237028.0,77025007,1.51,-4963520,,,
1569513600000,60578904,6.57,6.64,6.5,6.6,-0.01,-0.15,1.2,397632822.0,,,889.7142,7.6935,3.2893,17.6887,33540433080.0,615891038.0,64293146,1.26,-12731861,,,
1569772800000,53697382,6.57,6.8,6.5,6.71,0.11,1.67,1.06,358067236.0,,,322.6373,7.907,3.4033,21.2146,34099440298.0,606181092.0,64317323,1.26,24177,,,
1570464000000,40534781,6.7,6.7,6.49,6.57,-0.14,-2.09,0.8,267285321.0,,,315.9056,7.742,3.3322,20.772,33387976566.0,643830304.0,57106317,1.12,-7211006,,,
1570550400000,32710656,6.54,6.58,6.39,6.42,-0.15,-2.28,0.65,211511347.0,,,308.6932,7.5653,3.2562,20.2977,32625693996.0,660481683.0,55283429,1.08,-1822888,,,
1570636800000,54406538,6.39,6.65,6.38,6.54,0.12,1.87,1.07,355940703.0,,,314.4632,7.7067,3.317,20.6771,33235520052.0,663725542.0,57537252,1.13,2253823,,,
1570723200000,35679680,6.51,6.61,6.44,6.52,-0.02,-0.31,0.7,232436176.0,,,313.5015,7.6831,3.3069,20.6139,33133882376.0,659877400.0,54825567,1.07,-2711685,,,
1570982400000,28884611,6.51,6.57,6.41,6.44,-0.08,-1.23,0.57,187406140.0,,,309.6548,7.5888,3.2663,20.361,32727331672.0,589456690.0,53409097,1.05,-1416470,,,
1571068800000,30172445,6.4,6.52,6.35,6.51,0.07,1.09,0.6,194328105.0,,,313.0207,7.6713,3.3018,20.5823,33083063538.0,551370390.0,52430155,1.03,-978942,,,
