timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,21634289,11.6592,11.709,10.9616,11.1111,-0.4485,-3.88,3.31,245551454.0,,,277.0602,6.5661,3.4376,-34.3973,7277332761.6,,1710430,0.26,156727,,,
1565539200000,20774260,11.2207,11.4499,10.9616,11.2108,0.1,0.9,3.18,233572736.0,,,279.5451,6.625,3.4685,-34.7058,7342600320.0,,1744130,0.26,33700,,,
1565625600000,14687309,11.1609,11.2207,10.9616,11.0613,-0.1491,-1.33,2.25,163082046.0,,,275.8178,6.5367,3.4222,-34.243,7244698982.4,,1737403,0.26,-6727,,,
1565712000000,15852970,11.2207,11.2407,11.0214,11.1809,0.1195,1.08,2.43,176846585.0,,,278.7996,6.6074,3.4592,-34.6132,7323020052.48,,1221103,0.18,-516300,,,
1565798400000,14112379,10.9616,11.151,10.862,11.1011,-0.0794,-0.71,2.16,155816490.0,,,276.8118,6.5602,3.4345,-34.3664,7270806005.76,,1820323,0.27,599220,,,
1565884800000,21788684,11.1011,11.3602,11.0613,11.2307,0.1299,1.17,3.34,246079848.0,,,280.0421,6.6368,3.4746,-34.7675,7355653831.68,,1865803,0.28,45480,,,
1566144000000,31640150,11.2407,11.3602,10.563,11.3602,0.1292,1.15,4.85,349378120.0,,,283.2724,6.7134,3.5147,-35.1685,7440501657.6,11334051.0,1693803,0.25,-172000,,,
1566230400000,17795016,11.2207,11.4101,11.1709,11.3204,-0.0398,-0.35,2.73,201639184.0,,,282.2784,6.6898,3.5024,-35.0451,7414394634.24,15928559.0,1751503,0.26,57700,,,
1566316800000,13890151,11.3004,11.43,11.0812,11.151,-0.1698,-1.5,2.13,156388628.0,,,278.0542,6.5897,3.45,-34.5207,7303439784.96,19365859.0,1412403,0.21,-339100,,,
1566403200000,19889245,11.2207,11.3602,10.9816,11.2307,0.0792,0.71,3.05,223557111.0,,,280.0421,6.6368,3.4746,-34.7675,7355653831.68,24511018.0,1869503,0.28,457100,,,
