timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,22513233,34.5371,35.4814,34.3522,34.7221,0.7607,2.24,11.78,806115185.0,,,8.7517,5.3985,3.9745,8.7349,10774003363.44,,,,,,,
1565539200000,17974691,34.8584,34.8973,33.6611,34.3522,-0.3715,-1.07,9.4,629463377.0,,,8.6584,5.341,3.9321,8.6418,10659225643.28,,,,,,,
1565625600000,16394445,33.8655,34.2938,32.9991,33.2912,-1.0615,-3.09,8.58,563914456.0,,,8.391,5.176,3.8107,8.3749,10329994814.4,,,,,,,
1565712000000,17336615,33.5929,33.7487,32.0062,32.5513,-0.739,-2.22,9.07,582998382.0,,,8.2045,5.061,3.726,8.1888,10100439374.08,,,,,,,
1565798400000,16646714,31.8115,32.4735,31.0523,32.3177,-0.2344,-0.72,8.71,542466481.0,,,8.1457,5.0246,3.6993,8.13,10027948182.4,,,,,,,
1565884800000,34923237,32.0549,35.5495,31.977,35.5495,3.2318,10.0,18.27,1236214392.0,,,8.9602,5.5271,4.0692,8.943,11030743000.64,,,,,,,
1566144000000,36801915,36.1822,37.5645,34.9265,36.9707,1.422,4.0,19.25,1360549422.0,,,9.3184,5.7481,4.2319,9.3005,11471731083.36,93208109.0,,,,,,
1566230400000,28033532,36.9026,38.4406,36.5327,37.5548,0.5841,1.58,14.67,1080746232.0,,,9.4657,5.8389,4.2987,9.4474,11652959062.56,144652852.0,,,,,,
1566316800000,41615855,36.7663,36.7955,34.5079,34.9168,-2.6362,-7.02,20.19,1521418388.0,,,8.8008,5.4287,3.9968,8.7838,10834412689.84,192500643.0,,,,,,
1566403200000,26049753,35.3159,35.5106,34.0018,35.0141,0.0978,0.28,12.64,933416394.0,,,8.8253,5.4439,4.0079,8.8083,10864617353.04,208352755.0,,,,,,
1566489600000,22232011,34.8486,34.8486,33.7779,34.0407,-0.9734,-2.78,10.78,780510026.0,,,8.5799,5.2925,3.8965,8.5634,10562570721.04,221662689.0,,,,,,
1566748800000,18966412,33.3885,34.9946,33.223,34.3619,0.32,0.94,9.2,671136869.0,,,8.6609,5.3425,3.9333,8.6442,10662246109.6,242662606.0,,,,,,
1566835200000,24144070,34.9557,35.8902,34.6539,35.3159,0.9552,2.78,11.71,877765048.0,,,8.9013,5.4908,4.0424,8.8842,10958251808.96,241589276.0,,,,,,
1566921600000,24817599,35.1407,36.4937,34.6539,35.8415,0.5262,1.49,12.04,906796587.0,,,9.0338,5.5725,4.1026,9.0165,11121356990.24,262676799.0,,,,,,
1567008000000,16153931,35.8999,35.9973,34.8778,34.9654,-0.8745,-2.44,7.84,584027245.0,,,8.813,5.4363,4.0023,8.7961,10849515021.44,267744783.0,,,,,,
1567094400000,13779997,35.1407,35.2867,34.3132,34.3619,-0.6049,-1.73,6.68,491500050.0,,,8.6609,5.3425,3.9333,8.6442,10662246109.6,281251514.0,,,,,,
1567353600000,15309799,34.3717,34.8973,33.7779,34.6539,0.2921,0.85,7.43,541836300.0,,,8.7345,5.3879,3.9667,8.7177,10752860099.2,301609533.0,,,,,,
1567440000000,16618510,34.4398,35.6566,34.1672,34.7124,0.0589,0.17,8.06,596150936.0,,,8.7492,5.397,3.9734,8.7324,10770982897.12,309004133.0,,,,,,
1567526400000,16530750,34.0699,34.4106,33.6611,34.0602,-0.6526,-1.88,8.02,577060142.0,,,8.5848,5.2955,3.8987,8.5683,10568611653.68,299409615.0,,,,,,
1567612800000,25093592,34.0991,35.2672,33.9725,35.0336,0.9741,2.86,12.17,894097439.0,,,8.8302,5.4469,4.0101,8.8132,10870658285.68,335201898.0,,,,,,
1567699200000,18719158,35.1407,35.2867,33.8168,33.9725,-1.0615,-3.03,9.08,659932275.0,,,8.5628,5.2819,3.8887,8.5463,10541427456.8,312389161.0,,,,,,
1567958400000,12364525,34.0115,34.284,33.7,34.2159,0.2446,0.72,6.0,431793715.0,,,8.6241,5.3198,3.9165,8.6075,10616939114.8,314975902.0,,,,,,
1568044800000,36934514,34.0699,36.5132,34.031,36.0849,1.8682,5.46,17.92,1354858403.0,,,9.0952,5.6103,4.1305,9.0777,11196868648.24,349063441.0,,,,,,
1568131200000,20068341,35.7831,35.7831,34.6637,34.8584,-1.2269,-3.4,9.73,723670557.0,,,8.786,5.4197,3.9901,8.7691,10816289891.92,360445941.0,,,,,,
1568217600000,11734107,35.092,35.384,34.4593,34.8194,-0.0383,-0.11,5.69,419896733.0,,,8.7762,5.4136,3.9856,8.7593,10804208026.64,345992259.0,,,,,,
1568563200000,26526968,35.4814,36.4937,35.1504,35.9194,1.1003,3.16,12.87,973764397.0,,,9.0535,5.5846,4.1115,9.0361,11145520720.8,363056521.0,,,,,,
1568649600000,30850885,35.9486,36.9707,35.4132,36.4548,0.5352,1.49,14.96,1154808709.0,,,9.1884,5.6679,4.1728,9.1707,11311646368.4,433354726.0,,,,,,
1568736000000,18242201,36.6397,36.6397,35.2769,35.569,-0.8859,-2.43,8.85,669136627.0,,,8.9651,5.5301,4.0714,8.9479,11036783933.28,416165708.0,,,,,,
1568822400000,16792296,35.4716,35.8805,34.5469,35.7831,0.2134,0.6,8.15,606122313.0,,,9.0191,5.5634,4.0959,9.0018,11103234192.32,401129908.0,,,,,,
1568908800000,12456003,35.6176,35.6274,34.9265,34.9654,-0.8195,-2.29,6.04,449914819.0,,,8.813,5.4363,4.0023,8.7961,10849515021.44,401302366.0,,,,,,
1569168000000,27195291,32.123,33.3106,31.6363,32.0452,-2.9196,-8.35,13.19,904979860.0,,,8.077,4.9823,3.6681,8.0614,9943375125.44,405473063.0,,,,,,
1569254400000,17471945,32.0062,32.3177,30.9549,31.2567,-0.7883,-2.46,8.48,563358316.0,,,7.8782,4.8597,3.5778,7.8631,9698717353.52,400911354.0,,,,,,
1569340800000,9478036,30.9744,31.6363,30.478,31.1496,-0.1063,-0.34,4.6,303128096.0,,,7.8512,4.843,3.5656,7.8361,9665492224.0,385777652.0,,,,,,
1569427200000,19251949,31.3151,31.3151,28.132,28.5019,-2.6477,-8.5,9.34,581497660.0,,,7.1839,4.4314,3.2625,7.1701,8843925384.96,388884517.0,,,,,,
1569513600000,13285019,28.7161,30.1567,28.57,29.7576,1.2569,4.41,6.44,404673784.0,,,7.5004,4.6266,3.4062,7.486,9233565540.24,386800821.0,,,,,,
1569772800000,8425827,29.8355,30.3611,29.4948,29.6116,-0.1458,-0.49,4.09,259213133.0,,,6.1503,3.8618,3.0617,6.2024,9188258545.44,377485101.0,,,,,,
1570464000000,14357104,30.6629,31.6071,30.3222,31.4806,1.8685,6.31,6.96,457592800.0,,,6.5385,4.1056,3.2549,6.5939,9768188078.88,387130107.0,,,,,,
1570550400000,20043892,32.0549,33.3204,31.685,33.2133,1.7315,5.5,9.72,673367601.0,,,6.8984,4.3316,3.4341,6.9568,10305831083.84,399539826.0,,,,,,
1570636800000,21932879,33.0381,34.8194,32.6779,33.8655,0.651,1.96,10.64,759447491.0,,,7.0339,4.4166,3.5015,7.0934,10508202327.28,438794784.0,,,,,,
1570723200000,16330311,33.7389,34.2256,33.408,34.0212,0.1558,0.46,7.92,569156078.0,,,7.0662,4.4369,3.5176,7.126,10556529788.4,460125220.0,,,,,,
1570982400000,14294045,33.6903,34.2451,33.2035,34.0212,0.0,0.0,6.93,497002420.0,,,7.0662,4.4369,3.5176,7.126,10556529788.4,469817502.0,,,,,,
1571068800000,21737419,33.6708,34.1088,30.624,32.8044,-1.218,-3.58,10.54,736492465.0,,,6.8135,4.2782,3.3918,6.8712,10178971498.4,443118672.0,,,,,,
1571155200000,10074869,33.2425,33.5637,32.6098,32.785,-0.0197,-0.06,4.89,342499534.0,,,6.8094,4.2757,3.3898,6.8671,10172930565.76,430063935.0,,,,,,
1571241600000,9119648,33.1938,33.3204,32.4735,32.4735,-0.3115,-0.95,4.42,306817302.0,,,6.7447,4.2351,3.3576,6.8018,10076275643.52,452716645.0,,,,,,
1571328000000,11629158,32.7752,33.1451,31.9673,32.3664,-0.1072,-0.33,5.64,389398705.0,,,6.7225,4.2211,3.3465,6.7794,10043050514.0,446974393.0,,,,,,
1571587200000,21754993,32.6195,34.177,32.6195,34.0115,1.6443,5.08,10.55,750441023.0,,,7.0642,4.4357,3.5166,7.124,10553509322.08,439461236.0,,,,,,
1571673600000,13774282,34.4106,34.4106,33.3496,33.6221,-0.3877,-1.14,6.68,477116167.0,,,6.9833,4.3849,3.4764,7.0424,10432690669.28,444846138.0,,,,,,
1571760000000,24752849,33.6611,35.5106,33.6611,34.8973,1.2743,3.79,12.01,890844551.0,,,7.2482,4.5512,3.6082,7.3095,10828371757.2,447302741.0,,,,,,
1571846400000,35768254,35.3743,38.2167,34.7318,37.3795,2.4813,7.11,17.35,1336234304.0,,,7.7637,4.8749,3.8648,7.8294,11598590668.8,499084432.0,,,,,,
1571932800000,50639611,37.5742,40.9617,36.9512,38.4503,1.0691,2.86,24.56,2015981105.0,,,7.9861,5.0146,3.9756,8.0537,11930841964.0,524506817.0,,,,,,
1572192000000,34136292,37.4087,39.1804,36.6981,39.1317,0.6806,1.77,16.56,1334772159.0,,,8.1277,5.1034,4.046,8.1965,12142274606.4,540875615.0,,,,,,
1572278400000,38993584,38.8007,41.5555,38.499,40.6989,1.5653,4.0,18.91,1627467597.0,,,8.4532,5.3078,4.2081,8.5247,12628569683.92,627133176.0,,,,,,
1572364800000,26073383,40.1051,40.9909,36.7468,38.5574,-2.1407,-5.26,12.65,1042347237.0,,,8.0084,5.0285,3.9866,8.0762,11964067093.52,613107373.0,,,,,,
1572451200000,26473007,38.3822,38.8105,36.5424,36.6105,-1.9472,-5.05,12.84,1017106504.0,,,7.604,4.7746,3.7853,7.6684,11359973829.52,602317248.0,,,,,,
1572537600000,22227947,36.0167,37.5645,35.1601,36.4061,-0.205,-0.56,10.78,825959890.0,,,7.5616,4.748,3.7642,7.6256,11296544036.8,599423096.0,,,,,,
1572796800000,21607085,35.8221,36.007,35.0044,35.7247,-0.6808,-1.87,10.48,787747050.0,,,7.42,4.6591,3.6937,7.4828,11085111394.4,616894044.0,,,,,,
1572883200000,25612878,36.1336,37.4087,35.8415,36.6105,0.886,2.48,12.42,967156844.0,,,7.604,4.7746,3.7853,7.6684,11359973829.52,627697549.0,,,,,,
1572969600000,22554918,36.484,36.6008,34.4885,34.7805,-1.8306,-5.0,10.94,820978630.0,,,7.2239,4.536,3.5961,7.2851,10792126161.36,610202655.0,,,,,,
1573056000000,17719421,35.1017,36.299,34.946,35.7442,0.9634,2.77,8.6,650763442.0,,,7.4241,4.6616,3.6958,7.4869,11091152327.04,595578339.0,,,,,,
1573142400000,12819470,35.4911,35.4911,34.5858,35.0238,-0.7221,-2.02,6.22,461059182.0,,,7.2745,4.5677,3.6213,7.336,10867637819.36,591866026.0,,,,,,
1573401600000,13764422,34.6832,35.3938,34.0894,34.2159,-0.8091,-2.31,6.68,488269218.0,,,7.1066,4.4623,3.5377,7.1668,10616939114.8,598651745.0,,,,,,
1573488000000,11979284,34.3717,34.761,33.223,34.0894,-0.1266,-0.37,5.81,418264212.0,,,7.0804,4.4458,3.5247,7.1403,10577673052.64,595766984.0,,,,,,
1573574400000,9168906,34.1478,34.3814,33.7,34.284,0.1943,0.57,4.45,320886352.0,,,7.1208,4.4712,3.5448,7.1811,10638082379.04,603673409.0,,,,,,
1573660800000,8984885,34.284,34.4398,33.7,33.992,-0.2914,-0.85,4.36,313849477.0,,,7.0601,4.4331,3.5146,7.1199,10547468389.44,598339480.0,,,,,,
1573747200000,17385528,33.0089,33.2912,32.1328,32.1522,-1.8389,-5.41,8.43,582325471.0,,,6.678,4.1932,3.3244,6.7345,9976600254.96,585654246.0,,,,,,
1574006400000,11557334,31.2956,32.4637,30.8868,32.0354,-0.1157,-0.36,5.61,378049911.0,,,6.6538,4.178,3.3123,6.7101,9940354659.12,563153027.0,,,,,,
1574092800000,8761892,32.308,32.6195,32.0452,32.4443,0.41,1.28,4.25,291545870.0,,,6.7387,4.2313,3.3546,6.7957,10067214244.56,544919233.0,,,,,,
1574179200000,7788325,32.6,32.6682,31.977,32.123,-0.3212,-0.99,3.78,258210865.0,,,6.672,4.1894,3.3214,6.7284,9967538856.0,542978313.0,,,,,,
1574265600000,7273164,32.2691,32.4443,31.8018,31.8115,-0.3116,-0.97,3.53,239444482.0,,,6.6073,4.1488,3.2891,6.6632,9870883933.76,547835784.0,,,,,,
1574352000000,11017536,32.0841,32.1036,30.916,30.916,-0.8971,-2.82,5.34,354839958.0,,,6.4213,4.032,3.1966,6.4756,9593001032.32,538776445.0,,,,,,
1574611200000,6909314,30.9549,31.1496,30.5753,30.7894,-0.1268,-0.41,3.35,219200865.0,,,6.395,4.0155,3.1835,6.4491,9553734970.16,538838755.0,,,,,,
1574697600000,13089272,30.9549,32.2788,30.4877,32.1522,1.3639,4.43,6.35,424198097.0,,,6.678,4.1932,3.3244,6.7345,9976600254.96,537143345.0,,,,,,
1574784000000,10120246,31.7337,31.9965,31.1496,31.2178,-0.9357,-2.91,4.91,327009708.0,,,6.4839,4.0713,3.2278,6.5388,9686635488.24,568645120.0,,,,,,
1574870400000,7606732,31.1593,31.9284,30.7116,31.1983,-0.0187,-0.06,3.69,245071822.0,,,6.4799,4.0688,3.2257,6.5347,9680594555.6,558403306.0,,,,,,
1574956800000,6222905,31.1399,31.3054,30.6726,31.2178,0.0187,0.06,3.02,197988827.0,,,6.4839,4.0713,3.2278,6.5388,9686635488.24,546023555.0,,,,,,
1575216000000,8651385,31.2178,32.0452,31.2178,31.6947,0.4776,1.53,4.2,281756339.0,,,6.583,4.1335,3.2771,6.6387,9834638337.92,546790393.0,,,,,,
1575302400000,6163144,31.6363,31.9381,31.1983,31.4416,-0.2536,-0.8,2.99,199459649.0,,,6.5304,4.1005,3.2509,6.5857,9756106213.6,535709044.0,,,,,,
1575388800000,13057401,31.1886,31.2956,30.001,30.2638,-1.1791,-3.75,6.33,408541303.0,,,6.2858,3.9469,3.1291,6.339,9390629788.88,476342362.0,,,,,,
1575475200000,12394207,30.2638,30.4001,29.5143,30.1275,-0.1362,-0.45,6.01,380021334.0,,,6.2575,3.9291,3.115,6.3105,9348343260.4,467116760.0,,,,,,
1575561600000,10395059,30.0788,30.6532,29.9815,30.1762,0.0482,0.16,5.04,324092993.0,,,6.2676,3.9355,3.1201,6.3206,9363445592.0,467516298.0,,,,,,
1575820800000,8145624,30.3319,30.4098,29.8452,30.3222,0.1449,0.48,3.95,252860402.0,,,6.2979,3.9545,3.1352,6.3512,9408752586.8,466689327.0,,,,,,
1575907200000,9853652,30.3514,30.4682,29.6116,29.816,-0.5064,-1.67,4.78,302647708.0,,,6.1928,3.8885,3.0828,6.2452,9251688338.16,473774247.0,,,,,,
1575993600000,9073988,29.8647,29.8647,29.1736,29.3196,-0.498,-1.67,4.4,273609810.0,,,6.0897,3.8238,3.0315,6.1412,9097644555.84,475234917.0,,,,,,
