timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,3747000,4.0166,4.0463,3.9177,3.9573,-0.0396,-0.99,0.47,15096675.0,,,-6.947,1.0404,0.9704,230.3337,3200000000.0,,,,,,,
1565539200000,2929367,3.9573,4.0463,3.9375,4.0364,0.0791,2.0,0.37,11834462.0,,,-7.086,1.0612,0.9898,234.9404,3264000000.0,,,,,,,
1565625600000,3267800,4.0265,4.0265,3.9375,3.9672,-0.0694,-1.72,0.41,13091392.0,,,-6.9644,1.043,0.9728,230.9096,3208000000.0,,,,,,,
1565712000000,11775812,4.0067,4.1947,4.0067,4.1749,0.2079,5.24,1.47,49159314.0,,,-7.3291,1.0976,1.0237,243.0021,3376000000.0,,,,,,,
1565798400000,9461102,4.0859,4.2442,4.0364,4.2046,0.0296,0.71,1.18,39802134.0,,,-7.3812,1.1054,1.031,244.7296,3400000000.0,,,,,,,
1565884800000,11400902,4.1749,4.3629,4.1551,4.2936,0.0891,2.12,1.43,48934286.0,,,-7.5375,1.1288,1.0529,249.9121,3472000000.0,,,,,,,
1566144000000,11550697,4.2046,4.3233,4.1749,4.3233,0.0296,0.69,1.44,49789602.0,,,-7.5896,1.1366,1.0601,251.6396,3496000000.0,,,,,,,
1566230400000,9627274,4.3134,4.353,4.2244,4.3035,-0.0199,-0.46,1.2,41593105.0,,,-7.5549,1.1314,1.0553,250.4879,3480000000.0,,,,,,,
1566316800000,7355774,4.2936,4.3332,4.2442,4.3233,0.0198,0.46,0.92,31871798.0,,,-7.5896,1.1366,1.0601,251.6396,3496000000.0,,,,,,,
1566403200000,4485794,4.3233,4.3233,4.2541,4.2738,-0.0493,-1.14,0.56,19418361.0,,,-7.5028,1.1236,1.048,248.7604,3456000000.0,,,,,,,
1566489600000,3820540,4.2936,4.2936,4.2244,4.2541,-0.0197,-0.46,0.48,16465949.0,,,-7.4681,1.1184,1.0431,247.6088,3440000000.0,,,,,,,
1566748800000,6415700,4.1749,4.2442,4.1057,4.1551,-0.0991,-2.33,0.8,27137612.0,,,-7.2944,1.0924,1.0189,241.8504,3360000000.0,,,,,,,
1566835200000,5656626,4.1551,4.2639,4.1551,4.2145,0.0594,1.43,0.71,24133512.0,,,-7.3986,1.108,1.0334,245.3054,3408000000.0,,,,,,,
1566921600000,5896814,4.2442,4.3035,4.1947,4.2046,-0.0097,-0.23,0.74,25221823.0,,,-7.3812,1.1054,1.031,244.7296,3400000000.0,,,,,,,
1567008000000,5331600,4.2046,4.2442,4.165,4.1947,-0.0101,-0.24,0.67,22638259.0,,,-7.3639,1.1028,1.0286,244.1538,3392000000.0,,,,,,,
1567094400000,7112700,4.2046,4.2244,4.0067,4.0463,-0.1485,-3.54,0.89,29592133.0,,,-7.1034,1.0638,0.9922,235.5162,3272000000.0,,,,,,,
1567353600000,4253014,4.0463,4.1254,4.0463,4.1057,0.0595,1.47,0.53,17583484.0,,,-7.2076,1.0794,1.0068,238.9713,3320000000.0,,,,,,,
1567440000000,3422700,4.1057,4.1452,4.0562,4.1254,0.0197,0.48,0.43,14204673.0,,,-7.2423,1.0846,1.0116,240.1229,3336000000.0,,,,,,,
1567526400000,4786200,4.1057,4.1551,4.076,4.1551,0.0297,0.72,0.6,19921304.0,,,-7.2944,1.0924,1.0189,241.8504,3360000000.0,,,,,,,
1567612800000,8735900,4.1254,4.2244,4.1057,4.1551,0.0,0.0,1.09,36789085.0,,,-7.2944,1.0924,1.0189,241.8504,3360000000.0,,,,,,,
1567699200000,5129300,4.1551,4.1749,4.0958,4.1254,-0.0295,-0.71,0.64,21417072.0,,,-7.2423,1.0846,1.0116,240.1229,3336000000.0,,,,,,,
1567958400000,14013967,4.1452,4.353,4.1353,4.3233,0.198,4.8,1.75,60337547.0,,,-7.5896,1.1366,1.0601,251.6396,3496000000.0,,,,,,,
1568044800000,12763322,4.2837,4.4222,4.2639,4.3134,-0.0099,-0.23,1.6,55725413.0,,,-7.5723,1.134,1.0577,251.0638,3488000000.0,,,,,,,
1568131200000,9348942,4.3233,4.3728,4.2837,4.3431,0.0298,0.69,1.17,40947638.0,,,-7.6244,1.1418,1.065,252.7913,3512000000.0,,,,,,,
1568217600000,14770533,4.3431,4.5509,4.2738,4.4321,0.089,2.05,1.85,65749193.0,,,-7.7807,1.1652,1.0868,257.9738,3584000000.0,,,,,,,
1568563200000,13260002,4.5212,4.5212,4.4025,4.4123,-0.0199,-0.45,1.66,59839546.0,,,-7.746,1.16,1.082,256.8221,3568000000.0,,,,,,,
1568649600000,9308604,4.4025,4.442,4.2541,4.3233,-0.0891,-2.02,1.16,40674945.0,,,-7.5896,1.1366,1.0601,251.6396,3496000000.0,,,,,,,
1568736000000,7895200,4.3134,4.3728,4.2837,4.3035,-0.0199,-0.46,0.99,34516952.0,,,-7.5549,1.1314,1.0553,250.4879,3480000000.0,,,,,,,
1568822400000,8387622,4.2936,4.4123,4.2837,4.3827,0.0792,1.84,1.05,36931914.0,,,-7.6939,1.1522,1.0747,255.0946,3544000000.0,,,,,,,
1568908800000,10368000,4.4123,4.4717,4.353,4.442,0.0592,1.35,1.3,46343123.0,,,-7.7981,1.1678,1.0892,258.5496,3592000000.0,,,,,,,
1569168000000,7651302,4.3629,4.3926,4.2541,4.3629,-0.0791,-1.78,0.96,33293496.0,,,-7.6591,1.147,1.0698,253.9429,3528000000.0,,,,,,,
1569254400000,6252300,4.3332,4.3431,4.2541,4.2639,-0.099,-2.27,0.78,27123075.0,,,-7.4854,1.121,1.0456,248.1846,3448000000.0,,,,,,,
1569340800000,6207145,4.2343,4.2936,4.1353,4.1551,-0.1087,-2.55,0.78,26391387.0,,,-7.2944,1.0924,1.0189,241.8504,3360000000.0,,,,,,,
1569427200000,6938100,4.2244,4.2343,3.9968,4.0463,-0.1089,-2.62,0.87,28592373.0,,,-7.1034,1.0638,0.9922,235.5162,3272000000.0,,,,,,,
1569513600000,4238891,4.0463,4.076,3.9968,4.0562,0.0097,0.24,0.53,17323350.0,,,-7.1207,1.0664,0.9946,236.0921,3280000000.0,,,,,,,
1569772800000,3506822,4.0562,4.0562,3.9573,3.9573,-0.099,-2.44,0.44,14172439.0,,,-7.906,1.03,0.9883,20.1304,3200000000.0,,,,,,,
1570464000000,3498314,3.977,4.0067,3.9078,3.9276,-0.0297,-0.75,0.44,14012527.0,,,-7.8467,1.0223,0.9809,19.9795,3176000000.0,,,,,,,
1570550400000,2704202,3.9276,3.9869,3.8583,3.9869,0.0593,1.51,0.34,10753724.0,,,-7.9653,1.0378,0.9957,20.2814,3224000000.0,,,,,,,
1570636800000,4084186,3.977,4.0958,3.9573,4.0562,0.0694,1.74,0.51,16656689.0,,,-8.1037,1.0558,1.013,20.6337,3280000000.0,,,,,,,
