timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,3010325,5.02,5.05,4.92,4.95,-0.05,-1.0,0.83,14991915.0,,,1073.5133,2.6394,0.7605,13.6536,2379926934.0,289146378.0,,,,,,
1565539200000,2716558,4.93,5.01,4.93,5.01,0.06,1.21,0.75,13508945.0,,,1086.5256,2.6714,0.7697,13.8191,2408774533.2,288742645.0,,,,,,
1565625600000,2259481,4.98,4.98,4.92,4.95,-0.06,-1.2,0.62,11172273.0,,,1073.5133,2.6394,0.7605,13.6536,2379926934.0,288948959.0,,,,,,
1565712000000,2996802,5.03,5.05,4.97,4.99,0.04,0.81,0.83,14999507.0,,,1082.1882,2.6607,0.7666,13.7639,2399158666.8,288027272.0,,,,,,
1565798400000,3422064,4.86,4.98,4.82,4.97,-0.02,-0.4,0.94,16752875.0,,,1077.8507,2.65,0.7635,13.7088,2389542800.4,286501318.0,,,,,,
1565884800000,2902811,4.95,5.02,4.93,4.97,0.0,0.0,0.8,14475280.0,,,1077.8507,2.65,0.7635,13.7088,2389542800.4,285212443.0,,,,,,
1566144000000,4390912,5.02,5.11,5.0,5.11,0.14,2.82,1.21,22185835.0,,,1108.2127,2.7247,0.7851,14.0949,2456853865.2,286328979.0,,,,,,
1566230400000,4613570,5.11,5.13,5.07,5.08,-0.03,-0.59,1.27,23517974.0,,,1101.7066,2.7087,0.7804,14.0122,2442430065.6,282786843.0,,,,,,
1566316800000,3724000,5.07,5.11,5.07,5.09,0.01,0.2,1.03,18963535.0,,,1103.8753,2.714,0.782,14.0398,2447237998.8,282317369.0,,,,,,
1566403200000,4411652,5.1,5.18,5.09,5.16,0.07,1.38,1.22,22620548.0,,,1119.0563,2.7513,0.7927,14.2329,2480893531.2,280380128.0,,,,,,
1566489600000,4073000,5.16,5.16,5.1,5.12,-0.04,-0.78,1.12,20858560.0,,,1110.3814,2.73,0.7866,14.1225,2461661798.4,282493842.0,,,,,,
1566748800000,2985309,4.99,5.07,4.93,5.05,-0.07,-1.37,0.82,14969084.0,,,1095.2004,2.6927,0.7758,13.9294,2428006266.0,281685219.0,,,,,,
1566835200000,3381109,5.08,5.16,5.05,5.14,0.09,1.78,0.93,17313059.0,,,1114.7189,2.7407,0.7897,14.1777,2471277664.8,280360063.0,,,,,,
1566921600000,4281802,5.14,5.23,5.13,5.17,0.03,0.58,1.18,22173946.0,,,1121.225,2.7567,0.7943,14.2604,2485701464.4,277952896.0,,,,,,
1567008000000,3443050,5.18,5.2,5.14,5.18,0.01,0.19,0.95,17823265.0,,,1123.3937,2.762,0.7958,14.288,2490509397.6,277006728.0,,,,,,
1567094400000,3597607,5.21,5.25,5.06,5.1,-0.08,-1.54,0.99,18468731.0,,,1106.044,2.7194,0.7835,14.0674,2452045932.0,276048230.0,,,,,,
1567353600000,3816894,5.11,5.2,5.06,5.18,0.08,1.57,1.05,19684248.0,,,1123.3937,2.762,0.7958,14.288,2490509397.6,274719410.0,,,,,,
1567440000000,4347744,5.2,5.21,5.16,5.19,0.01,0.19,1.2,22542346.0,,,1125.5624,2.7673,0.7973,14.3156,2495317330.8,277317445.0,,,,,,
1567526400000,5959289,5.19,5.28,5.15,5.27,0.08,1.54,1.64,31139443.0,,,1142.9121,2.81,0.8096,14.5363,2533780796.4,276439062.0,,,,,,
1567612800000,7895173,5.28,5.37,5.25,5.3,0.03,0.57,2.18,41903559.0,,,1149.4183,2.826,0.8142,14.619,2548204596.0,274388463.0,,,,,,
1567699200000,4311409,5.31,5.34,5.26,5.31,0.01,0.19,1.19,22855950.0,,,1151.587,2.8313,0.8158,14.6466,2553012529.2,273726595.0,,,,,,
1567958400000,6964235,5.34,5.38,5.3,5.37,0.06,1.13,1.92,37164683.0,,,1164.5993,2.8633,0.825,14.8121,2581860128.4,270665877.0,,,,,,
1568044800000,4705747,5.37,5.42,5.36,5.39,0.02,0.37,1.3,25343657.0,,,1168.9367,2.874,0.8281,14.8673,2591475994.8,268183929.0,,,,,,
1568131200000,4820187,5.37,5.43,5.35,5.35,-0.04,-0.74,1.33,25968565.0,,,1160.2618,2.8527,0.8219,14.7569,2572244262.0,269093091.0,,,,,,
1568217600000,2808607,5.35,5.38,5.32,5.37,0.02,0.37,0.77,15044898.0,,,1164.5993,2.8633,0.825,14.8121,2581860128.4,268582880.0,,,,,,
1568563200000,32354937,5.71,5.85,5.58,5.59,0.22,4.1,8.92,184167394.0,,,1212.311,2.9806,0.8588,15.4189,2687634658.8,259736537.0,,,,,,
1568649600000,22620823,5.66,5.66,5.41,5.57,-0.02,-0.36,6.24,125408143.0,,,1207.9735,2.97,0.8557,15.3638,2678018792.4,264246115.0,,,,,,
1568736000000,15167138,5.36,5.39,5.29,5.34,-0.23,-4.13,4.18,80781282.0,,,1158.0931,2.8473,0.8204,14.7294,2567436328.8,264757866.0,,,,,,
1568822400000,8127126,5.28,5.3,5.22,5.27,-0.07,-1.31,2.24,42668843.0,,,1142.9121,2.81,0.8096,14.5363,2533780796.4,267344463.0,,,,,,
1568908800000,5704209,5.27,5.3,5.25,5.29,0.02,0.38,1.57,30083186.0,,,1147.2496,2.8207,0.8127,14.5914,2543396662.8,267949189.0,,,,,,
1569168000000,4145698,5.28,5.28,5.18,5.22,-0.07,-1.32,1.14,21607319.0,,,1132.0686,2.7833,0.8019,14.3984,2509741130.4,267911478.0,,,,,,
1569254400000,4100026,5.2,5.27,5.19,5.22,0.0,0.0,1.13,21433626.0,,,1132.0686,2.7833,0.8019,14.3984,2509741130.4,266296700.0,,,,,,
1569340800000,4388584,5.17,5.17,5.07,5.07,-0.15,-2.87,1.21,22423997.0,,,1099.5379,2.7034,0.7789,13.9846,2437622132.4,267266049.0,,,,,,
1569427200000,4765755,5.07,5.1,4.98,4.99,-0.08,-1.58,1.31,23934618.0,,,1082.1882,2.6607,0.7666,13.7639,2399158666.8,263094078.0,,,,,,
1569513600000,3149363,4.98,5.03,4.97,5.0,0.01,0.2,0.87,15741764.0,,,1084.3569,2.666,0.7682,13.7915,2403966600.0,261962164.0,,,,,,
1569772800000,2438955,4.96,5.02,4.95,4.96,-0.04,-0.8,0.67,12171079.0,,,1031.939,2.6436,0.7903,21.8115,2384734867.2,259550025.0,,,,,,
1570464000000,3279400,4.93,5.12,4.92,4.99,0.03,0.6,0.9,16468298.0,,,1038.1805,2.6596,0.7951,21.9434,2399158666.8,262007256.0,,,,,,
1570550400000,3272093,4.97,5.04,4.93,5.02,0.03,0.6,0.9,16282075.0,,,1044.4221,2.6756,0.7999,22.0753,2413582466.4,263953507.0,,,,,,
1570636800000,3788554,5.0,5.06,5.0,5.05,0.03,0.6,1.04,19048528.0,,,1050.6637,2.6916,0.8047,22.2072,2428006266.0,264301925.0,,,,,,
1570723200000,9811905,5.05,5.24,5.02,5.2,0.15,2.97,2.71,50383396.0,,,1081.8715,2.7716,0.8286,22.8669,2500125264.0,265926439.0,,,,,,
1570982400000,7389706,5.13,5.18,5.1,5.16,-0.04,-0.77,2.04,37983489.0,,,1073.5494,2.7502,0.8222,22.691,2480893531.2,263956369.0,,,,,,
1571068800000,5653600,5.14,5.14,5.08,5.09,-0.07,-1.36,1.56,28811945.0,,,1058.9858,2.7129,0.811,22.3831,2447237998.8,275957737.0,,,,,,
1571155200000,5065903,5.11,5.17,5.08,5.14,0.05,0.98,1.4,25960705.0,,,1069.3884,2.7396,0.819,22.603,2471277664.8,276578569.0,,,,,,
1571241600000,4722603,5.18,5.18,5.1,5.12,-0.02,-0.39,1.3,24227938.0,,,1065.2273,2.7289,0.8158,22.5151,2461661798.4,276851533.0,,,,,,
1571328000000,3289600,5.1,5.13,5.0,5.01,-0.11,-2.15,0.91,16682358.0,,,1042.3416,2.6703,0.7983,22.0313,2408774533.2,273920214.0,,,,,,
1571587200000,2903100,4.99,5.04,4.98,5.01,0.0,0.0,0.8,14526922.0,,,1042.3416,2.6703,0.7983,22.0313,2408774533.2,272520642.0,,,,,,
1571673600000,1932900,5.0,5.03,4.99,5.02,0.01,0.2,0.53,9689911.0,,,1044.4221,2.6756,0.7999,22.0753,2413582466.4,270871843.0,,,,,,
1571760000000,1999062,5.04,5.04,5.0,5.02,0.0,0.0,0.55,10031731.0,,,1044.4221,2.6756,0.7999,22.0753,2413582466.4,270234130.0,,,,,,
1571846400000,2491430,5.04,5.04,4.97,5.02,0.0,0.0,0.69,12450310.0,,,1044.4221,2.6756,0.7999,22.0753,2413582466.4,270858744.0,,,,,,
1571932800000,2158821,5.02,5.04,4.98,5.03,0.01,0.2,0.6,10823436.0,,,1046.5026,2.681,0.8015,22.1193,2418390399.6,269374981.0,,,,,,
1572192000000,3637810,5.03,5.08,5.01,5.05,0.02,0.4,1.0,18340286.0,,,1050.6637,2.6916,0.8047,22.2072,2428006266.0,267988696.0,,,,,,
1572278400000,3373216,5.06,5.07,5.0,5.0,-0.05,-0.99,0.93,16986908.0,,,1040.2611,2.665,0.7967,21.9874,2403966600.0,269430060.0,,,,,,
1572364800000,3848100,5.0,5.0,4.9,4.9,-0.1,-2.0,1.06,19003389.0,,,1019.4558,2.6117,0.7808,21.5476,2355887268.0,270849751.0,,,,,,
