timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,24628205,3.15,3.16,3.04,3.05,-0.07,-2.24,1.09,76318728.0,,,159.917,1.3077,2.4555,6.7395,6903697929.9,485540600.0,,,,,,
1565539200000,17512404,3.07,3.1,3.01,3.1,0.05,1.64,0.78,53704117.0,,,162.5386,1.3292,2.4957,6.8499,7016873305.8,488854672.0,,,,,,
1565625600000,15973770,3.06,3.1,3.05,3.07,-0.03,-0.97,0.71,49072856.0,,,160.9657,1.3163,2.4716,6.7836,6948968080.26,491534709.0,,,,,,
1565712000000,28206384,3.18,3.19,3.09,3.12,0.05,1.63,1.25,88457993.0,,,163.5873,1.3378,2.5118,6.8941,7062143456.16,499643683.0,,,,,,
1565798400000,24950706,3.01,3.09,2.98,3.09,-0.03,-0.96,1.1,75948316.0,,,162.0143,1.3249,2.4877,6.8278,6994238230.62,496219691.0,,,,,,
1565884800000,18924530,3.09,3.11,3.06,3.06,-0.03,-0.97,0.84,58313405.0,,,160.4413,1.312,2.4635,6.7616,6926333005.08,487176844.0,,,,,,
1566144000000,36882281,3.08,3.16,3.06,3.14,0.08,2.61,1.63,114674211.0,,,164.6359,1.3463,2.5279,6.9383,7107413606.52,481240482.0,,,,,,
1566230400000,30455250,3.16,3.18,3.11,3.13,-0.01,-0.32,1.35,95749317.0,,,164.1116,1.342,2.5199,6.9162,7084778531.34,478367211.0,,,,,,
1566316800000,19002557,3.11,3.13,3.08,3.1,-0.03,-0.96,0.84,58980298.0,,,162.5386,1.3292,2.4957,6.8499,7016873305.8,475216069.0,,,,,,
1566403200000,39126752,3.12,3.25,3.08,3.14,0.04,1.29,1.73,123167240.0,,,164.6359,1.3463,2.5279,6.9383,7107413606.52,471481618.0,,,,,,
1566489600000,23697573,3.12,3.13,3.08,3.09,-0.05,-1.59,1.05,73421065.0,,,162.0143,1.3249,2.4877,6.8278,6994238230.62,468734447.0,,,,,,
1566748800000,24273595,3.03,3.1,3.0,3.07,-0.02,-0.65,1.07,74217078.0,,,160.9657,1.3163,2.4716,6.7836,6948968080.26,468582839.0,,,,,,
1566835200000,35155961,3.07,3.16,3.07,3.14,0.07,2.28,1.56,109801701.0,,,164.6359,1.3463,2.5279,6.9383,7107413606.52,471125956.0,,,,,,
1566921600000,40288416,3.14,3.22,3.11,3.19,0.05,1.59,1.78,127742712.0,,,167.2575,1.3678,2.5682,7.0488,7220588982.42,478323442.0,,,,,,
1567008000000,24162081,3.2,3.21,3.13,3.14,-0.05,-1.57,1.07,76287876.0,,,164.6359,1.3463,2.5279,6.9383,7107413606.52,474940545.0,,,,,,
1567094400000,28795757,3.17,3.19,3.05,3.08,-0.06,-1.91,1.28,89268122.0,,,161.49,1.3206,2.4796,6.8057,6971603155.44,467774231.0,,,,,,
1567353600000,23201709,3.06,3.13,3.05,3.12,0.04,1.3,1.03,72055348.0,,,163.5873,1.3378,2.5118,6.8941,7062143456.16,467757581.0,,,,,,
1567440000000,21418900,3.12,3.15,3.09,3.12,0.0,0.0,0.95,66570488.0,,,163.5873,1.3378,2.5118,6.8941,7062143456.16,467060964.0,,,,,,
1567526400000,33295303,3.09,3.17,3.09,3.17,0.05,1.6,1.47,104228844.0,,,166.2088,1.3592,2.5521,7.0046,7175318832.06,464593504.0,,,,,,
1567612800000,58186220,3.2,3.26,3.18,3.21,0.04,1.26,2.58,187497058.0,,,168.3061,1.3763,2.5843,7.093,7265859132.78,459463544.0,,,,,,
1567699200000,32886855,3.21,3.24,3.17,3.22,0.01,0.31,1.46,105280480.0,,,168.8304,1.3806,2.5924,7.1151,7288494207.96,462400457.0,,,,,,
1567958400000,44286721,3.24,3.33,3.2,3.28,0.06,1.86,1.96,144085888.0,,,171.9763,1.4064,2.6407,7.2477,7424304659.04,459585679.0,,,,,,
1568044800000,38712061,3.31,3.32,3.26,3.29,0.01,0.3,1.71,127220761.0,,,172.5007,1.4106,2.6487,7.2698,7446939734.22,452075355.0,,,,,,
1568131200000,48030012,3.29,3.37,3.25,3.3,0.01,0.3,2.13,158931744.0,,,173.025,1.4149,2.6568,7.2919,7469574809.4,453561734.0,,,,,,
1568217600000,35896483,3.27,3.29,3.21,3.25,-0.05,-1.52,1.59,116548258.0,,,170.4034,1.3935,2.6165,7.1814,7356399433.5,445935417.0,,,,,,
1568563200000,184221724,3.58,3.58,3.45,3.47,0.22,6.77,8.16,651887065.0,,,181.9384,1.4878,2.7936,7.6675,7854371087.46,441656994.0,,,,,,
1568649600000,150852954,3.51,3.56,3.38,3.51,0.04,1.15,6.68,525316056.0,,,184.0357,1.505,2.8258,7.7559,7944911388.18,432497417.0,,,,,,
1568736000000,85162317,3.3,3.35,3.27,3.32,-0.19,-5.41,3.77,282888520.0,,,174.0736,1.4235,2.6729,7.3361,7514844959.76,434588824.0,,,,,,
1568822400000,53350623,3.28,3.3,3.22,3.26,-0.06,-1.81,2.36,173424049.0,,,170.9277,1.3978,2.6246,7.2035,7379034508.68,433640948.0,,,,,,
1568908800000,35126255,3.26,3.26,3.22,3.24,-0.02,-0.61,1.56,113661730.0,,,169.8791,1.3892,2.6085,7.1593,7333764358.32,436662784.0,,,,,,
1569168000000,36816769,3.21,3.22,3.15,3.16,-0.08,-2.47,1.63,116831895.0,,,165.6845,1.3549,2.544,6.9825,7152683756.88,433971566.0,,,,,,
1569254400000,27524528,3.17,3.18,3.12,3.15,-0.01,-0.32,1.22,86670065.0,,,165.1602,1.3506,2.536,6.9604,7130048681.7,425328680.0,,,,,,
1569340800000,27108472,3.1,3.12,3.08,3.1,-0.05,-1.59,1.2,83960232.0,,,162.5386,1.3292,2.4957,6.8499,7016873305.8,427394390.0,,,,,,
1569427200000,27568336,3.1,3.12,3.04,3.05,-0.05,-1.61,1.22,84641260.0,,,159.917,1.3077,2.4555,6.7395,6903697929.9,426028884.0,,,,,,
1569513600000,16950678,3.04,3.08,3.04,3.07,0.02,0.66,0.75,51993559.0,,,160.9657,1.3163,2.4716,6.7836,6948968080.26,422603416.0,,,,,,
1569772800000,15531660,3.08,3.09,3.05,3.05,-0.02,-0.65,0.69,47699245.0,,,-947.7704,1.2861,2.5718,8.6519,6903697929.9,415645290.0,,,,,,
1570464000000,12588559,3.05,3.07,3.04,3.04,-0.01,-0.33,0.56,38469505.0,,,-944.663,1.2819,2.5633,8.6236,6881062854.72,416978699.0,,,,,,
1570550400000,14123801,3.04,3.06,3.01,3.06,0.02,0.66,0.63,42878629.0,,,-950.8779,1.2904,2.5802,8.6803,6926333005.08,419851219.0,,,,,,
1570636800000,18293870,3.05,3.08,3.04,3.08,0.02,0.65,0.81,55948798.0,,,-957.0928,1.2988,2.597,8.737,6971603155.44,417546051.0,,,,,,
1570723200000,59799195,3.08,3.26,3.06,3.18,0.1,3.25,2.65,188799361.0,,,-988.1672,1.341,2.6814,9.0207,7197953907.24,407909030.0,,,,,,
1570982400000,42002336,3.16,3.18,3.12,3.16,-0.02,-0.63,1.86,132520152.0,,,-981.9523,1.3325,2.6645,8.964,7152683756.88,409304530.0,,,,,,
