timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1564070400000,9165431,10.42,10.55,10.26,10.31,-0.17,-1.62,1.8,95073260.0,,,-137.5742,2.3776,1.7061,70.0541,5636999191.19,,,,,,,
1564329600000,5323260,10.3,10.45,10.01,10.06,-0.25,-2.42,1.05,54135349.0,,,-134.2383,2.3199,1.6648,68.3554,5500311528.94,,,,,,,
1564416000000,6016683,10.01,10.2,10.01,10.15,0.09,0.89,1.18,60822040.0,,,-135.4392,2.3407,1.6797,68.9669,5549519087.35,,,,,,,
1564502400000,17651036,10.15,10.76,10.13,10.66,0.51,5.02,3.47,184138992.0,,,-142.2446,2.4583,1.764,72.4323,5828361918.34,,,,,,,
1564588800000,12068100,10.62,10.93,10.55,10.74,0.08,0.75,2.38,130014015.0,,,-143.3121,2.4768,1.7773,72.9759,5872101970.26,,,,,,,
1564675200000,11014614,10.61,10.92,10.51,10.84,0.1,0.93,2.17,118434949.0,,,-144.6464,2.4998,1.7938,73.6553,5926777035.16,,,,,,,
1564934400000,12526830,10.83,11.1,10.6,10.62,-0.22,-2.03,2.47,136074358.0,,,-141.7108,2.4491,1.7574,72.1605,5806491892.38,,,,,,,
1565020800000,12745001,10.6,10.7,10.21,10.52,-0.1,-0.94,2.51,133365607.0,,,-140.3764,2.426,1.7409,71.481,5751816827.48,,,,,,,
1565107200000,22002515,10.51,11.4,10.49,11.07,0.55,5.23,4.33,242669108.0,,,-147.7155,2.5529,1.8319,75.2181,6052529684.43,,,,,,,
1565193600000,13198567,11.08,11.26,10.95,10.99,-0.08,-0.72,2.6,145729880.0,,,-146.648,2.5344,1.8187,74.6746,6008789632.51,,,,,,,
1565280000000,14086367,10.96,11.2,10.96,11.0,0.01,0.09,2.77,156115330.0,,,-146.7814,2.5367,1.8203,74.7425,6014257139.0,,,,,,,
1565539200000,13389400,10.91,10.99,10.74,10.83,-0.17,-1.55,2.64,145056478.0,,,-144.513,2.4975,1.7922,73.5874,5921309528.67,,,,,,,
1565625600000,16051375,10.83,11.18,10.83,10.95,0.12,1.11,3.16,176780733.0,,,-146.1142,2.5252,1.812,74.4028,5986919606.55,,,,,,,
1565712000000,10886414,10.95,11.2,10.78,10.84,-0.11,-1.0,2.14,119456818.0,,,-144.6464,2.4998,1.7938,73.6553,5926777035.16,,,,,,,
1565798400000,8534100,10.64,10.82,10.58,10.72,-0.12,-1.11,1.68,91297474.0,,,-143.0452,2.4721,1.774,72.84,5861166957.28,,,,,,,
1565884800000,8769576,10.72,10.87,10.58,10.59,-0.13,-1.21,1.73,93926571.0,,,-141.3105,2.4422,1.7525,71.9566,5790089372.91,,,,,,,
1566144000000,11092905,10.61,10.85,10.51,10.72,0.13,1.23,2.18,118589860.0,,,-143.0452,2.4721,1.774,72.84,5861166957.28,2308610.0,,,,,,
1566230400000,16351600,10.72,11.04,10.68,10.85,0.13,1.21,3.22,177137575.0,,,-144.7799,2.5021,1.7955,73.7233,5932244541.65,4633643.0,,,,,,
1566316800000,8707700,10.85,10.92,10.69,10.7,-0.15,-1.38,1.71,93934456.0,,,-142.7783,2.4675,1.7707,72.7041,5850231944.3,5641499.0,,,,,,
1566403200000,7713400,10.69,10.76,10.68,10.73,0.03,0.28,1.52,82645103.0,,,-143.1786,2.4744,1.7756,72.9079,5866634463.77,7094574.0,,,,,,
1566489600000,17632100,10.71,11.76,10.69,11.05,0.32,2.98,3.47,194651688.0,,,-147.4486,2.5482,1.8286,75.0822,6041594671.45,10273845.0,,,,,,
1566748800000,8509713,10.89,11.11,10.82,11.03,-0.02,-0.18,1.67,93449280.0,,,-147.1817,2.5436,1.8253,74.9463,6030659658.47,10258629.0,,,,,,
1566835200000,15700100,11.03,11.34,11.0,11.19,0.16,1.45,3.09,175586184.0,,,-149.3167,2.5805,1.8518,76.0335,6118139762.31,18950925.0,,,,,,
1566921600000,11589893,11.2,11.38,10.98,11.0,-0.19,-1.7,2.28,128496764.0,,,-146.7814,2.5367,1.8203,74.7425,6014257139.0,21178718.0,,,,,,
1567008000000,7793300,10.9,11.05,10.7,10.83,-0.17,-1.55,1.53,84899457.0,,,-144.513,2.4975,1.7922,73.5874,5921309528.67,21770799.0,,,,,,
1567094400000,6728600,10.8,10.96,10.73,10.84,0.01,0.09,1.32,72863603.0,,,-144.6464,2.4998,1.7938,73.6553,5926777035.16,22986220.0,,,,,,
1567353600000,14587300,10.8,11.18,10.8,10.89,0.05,0.46,2.87,159233237.0,,,-145.3136,2.5113,1.8021,73.9951,5954114567.61,22935610.0,,,,,,
1567440000000,8107900,10.89,10.96,10.75,10.82,-0.07,-0.64,1.6,87806838.0,,,-144.3796,2.4952,1.7905,73.5194,5915842022.18,27784392.0,,,,,,
1567526400000,7203102,10.82,10.99,10.76,10.82,0.0,0.0,1.42,78045120.0,,,-144.3796,2.4952,1.7905,73.5194,5915842022.18,29976730.0,,,,,,
1567612800000,15176372,10.84,11.11,10.84,11.0,0.18,1.66,2.99,166900644.0,,,-146.7814,2.5367,1.8203,74.7425,6014257139.0,29261770.0,,,,,,
1567699200000,14490000,11.05,11.2,10.86,10.96,-0.04,-0.36,2.85,158989584.0,,,-146.2477,2.5275,1.8137,74.4707,5992387113.04,31370961.0,,,,,,
1567958400000,23191018,10.97,11.7,10.97,11.43,0.47,4.29,4.56,263942579.0,,,-152.5193,2.6359,1.8915,77.6643,6249359918.07,33416021.0,,,,,,
1568044800000,11460788,11.43,11.55,11.36,11.4,-0.03,-0.26,2.26,130955886.0,,,-152.1189,2.629,1.8865,77.4604,6232957398.6,35886989.0,,,,,,
1568131200000,10952801,11.4,11.55,11.32,11.38,-0.02,-0.18,2.16,124981689.0,,,-151.8521,2.6243,1.8832,77.3245,6222022385.62,37691776.0,,,,,,
1568217600000,9096500,11.38,11.47,11.3,11.38,0.0,0.0,1.79,103521125.0,,,-151.8521,2.6243,1.8832,77.3245,6222022385.62,37623188.0,,,,,,
